currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,787.60,764.95,756.52,766.70,768.94,-32.71,-816.89,622.07,0.73,1.18,-0.47
53,787.92,764.93,756.47,766.59,768.98,-30.27,-805.66,614.75,-0.81,2.37,0.73
84,788.07,764.93,756.51,766.53,769.01,-21.00,-808.11,631.84,-0.37,0.07,0.99
114,788.20,764.95,756.46,766.63,769.06,-28.32,-808.11,625.49,0.34,4.29,1.33
145,788.37,764.88,756.43,766.49,769.04,-22.46,-811.52,631.84,-0.13,0.92,1.85
176,788.38,764.94,756.39,766.50,769.05,-22.46,-804.69,623.05,-0.68,1.53,-3.58
206,788.39,764.91,756.50,766.53,769.08,-27.34,-816.89,623.54,-0.41,0.56,-0.54
237,788.46,764.86,756.51,766.57,769.10,-18.07,-824.22,619.63,1.60,-2.14,0.87
268,788.38,764.93,756.50,766.55,769.09,-25.39,-816.41,620.61,1.39,1.21,-0.19
299,788.30,764.91,756.45,766.59,769.06,-28.32,-811.04,625.49,-0.81,-2.37,1.01
330,788.25,764.94,756.56,766.55,769.07,-30.27,-816.41,633.30,-1.17,-0.01,-2.18
361,788.25,765.01,756.50,766.61,769.09,-21.00,-804.20,618.65,-0.66,1.96,-1.37
392,788.24,765.00,756.49,766.56,769.07,-39.06,-817.87,606.93,-0.86,-0.89,0.63
423,788.15,764.98,756.51,766.65,769.07,-30.76,-809.08,626.95,-1.12,-1.53,-2.95
454,788.12,764.98,756.51,766.63,769.06,-31.74,-814.45,616.70,-1.87,-1.10,1.53
485,788.10,765.03,756.51,766.61,769.07,-36.13,-827.64,625.98,-1.13,-2.61,-2.03
516,788.06,764.89,756.52,766.57,769.01,-33.20,-806.64,611.33,-1.25,0.79,-0.44
547,788.17,764.97,756.49,766.62,769.06,-23.44,-819.82,618.16,-0.87,-2.99,1.72
578,788.22,765.00,756.50,766.63,769.09,-33.69,-823.24,630.86,-1.24,-1.35,-0.39
609,788.16,764.95,756.46,766.59,769.04,-37.60,-811.04,631.84,-1.18,1.31,0.01
