currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,15.85,14.78,14.59,14.66,14.97,-388.67,-868.16,281.74,-28.88,4.13,-32.82
55,15.95,14.78,14.59,14.66,14.99,-441.41,-875.00,180.18,-25.24,0.72,-46.47
86,16.08,14.79,14.59,14.66,15.03,-325.20,-996.58,346.19,-38.31,1.93,-56.66
116,16.23,14.79,14.59,14.66,15.07,-245.61,-1076.17,263.18,-18.26,8.38,-22.41
150,16.34,14.79,14.59,14.66,15.09,-378.91,-867.68,177.25,-11.70,-1.52,-36.04
180,16.46,14.79,14.59,14.66,15.13,-255.37,-1098.14,203.12,5.06,6.73,-57.14
211,16.53,14.79,14.59,14.66,15.14,-245.61,-979.00,312.01,18.14,-2.86,-34.79
242,16.57,14.79,14.59,14.66,15.15,-217.29,-1054.20,245.61,6.98,-7.15,-23.08
273,16.61,14.79,14.59,14.66,15.16,-195.80,-966.31,317.38,-0.25,2.62,-10.41
304,16.63,14.79,14.59,14.66,15.17,-276.37,-949.22,191.41,-0.02,2.11,-11.12
335,16.67,14.79,14.59,14.66,15.18,-232.42,-965.82,231.93,10.09,-0.11,-33.41
366,16.69,14.79,14.59,14.66,15.18,-141.11,-1039.06,298.34,11.99,0.27,-18.05
397,16.73,14.79,14.59,14.66,15.19,-262.70,-897.95,225.59,6.41,-3.11,-11.64
427,16.79,14.80,14.59,14.66,15.21,-226.56,-933.11,251.95,2.79,8.31,-26.44
458,16.83,14.81,14.59,14.66,15.22,-125.98,-1030.27,318.85,2.60,4.64,-26.67
489,16.90,14.81,14.59,14.65,15.24,-220.21,-953.12,193.85,7.08,1.14,-9.82
520,16.99,14.82,14.59,14.65,15.26,-221.68,-976.56,210.45,15.21,5.24,-17.28
551,17.06,14.83,14.59,14.65,15.28,-97.17,-1011.23,196.78,21.46,-7.35,-53.84
582,17.16,14.83,14.59,14.65,15.31,-283.20,-1033.69,196.78,14.10,0.04,-5.52
613,17.23,14.83,14.59,14.64,15.32,-162.11,-1004.39,250.00,36.82,-13.12,-18.33
644,17.23,14.85,14.59,14.64,15.33,-323.73,-833.01,166.50,103.74,-16.92,-65.51
675,17.29,14.87,14.59,14.64,15.34,11.72,-659.18,300.78,4.05,19.98,-2.93
706,17.20,14.89,14.59,14.64,15.33,-36.62,-889.16,403.32,16.88,-2.24,-12.32
737,17.06,14.91,14.59,14.64,15.30,-18.07,-948.24,449.71,46.40,-10.40,-10.66
768,16.97,14.90,14.59,14.65,15.28,-17.58,-928.22,419.92,89.80,-50.65,-11.00
