currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
18,754.35,753.07,753.62,0.00,565.26,-2.44,-920.41,440.43,-1.33,3.05,-0.98
46,754.27,753.12,753.61,0.00,565.25,-3.91,-905.27,441.89,1.35,1.85,0.05
74,754.37,753.16,753.62,0.00,565.29,6.35,-910.64,451.17,1.42,2.42,1.63
102,754.35,753.11,753.62,0.00,565.27,-7.32,-917.97,446.29,0.91,1.05,0.53
129,754.31,753.10,753.63,0.00,565.26,5.37,-907.23,446.29,-0.60,-1.15,-0.52
157,754.34,753.02,753.62,0.00,565.24,16.60,-909.18,459.96,1.99,2.07,-1.65
184,754.35,753.16,753.75,0.00,565.31,9.77,-904.79,447.75,1.34,0.56,1.21
215,754.40,753.06,753.66,0.00,565.28,6.84,-911.13,447.27,0.82,2.55,-3.55
243,754.36,753.08,753.70,0.00,565.28,-13.18,-913.09,453.12,0.68,-0.22,1.21
271,754.32,753.13,753.62,0.00,565.27,11.72,-906.25,456.54,1.73,-0.27,-0.47
298,754.34,753.07,753.71,0.00,565.28,15.14,-906.74,456.54,1.95,-0.53,0.47
326,754.36,753.11,753.64,0.00,565.28,6.35,-907.71,449.71,0.05,-0.33,0.16
354,754.38,753.11,753.61,0.00,565.27,4.88,-919.92,454.59,-0.40,-0.95,-0.37
384,754.36,753.07,753.66,0.00,565.27,-6.35,-918.95,448.24,0.87,1.53,1.50
412,754.34,753.10,753.70,0.00,565.28,-4.39,-922.85,450.68,1.91,0.53,1.83
440,754.30,753.07,753.66,0.00,565.26,4.88,-922.36,449.71,-2.78,0.21,0.00
468,754.35,753.12,753.66,0.00,565.28,6.35,-919.92,441.89,-2.17,1.91,0.22
496,754.31,753.10,753.61,0.00,565.25,11.72,-909.67,458.50,-0.30,2.59,2.18
524,754.34,753.15,753.66,0.00,565.29,0.98,-904.30,457.52,0.80,0.27,-0.05
552,754.32,753.03,753.67,0.00,565.26,-2.44,-906.25,454.59,0.21,3.27,0.70
583,754.29,753.06,753.65,0.00,565.25,-0.49,-911.13,450.20,0.19,0.41,0.71
610,754.31,753.08,753.69,0.00,565.27,-5.37,-907.23,449.22,1.28,0.27,1.62
638,754.41,753.08,753.63,0.00,565.28,-3.91,-917.97,452.15,0.15,0.24,0.92
666,754.39,753.09,753.60,0.00,565.27,18.55,-915.04,444.34,-1.32,1.84,0.20
694,754.37,753.10,753.63,0.00,565.27,3.91,-906.74,461.91,1.00,4.21,-1.08
722,754.35,753.09,753.66,0.00,565.28,-3.91,-918.95,454.10,0.31,1.82,-0.14
751,754.42,753.13,753.67,0.00,565.31,2.93,-908.69,445.80,0.39,1.09,0.84
781,754.34,753.11,753.70,0.00,565.29,6.35,-913.09,457.52,0.13,1.38,0.92
809,754.41,753.10,753.68,0.00,565.30,-0.98,-906.74,449.71,-1.83,1.81,2.25
