currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
17,752.75,753.11,753.25,0.00,564.78,-88.87,-984.37,286.13,-0.67,-0.82,-2.11
44,752.75,753.12,753.26,0.00,564.78,-92.77,-964.84,286.62,-0.78,1.56,-0.70
70,752.77,753.14,753.25,0.00,564.79,-86.43,-957.52,284.67,-1.50,0.48,-0.76
97,752.73,753.22,753.35,0.00,564.82,-94.24,-966.31,279.79,-0.63,0.40,-1.50
124,752.78,753.07,753.34,0.00,564.80,-90.82,-979.00,271.97,-0.80,-0.17,0.08
151,752.87,753.13,753.31,0.00,564.83,-93.26,-994.14,267.09,-2.28,0.06,-1.01
180,752.74,753.10,753.36,0.00,564.80,-95.21,-965.33,280.27,-1.04,1.13,1.10
207,752.78,753.16,753.32,0.00,564.82,-107.91,-967.77,285.16,0.37,0.84,-2.40
234,752.86,753.08,753.37,0.00,564.83,-85.45,-980.47,279.30,0.04,-1.31,-0.02
260,752.71,753.17,753.36,0.00,564.81,-95.70,-969.24,280.27,0.18,-0.48,-0.56
287,752.80,753.08,753.36,0.00,564.81,-86.91,-982.91,281.25,1.90,0.56,-1.79
314,752.81,753.17,753.36,0.00,564.83,-99.12,-975.10,292.48,-0.35,-0.31,0.53
341,752.81,753.18,753.38,0.00,564.84,-101.07,-982.42,289.06,0.41,1.34,1.96
370,752.85,753.10,753.33,0.00,564.82,-105.96,-982.42,278.32,1.75,-0.73,0.85
397,752.84,753.18,753.35,0.00,564.84,-90.82,-981.45,276.37,0.40,1.52,-2.07
424,752.79,753.11,753.34,0.00,564.81,-97.66,-971.68,292.48,0.92,-1.15,-1.85
451,752.75,753.10,753.38,0.00,564.81,-93.75,-982.91,284.67,-0.27,0.18,-1.13
477,752.81,753.09,753.31,0.00,564.80,-94.73,-966.80,280.76,-0.86,-1.60,-0.86
504,752.77,753.10,753.32,0.00,564.80,-86.91,-961.43,285.64,-0.19,-0.05,-1.76
531,752.79,753.15,753.43,0.00,564.84,-89.36,-974.61,290.04,-2.53,0.66,-2.21
560,752.82,753.16,753.37,0.00,564.84,-96.19,-970.21,287.60,0.01,1.53,-1.02
587,752.75,753.14,753.41,0.00,564.83,-105.47,-976.56,272.95,-1.23,1.27,-3.51
