currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,791.22,775.92,758.37,780.95,776.62,-38.57,-803.22,644.04,0.85,1.27,0.05,-356.28
61,791.39,776.07,758.40,781.07,776.73,-32.23,-796.39,658.69,-2.66,1.38,-1.76,-359.08
97,791.33,776.26,758.40,781.08,776.77,-30.27,-783.20,647.46,-3.34,1.52,0.99,-360.61
132,791.70,776.20,758.41,781.05,776.84,-41.50,-793.95,646.48,0.02,2.53,-0.69,-360.66
168,791.64,776.22,758.38,781.16,776.85,-43.46,-789.06,654.79,1.47,-1.25,0.42,-362.88
203,791.64,776.30,758.40,781.41,776.94,-26.86,-792.97,648.44,1.31,0.50,0.39,-366.81
243,791.75,776.53,758.42,781.54,777.06,-30.76,-789.55,644.04,1.69,1.92,-1.50,-370.45
278,791.94,776.38,758.43,781.54,777.07,-20.02,-791.02,656.25,2.11,-0.35,-1.21,-369.71
313,792.45,776.19,758.39,781.39,777.11,-34.18,-782.71,650.88,2.66,0.39,0.48,-368.71
348,792.87,775.75,758.38,780.97,776.99,-32.71,-791.50,657.71,0.34,2.69,0.81,-360.73
383,792.78,775.52,758.27,780.66,776.81,-27.83,-795.41,649.90,-0.24,1.50,0.55,-356.48
418,792.90,775.11,758.20,780.10,776.58,-25.39,-782.23,658.69,-1.78,-1.11,1.50,-347.18
456,793.64,774.73,758.06,779.36,776.45,-27.34,-793.95,651.86,-0.83,0.03,-1.63,-339.44
491,794.36,774.42,758.10,778.84,776.43,-24.90,-786.62,649.90,-2.02,0.79,-0.02,-330.62
526,795.61,774.11,758.00,778.44,776.54,-31.74,-775.88,659.67,1.02,1.06,0.09,-329.13
561,796.63,773.84,757.94,778.01,776.61,-34.67,-794.92,651.86,0.73,-0.98,-1.11,-325.60
596,797.41,773.62,757.93,777.80,776.69,-20.51,-792.48,660.16,0.95,1.33,-0.88,-323.64
632,798.18,773.26,757.77,777.38,776.65,-34.67,-786.13,647.95,2.99,-0.49,-0.60,-321.22
670,798.84,772.98,757.77,777.04,776.66,-33.20,-780.27,656.74,0.25,0.81,-1.59,-316.16
705,797.93,772.75,757.77,777.01,776.36,-26.37,-779.79,654.79,-1.88,-1.76,1.74,-310.81
741,798.50,772.42,757.75,776.89,776.39,-21.48,-792.97,659.67,4.50,1.13,-1.24,-308.80
776,799.04,772.21,757.73,776.76,776.43,-43.95,-786.62,651.37,-0.54,-3.27,-2.00,-307.65
811,799.13,772.04,757.62,776.33,776.28,-31.25,-787.11,654.30,-0.23,1.18,-0.80,-303.00
847,799.54,771.82,757.62,775.66,776.16,-38.09,-779.79,653.81,0.26,0.01,-0.40,-292.65
885,799.16,771.81,757.55,775.20,775.93,-16.60,-774.41,658.69,-3.79,4.53,-1.25,-286.36
920,799.48,771.51,757.47,774.64,775.77,-27.83,-796.87,645.51,-0.93,0.72,1.23,-278.68
955,799.58,771.03,757.46,774.26,775.58,-38.57,-778.81,656.74,1.75,-1.03,-2.70,-269.91
991,799.40,770.81,757.41,773.81,775.36,-34.18,-790.53,659.18,-1.46,1.98,-2.66,-262.13
1026,799.19,770.66,757.38,773.75,775.25,-38.09,-790.53,643.55,-1.40,-1.69,0.15,-260.21
1063,799.00,770.56,757.42,773.57,775.14,-25.39,-789.55,677.73,2.01,1.81,1.13,-255.14
1099,798.61,770.71,757.39,772.90,774.90,-28.81,-795.90,655.76,-3.31,1.75,-3.67,-245.79
1134,799.29,770.43,757.35,772.42,774.87,-48.34,-797.85,641.60,-2.17,0.07,-2.00,-239.88
1170,798.71,770.37,757.30,772.02,774.60,-31.25,-784.67,659.18,-3.67,0.57,-0.66,-232.57
1205,797.82,770.66,757.30,772.01,774.45,-39.06,-802.73,667.48,-2.45,2.28,0.09,-231.86
1240,797.09,770.91,757.31,772.08,774.35,-37.60,-787.60,655.27,-2.42,-0.35,-2.32,-232.21
1278,795.17,771.36,757.41,772.09,774.01,-27.83,-789.55,645.51,-0.30,0.15,0.36,-226.81
1314,793.83,771.48,757.40,771.87,773.64,-43.46,-806.64,642.58,-1.50,1.24,-1.18,-220.12
1349,794.57,771.75,757.37,772.04,773.93,-28.32,-793.46,641.60,-0.69,0.07,-0.32,-228.05
1384,793.34,771.93,757.45,772.24,773.74,-41.99,-803.71,625.00,-0.34,-2.17,-1.60,-226.25
1420,792.39,771.92,757.37,772.35,773.51,-30.76,-809.08,641.60,0.83,1.46,-0.71,-226.47
1455,792.49,771.73,757.49,772.62,773.58,-45.90,-776.86,650.39,2.60,-3.56,-3.57,-226.37
1493,792.77,771.73,757.45,772.47,773.60,-29.79,-803.71,652.34,-0.66,-0.40,-1.46,-226.16
1528,792.77,771.72,757.40,772.73,773.65,-41.02,-781.74,657.71,-0.03,0.48,-5.05,-230.93
1563,793.32,772.12,757.47,772.38,773.82,-23.93,-779.79,669.43,0.15,3.76,-3.23,-229.17
1599,794.24,772.33,757.36,771.90,773.96,-41.02,-804.20,645.51,-7.86,4.37,2.42,-229.77
1635,795.51,772.94,757.46,771.96,774.47,-36.62,-781.74,633.79,0.62,4.50,0.21,-237.41
1670,796.78,773.22,757.48,771.35,774.71,-41.99,-786.13,659.18,-5.31,4.19,-1.14,-234.64
1708,797.13,773.56,757.26,770.40,774.59,-43.95,-810.06,618.65,-9.60,5.42,-0.11,-230.13
1744,800.66,773.16,757.03,768.84,774.92,-35.64,-802.73,648.93,-5.63,9.15,-1.36,-221.79
