currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
13162,798.57,769.77,755.54,762.63,771.63,-244.14,-748.05,460.94,114.61,-39.19,4.6,-133.09,2633,0,4.37544,-9.79598,-63.6968,1405.25,-3975.75,-341.703,-560.399,-22.0277,0,56
13200,811.15,771.9,755.98,765.75,776.19,-32.23,-818.36,705.08,-0.86,-12.73,0.8,-228.21,2641,0,27.4493,-15.2969,-267.821,15197.9,-19175.4,738.782,-569.569,-56.6518,0,56
13236,819.35,773.68,756.22,766.81,779.01,-27.83,-748.05,687.99,-2.1,1.24,-2.31,-280.38,2648,0,41.3485,-5.11797,-417.146,25203.2,-31639.5,1028.83,-573.848,-60.4199,0,56
13271,820.98,774.18,756.17,766.33,779.42,-52.73,-754.39,696.78,-4.55,2.24,-0.84,-284.06,2655,0,54.4086,11.9243,-490.734,26876.2,-37339.2,314.524,-574.088,-54.7688,0,56
13306,819.56,774.22,756.21,766.42,779.1,-63.96,-780.76,656.25,-4.66,0.1,-0.03,-279.86,2662,0,57.5665,9.59617,-524.548,28152.4,-39858.7,51.1152,-573.987,-53.6698,0,56
13342,816.59,773.52,756.23,766.4,778.18,-45.41,-773.93,671.87,-0.74,-2.44,-1.85,-263.43,2669,0,57.0942,2.82177,-510.88,27765,-38546.4,440.447,-573.451,-54.3473,0,56
13377,815.34,772.72,756.17,766.71,777.74,-44.43,-748.05,703.12,2.29,-3.03,2.82,-258.6,2676,0,51.3,2.64863,-484.165,25503.3,-36379.8,229.324,-573.139,-52.6748,0,56
13415,815.79,773.33,756.24,767.26,778.16,-53.71,-756.35,684.08,-0.37,-0.12,0.57,-271.33,2684,0,41.8799,0.177849,-460.305,23852.2,-35373.7,-86.5086,-574.849,-51.8183,0,56
13451,814.16,773.85,756.31,768.42,778.18,-52.73,-773.44,673.34,-1.13,-1.52,-1.77,-285.24,2691,0,39.2042,-1.673,-467.089,24461.4,-36144.3,100.548,-575.382,-52.3698,0,56
13486,814.35,774.08,756.4,768.87,778.42,-37.11,-751.95,694.34,3.45,-0.11,0.05,-292.24,2698,0,39.863,1.38703,-469.144,23285.8,-36032.3,-185.252,-574.804,-49.6346,0,56
13521,814.24,774.41,756.47,769.37,778.62,-47.85,-759.77,681.64,0.32,-4.47,-4.31,-300.03,2705,0,36.7146,5.51978,-474.921,21899.5,-36632.4,-556.474,-575.134,-46.112,0,56
13556,812.95,774.74,756.49,769.83,778.5,-39.06,-766.6,673.83,-1.16,-1.05,-1.4,-304.43,2712,0,35.0059,4.5096,-487.196,22618.1,-37819,-572.51,-575.626,-46.425,0,56
13592,812.04,774.75,756.58,769.72,778.27,-37.11,-760.25,691.41,-1.03,1.22,-3.42,-297.7,2719,0,35.0391,6.7017,-485.524,21709.1,-37665.1,-814.242,-575.576,-44.7127,0,56
13630,812.77,774.42,756.53,769.1,778.21,-39.06,-764.16,675.78,-0.41,5.15,-1.88,-289.54,2727,0,32.2165,8.33575,-480.714,20387.5,-37325.5,-1288.21,-575.646,-42.4108,0,56
13665,813.12,773.77,756.44,768.12,777.86,-40.53,-760.74,682.13,-2.82,1.89,-1.8,-273.4,2734,0,30.1831,8.45001,-479.624,20513.5,-37407.7,-1566.59,-575.994,-42.7698,0,56
13700,813.77,773.15,756.35,766.98,777.56,-46.88,-762.21,688.48,-1.33,3.62,-2.22,-256.21,2741,0,27.7004,6.45608,-474.721,21492.1,-37188.6,-1730.06,-576.338,-45.2732,0,56
13735,814.18,772.58,756.21,765.78,777.19,-43.46,-767.09,668.95,-2.61,2.5,-2.65,-238.77,2748,0,24.4546,5.55586,-464.217,22353.7,-36670,-2038.53,-576.993,-48.1536,0,56
13770,815.68,771.87,756.16,765.02,777.18,-38.57,-758.3,673.83,1.05,0.54,0.4,-228.37,2755,0,22.1979,3.65678,-451.401,23351.5,-35475.9,-2080.41,-576.59,-51.7319,0,56
13805,815.94,771.14,756.19,765.05,777.08,-49.32,-778.81,665.04,1.73,-1.16,1.51,-223.01,2762,0,20.5243,-2.36128,-441.061,24430.4,-34717.6,-1969.69,-576.714,-55.39,0,56
13843,814.39,770.37,756.2,765.12,776.52,-45.9,-760.74,670.9,1.18,-1.31,0.31,-212.28,2770,0,19.7255,-3.52328,-438.58,25871.7,-34764.1,-1809.74,-577.265,-58.9897,0,56
13878,813,769.89,756.11,764.89,775.97,-40.04,-773.44,673.34,-0.11,-1.97,1.23,-202.47,2777,0,18.8621,2.37676,-434.343,25061.7,-34807.5,-2221.9,-578.138,-57.7003,0,56
13914,812.75,769.45,756.13,764.34,775.67,-42.97,-753.91,682.62,2.78,1.19,0.27,-189.74,2784,0,16.6567,4.63906,-428.143,24122.2,-34789.3,-2734.94,-579.256,-56.3414,0,56
13950,812.62,769.12,756.04,763.84,775.41,-53.71,-780.76,674.8,0.71,2.24,-0.85,-181.4,2791,0,16.0057,4.34307,-420.639,23989.6,-34517.8,-2769.12,-580.06,-57.0314,0,56
