currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,801.66,772.33,763.26,770.69,776.98,-15.14,-828.61,635.74,-2.06,-0.73,-0.12,-90.64
62,801.94,772.30,763.17,770.90,777.08,-30.27,-797.85,644.53,1.41,0.82,-1.07,-96.36
98,801.86,772.43,763.23,770.97,777.12,-30.76,-809.57,644.53,1.27,2.37,-0.50,-97.03
133,802.05,772.52,763.20,771.04,777.20,-22.46,-818.36,629.88,1.90,1.96,-1.56,-100.10
169,802.15,772.77,763.23,771.03,777.30,-13.67,-806.15,623.05,-1.68,2.52,-0.34,-101.31
204,802.46,772.79,763.22,771.11,777.39,-30.27,-816.89,610.35,1.50,1.26,-0.51,-104.19
244,803.04,773.14,763.28,771.27,777.68,-37.60,-800.78,635.25,0.83,0.35,0.82,-109.78
279,803.50,773.44,763.36,771.47,777.94,-29.30,-800.29,605.96,-2.31,0.38,-0.64,-114.80
314,804.18,773.57,763.32,771.43,778.12,-37.11,-797.85,625.49,-1.43,0.95,-1.36,-118.48
349,804.82,773.76,763.28,771.31,778.29,-25.88,-805.18,634.77,-2.69,0.51,0.85,-121.48
385,805.24,773.73,763.23,771.22,778.36,-45.90,-822.75,620.61,-2.20,2.32,-0.40,-122.52
420,805.32,773.69,763.22,771.32,778.38,-44.43,-803.71,613.28,-3.48,1.17,1.62,-124.16
458,804.98,774.29,763.26,771.52,778.51,-30.76,-822.27,620.12,-2.56,-0.56,-1.31,-129.82
493,804.56,774.58,763.24,771.31,778.42,-38.09,-809.57,617.19,-3.95,0.77,-1.11,-128.03
528,804.88,774.83,763.17,770.92,778.45,-42.97,-801.27,622.56,-3.89,1.89,0.22,-127.10
563,806.21,774.79,763.07,769.60,778.42,-35.16,-822.75,606.45,-5.38,0.40,0.70,-114.55
598,807.83,774.46,762.94,768.16,778.35,-37.60,-815.92,670.41,-4.17,2.19,1.81,-99.50
633,810.32,774.16,762.70,766.35,778.38,-25.88,-809.57,604.49,-13.61,5.51,-1.39,-84.98
671,811.88,773.30,762.36,764.75,778.07,-42.48,-836.91,584.47,-24.56,2.27,-0.07,-68.27
706,810.77,772.40,762.23,764.05,777.36,-36.62,-887.21,568.36,-20.10,3.46,-0.32,-50.37
741,809.84,771.17,762.11,763.60,776.68,-90.82,-841.80,553.71,-15.58,4.55,-0.12,-33.64
776,809.21,770.30,761.96,763.38,776.21,-53.71,-848.14,539.06,-1.62,-4.66,2.37,-24.88
811,810.08,769.55,762.02,763.32,776.24,-94.73,-818.36,581.54,-0.24,1.81,3.92,-19.41
846,810.84,769.05,761.96,763.17,776.25,-33.69,-802.25,636.72,-0.94,-0.79,0.35,-17.27
884,809.74,768.14,762.05,762.94,775.72,-0.98,-864.75,601.56,3.30,-0.47,4.50,-0.62
919,811.81,768.21,762.12,762.94,776.27,34.18,-864.26,592.29,16.15,-3.79,-3.16,-6.60
954,812.86,768.01,761.98,762.92,776.44,-53.71,-849.12,571.29,-2.31,2.37,-0.59,-11.84
990,811.98,768.15,761.97,763.05,776.29,-81.54,-847.66,568.36,-0.13,4.97,-2.30,-12.08
1025,812.91,768.79,762.11,763.29,776.77,-69.34,-851.56,546.39,6.39,-0.29,-2.89,-20.43
1061,814.27,768.55,762.15,763.27,777.06,-27.34,-795.90,621.58,-0.50,-2.57,4.72,-21.86
1098,816.98,768.85,762.08,763.29,777.80,-49.32,-822.27,596.19,3.35,-1.76,-0.76,-35.61
1134,814.97,768.74,762.07,763.48,777.32,-70.31,-811.52,600.59,1.09,1.70,-0.76,-30.95
1169,818.55,769.60,762.16,763.51,778.45,-5.37,-820.80,628.42,7.64,-0.20,-8.21,-48.25
1204,819.94,769.68,762.12,763.31,778.77,-21.48,-818.85,618.65,-4.27,5.21,-1.48,-51.68
1240,820.70,770.22,762.15,763.38,779.11,-68.36,-832.03,520.51,4.39,3.47,-0.67,-59.01
1278,824.24,770.20,762.10,763.02,779.89,-28.32,-857.42,600.10,-5.33,3.96,1.75,-66.96
1313,823.93,769.92,761.97,762.80,779.65,-60.06,-837.89,580.57,-1.76,6.56,-1.15,-63.60
