currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
22,0,0,0,0,0,-93.75,-825.68,618.65,-8.27,-12.47,2.98,4,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,-147.46,-1017.09,264.16,12.27,-16.34,-2.05,11,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,-28.81,-864.75,615.72,-7.39,6.64,-0.26,17,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,-18.07,-838.38,572.27,1.39,0.05,-1.24,23,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,-32.71,-863.77,542.97,1.64,0.23,-3.01,30,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,-26.86,-862.79,541.02,1.18,-1.28,-1.44,36,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,-19.53,-858.4,547.85,-0.31,-1.45,0.17,42,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,-17.09,-851.07,564.94,0.08,1.18,-0.03,48,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,-16.6,-884.77,549.32,-0.9,0.93,-3.08,54,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,-46.88,-854.49,557.13,-2.09,1.44,0.15,60,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,-19.04,-848.63,562.5,-2.66,-0.5,0.64,67,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,-33.2,-867.68,553.71,-1,0.7,-2.12,73,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,-32.71,-870.61,550.78,-1.76,1.34,0.66,79,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,-22.95,-868.16,547.36,-0.85,0.65,-1.56,85,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,-32.71,-865.23,549.8,-1.13,2.92,1.2,91,0,0,0,0,0,0,0,0,0,0
488,0,0,0,0,0,-29.79,-867.68,540.04,-0.06,-2.17,-0.78,98,0,0,0,0,0,0,0,0,0,0
519,0,0,0,0,0,-30.27,-865.23,552.73,-2.02,1.59,-0.54,104,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,-20.51,-857.42,540.53,-1.11,0.44,-1.44,110,0,0,0,0,0,0,0,0,0,0
581,0,0,0,0,0,-39.55,-853.52,553.22,-2.32,-0.76,-3.13,116,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,-21.97,-881.84,549.32,-1.05,-0.08,-1.86,122,0,0,0,0,0,0,0,0,0,0
643,0,0,0,0,0,-16.11,-861.33,555.18,1.57,1.3,-0.8,129,0,0,0,0,0,0,0,0,0,0
674,0,0,0,0,0,-17.09,-872.07,566.89,0.7,-0.94,-1.21,135,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,-18.55,-864.75,548.34,0.01,-2.31,-0.66,141,0,0,0,0,0,0,0,0,0,0
735,0,0,0,0,0,-12.21,-870.12,559.08,2.63,-1.84,-1.64,147,0,0,0,0,0,0,0,0,0,0
767,0,0,0,0,0,-24.9,-862.79,551.76,0.75,-1.45,0.73,153,0,0,0,0,0,0,0,0,0,0
798,0,0,0,0,0,-34.67,-868.65,546.87,2.5,1.05,1.49,160,0,0,0,0,0,0,0,0,0,0
