currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,0,0,0,0,0,-93.75,-825.68,618.65,-8.27,-12.47,2.98
53,0,0,0,0,0,-147.46,-1017.09,264.16,12.27,-16.34,-2.05
84,0,0,0,0,0,-28.81,-864.75,615.72,-7.39,6.64,-0.26
114,0,0,0,0,0,-18.07,-838.38,572.27,1.39,0.05,-1.24
148,0,0,0,0,0,-32.71,-863.77,542.97,1.64,0.23,-3.01
179,0,0,0,0,0,-26.86,-862.79,541.02,1.18,-1.28,-1.44
209,0,0,0,0,0,-19.53,-858.4,547.85,-0.31,-1.45,0.17
240,0,0,0,0,0,-17.09,-851.07,564.94,0.08,1.18,-0.03
271,0,0,0,0,0,-16.6,-884.77,549.32,-0.9,0.93,-3.08
302,0,0,0,0,0,-46.88,-854.49,557.13,-2.09,1.44,0.15
333,0,0,0,0,0,-19.04,-848.63,562.5,-2.66,-0.5,0.64
364,0,0,0,0,0,-33.2,-867.68,553.71,-1,0.7,-2.12
395,0,0,0,0,0,-32.71,-870.61,550.78,-1.76,1.34,0.66
426,0,0,0,0,0,-22.95,-868.16,547.36,-0.85,0.65,-1.56
457,0,0,0,0,0,-32.71,-865.23,549.8,-1.13,2.92,1.2
488,0,0,0,0,0,-29.79,-867.68,540.04,-0.06,-2.17,-0.78
519,0,0,0,0,0,-30.27,-865.23,552.73,-2.02,1.59,-0.54
550,0,0,0,0,0,-20.51,-857.42,540.53,-1.11,0.44,-1.44
581,0,0,0,0,0,-39.55,-853.52,553.22,-2.32,-0.76,-3.13
612,0,0,0,0,0,-21.97,-881.84,549.32,-1.05,-0.08,-1.86
643,0,0,0,0,0,-16.11,-861.33,555.18,1.57,1.3,-0.8
674,0,0,0,0,0,-17.09,-872.07,566.89,0.7,-0.94,-1.21
704,0,0,0,0,0,-18.55,-864.75,548.34,0.01,-2.31,-0.66
735,0,0,0,0,0,-12.21,-870.12,559.08,2.63,-1.84,-1.64
767,0,0,0,0,0,-24.9,-862.79,551.76,0.75,-1.45,0.73
798,0,0,0,0,0,-34.67,-868.65,546.87,2.5,1.05,1.49
828,0,0,0,0,0,-19.04,-872.07,552.25,3.11,-2.73,1.9
859,0,0,0,0,0,-23.44,-872.56,548.83,-0.31,-1.52,-0.37
891,0,0,0,0,0,-25.88,-860.35,543.95,1.62,-0.79,-1.05
921,0,0,0,0,0,-26.37,-866.7,545.41,-0.82,3.34,-3.28
952,0,0,0,0,0,-28.32,-860.35,559.57,-2.45,2.1,-1.78
983,0,0,0,0,0,-52.73,-871.09,577.15,0.17,-2.27,0.51
1014,0,0,0,0,0,-21,-864.75,560.06,-5.27,3.84,-1.92
1045,0,0,0,0,0,-41.99,-856.93,559.57,-1.66,2.34,1.08
1076,0,0,0,0,0,-27.34,-865.72,549.32,0.2,-1.62,-0.52
1107,0,0,0,0,0,-27.34,-878.91,539.06,-0.38,-1.01,2.15
1138,0,0,0,0,0,-30.76,-867.68,557.13,2.09,0.49,2.47
1169,0,0,0,0,0,-29.79,-864.75,544.43,2.53,-2.35,0.25
1200,0,0,0,0,0,-23.93,-860.35,537.6,1.27,2.66,-1.98
1231,0,0,0,0,0,-30.76,-866.7,571.29,0.37,-1.07,-2.24
1262,0,0,0,0,0,-15.14,-858.89,572.27,-0.28,0.12,0.85
1293,0,0,0,0,0,-28.32,-857.42,561.52,3.26,0.16,2.23
1324,0,0,0,0,0,-29.79,-865.23,567.87,0.54,1.49,-0.66
1355,0,0,0,0,0,-34.67,-861.82,563.96,0,2.02,1.34
1386,0,0,0,0,0,-38.09,-871.09,553.22,-0.05,1.96,-0.69
1417,0,0,0,0,0,-22.46,-868.16,551.27,0.51,1.72,0.72
1448,0,0,0,0,0,-11.72,-869.14,563.96,-0.73,0.6,-2.24
1479,0,0,0,0,0,-21,-860.35,551.27,1.22,-1.32,0.69
1510,0,0,0,0,0,-25.88,-864.26,553.22,0.6,-0.33,-2.45
1540,0,0,0,0,0,-14.16,-853.03,568.85,2.56,0.21,-0.22
1571,0,0,0,0,0,-23.44,-854.49,558.59,1.06,0.25,-1.48
1601,0,0,0,0,0,-32.23,-867.68,562.01,4.33,-1.31,-1.01
1631,0,0,0,0,0,-35.64,-852.05,577.64,5.82,-1.32,-2.18
1662,0,0,0,0,0,-20.51,-862.3,571.29,1.08,1.18,0.63
1692,0,0,0,0,0,-20.02,-856.45,576.66,2.34,-2.69,-2.49
1723,0,0,0,0,0,-27.34,-857.42,562.01,1.24,-0.05,0.32
1754,0,0,0,0,0,-27.34,-855.47,564.94,-1.29,-0.53,-0.4
1785,0,0,0,0,0,-23.44,-842.29,580.08,-0.05,0.5,-2.18
1815,0,0,0,0,0,-31.25,-863.28,564.94,0.96,-0.4,-1.21
1846,0,0,0,0,0,-28.32,-862.79,555.18,2.34,-1.73,-1.67
1877,0,0,0,0,0,-24.9,-851.56,548.34,5.29,-3.66,0.67
1907,0,0,0,0,0,-17.09,-852.54,569.82,6.8,-6.13,-0.76
1938,0,0,0,0,0,-17.09,-847.17,579.59,2.62,-1.31,-0.15
1969,0,0,0,0,0,-13.67,-839.84,572.75,3.66,-2.46,0.56
2000,0,0,0,0,0,-16.6,-830.57,587.89,2.85,-3.74,0.98
2031,0,0,0,0,0,-14.16,-837.4,573.24,0.41,-1.13,3.14
2062,0,0,0,0,0,-10.74,-845.7,586.91,-0.65,-2.82,-2.92
2093,0,0,0,0,0,-21.48,-842.29,581.54,-1.13,-0.35,2.98
2124,0,0,0,0,0,-17.09,-845.21,576.17,0.34,2.91,-0.27
2155,0,0,0,0,0,-9.77,-852.05,588.38,-2.05,1.13,-1.72
