currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,14.75,14.81,14.63,14.70,14.73,-93.75,-825.68,618.65,-8.27,-12.47,2.98
53,14.75,14.81,14.63,14.71,14.73,-147.46,-1017.09,264.16,12.27,-16.34,-2.05
84,14.75,14.81,14.63,14.71,14.73,-28.81,-864.75,615.72,-7.39,6.64,-0.26
114,14.75,14.81,14.63,14.71,14.73,-18.07,-838.38,572.27,1.39,0.05,-1.24
148,14.75,14.82,14.63,14.71,14.73,-32.71,-863.77,542.97,1.64,0.23,-3.01
179,14.75,14.82,14.63,14.71,14.73,-26.86,-862.79,541.02,1.18,-1.28,-1.44
209,14.75,14.82,14.63,14.71,14.73,-19.53,-858.40,547.85,-0.31,-1.45,0.17
240,14.75,14.82,14.63,14.71,14.73,-17.09,-851.07,564.94,0.08,1.18,-0.03
271,14.75,14.82,14.63,14.71,14.73,-16.60,-884.77,549.32,-0.90,0.93,-3.08
302,14.75,14.82,14.63,14.71,14.73,-46.88,-854.49,557.13,-2.09,1.44,0.15
333,14.75,14.82,14.63,14.71,14.73,-19.04,-848.63,562.50,-2.66,-0.50,0.64
364,14.75,14.82,14.63,14.71,14.73,-33.20,-867.68,553.71,-1.00,0.70,-2.12
395,14.75,14.81,14.63,14.71,14.73,-32.71,-870.61,550.78,-1.76,1.34,0.66
426,14.75,14.82,14.63,14.71,14.73,-22.95,-868.16,547.36,-0.85,0.65,-1.56
457,14.75,14.82,14.63,14.71,14.73,-32.71,-865.23,549.80,-1.13,2.92,1.20
488,14.75,14.82,14.63,14.71,14.73,-29.79,-867.68,540.04,-0.06,-2.17,-0.78
519,14.74,14.82,14.63,14.71,14.73,-30.27,-865.23,552.73,-2.02,1.59,-0.54
550,14.74,14.82,14.63,14.71,14.73,-20.51,-857.42,540.53,-1.11,0.44,-1.44
581,14.74,14.82,14.63,14.71,14.72,-39.55,-853.52,553.22,-2.32,-0.76,-3.13
612,14.74,14.82,14.63,14.71,14.72,-21.97,-881.84,549.32,-1.05,-0.08,-1.86
643,14.74,14.82,14.63,14.71,14.72,-16.11,-861.33,555.18,1.57,1.30,-0.80
674,14.74,14.82,14.63,14.71,14.72,-17.09,-872.07,566.89,0.70,-0.94,-1.21
704,14.74,14.82,14.63,14.71,14.72,-18.55,-864.75,548.34,0.01,-2.31,-0.66
735,14.74,14.82,14.63,14.71,14.73,-12.21,-870.12,559.08,2.63,-1.84,-1.64
767,14.74,14.82,14.63,14.71,14.73,-24.90,-862.79,551.76,0.75,-1.45,0.73
798,14.74,14.82,14.63,14.72,14.73,-34.67,-868.65,546.87,2.50,1.05,1.49
828,14.74,14.82,14.63,14.72,14.73,-19.04,-872.07,552.25,3.11,-2.73,1.90
859,14.74,14.82,14.63,14.72,14.73,-23.44,-872.56,548.83,-0.31,-1.52,-0.37
891,14.75,14.82,14.63,14.72,14.73,-25.88,-860.35,543.95,1.62,-0.79,-1.05
921,14.75,14.81,14.63,14.72,14.73,-26.37,-866.70,545.41,-0.82,3.34,-3.28
952,14.75,14.81,14.63,14.72,14.73,-28.32,-860.35,559.57,-2.45,2.10,-1.78
983,14.75,14.81,14.63,14.71,14.73,-52.73,-871.09,577.15,0.17,-2.27,0.51
1014,14.75,14.81,14.63,14.71,14.73,-21.00,-864.75,560.06,-5.27,3.84,-1.92
1045,14.74,14.82,14.63,14.71,14.73,-41.99,-856.93,559.57,-1.66,2.34,1.08
1076,14.74,14.82,14.63,14.71,14.73,-27.34,-865.72,549.32,0.20,-1.62,-0.52
1107,14.74,14.82,14.63,14.71,14.72,-27.34,-878.91,539.06,-0.38,-1.01,2.15
1138,14.74,14.81,14.63,14.72,14.73,-30.76,-867.68,557.13,2.09,0.49,2.47
1169,14.74,14.82,14.63,14.72,14.73,-29.79,-864.75,544.43,2.53,-2.35,0.25
1200,14.74,14.81,14.63,14.72,14.73,-23.93,-860.35,537.60,1.27,2.66,-1.98
1231,14.74,14.82,14.63,14.72,14.73,-30.76,-866.70,571.29,0.37,-1.07,-2.24
1262,14.74,14.81,14.63,14.73,14.73,-15.14,-858.89,572.27,-0.28,0.12,0.85
1293,14.74,14.81,14.64,14.73,14.73,-28.32,-857.42,561.52,3.26,0.16,2.23
1324,14.74,14.81,14.64,14.73,14.73,-29.79,-865.23,567.87,0.54,1.49,-0.66
1355,14.74,14.81,14.64,14.73,14.73,-34.67,-861.82,563.96,0.00,2.02,1.34
1386,14.74,14.81,14.64,14.73,14.73,-38.09,-871.09,553.22,-0.05,1.96,-0.69
1417,14.74,14.82,14.64,14.73,14.73,-22.46,-868.16,551.27,0.51,1.72,0.72
1448,14.74,14.81,14.64,14.73,14.73,-11.72,-869.14,563.96,-0.73,0.60,-2.24
1479,14.73,14.82,14.64,14.73,14.73,-21.00,-860.35,551.27,1.22,-1.32,0.69
1510,14.73,14.82,14.64,14.73,14.73,-25.88,-864.26,553.22,0.60,-0.33,-2.45
1540,14.73,14.81,14.64,14.74,14.73,-14.16,-853.03,568.85,2.56,0.21,-0.22
1571,14.73,14.82,14.64,14.74,14.73,-23.44,-854.49,558.59,1.06,0.25,-1.48
1601,14.73,14.81,14.64,14.74,14.73,-32.23,-867.68,562.01,4.33,-1.31,-1.01
1631,14.73,14.81,14.64,14.74,14.73,-35.64,-852.05,577.64,5.82,-1.32,-2.18
1662,14.73,14.81,14.64,14.74,14.73,-20.51,-862.30,571.29,1.08,1.18,0.63
1692,14.73,14.81,14.64,14.74,14.73,-20.02,-856.45,576.66,2.34,-2.69,-2.49
1723,14.73,14.81,14.64,14.75,14.73,-27.34,-857.42,562.01,1.24,-0.05,0.32
1754,14.73,14.81,14.64,14.75,14.73,-27.34,-855.47,564.94,-1.29,-0.53,-0.40
1785,14.74,14.81,14.64,14.75,14.74,-23.44,-842.29,580.08,-0.05,0.50,-2.18
1815,14.74,14.82,14.64,14.76,14.74,-31.25,-863.28,564.94,0.96,-0.40,-1.21
1846,14.74,14.81,14.64,14.76,14.74,-28.32,-862.79,555.18,2.34,-1.73,-1.67
1877,14.74,14.82,14.65,14.77,14.74,-24.90,-851.56,548.34,5.29,-3.66,0.67
1907,14.74,14.81,14.65,14.78,14.75,-17.09,-852.54,569.82,6.80,-6.13,-0.76
1938,14.74,14.81,14.65,14.78,14.75,-17.09,-847.17,579.59,2.62,-1.31,-0.15
1969,14.74,14.81,14.65,14.79,14.75,-13.67,-839.84,572.75,3.66,-2.46,0.56
2000,14.74,14.81,14.65,14.79,14.75,-16.60,-830.57,587.89,2.85,-3.74,0.98
2031,14.73,14.81,14.65,14.79,14.75,-14.16,-837.40,573.24,0.41,-1.13,3.14
2062,14.72,14.81,14.65,14.79,14.74,-10.74,-845.70,586.91,-0.65,-2.82,-2.92
2093,14.72,14.81,14.65,14.79,14.74,-21.48,-842.29,581.54,-1.13,-0.35,2.98
2124,14.71,14.81,14.65,14.78,14.74,-17.09,-845.21,576.17,0.34,2.91,-0.27
2155,14.70,14.81,14.65,14.78,14.74,-9.77,-852.05,588.38,-2.05,1.13,-1.72
2186,14.70,14.81,14.65,14.77,14.73,-6.35,-851.56,562.01,2.66,0.02,-3.16
2217,14.69,14.81,14.65,14.77,14.73,-6.35,-840.82,565.92,0.62,1.44,-4.21
2248,14.69,14.81,14.65,14.76,14.73,-0.49,-828.61,586.91,-3.32,0.70,-2.14
2279,14.69,14.81,14.65,14.75,14.72,-23.93,-838.38,588.87,-1.47,1.87,1.87
2310,14.69,14.81,14.64,14.74,14.72,-12.70,-857.42,583.98,-0.47,-0.16,-2.02
2341,14.69,14.81,14.64,14.73,14.72,-5.86,-818.85,572.27,0.73,1.79,-2.18
2372,14.69,14.80,14.64,14.72,14.71,9.77,-807.13,598.63,-5.26,2.35,5.78
2403,14.70,14.80,14.63,14.70,14.71,-16.60,-843.75,573.24,-4.67,2.30,6.83
2434,14.71,14.80,14.63,14.70,14.71,-59.08,-885.74,558.59,-9.56,5.17,-0.27
2465,14.70,14.80,14.63,14.69,14.71,-15.14,-840.82,564.94,-1.55,2.65,0.45
2496,14.70,14.80,14.63,14.69,14.70,-21.48,-848.14,557.62,-3.07,0.09,1.60
2527,14.70,14.80,14.63,14.68,14.70,-22.46,-842.29,567.87,-4.09,0.98,0.15
2558,14.70,14.80,14.63,14.68,14.70,-19.53,-850.10,555.18,-6.33,1.95,2.84
2589,14.71,14.79,14.62,14.67,14.70,-27.34,-855.96,566.89,-5.78,4.15,6.16
2620,14.71,14.80,14.63,14.67,14.70,-49.80,-875.98,538.57,-4.80,-0.37,3.37
2651,14.71,14.80,14.62,14.66,14.70,-25.88,-840.33,573.73,-7.02,1.21,3.13
2682,14.71,14.80,14.62,14.65,14.70,-55.66,-870.61,543.95,-12.12,3.57,4.59
2713,14.70,14.80,14.62,14.65,14.69,-41.50,-897.46,539.55,-11.69,0.24,-0.40
2744,14.69,14.80,14.62,14.65,14.69,-205.08,-915.53,474.12,-13.55,-10.66,9.31
2775,14.67,14.80,14.62,14.65,14.68,-257.32,-1110.84,330.57,-1.96,-51.87,26.95
2806,14.65,14.79,14.62,14.65,14.68,-135.74,-823.24,247.07,4.63,-82.24,39.73
2837,14.63,14.79,14.62,14.65,14.67,-29.30,-1006.84,-83.01,-129.34,-15.89,28.82
2868,14.62,14.79,14.62,14.65,14.67,-482.91,-531.25,428.71,-18.57,-30.56,21.83
2899,14.62,14.79,14.62,14.65,14.67,-149.90,-986.82,283.69,-34.79,8.83,25.69
2930,14.62,14.79,14.61,14.65,14.67,-157.71,-1053.71,243.16,-28.03,8.13,33.85
2961,14.62,14.79,14.61,14.65,14.67,-119.14,-981.45,269.53,-27.69,-10.87,30.93
2992,14.62,14.78,14.61,14.65,14.67,-68.85,-927.73,310.06,-23.15,-29.87,20.36
3023,14.61,14.78,14.61,14.65,14.67,-6.35,-1030.27,347.17,-19.50,-39.59,8.53
