currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,14.94,14.68,14.61,14.67,14.73,-368.65,-788.09,480.96,6.59,-23.27,-2.98
53,14.94,14.68,14.61,14.68,14.73,-293.95,-1086.91,201.17,23.77,-9.69,-1.63
84,14.94,14.68,14.61,14.67,14.73,-193.85,-769.04,508.30,21.72,4.30,-2.59
115,14.94,14.68,14.61,14.68,14.73,-242.68,-892.58,434.08,-8.89,7.57,-0.76
145,14.94,14.68,14.61,14.68,14.73,-224.61,-912.60,382.81,0.44,0.03,-2.56
176,14.94,14.68,14.61,14.68,14.73,-240.23,-909.67,413.09,4.24,0.22,-1.54
207,14.94,14.68,14.61,14.68,14.73,-240.72,-908.69,398.44,-0.35,0.63,-0.88
238,14.93,14.68,14.61,14.68,14.72,-240.23,-922.36,400.39,2.03,0.96,-3.05
268,14.93,14.68,14.61,14.67,14.72,-220.21,-899.90,414.55,1.28,2.82,-1.74
299,14.93,14.68,14.61,14.67,14.72,-231.45,-906.74,396.48,-1.98,-2.39,-1.56
330,14.93,14.68,14.61,14.67,14.72,-229.98,-931.64,389.65,3.08,1.83,-3.34
362,14.92,14.68,14.61,14.68,14.72,-243.16,-886.72,404.79,3.18,2.80,0.07
392,14.92,14.68,14.61,14.68,14.72,-239.26,-896.00,417.97,-1.61,-1.55,0.28
423,14.92,14.68,14.61,14.68,14.72,-236.33,-919.43,401.37,-0.99,-0.56,-2.66
454,14.92,14.68,14.61,14.68,14.72,-221.19,-910.16,412.11,1.59,-0.05,-3.40
485,14.93,14.68,14.61,14.68,14.72,-220.21,-903.32,416.99,-7.21,3.35,1.09
516,14.94,14.68,14.61,14.68,14.73,-238.77,-932.62,400.39,-3.99,1.17,-1.82
547,14.94,14.68,14.61,14.68,14.73,-241.21,-918.46,396.48,-2.85,0.95,7.50
578,14.95,14.68,14.61,14.68,14.73,-236.82,-926.76,398.44,-2.27,1.22,1.96
609,14.95,14.68,14.61,14.68,14.73,-233.40,-912.60,399.41,1.86,1.82,1.14
640,14.95,14.68,14.61,14.68,14.73,-224.61,-906.74,393.55,-0.11,-0.72,1.15
671,14.95,14.68,14.61,14.68,14.73,-239.75,-937.99,394.04,-2.69,-0.35,-0.60
702,14.95,14.68,14.61,14.68,14.73,-237.79,-916.50,397.95,-1.21,-0.06,0.78
733,14.95,14.68,14.61,14.68,14.73,-223.63,-912.11,394.53,-3.09,-0.05,-0.95
764,14.95,14.68,14.61,14.68,14.73,-239.26,-915.53,402.34,-1.02,-1.72,-1.64
795,14.94,14.68,14.61,14.68,14.73,-251.46,-905.27,395.51,-2.22,-2.66,-1.14
826,14.94,14.68,14.61,14.68,14.73,-202.15,-941.41,387.21,0.50,2.98,-1.45
857,14.93,14.68,14.61,14.68,14.73,-246.58,-912.60,389.16,-0.21,-1.67,-1.37
888,14.93,14.68,14.61,14.68,14.72,-229.00,-897.95,414.06,-1.00,2.97,0.20
919,14.92,14.68,14.61,14.68,14.72,-225.10,-925.78,376.95,0.67,3.10,-0.37
950,14.91,14.68,14.61,14.68,14.72,-228.52,-927.25,377.93,-1.73,0.05,0.69
981,14.90,14.68,14.61,14.67,14.72,-241.70,-907.71,387.21,0.95,2.26,0.02
1012,14.90,14.68,14.61,14.67,14.71,-226.07,-929.20,394.53,0.99,2.31,0.44
1043,14.89,14.68,14.61,14.67,14.71,-244.63,-911.13,374.02,1.34,-3.13,-0.55
1074,14.88,14.68,14.61,14.67,14.71,-233.89,-922.36,380.86,3.53,-3.72,-0.77
1105,14.87,14.68,14.61,14.67,14.71,-239.26,-916.02,380.37,5.50,-1.61,-0.31
1136,14.86,14.68,14.60,14.67,14.70,-232.42,-922.85,397.46,4.85,-1.35,-0.34
1167,14.85,14.68,14.60,14.67,14.70,-227.54,-905.27,406.74,2.66,-0.75,-1.63
1198,14.84,14.68,14.60,14.66,14.70,-233.40,-924.32,416.99,3.24,1.64,0.13
1229,14.83,14.68,14.60,14.66,14.69,-238.28,-905.27,410.16,4.18,-1.07,-0.95
1260,14.82,14.68,14.60,14.66,14.69,-232.91,-911.62,407.23,5.01,-3.56,-0.65
1291,14.80,14.68,14.60,14.66,14.69,-232.42,-913.57,402.83,4.91,-3.11,-2.99
1322,14.79,14.68,14.60,14.66,14.68,-229.00,-914.06,408.69,6.95,-1.72,-1.47
1353,14.78,14.68,14.60,14.65,14.68,-229.49,-896.97,420.90,5.60,1.69,0.03
1384,14.77,14.68,14.60,14.65,14.67,-220.70,-916.02,416.02,8.22,0.92,0.21
1415,14.76,14.68,14.60,14.65,14.67,-232.42,-905.27,418.95,9.85,1.45,-1.28
1446,14.75,14.68,14.59,14.65,14.67,-239.26,-891.11,432.13,9.87,2.67,-0.71
1477,14.74,14.68,14.59,14.64,14.66,-218.75,-952.64,435.06,10.21,1.14,-0.59
1507,14.72,14.69,14.59,14.64,14.66,-332.52,-902.34,293.95,6.66,12.76,9.35
1538,14.70,14.69,14.59,14.64,14.66,-270.02,-1033.20,282.23,-49.52,-35.60,35.43
1568,14.67,14.69,14.59,14.64,14.65,-127.44,-1129.39,316.41,-40.85,-38.70,47.47
1599,14.63,14.69,14.59,14.64,14.64,342.77,-601.07,371.09,-61.88,-26.48,36.32
1629,14.61,14.69,14.59,14.64,14.63,183.11,-1291.99,367.19,-86.57,55.35,4.04
1660,14.61,14.69,14.59,14.64,14.63,198.73,-1179.69,480.96,-83.53,100.36,-26.28
1691,14.60,14.69,14.59,14.64,14.63,-44.92,-1124.02,537.60,53.39,65.86,-21.61
1721,14.60,14.69,14.59,14.64,14.63,-46.39,-828.61,456.05,62.80,41.52,-37.24
1752,14.60,14.69,14.59,14.64,14.63,-119.14,-956.54,441.89,45.01,16.73,-53.24
1783,14.60,14.69,14.59,14.64,14.63,-130.86,-987.30,453.61,45.31,-7.93,-47.05
1813,14.60,14.69,14.59,14.64,14.63,-60.06,-885.25,412.60,46.04,-20.37,-51.10
1844,14.59,14.69,14.59,14.64,14.63,-93.75,-951.66,403.32,30.75,-7.44,-68.66
1875,14.60,14.69,14.59,14.64,14.63,-135.74,-966.31,364.75,41.10,3.68,-70.28
1905,14.59,14.69,14.59,14.64,14.63,-202.15,-885.25,304.69,47.02,12.44,-72.13
1936,14.59,14.69,14.59,14.64,14.63,-299.80,-942.87,253.42,40.90,6.93,-78.51
1967,14.59,14.69,14.59,14.64,14.63,-282.71,-795.41,207.03,28.92,1.44,-69.81
1998,14.60,14.69,14.59,14.64,14.63,-334.47,-913.09,196.78,-3.99,7.11,-60.98
2029,14.59,14.69,14.59,14.64,14.63,-427.25,-875.00,175.78,-0.39,19.32,-40.03
2060,14.59,14.69,14.59,14.64,14.63,-471.68,-730.47,146.48,-17.00,28.18,-37.36
2091,14.59,14.70,14.59,14.65,14.63,-528.32,-747.56,155.76,-36.11,33.63,-30.94
2122,14.60,14.69,14.59,14.65,14.63,-296.87,-2000.00,1999.94,-85.53,48.92,2.98
2153,14.59,14.69,14.59,14.65,14.63,-2000.00,-2000.00,1942.87,-73.03,90.94,-1.74
2184,14.64,14.70,14.59,14.65,14.65,144.53,-1103.03,1827.15,-51.22,16.84,-14.78
2215,14.60,14.69,14.59,14.65,14.63,35.16,-526.37,660.16,-87.22,69.54,-1.99
2246,14.60,14.69,14.59,14.65,14.63,-201.17,-982.91,369.63,0.95,-12.51,-3.94
2277,14.60,14.69,14.59,14.66,14.64,141.60,-1004.88,569.34,38.89,10.51,-4.15
2308,14.61,14.69,14.59,14.66,14.64,-34.67,-718.75,500.49,45.89,-6.03,-2.20
2339,14.61,14.69,14.59,14.66,14.64,-6.35,-790.53,563.96,-9.15,4.33,-6.77
2370,14.61,14.69,14.60,14.67,14.64,-12.70,-942.87,457.03,7.55,6.05,-3.11
2401,14.60,14.70,14.60,14.67,14.64,-15.63,-913.09,452.15,2.62,8.03,-11.22
2432,14.60,14.70,14.60,14.68,14.64,39.55,-877.93,492.19,17.41,24.62,-18.05
2463,14.61,14.70,14.60,14.68,14.65,-24.41,-845.21,559.08,26.69,31.74,-19.22
2494,14.62,14.70,14.60,14.69,14.65,-48.83,-844.73,593.75,0.99,29.76,-18.08
2525,14.62,14.70,14.60,14.69,14.65,-111.33,-863.28,555.66,7.59,11.78,-7.25
2556,14.63,14.70,14.60,14.68,14.65,-0.98,-630.86,530.27,9.53,-10.31,3.74
2587,14.66,14.70,14.60,14.67,14.66,62.50,-774.41,578.61,-29.33,-2.37,24.39
2618,14.74,14.70,14.60,14.67,14.68,-181.64,-978.03,311.52,8.37,26.78,17.11
2649,14.81,14.70,14.60,14.67,14.70,-113.28,-935.06,496.09,4.36,-10.05,1.95
2680,14.90,14.71,14.60,14.67,14.72,-9.77,-776.86,660.64,11.80,-2.61,-0.35
2711,15.06,14.72,14.60,14.67,14.76,-108.89,-912.11,518.55,7.55,9.47,1.89
2742,15.20,14.72,14.60,14.68,14.80,-45.41,-856.93,583.01,13.05,0.44,-1.37
2773,15.31,14.72,14.60,14.69,14.83,-61.04,-847.17,565.43,12.83,-1.51,-2.63
2804,15.38,14.72,14.60,14.69,14.85,-28.32,-847.17,589.36,4.12,-0.13,-4.74
2835,15.44,14.73,14.60,14.68,14.86,-42.48,-854.49,586.91,-2.57,3.62,-2.05
2866,15.47,14.73,14.60,14.68,14.87,-52.25,-835.94,571.78,-9.59,4.47,-1.85
2897,15.48,14.73,14.60,14.68,14.87,-42.97,-853.52,555.18,-5.18,5.52,-6.49
