currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,14.72,14.77,14.62,14.71,14.70,-242.68,-888.67,652.83,-7.89,-13.70,-0.25
54,14.72,14.77,14.62,14.71,14.71,-56.64,-842.77,491.70,-4.94,-0.89,-1.50
85,14.72,14.77,14.62,14.71,14.70,-133.30,-825.20,743.65,-5.78,-1.89,1.85
115,14.72,14.77,14.62,14.71,14.70,-79.59,-778.32,572.27,0.66,2.43,-1.58
146,14.72,14.77,14.62,14.71,14.70,-44.92,-855.47,502.44,4.89,-2.45,1.50
177,14.72,14.77,14.62,14.71,14.70,-43.46,-833.50,569.34,0.66,2.15,0.31
207,14.72,14.77,14.62,14.71,14.71,-50.29,-868.65,523.44,-0.53,1.18,0.66
238,14.72,14.77,14.62,14.71,14.71,-15.63,-846.68,490.23,-2.40,2.72,0.56
269,14.72,14.77,14.62,14.71,14.71,-36.13,-849.61,560.55,-1.61,-0.50,0.95
300,14.73,14.77,14.62,14.71,14.71,-61.04,-840.82,559.57,3.57,-0.82,-0.27
331,14.73,14.77,14.62,14.71,14.71,-44.43,-851.07,535.64,1.55,0.43,-1.12
362,14.73,14.77,14.62,14.71,14.71,-188.48,-887.70,563.48,-3.80,-2.30,1.29
393,14.73,14.77,14.62,14.71,14.71,-120.61,-881.35,500.00,-5.73,0.12,1.69
424,14.75,14.77,14.62,14.71,14.71,188.96,-2000.00,765.62,-135.98,117.73,-154.44
455,14.75,14.77,14.62,14.71,14.71,-133.79,-1212.89,435.06,-2.57,15.40,-3.47
486,14.74,14.77,14.62,14.71,14.71,-74.22,-831.54,525.39,17.32,-3.67,-3.96
517,14.74,14.77,14.62,14.71,14.71,-44.43,-817.87,565.43,-4.39,5.12,-2.17
547,14.74,14.77,14.62,14.71,14.71,-72.75,-877.93,532.23,-4.16,-0.75,-2.34
578,14.73,14.77,14.62,14.71,14.71,-62.50,-872.07,547.85,1.31,1.73,-4.80
609,14.73,14.77,14.62,14.71,14.71,-43.46,-869.63,538.09,-2.63,0.31,0.75
640,14.72,14.77,14.62,14.70,14.70,-45.90,-875.49,539.55,-2.16,3.04,-0.10
671,14.72,14.77,14.62,14.70,14.70,-50.78,-867.19,559.57,-0.60,2.69,-2.67
702,14.72,14.77,14.62,14.70,14.70,-56.64,-875.00,546.87,-4.11,-1.89,-2.19
733,14.72,14.77,14.62,14.70,14.70,-22.46,-858.40,513.18,-5.24,2.04,-1.43
764,14.71,14.77,14.62,14.70,14.70,-56.15,-877.93,531.25,-0.82,2.27,0.47
795,14.71,14.77,14.62,14.70,14.70,-68.85,-862.30,543.46,-2.66,-4.02,-1.04
826,14.71,14.77,14.62,14.70,14.70,-57.62,-859.86,539.55,-5.05,2.79,-1.57
857,14.70,14.77,14.62,14.69,14.70,-50.78,-870.61,526.37,-0.94,2.71,1.19
888,14.70,14.77,14.62,14.69,14.69,-49.80,-854.98,535.16,-4.21,2.18,-1.77
919,14.70,14.77,14.62,14.69,14.69,-39.55,-856.93,541.02,0.03,-2.59,-2.21
950,14.70,14.77,14.62,14.68,14.69,-49.80,-866.70,541.50,-2.57,2.29,1.27
981,14.70,14.77,14.62,14.68,14.69,-51.27,-883.79,530.76,-2.83,-0.60,0.19
1012,14.70,14.76,14.62,14.68,14.69,-40.04,-871.58,534.67,-3.15,-1.14,-2.40
1043,14.70,14.76,14.61,14.67,14.69,-41.02,-860.35,535.64,-5.88,1.53,1.34
1074,14.70,14.76,14.62,14.66,14.68,-49.80,-856.93,550.29,-12.47,2.12,0.07
1104,14.70,14.76,14.61,14.65,14.68,-70.80,-876.46,525.88,-16.92,6.99,-0.72
1135,14.70,14.76,14.61,14.65,14.68,-56.15,-877.44,535.64,-25.11,6.39,-1.44
1166,14.70,14.76,14.61,14.64,14.68,-26.37,-869.63,526.86,-28.66,12.02,2.22
1197,14.69,14.76,14.61,14.64,14.67,40.04,-959.96,497.07,-50.36,27.66,11.85
1228,14.67,14.76,14.61,14.64,14.67,-42.97,-1014.16,520.51,-55.70,35.06,26.61
1259,14.65,14.75,14.61,14.64,14.66,-27.34,-1037.11,352.05,-3.53,42.37,33.67
1290,14.63,14.75,14.61,14.63,14.66,-189.45,-1046.39,427.73,9.99,63.27,61.02
1321,14.62,14.75,14.61,14.64,14.65,-343.26,-691.89,309.08,5.39,58.11,68.32
1352,14.61,14.75,14.61,14.63,14.65,-380.37,-819.82,135.74,-51.52,67.13,77.77
1383,14.60,14.75,14.61,14.63,14.65,-586.91,-1218.75,202.64,-24.75,57.77,97.85
1414,14.60,14.75,14.61,14.64,14.65,-546.87,-962.40,236.82,11.85,14.85,71.07
1445,14.59,14.75,14.61,14.63,14.65,-561.52,-996.09,213.87,-23.69,-0.69,57.78
1476,14.59,14.75,14.61,14.64,14.65,-593.26,-1028.32,220.70,-31.37,-15.70,69.80
1506,14.59,14.75,14.61,14.63,14.65,-561.52,-866.70,180.66,-36.97,-28.55,75.47
