currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.00,14.83,14.64,14.77,15.10,14.83,-31.25,-819.34,610.84,-0.39,-0.05,-2.71
30.00,14.83,14.64,14.77,15.09,14.83,-36.13,-822.27,614.75,-0.86,-0.60,-3.01
61.00,14.83,14.64,14.77,15.09,14.83,-31.74,-817.87,610.35,-0.16,-0.18,0.22
92.00,14.83,14.64,14.77,15.09,14.83,-19.53,-823.24,620.12,0.50,1.25,-0.02
122.00,14.83,14.64,14.77,15.09,14.83,-41.99,-814.45,626.46,0.15,-0.24,-0.18
153.00,14.83,14.64,14.77,15.08,14.83,-19.53,-824.71,611.33,-2.89,1.45,-2.35
184.00,14.83,14.64,14.77,15.08,14.83,-28.81,-821.78,618.16,-1.06,0.97,-0.92
215.00,14.83,14.64,14.77,15.08,14.83,-41.50,-819.34,620.12,1.01,-0.47,-0.95
245.00,14.83,14.64,14.77,15.08,14.83,-40.04,-813.96,606.45,-0.25,0.49,-0.17
277.00,14.83,14.64,14.77,15.08,14.83,-43.95,-823.73,620.12,1.62,-0.35,0.82
308.00,14.83,14.64,14.77,15.08,14.83,-26.37,-822.75,621.09,0.99,-1.11,0.04
338.00,14.83,14.64,14.77,15.07,14.83,-26.86,-825.20,609.37,0.73,-0.50,-3.19
369.00,14.83,14.64,14.77,15.07,14.83,-32.71,-830.08,611.82,1.50,-0.14,-1.53
400.00,14.84,14.64,14.77,15.07,14.83,-40.53,-835.94,608.40,-0.56,-2.18,1.73
431.00,14.84,14.65,14.77,15.06,14.83,-28.81,-827.64,624.02,0.59,0.80,-0.15
462.00,14.84,14.65,14.77,15.06,14.83,-32.71,-816.41,614.75,0.24,2.18,-2.09
493.00,14.84,14.65,14.77,15.06,14.83,-38.57,-812.01,617.68,0.23,0.24,-2.53
524.00,14.84,14.65,14.77,15.06,14.83,-21.00,-820.80,611.33,0.96,0.68,0.68
555.00,14.85,14.65,14.77,15.05,14.83,-39.55,-826.17,604.00,-0.97,-2.44,1.07
586.00,14.85,14.65,14.77,15.05,14.83,-40.53,-821.29,610.35,-0.69,-1.33,-2.20
617.00,14.85,14.65,14.77,15.05,14.83,-26.37,-821.29,627.44,-0.56,0.82,-1.02
648.00,14.85,14.65,14.77,15.05,14.83,-21.00,-833.01,613.77,0.01,-1.21,1.73
679.00,14.85,14.65,14.77,15.05,14.83,-29.30,-823.73,623.54,0.44,2.02,-1.92
710.00,14.85,14.65,14.77,15.05,14.83,-17.09,-812.99,623.05,1.72,2.27,-2.47
741.00,14.85,14.65,14.77,15.05,14.83,-20.51,-820.31,615.72,-1.68,0.39,-1.35
772.00,14.84,14.65,14.77,15.05,14.83,-17.09,-822.75,619.14,1.24,-1.11,-0.75
803.00,14.85,14.65,14.77,15.05,14.83,-26.37,-823.73,604.98,-1.41,-0.25,0.12
834.00,14.85,14.65,14.77,15.06,14.83,-24.90,-812.99,606.45,1.25,0.70,-1.82
865.00,14.84,14.65,14.77,15.06,14.83,-38.09,-820.31,627.44,-0.27,-1.69,1.31
896.00,14.84,14.65,14.77,15.05,14.83,-38.09,-809.57,612.30,0.22,-1.35,-1.08
927.00,14.85,14.65,14.77,15.06,14.83,-23.93,-831.05,611.82,-1.17,0.34,-2.00
958.00,14.85,14.65,14.77,15.06,14.83,-27.34,-808.11,611.82,2.61,-0.32,1.98
989.00,14.85,14.65,14.77,15.06,14.83,-30.76,-823.24,619.14,1.30,0.40,0.40
1020.00,14.85,14.65,14.77,15.06,14.83,-25.88,-813.96,613.28,-0.15,0.50,1.33
1051.00,14.85,14.65,14.77,15.06,14.83,-23.93,-814.94,605.96,-0.69,-0.15,-2.24
1082.00,14.85,14.65,14.77,15.07,14.83,-28.32,-835.45,608.40,-0.89,0.89,0.63
1113.00,14.85,14.65,14.77,15.07,14.83,-26.86,-823.24,611.33,-3.14,-0.42,-0.08
1144.00,14.85,14.65,14.77,15.07,14.83,-28.32,-824.71,604.49,0.29,0.48,-0.37
1175.00,14.85,14.65,14.77,15.07,14.83,-22.46,-815.92,614.75,-0.44,0.34,-2.10
1206.00,14.85,14.65,14.77,15.07,14.83,-24.90,-826.17,614.26,0.05,0.39,-1.61
1237.00,14.85,14.65,14.77,15.07,14.83,-23.44,-817.87,618.65,0.86,-1.21,-0.97
1268.00,14.85,14.65,14.77,15.07,14.83,-32.23,-823.24,613.28,1.55,1.05,1.69
1299.00,14.85,14.65,14.77,15.07,14.83,-21.48,-827.64,609.86,-0.64,2.49,-1.12
1330.00,14.85,14.65,14.77,15.06,14.83,-29.79,-825.68,606.93,-1.56,-0.03,-1.18
1360.00,14.85,14.65,14.77,15.06,14.83,-12.21,-819.82,625.49,-1.73,1.17,0.15
1392.00,14.85,14.65,14.77,15.06,14.83,-30.76,-821.78,621.58,-1.95,-0.89,0.11
1422.00,14.85,14.65,14.77,15.06,14.83,-33.20,-833.50,609.37,-0.76,1.80,1.19
1452.00,14.85,14.65,14.77,15.06,14.83,-30.76,-823.73,639.16,-0.05,0.06,-1.34
1483.00,14.85,14.65,14.77,15.06,14.83,-25.88,-817.87,602.05,0.53,-0.34,-2.29
1513.00,14.85,14.65,14.77,15.06,14.83,-27.83,-821.78,613.77,-0.77,3.12,-1.15
1544.00,14.85,14.65,14.77,15.06,14.83,-22.46,-826.66,619.14,-0.61,2.35,-1.46
1574.00,14.85,14.65,14.77,15.06,14.83,-30.27,-823.24,604.98,0.35,0.69,-2.18
1604.00,14.85,14.65,14.77,15.06,14.83,-32.71,-816.89,615.72,0.36,-0.36,0.18
1636.00,14.85,14.65,14.77,15.06,14.83,-29.30,-815.43,613.28,0.12,0.34,-1.25
1666.00,14.85,14.65,14.77,15.07,14.83,-37.60,-823.73,612.79,-1.06,-0.82,0.53
1697.00,14.85,14.65,14.77,15.07,14.83,-22.46,-833.50,612.30,-0.33,0.27,0.24
1728.00,14.85,14.65,14.77,15.06,14.83,-42.48,-805.18,604.49,-0.22,2.57,-1.34
1758.00,14.85,14.65,14.77,15.06,14.83,-36.62,-819.82,614.26,0.70,0.31,1.15
1789.00,14.85,14.65,14.77,15.07,14.83,-33.69,-821.78,618.16,0.15,-1.76,-0.37
1819.00,14.85,14.65,14.77,15.06,14.83,-20.51,-825.68,608.40,-1.05,0.37,-0.97
1850.00,14.85,14.65,14.77,15.07,14.83,-26.86,-824.22,608.40,-2.48,0.80,-3.01
1881.00,14.85,14.65,14.77,15.07,14.83,-25.88,-819.34,615.72,-0.85,2.54,-0.69
1912.00,14.85,14.65,14.77,15.07,14.83,-29.79,-831.54,611.82,0.65,-0.79,0.31
1943.00,14.85,14.65,14.77,15.07,14.83,-21.00,-834.47,620.12,-0.74,0.97,-0.76
1974.00,14.85,14.65,14.77,15.07,14.83,-31.74,-824.71,614.75,-0.13,1.50,-1.25
2005.00,14.85,14.65,14.77,15.07,14.83,-38.57,-824.71,610.84,-0.21,1.04,0.17
2036.00,14.85,14.65,14.77,15.07,14.83,-22.46,-825.68,607.91,1.53,1.02,0.73
2067.00,14.85,14.65,14.77,15.07,14.83,-25.39,-813.48,616.70,0.71,-0.26,0.05
2098.00,14.85,14.65,14.77,15.07,14.83,-25.39,-815.92,618.65,-0.79,0.15,-1.89
2129.00,14.84,14.65,14.77,15.07,14.83,-27.83,-829.10,610.84,-0.21,0.46,-0.39
2160.00,14.84,14.65,14.77,15.07,14.83,-36.62,-822.75,603.03,2.34,-2.69,-1.48
2191.00,14.85,14.65,14.77,15.06,14.83,-20.02,-812.99,608.89,-1.44,0.71,-0.92
2222.00,14.84,14.65,14.77,15.06,14.83,-27.83,-821.78,614.26,-0.25,1.50,-0.82
2253.00,14.84,14.65,14.77,15.06,14.83,-38.09,-826.17,616.70,-0.05,-0.60,-0.54
2284.00,14.84,14.65,14.77,15.06,14.83,-28.81,-833.01,612.79,-1.91,2.02,1.33
2315.00,14.84,14.64,14.77,15.06,14.83,-25.39,-814.45,621.09,-1.60,1.68,1.56
2346.00,14.84,14.65,14.77,15.06,14.83,-31.74,-831.54,625.00,-1.27,-1.06,-1.21
2377.00,14.84,14.65,14.77,15.06,14.83,-18.55,-824.22,614.26,-1.23,-0.67,-1.62
2408.00,14.84,14.65,14.77,15.06,14.83,-29.79,-829.10,602.54,0.05,1.11,-0.82
2439.00,14.84,14.65,14.77,15.06,14.83,-41.50,-810.55,611.33,1.83,1.02,1.24
2470.00,14.84,14.65,14.77,15.06,14.83,-31.74,-812.99,612.30,-0.63,-2.07,-0.38
2501.00,14.84,14.65,14.77,15.06,14.83,-31.74,-815.43,614.75,0.36,0.17,-1.31
2532.00,14.84,14.65,14.77,15.06,14.83,-22.95,-817.87,616.21,0.12,0.83,0.87
2562.00,14.84,14.65,14.77,15.06,14.83,-21.00,-828.12,606.45,-0.15,-0.67,-1.44
2594.00,14.84,14.65,14.77,15.07,14.83,-30.76,-816.41,603.52,-0.99,-0.79,-0.18
2625.00,14.84,14.65,14.77,15.06,14.83,-22.95,-829.10,611.33,0.67,-2.52,2.03
2655.00,14.84,14.65,14.77,15.06,14.83,-31.74,-819.82,608.40,-2.50,-3.69,-2.03
2686.00,14.84,14.65,14.77,15.06,14.83,-30.27,-823.24,603.52,1.73,-1.49,-0.51
2717.00,14.84,14.65,14.77,15.06,14.83,-27.83,-824.71,621.09,1.24,-0.17,-1.33
2748.00,14.85,14.65,14.77,15.06,14.83,-21.48,-818.85,613.77,-1.19,0.44,-0.68
2779.00,14.85,14.65,14.77,15.06,14.83,-31.74,-816.89,607.42,-1.53,2.14,-1.78
2810.00,14.84,14.65,14.77,15.06,14.83,-31.25,-818.36,618.16,-0.89,0.97,-0.93
2841.00,14.84,14.65,14.77,15.06,14.83,-37.60,-824.22,620.12,0.69,0.24,-1.28
2872.00,14.84,14.65,14.77,15.06,14.83,-35.16,-818.85,616.70,-0.84,0.89,0.79
2903.00,14.84,14.65,14.77,15.06,14.83,-27.34,-829.10,628.91,-0.44,0.31,0.43
2934.00,14.85,14.65,14.77,15.06,14.83,-28.81,-831.54,623.54,0.21,-0.87,0.47
2965.00,14.84,14.65,14.77,15.06,14.83,-29.30,-821.78,610.35,-0.70,0.05,-0.78
2996.00,14.84,14.65,14.77,15.06,14.83,-40.04,-832.52,624.51,-0.85,-2.71,-0.05
3027.00,14.84,14.65,14.77,15.06,14.83,-37.11,-823.24,622.56,-0.33,-0.34,0.73
3057.00,14.84,14.65,14.77,15.07,14.83,-34.18,-822.75,617.68,-1.92,0.27,0.06
3088.00,14.84,14.65,14.77,15.07,14.83,-32.23,-825.20,620.61,-0.95,-3.57,0.30
3118.00,14.84,14.65,14.77,15.07,14.83,-20.02,-811.04,620.61,-0.05,-0.75,1.71
3149.00,14.84,14.65,14.77,15.07,14.83,-23.44,-831.54,612.30,0.98,-0.03,-0.97
3179.00,14.84,14.65,14.77,15.07,14.83,-23.93,-823.73,610.35,-1.93,2.69,0.84
3210.00,14.84,14.65,14.77,15.07,14.83,-18.07,-826.66,610.35,-2.02,3.27,-0.39
3240.00,14.84,14.65,14.77,15.07,14.83,-23.44,-811.04,610.35,-0.79,1.50,0.52
3271.00,14.84,14.65,14.77,15.07,14.83,-17.09,-822.75,616.70,0.31,0.57,0.97
3302.00,14.84,14.65,14.77,15.07,14.83,-29.30,-822.75,607.91,-1.08,-0.59,-1.94
3332.00,14.84,14.65,14.77,15.07,14.83,-22.46,-821.29,616.70,-0.67,2.37,0.52
3363.00,14.84,14.65,14.77,15.07,14.83,-35.16,-827.15,616.21,-1.38,-0.87,-0.91
3394.00,14.84,14.65,14.77,15.07,14.83,-23.93,-823.24,599.12,-0.39,1.31,0.73
3424.00,14.84,14.65,14.77,15.07,14.83,-20.51,-834.47,602.54,0.29,-0.93,-1.21
3455.00,14.84,14.64,14.77,15.07,14.83,-34.67,-811.04,615.23,0.44,-1.14,-0.05
3486.00,14.84,14.65,14.77,15.06,14.83,-43.95,-827.15,626.46,-1.09,-0.27,0.92
3517.00,14.84,14.64,14.77,15.07,14.83,-39.55,-811.04,607.91,0.40,-0.68,-1.85
3548.00,14.84,14.65,14.77,15.07,14.83,-22.95,-810.06,620.12,0.98,1.25,-0.74
3579.00,14.84,14.65,14.77,15.07,14.83,-32.71,-815.92,612.30,-0.05,1.59,-0.29
