currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,789.31,782.04,758.96,766.48,774.20,-22.46,-871.58,517.58,-0.14,0.18,-0.63
54,789.28,782.10,758.99,766.49,774.21,-21.97,-894.53,514.16,-1.48,-2.28,0.09
84,789.38,782.13,758.91,766.52,774.23,-20.02,-886.72,515.14,-0.01,-0.77,-1.50
115,789.47,782.18,758.97,766.60,774.31,-27.83,-882.32,510.25,-0.55,0.93,-0.55
146,789.56,782.18,759.01,766.59,774.33,-29.79,-879.88,509.77,-1.47,0.89,-0.51
176,789.58,782.14,758.98,766.58,774.32,-26.37,-885.74,505.86,-0.85,0.18,-1.08
209,789.59,782.18,758.98,766.55,774.32,-27.34,-891.11,496.09,0.32,-0.22,-0.24
241,789.57,782.13,758.97,766.59,774.32,-49.32,-875.98,508.30,0.71,1.95,0.94
272,789.62,782.13,759.05,766.54,774.33,-17.58,-880.86,516.60,0.02,-0.44,0.25
303,789.67,782.15,758.98,766.55,774.34,-22.46,-878.91,515.14,-0.84,-1.73,1.14
333,789.67,782.17,758.97,766.51,774.33,-24.90,-874.51,508.79,-0.03,-1.80,-2.43
365,789.64,782.14,758.96,766.49,774.31,-20.51,-892.09,512.21,-1.21,-0.53,-1.42
396,789.57,782.15,759.00,766.46,774.29,-26.86,-895.02,515.14,0.32,0.48,1.33
427,789.49,782.13,758.92,766.50,774.26,-39.55,-876.46,525.88,-0.38,0.02,1.24
457,789.46,782.10,758.95,766.57,774.27,-21.97,-881.84,514.65,-0.64,-0.87,0.76
489,789.38,782.09,758.92,766.55,774.23,-31.25,-884.77,504.39,-0.27,0.66,0.69
520,789.27,782.17,759.00,766.56,774.25,-33.69,-875.00,516.60,0.63,1.34,0.69
551,789.19,782.07,758.94,766.60,774.20,-35.64,-881.35,522.46,0.50,0.96,-0.27
581,788.99,782.10,758.94,766.55,774.14,-27.34,-884.77,510.74,-0.85,2.56,-0.62
613,788.81,782.06,759.00,766.61,774.12,-19.53,-884.77,511.72,-0.78,-2.15,-1.18
644,788.78,782.00,759.01,766.71,774.13,-30.27,-876.46,507.81,-0.13,-0.57,-0.24
675,788.71,781.99,758.99,766.63,774.08,-37.60,-890.62,515.14,1.14,-3.91,-0.59
705,788.60,781.98,759.02,766.77,774.09,-24.41,-888.18,521.48,1.52,1.08,-0.73
737,788.08,781.98,759.09,766.80,773.99,-19.53,-822.27,509.28,-4.85,4.28,2.14
768,787.86,781.90,759.04,766.93,773.93,-60.06,-879.39,474.61,-0.11,-1.79,-1.24
799,788.15,782.02,759.14,766.98,774.07,-36.62,-874.02,500.49,0.43,1.65,0.86
