currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
10933,753.11,767.04,757.07,760.07,759.32,-41.5,-1004.39,252.93,33.02,-0.21,20.31,2188,0,2.99292,2.70722,-27.4957,242.428,-1332.24,86.8712,-547.447,-8.83537,0,72
10964,753.13,767.57,757.27,760.87,759.71,-71.78,-997.56,300.78,34.79,9.53,16.33,2194,0,5.38603,4.27523,-36.213,364.264,-1485.87,81.7844,-540.031,-10.0576,0,72
10995,753.92,768.25,757.74,761.84,760.44,-159.67,-829.59,600.59,33.8,-13.22,0.87,2200,0,8.6344,2.88159,-46.3032,621.342,-1724.26,438.94,-536.261,-13.4155,0,72
11026,755.37,769.4,758.1,762.51,761.34,-114.26,-870.61,553.22,53.29,10.66,-7.92,2206,0,12.4037,3.39761,-61.0527,949.118,-1867.05,598.172,-529.581,-15.5375,0,72
11056,757.14,771,758.35,762.89,762.34,-18.07,-918.46,462.89,26.05,1.84,-6.6,2212,0,12.9586,1.86141,-86.5583,2992.85,-2993.11,387.156,-533.571,-34.5533,0,72
11087,759.06,772.84,758.51,763.38,763.45,-28.32,-910.64,495.61,20.27,-5.13,-7.45,2218,0,16.3585,4.20951,-116.836,5224.26,-4084,420.331,-533.952,-44.6966,0,72
11117,761.36,774.56,758.77,764,764.67,-63.96,-905.76,487.79,20.01,-1.38,-3.9,2224,0,21.672,3.94226,-145.738,7814.63,-4918.63,665.507,-532.75,-53.6165,0,72
11148,764.7,776.07,758.95,764.5,766.05,-50.29,-913.57,500.98,13.4,-1.99,-4.76,2231,0,28.5655,4.78735,-177.353,10597.4,-5652.15,1111.94,-530.873,-59.7528,0,72
11179,769.47,777.33,759.07,764.96,767.71,-41.5,-881.35,511.72,15.72,-2.57,-2.39,2237,0,33.664,4.81402,-206.267,12950.6,-6265.31,1280.96,-529.373,-62.7836,0,72
11210,775.03,778.39,759.14,765.26,769.45,-76.66,-888.18,508.3,9.47,-2.12,-1.16,2243,0,38.5226,3.23847,-238.364,16156.4,-7395.2,1599.72,-530.025,-67.774,0,72
11241,779.32,778.66,759.2,765.47,770.66,-60.06,-877.93,504.88,6.86,-2.02,0.92,2249,0,43.3076,1.36648,-272.884,20101.9,-8580.27,2090.41,-530.443,-73.6599,0,72
11272,781.14,778.64,759.18,765.5,771.12,-35.16,-874.02,531.74,3.44,-0.96,0.58,2255,0,49.1025,-1.48515,-307.27,24748.9,-9823.62,2666.31,-530.97,-80.5423,0,72
11303,782.03,778.45,759.25,765.75,771.37,-29.79,-877.93,525.39,1.65,-1.08,-1.6,2262,0,52.0825,-4.08188,-333.464,28549.2,-10975.7,3250.82,-531.914,-85.6133,0,72
11334,782.87,778.09,759.18,765.81,771.49,-41.02,-858.89,525.88,2.17,-1.11,0.73,2268,0,50.0946,-4.68475,-339.492,29547.6,-11465,3131.65,-532.771,-87.0349,0,72
11365,783.64,777.91,759.21,765.74,771.62,-30.76,-873.54,532.71,2.73,0.24,0.83,2274,0,49.2302,-4.11842,-340.817,29988.3,-11786.9,3152.88,-533.584,-87.9896,0,72
11396,785.35,777.62,759.08,765.8,771.96,-32.71,-878.42,533.69,2.98,-1.63,0.02,2280,0,46.2037,-4.01739,-341.093,30152,-12027.8,2805.84,-534.263,-88.3981,0,72
11427,787.39,777.48,759.07,765.76,772.43,-24.41,-871.09,546.87,3.01,-0.41,-0.26,2286,0,43.3733,-3.25625,-338.072,30227.8,-12193.2,2533.52,-535.067,-89.4124,0,72
11458,789.35,777.38,758.96,765.58,772.82,-37.6,-864.26,540.53,-1.08,-0.08,-0.4,2293,0,43.116,-4.00167,-340.921,31533.4,-12647.2,2829.55,-536.097,-92.4944,0,72
11489,790.79,777.28,758.93,765.49,773.12,-35.64,-864.26,536.13,-3.7,0.22,-0.34,2299,0,42.7987,-3.24159,-346.436,32708.7,-13040.6,2906.52,-536.642,-94.4144,0,72
11520,793.11,777.18,758.78,765.29,773.59,-35.16,-875.98,523.44,-0.92,-1.67,1.44,2305,0,42.2159,-3.00949,-351.493,33925.7,-13470.8,2948.38,-537.325,-96.5188,0,72
11551,796.77,777.08,758.83,765.3,774.49,-42.48,-879.39,528.32,3.5,2,1.66,2311,0,41.646,-3.37246,-350.831,34793.5,-13480.1,2968.36,-537.423,-99.1746,0,72
11582,799.68,776.92,758.61,765.07,775.07,-45.9,-871.09,529.79,-0.47,1.34,2.41,2317,0,43.0021,-3.62913,-352.992,35898.7,-13707.5,3595.75,-537.833,-101.697,0,72
11613,801.87,776.84,758.46,764.69,775.46,-41.5,-880.86,538.09,-4.32,-0.85,0.36,2324,0,42.7779,-4.3372,-366.414,38970.9,-14507.9,3669.16,-538.594,-106.357,0,72
11644,804.57,776.57,758.34,764.36,775.96,-39.55,-873.05,540.04,-0.94,-2.11,0.55,2330,0,41.0224,-4.84463,-374.664,40787,-15139.4,3641.16,-539.408,-108.863,0,72
11675,809.74,776.45,758.2,763.83,777.05,-53.22,-876.95,532.23,-0.4,-2.99,2.23,2336,0,41.4434,-5.47657,-375.617,41911.3,-15336.2,4001.09,-539.829,-111.58,0,72
11706,814.31,776.32,758.12,763.32,778.02,-41.02,-880.37,535.16,-5.97,-0.31,0.5,2342,0,40.4836,-6.49765,-375.808,43232.7,-15447.9,4215.53,-540.106,-115.039,0,72
11737,817.94,776.3,758.02,762.99,778.81,-45.41,-883.79,510.25,-3.31,-0.63,1.3,2348,0,40.0233,-7.43766,-386.824,46574.1,-16248.8,4517.36,-541.006,-120.401,0,72
11768,823.06,776.14,757.98,763.01,780.05,-48.83,-896.97,507.81,0.39,2.59,2.24,2355,0,41.7134,-6.96584,-399.633,49823.9,-16949,4742.22,-541.411,-124.674,0,72
11799,825.84,776.24,757.96,762.88,780.73,-40.53,-848.14,546.39,-0.16,0.34,-0.7,2361,0,43.0895,-5.5153,-403.395,51764.6,-17149.6,5056.46,-541.513,-128.322,0,72
11832,828.4,776.37,757.94,762.66,781.34,-29.79,-867.19,526.86,-5.05,-0.69,1.47,2367,0,43.7934,-4.00245,-419.852,54996.9,-18096.5,5324.92,-542.102,-130.991,0,72
11863,830.93,776.35,757.87,762.52,781.92,-35.16,-869.14,526.86,-1.6,0.64,-1.5,2374,0,41.4704,-1.12348,-431.267,56827.9,-18883.6,4950.75,-542.786,-131.77,0,72
