currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,754.57,756.86,751.50,753.78,754.18,-60.55,-887.21,518.55,-0.02,-1.27,-2.05
53,754.56,756.85,751.51,753.80,754.18,-55.18,-881.84,499.51,1.69,-1.17,-2.65
84,754.55,756.82,751.48,753.81,754.16,-60.06,-897.46,506.84,0.11,-0.38,0.11
114,754.47,756.82,751.56,753.89,754.18,-54.69,-890.14,497.07,-1.05,2.91,0.19
145,754.44,756.87,751.51,753.88,754.17,-52.73,-892.58,500.98,-1.24,-0.01,0.17
176,754.43,756.88,751.49,753.80,754.15,-50.29,-902.34,512.70,-0.35,-2.40,-0.11
206,754.20,756.87,751.46,753.83,754.09,-45.41,-896.48,497.56,-1.16,0.05,-1.98
240,754.16,756.86,751.56,753.83,754.10,-46.88,-879.39,495.61,1.16,-1.76,-2.85
271,754.07,756.77,751.49,753.84,754.04,-64.94,-894.04,489.26,1.34,-0.06,-0.85
302,754.08,756.75,751.59,753.95,754.09,-56.15,-895.51,506.35,2.91,-5.22,0.57
333,754.09,756.77,751.56,754.07,754.12,-55.66,-884.77,516.11,4.02,-1.57,-0.31
364,753.82,756.81,751.53,754.29,754.11,-81.54,-907.23,490.72,3.62,-5.58,-2.11
395,753.51,756.78,751.57,754.57,754.10,-50.78,-889.65,517.09,4.14,-3.12,-3.14
426,753.15,756.90,751.67,754.68,754.10,-40.53,-885.25,511.72,3.22,-2.30,-0.28
457,753.14,756.89,751.57,754.65,754.06,-43.46,-874.51,512.21,4.01,-3.93,-2.19
488,753.14,756.95,751.58,754.66,754.08,-31.74,-875.00,521.00,1.16,1.21,-1.18
519,753.22,756.93,751.60,754.56,754.08,-40.53,-884.28,523.44,-2.06,2.47,1.66
550,753.35,756.90,751.57,754.45,754.07,-31.25,-884.77,514.16,-4.79,3.05,-2.91
581,753.39,756.96,751.54,754.33,754.06,-37.11,-881.84,516.60,-6.59,6.39,-0.15
612,753.44,756.91,751.55,754.29,754.05,-60.06,-889.65,505.86,-11.20,5.17,-1.16
643,753.35,757.04,751.56,754.33,754.07,-65.92,-902.83,498.54,-11.31,3.33,-3.67
674,753.15,757.07,751.57,754.40,754.05,-37.11,-914.55,489.26,-5.45,0.12,-2.37
705,753.21,757.17,751.61,754.40,754.10,-40.04,-875.00,508.30,-4.11,0.68,-1.34
736,753.12,757.28,751.61,754.55,754.14,-49.32,-908.20,483.40,-3.54,1.19,-0.53
767,753.04,757.26,751.66,754.62,754.15,-60.55,-898.93,491.21,-6.56,0.06,-4.89
798,752.78,757.28,751.71,754.88,754.16,-36.13,-911.13,464.36,-1.69,0.60,-3.11
829,752.43,757.26,751.76,755.12,754.14,-44.43,-935.06,434.08,-0.60,0.85,-3.83
860,752.27,757.33,751.71,755.31,754.15,-119.14,-992.19,538.57,-2.50,9.51,-7.96
891,752.28,757.27,751.77,755.54,754.22,-30.76,-875.49,552.73,11.04,5.90,-2.63
922,752.47,757.26,751.74,755.42,754.23,-33.69,-854.98,544.43,-0.31,-5.16,5.26
953,752.71,757.30,751.76,755.73,754.38,-91.80,-937.01,438.96,3.51,3.85,0.15
984,752.76,757.33,751.79,756.00,754.47,-46.88,-877.93,539.55,4.45,-0.64,-3.75
1015,752.90,757.35,751.90,756.21,754.59,-35.64,-886.72,503.91,0.46,-2.70,-1.71
1046,753.06,757.50,752.04,756.36,754.74,-71.78,-884.77,508.30,4.15,-2.55,-1.53
1077,753.06,757.63,752.06,756.72,754.87,-52.25,-894.53,490.72,1.06,-0.27,-4.69
1108,753.00,757.66,752.26,757.21,755.03,-41.99,-892.58,496.58,1.37,-0.53,-0.66
1139,753.13,757.75,752.31,757.40,755.15,-10.74,-881.35,514.65,8.85,0.79,1.31
1170,753.63,757.89,752.46,757.47,755.36,-39.06,-886.72,507.81,7.51,2.11,1.56
1201,753.86,758.00,752.59,757.65,755.53,-77.15,-894.53,477.05,1.44,-1.95,1.95
1232,753.51,757.81,752.82,758.13,755.57,-22.46,-915.04,465.82,-4.15,-7.63,2.79
1263,752.96,757.78,753.07,758.21,755.50,-58.59,-889.16,540.53,-7.02,-8.03,-0.83
1294,752.48,757.60,753.08,758.01,755.29,-42.97,-876.46,518.55,-7.50,-10.30,-0.34
1325,752.39,757.43,753.01,757.67,755.13,-24.90,-857.42,522.46,1.08,-11.28,3.55
1356,752.51,757.45,752.75,756.92,754.91,82.52,-921.39,418.95,11.99,0.95,3.69
1387,753.67,757.56,752.63,756.70,755.14,-101.56,-850.59,538.09,37.56,0.92,4.33
1417,754.11,757.52,752.43,756.32,755.10,-59.08,-876.95,537.60,0.40,6.84,-3.33
1448,754.19,757.47,752.25,756.23,755.04,-11.72,-863.28,534.67,7.22,-1.38,-1.81
1478,755.03,757.46,752.16,756.05,755.17,-59.57,-858.89,522.95,16.47,2.63,4.84
