currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,0,0,0,0,0,-60.55,-887.21,518.55,-0.02,-1.27,-2.05
53,0,0,0,0,0,-55.18,-881.84,499.51,1.69,-1.17,-2.65
84,0,0,0,0,0,-60.06,-897.46,506.84,0.11,-0.38,0.11
114,0,0,0,0,0,-54.69,-890.14,497.07,-1.05,2.91,0.19
145,0,0,0,0,0,-52.73,-892.58,500.98,-1.24,-0.01,0.17
176,0,0,0,0,0,-50.29,-902.34,512.7,-0.35,-2.4,-0.11
206,0,0,0,0,0,-45.41,-896.48,497.56,-1.16,0.05,-1.98
240,0,0,0,0,0,-46.88,-879.39,495.61,1.16,-1.76,-2.85
271,0,0,0,0,0,-64.94,-894.04,489.26,1.34,-0.06,-0.85
302,0,0,0,0,0,-56.15,-895.51,506.35,2.91,-5.22,0.57
333,0,0,0,0,0,-55.66,-884.77,516.11,4.02,-1.57,-0.31
364,0,0,0,0,0,-81.54,-907.23,490.72,3.62,-5.58,-2.11
395,0,0,0,0,0,-50.78,-889.65,517.09,4.14,-3.12,-3.14
426,0,0,0,0,0,-40.53,-885.25,511.72,3.22,-2.3,-0.28
457,0,0,0,0,0,-43.46,-874.51,512.21,4.01,-3.93,-2.19
488,0,0,0,0,0,-31.74,-875,521,1.16,1.21,-1.18
519,0,0,0,0,0,-40.53,-884.28,523.44,-2.06,2.47,1.66
550,0,0,0,0,0,-31.25,-884.77,514.16,-4.79,3.05,-2.91
581,0,0,0,0,0,-37.11,-881.84,516.6,-6.59,6.39,-0.15
612,0,0,0,0,0,-60.06,-889.65,505.86,-11.2,5.17,-1.16
643,0,0,0,0,0,-65.92,-902.83,498.54,-11.31,3.33,-3.67
674,0,0,0,0,0,-37.11,-914.55,489.26,-5.45,0.12,-2.37
705,0,0,0,0,0,-40.04,-875,508.3,-4.11,0.68,-1.34
736,0,0,0,0,0,-49.32,-908.2,483.4,-3.54,1.19,-0.53
767,0,0,0,0,0,-60.55,-898.93,491.21,-6.56,0.06,-4.89
798,0,0,0,0,0,-36.13,-911.13,464.36,-1.69,0.6,-3.11
829,0,0,0,0,0,-44.43,-935.06,434.08,-0.6,0.85,-3.83
860,0,0,0,0,0,-119.14,-992.19,538.57,-2.5,9.51,-7.96
891,0,0,0,0,0,-30.76,-875.49,552.73,11.04,5.9,-2.63
922,0,0,0,0,0,-33.69,-854.98,544.43,-0.31,-5.16,5.26
953,0,0,0,0,0,-91.8,-937.01,438.96,3.51,3.85,0.15
984,0,0,0,0,0,-46.88,-877.93,539.55,4.45,-0.64,-3.75
1015,0,0,0,0,0,-35.64,-886.72,503.91,0.46,-2.7,-1.71
1046,0,0,0,0,0,-71.78,-884.77,508.3,4.15,-2.55,-1.53
