currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
17704,758.24,758.92,751.84,754.45,755.86,-228.03,-849.61,594.73,23.07,-0.02,1.92,3542,0,9.46627,-3.0171,-36.5733,3934.21,-6699.31,2296.04,-183.177,-107.574,0,56
17735,762.59,759.15,751.94,754.85,757.13,-60.55,-889.16,511.72,27.24,-2.84,-4.61,3548,0,10.0006,2.77228,-56.5002,4186.57,-9011.18,1665.11,-159.489,-74.0983,0,56
17766,767.6,759.28,752.06,755.61,758.64,-48.34,-861.82,550.78,21.63,-6.4,-2.11,3554,0,13.2341,-0.555618,-80.1259,6992.13,-11774.9,1969.2,-146.955,-87.2623,0,56
17797,774.18,759.55,752.33,756.56,760.66,-74.22,-834.96,610.84,17.4,-5.53,-2.05,3560,0,15.941,0.107211,-109.057,9263.21,-15103.5,2009.55,-138.493,-84.9397,0,56
17828,781.54,759.75,752.42,757.57,762.82,-70.31,-815.92,594.73,19.74,-5.27,-1.64,3567,0,17.0367,1.30424,-147.882,12530.8,-19864.3,1697.63,-134.326,-84.735,0,56
17859,789.86,760,752.59,758.46,765.23,-40.53,-838.87,593.26,13.74,-2.27,-2.15,3573,0,19.2584,0.876097,-189.851,15860.5,-24992.7,1955.07,-131.644,-83.5419,0,56
17890,799.97,760.19,752.69,759.44,768.07,-63.96,-827.15,607.42,10.6,-1.67,-2.6,3579,0,22.9547,2.67512,-231.85,19206,-30090,1835.16,-129.782,-82.8383,0,56
17921,810.94,760.55,752.79,760.22,771.13,-55.66,-800.29,617.68,9.4,-1.98,-0.59,3585,0,27.3605,3.84859,-275.771,23051.2,-35310.5,2021.59,-128.043,-83.588,0,56
17952,822.38,760.72,752.91,761.01,774.25,-40.04,-829.1,608.89,5.36,0.73,3.63,3591,0,30.6852,2.71701,-325.032,27659.5,-41368.5,2298.41,-127.275,-85.0975,0,56
17983,833.76,760.95,752.96,761.57,777.31,-56.15,-830.08,599.61,2.6,-0.7,-0.05,3598,0,34.6721,2.19569,-384.865,33286.4,-48420.3,2591.06,-125.811,-86.4884,0,56
18014,842.7,761.07,752.99,761.86,779.65,-48.83,-834.47,611.82,6.01,-0.89,-1.37,3604,0,39.88,0.70724,-434.497,38295.9,-54218.6,3310.25,-124.785,-88.1383,0,56
18045,850.3,761.01,753.01,761.68,781.5,-67.38,-819.34,618.16,5.11,-1.57,1.08,3610,0,44.488,-0.690819,-483.185,43067.6,-59878.6,3962.99,-123.925,-89.1326,0,56
18076,855.34,761.09,752.95,761.43,782.7,-62.5,-815.92,618.65,0.46,0.08,0.36,3616,0,45.7931,-1.85056,-522.779,47183,-64648.4,4429.1,-123.663,-90.254,0,56
18107,858.05,761.05,752.87,761.07,783.26,-45.9,-819.82,624.02,3.32,1.85,1.57,3622,0,44.8831,-3.43746,-549.613,50543.5,-67975,4757.66,-123.678,-91.962,0,56
18138,860.23,761.07,752.81,760.56,783.67,-43.95,-823.24,606.93,0.6,-2.86,0.55,3629,0,43.9625,-3.72691,-560.082,52674.4,-69217.4,5119.73,-123.584,-94.0477,0,56
18169,862.57,761.08,752.8,759.78,784.06,-32.71,-813.48,645.51,0.51,-0.18,-1.95,3635,0,42.5451,-2.6577,-562.471,53442.1,-69593.4,5100.6,-123.728,-95.013,0,56
18200,864.65,760.99,752.75,759.41,784.45,-57.62,-791.99,642.09,-0.28,2.94,0.73,3641,0,40.6543,-1.66857,-559.489,54034.6,-69185,4961.41,-123.657,-96.5785,0,56
18231,866.19,760.97,752.75,758.98,784.72,-27.34,-796.87,657.23,0.9,1.14,-2.64,3647,0,37.0955,-3.28659,-557.852,55168.2,-69114.3,5226.64,-123.894,-98.894,0,56
18262,867.06,760.9,752.67,758.32,784.74,-34.67,-797.85,623.54,-2.34,1.77,-2.9,3653,0,34.0882,-5.25113,-553.17,56025.5,-68687.4,5054.61,-124.17,-101.281,0,56
18293,867.84,760.95,752.68,757.98,784.86,-58.59,-809.08,624.51,-3.21,1.33,0.44,3660,0,31.6229,-5.57945,-551.818,56668,-68567,5179.39,-124.257,-102.693,0,56
18324,868.89,761.02,752.6,757.76,785.07,-40.53,-812.01,638.67,2.2,3.25,-2.57,3666,0,30.5083,-6.00681,-543.123,56565.2,-67456.6,4924.97,-124.201,-104.148,0,56
18355,870.05,760.94,752.61,757.46,785.27,-41.02,-807.62,618.16,-3.73,2.77,-1.78,3672,0,28.6971,-5.34968,-536.702,56750.2,-66715.8,4550.22,-124.307,-105.739,0,56
18386,869.96,760.92,752.56,757.37,785.2,-38.09,-803.22,640.14,-2.57,2.38,-0.5,3678,0,26.742,-2.87464,-538.02,57098.1,-67009.1,3861.74,-124.547,-106.126,0,56
18417,869.35,760.92,752.56,757.19,785.01,-45.41,-825.68,623.54,-2.77,0.68,0.19,3684,0,26.9301,-3.49016,-538.601,57636.6,-67047.9,3625.02,-124.485,-107.012,0,56
18448,866.57,760.85,752.56,756.86,784.21,-51.27,-822.27,619.63,-2.15,1.06,1.87,3691,0,27.7547,-3.10214,-529.21,56793.3,-65827.1,3377.41,-124.387,-107.317,0,56
18479,863.02,760.85,752.56,756.45,783.22,-41.99,-815.92,624.51,-0.68,-0.36,0.13,3697,0,29.5115,-2.62519,-520.706,55833.8,-64723.9,3522.38,-124.3,-107.227,0,56
18510,859.32,760.73,752.42,756.17,782.16,-37.6,-780.27,621.09,-2.44,-1.88,-2.91,3703,0,27.2098,-0.383727,-495.762,53052.4,-61725.2,3236.87,-124.506,-107.012,0,56
18541,856.9,760.8,752.36,756.1,781.54,-55.18,-806.64,631.84,-2.65,1.89,-0.59,3709,0,22.5665,-0.723287,-463.511,50286.6,-58311.1,2784.2,-125.803,-108.491,0,56
18571,854.92,760.75,752.42,756.35,781.11,-35.16,-825.2,621.58,-0.39,-0.1,-3.11,3715,0,19.7764,-0.05409,-436.596,47729.3,-55214.6,2545.1,-126.466,-109.321,0,56
18601,852.65,760.74,752.45,756.38,780.55,-41.99,-803.22,628.91,1.7,0.47,-1.74,3721,0,20.5859,-0.253448,-421.875,46105.2,-53365.4,2398.54,-126.496,-109.286,0,56
18632,850.33,760.76,752.44,756.65,780.05,-45.9,-814.94,628.42,0.34,-3.29,-1.9,3727,0,21.3128,0.205162,-414.306,44862.5,-52365,2514.09,-126.392,-108.284,0,56
18662,847.9,760.67,752.45,756.97,779.5,-53.22,-797.36,646,1.69,-1.2,1.66,3733,0,20.6595,0.321766,-407.324,43350.2,-51769.6,2130.79,-127.097,-106.427,0,56
18693,845.21,760.62,752.59,757.22,778.91,-50.78,-815.43,627.93,-0.24,-0.15,-1.97,3740,0,19.6899,1.34042,-396.531,41592.9,-50444.9,2044.5,-127.216,-104.892,0,56
18724,844.08,760.6,752.5,757.1,778.57,-53.71,-822.27,617.68,0.01,0.4,-0.13,3746,0,19.6588,3.62546,-388.575,40043.2,-49531.6,1827.27,-127.47,-103.051,0,56
18755,843.03,760.6,752.57,757.02,778.31,-56.64,-823.73,630.86,-3.87,2.35,0.05,3752,0,20.0961,6.46267,-383.459,38474.1,-48951.2,1601.73,-127.657,-100.334,0,56
18785,841.08,760.66,752.5,757.26,777.87,-63.96,-823.24,615.23,-2.95,-1.82,-2.44,3758,0,20.5667,5.30136,-378.596,37970.6,-48238.6,1792.24,-127.414,-100.293,0,56
18816,838.26,760.57,752.62,758.26,777.43,-61.52,-826.17,616.7,0.28,-4.28,1.06,3764,0,20.0107,3.5032,-369.894,37386.5,-47163.8,2073.21,-127.506,-101.074,0,56
18847,834.42,760.55,752.61,759.06,776.66,-39.55,-814.45,622.56,1.93,-2.64,0.02,3770,0,19.2996,3.35975,-360.664,36219.2,-46092.7,2017.66,-127.8,-100.424,0,56
18877,830.41,760.52,752.73,759.82,775.87,-53.71,-799.32,639.16,0.95,-4.83,-2.66,3776,0,19.7018,6.03948,-357.86,34623.1,-45739.4,1746.23,-127.814,-96.7506,0,56
