currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,768.20,769.38,753.85,758.99,762.61,-21.48,-862.79,556.64,-1.42,3.60,-1.56
53,768.24,769.36,753.92,758.99,762.63,-26.86,-871.58,557.13,-0.01,-2.56,-0.92
84,768.30,769.40,753.90,759.01,762.65,-24.90,-861.82,560.55,0.50,-1.16,-0.93
115,768.40,769.41,753.91,759.05,762.69,-15.63,-859.37,556.15,-0.67,0.60,-3.36
145,768.47,769.43,753.87,758.93,762.67,-19.53,-862.30,553.22,-0.19,0.10,-2.40
176,768.42,769.40,753.94,758.96,762.68,-15.14,-868.65,540.04,-2.12,0.66,-1.89
207,768.34,769.39,753.89,759.02,762.66,-11.72,-860.84,557.13,-0.34,-0.85,-0.53
238,768.35,769.41,753.90,758.99,762.66,-8.79,-873.54,557.13,-1.29,-0.15,-1.66
269,768.39,769.42,753.88,759.03,762.68,-9.77,-852.05,559.57,1.21,-3.90,-0.24
300,768.37,769.45,753.97,759.02,762.70,-18.07,-871.09,548.34,-0.05,1.11,-1.36
331,768.45,769.44,753.92,759.05,762.71,-17.58,-865.72,553.22,-0.26,-1.05,-0.16
364,768.39,769.48,753.91,759.04,762.70,-19.53,-857.91,557.13,-0.44,-0.47,0.79
395,768.44,769.52,753.90,758.95,762.70,-22.46,-862.30,548.34,-0.79,-0.85,-1.40
426,768.39,769.45,753.92,759.01,762.69,-17.58,-853.52,560.06,0.50,0.69,-3.60
457,768.44,769.40,753.98,759.04,762.72,-13.67,-855.96,549.80,-1.72,2.57,-1.24
488,768.34,769.44,753.96,758.98,762.68,-17.58,-863.77,554.20,-0.03,-0.15,-0.80
519,768.40,769.47,753.98,759.04,762.72,-5.86,-859.37,556.64,0.08,0.00,-0.03
550,768.40,769.48,753.98,759.03,762.72,-12.21,-862.30,555.66,-0.83,1.20,-0.71
581,768.38,769.47,753.92,758.95,762.68,-19.53,-864.26,547.36,-2.07,-3.44,-1.51
612,768.42,769.47,753.97,759.00,762.72,-10.25,-851.07,558.59,0.02,2.68,-0.68
643,768.42,769.43,753.94,758.90,762.68,-6.35,-865.23,555.66,0.26,-0.60,-1.44
674,768.33,769.41,753.87,758.96,762.64,-18.55,-854.98,556.64,-0.24,-0.44,-1.91
705,768.30,769.36,753.92,758.99,762.64,-19.04,-867.68,557.62,0.82,3.39,0.02
736,768.29,769.42,753.97,759.07,762.69,-17.09,-867.68,562.01,0.52,0.67,-0.24
767,768.25,769.52,753.93,758.99,762.67,-11.23,-868.16,558.11,0.21,0.32,0.53
798,768.19,769.46,753.90,759.05,762.65,-19.53,-859.37,560.55,-0.57,-2.85,0.15
829,768.20,769.49,753.93,759.02,762.66,-15.63,-857.42,554.20,0.78,-0.11,-2.77
860,768.20,769.44,753.97,759.03,762.66,-16.60,-870.12,546.87,0.45,-0.38,-0.32
891,768.23,769.48,753.94,759.05,762.68,-7.81,-855.47,560.06,-0.90,-0.90,-3.34
922,768.17,769.50,753.91,759.01,762.65,-13.18,-863.28,551.27,-1.25,-0.30,1.05
953,768.20,769.42,753.96,759.00,762.64,-14.16,-875.49,548.83,-0.06,0.44,-0.08
984,768.30,769.49,753.99,759.00,762.69,-30.76,-863.77,546.87,0.49,-1.53,-0.15
1015,768.26,769.49,753.95,759.04,762.69,-9.28,-861.33,561.04,-0.07,0.79,2.02
1046,768.27,769.55,753.95,759.09,762.72,-9.77,-865.23,565.92,0.05,-0.85,-1.40
1077,768.40,769.52,753.91,759.09,762.73,-22.46,-862.30,561.52,-0.80,-1.07,1.11
1108,768.46,769.51,753.88,759.05,762.73,-15.14,-864.26,547.85,-0.17,-2.63,-0.18
1139,768.43,769.53,753.99,759.11,762.77,-20.51,-867.19,562.01,0.26,-1.25,0.41
1170,768.52,769.56,753.97,759.10,762.79,-11.23,-858.89,551.27,0.08,-0.47,-0.03
1201,768.53,769.47,753.90,759.03,762.73,-18.55,-864.26,546.39,-0.69,-1.39,-0.82
1232,768.47,769.54,753.96,759.11,762.77,-4.39,-859.37,559.08,-1.53,2.18,-1.19
1263,768.47,769.51,753.97,759.08,762.76,-9.77,-864.26,560.06,1.63,-0.33,-0.08
1294,768.49,769.55,753.97,759.07,762.77,-12.70,-868.16,554.69,0.84,-0.56,-1.05
1325,768.44,769.63,753.95,759.16,762.79,-22.46,-867.68,555.66,0.18,1.19,-0.67
1356,768.41,769.55,753.98,759.20,762.79,-11.72,-865.23,562.50,-0.18,0.38,0.91
1387,768.39,769.60,753.94,759.12,762.76,-23.93,-854.00,552.73,-1.59,-1.51,-1.56
1417,768.44,769.55,753.90,759.14,762.76,-20.02,-852.54,551.27,-1.48,2.10,0.72
1448,768.33,769.54,753.99,759.11,762.74,-12.21,-851.07,565.43,-2.31,1.08,-1.44
1478,768.45,769.52,753.91,759.11,762.75,-23.44,-848.14,549.80,0.84,0.22,-0.39
1508,768.37,769.59,753.99,759.17,762.78,-18.07,-860.35,560.06,0.48,-0.91,-0.13
1539,768.45,769.53,753.99,759.16,762.78,-22.95,-856.45,562.99,0.88,0.31,-1.32
1569,768.41,769.55,753.97,759.04,762.74,-30.76,-848.14,554.20,-1.88,2.13,-0.34
1600,768.42,769.61,753.91,759.20,762.79,-22.46,-865.23,568.36,0.08,-2.98,-2.05
1631,768.42,769.64,753.93,759.14,762.78,-7.32,-865.72,553.71,-0.75,1.64,0.66
1662,768.37,769.55,753.90,759.14,762.74,-15.63,-868.65,544.92,1.84,-0.82,-0.41
1692,768.42,769.50,753.97,759.20,762.77,-11.72,-862.30,566.41,-0.48,-1.84,0.43
1723,768.40,769.56,753.95,759.17,762.77,-15.14,-864.26,549.32,-0.79,2.42,1.07
1754,768.31,769.59,753.96,759.15,762.75,-1.46,-871.58,557.13,0.10,2.64,-1.82
1784,768.30,769.58,754.02,759.14,762.76,-8.30,-864.26,553.22,-0.89,0.17,3.06
1815,768.27,769.52,753.98,759.12,762.72,-2.93,-855.96,555.18,-2.05,0.31,1.87
1846,768.17,769.51,753.93,759.12,762.68,-32.23,-862.30,555.18,0.77,-1.10,-3.15
1877,768.09,769.58,753.98,759.17,762.70,-2.93,-862.79,550.78,2.05,0.11,1.46
1908,768.24,769.48,753.93,759.23,762.72,-17.58,-859.86,555.66,0.30,-0.01,-1.93
1939,768.31,769.51,754.02,759.23,762.77,-17.09,-866.70,567.87,-0.48,1.61,0.43
1970,768.27,769.52,753.95,759.13,762.72,-22.46,-863.28,550.78,-0.58,2.08,-2.32
2001,768.23,769.60,753.89,759.15,762.72,-8.30,-874.02,561.52,-2.65,0.08,-1.59
