currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,0,0,0,0,0,-21.48,-862.79,556.64,-1.42,3.6,-1.56
53,0,0,0,0,0,-26.86,-871.58,557.13,-0.01,-2.56,-0.92
84,0,0,0,0,0,-24.9,-861.82,560.55,0.5,-1.16,-0.93
115,0,0,0,0,0,-15.63,-859.37,556.15,-0.67,0.6,-3.36
145,0,0,0,0,0,-19.53,-862.3,553.22,-0.19,0.1,-2.4
176,0,0,0,0,0,-15.14,-868.65,540.04,-2.12,0.66,-1.89
207,0,0,0,0,0,-11.72,-860.84,557.13,-0.34,-0.85,-0.53
238,0,0,0,0,0,-8.79,-873.54,557.13,-1.29,-0.15,-1.66
269,0,0,0,0,0,-9.77,-852.05,559.57,1.21,-3.9,-0.24
300,0,0,0,0,0,-18.07,-871.09,548.34,-0.05,1.11,-1.36
331,0,0,0,0,0,-17.58,-865.72,553.22,-0.26,-1.05,-0.16
364,0,0,0,0,0,-19.53,-857.91,557.13,-0.44,-0.47,0.79
395,0,0,0,0,0,-22.46,-862.3,548.34,-0.79,-0.85,-1.4
426,0,0,0,0,0,-17.58,-853.52,560.06,0.5,0.69,-3.6
457,0,0,0,0,0,-13.67,-855.96,549.8,-1.72,2.57,-1.24
488,0,0,0,0,0,-17.58,-863.77,554.2,-0.03,-0.15,-0.8
519,0,0,0,0,0,-5.86,-859.37,556.64,0.08,0,-0.03
550,0,0,0,0,0,-12.21,-862.3,555.66,-0.83,1.2,-0.71
581,0,0,0,0,0,-19.53,-864.26,547.36,-2.07,-3.44,-1.51
612,0,0,0,0,0,-10.25,-851.07,558.59,0.02,2.68,-0.68
643,0,0,0,0,0,-6.35,-865.23,555.66,0.26,-0.6,-1.44
674,0,0,0,0,0,-18.55,-854.98,556.64,-0.24,-0.44,-1.91
705,0,0,0,0,0,-19.04,-867.68,557.62,0.82,3.39,0.02
736,0,0,0,0,0,-17.09,-867.68,562.01,0.52,0.67,-0.24
767,0,0,0,0,0,-11.23,-868.16,558.11,0.21,0.32,0.53
798,0,0,0,0,0,-19.53,-859.37,560.55,-0.57,-2.85,0.15
829,0,0,0,0,0,-15.63,-857.42,554.2,0.78,-0.11,-2.77
860,0,0,0,0,0,-16.6,-870.12,546.87,0.45,-0.38,-0.32
891,0,0,0,0,0,-7.81,-855.47,560.06,-0.9,-0.9,-3.34
922,0,0,0,0,0,-13.18,-863.28,551.27,-1.25,-0.3,1.05
953,0,0,0,0,0,-14.16,-875.49,548.83,-0.06,0.44,-0.08
984,0,0,0,0,0,-30.76,-863.77,546.87,0.49,-1.53,-0.15
1015,0,0,0,0,0,-9.28,-861.33,561.04,-0.07,0.79,2.02
1046,0,0,0,0,0,-9.77,-865.23,565.92,0.05,-0.85,-1.4
