currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
13914,768.18,765.62,754.09,761.36,762.31,-106.93,-704.59,568.85,54.35,-15.21,-17.92,2784,0,-2.39425,-12.4503,-67.216,208.937,-3355.65,736.232,-49.988,-3.03961,0,72
13945,767.33,766.41,754.6,763.1,762.86,112.79,-825.68,603.03,6.95,11.68,-10.76,2790,0,40.2502,-7.98858,-185.537,2788.88,-1091.47,3284.28,-5.90244,-15.0128,0,72
13975,772.65,768.28,755.06,765.01,765.25,68.36,-776.37,605.96,36.92,-10.93,-10.61,2796,0,42.5117,-7.3552,-254.319,3300.27,-747.834,2413.27,-2.94058,-12.9777,0,72
14006,784.65,770.19,755.44,766.86,769.28,-38.09,-844.24,579.59,42.96,-7.25,-4.46,2802,0,39.2234,10.9719,-265.529,166.927,-832.535,1873.36,-3.13542,-0.62922,0,72
14036,797.2,771.55,755.66,767.96,773.09,-41.5,-894.53,579.59,14.47,3.57,-0.51,2808,0,48.8133,12.1885,-341.532,1825.43,-180.982,1920.09,-0.531231,-5.34275,0,72
14066,801.26,772.61,755.91,768.55,774.58,-20.51,-837.89,583.01,-2.84,4.91,-4.33,2814,0,67.3812,1.36629,-460.915,6753.41,764.188,2548.4,1.6572,-14.649,0,72
14097,801.74,773.95,756.17,769.53,775.35,-25.39,-849.61,572.75,-9.74,3.29,-4.92,2820,0,84.1407,-12.1081,-570.86,11841.5,1766.27,3302.48,3.09388,-20.7425,0,72
14128,803.42,774.79,756.41,770.92,776.38,-21.97,-865.23,565.43,0.75,-1.16,-3.54,2827,0,92.396,-10.3959,-607.758,11937.9,2954.31,3430.18,4.86095,-19.6426,0,72
14159,805.65,775.07,756.64,772.08,777.36,-6.35,-841.8,580.08,7.15,-1.79,-2.98,2833,0,99.9824,-7.07224,-622.768,10441.2,3997.27,3375.61,6.41846,-16.766,0,72
14189,806.33,775.21,756.77,772.72,777.76,-17.58,-831.54,601.07,-3.67,1.99,-0.01,2839,0,104.47,-5.58254,-657.989,10176.5,4537.3,3365.21,6.89573,-15.4661,0,72
14220,806.58,775.38,756.89,773.16,778,-2.93,-827.64,584.47,-0.95,0.52,-2.12,2845,0,104.368,-6.77521,-690.08,10447.6,4496.27,3219.06,6.5156,-15.1397,0,72
14250,806.82,775.57,757.01,773.64,778.26,-13.67,-833.01,604,-0.19,0.89,-2.9,2851,0,101.099,-3.80039,-698.15,9750.51,4258.18,2913.96,6.09923,-13.9662,0,72
