currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,778.47,782.28,759.58,768.72,772.26,-18.07,-899.41,494.14,-1.14,-1.52,-0.84
54,778.47,782.23,759.50,768.59,772.20,-20.02,-912.60,485.35,0.99,0.76,-1.48
84,778.39,782.17,759.54,768.49,772.15,-28.81,-896.97,488.28,0.11,0.00,0.94
115,778.23,782.08,759.47,768.42,772.05,-21.48,-899.90,480.47,-0.99,0.66,0.31
146,778.28,782.10,759.42,768.25,772.01,-11.72,-903.81,493.65,-0.34,1.39,-3.18
176,778.50,782.14,759.44,768.25,772.08,-22.95,-893.07,471.19,0.24,0.61,-0.36
207,778.79,782.16,759.47,768.29,772.18,-10.25,-901.37,488.77,-0.93,-0.01,0.24
240,778.84,782.28,759.43,768.56,772.28,-15.63,-900.39,491.70,0.29,-1.32,1.52
271,778.73,782.37,759.52,768.73,772.34,-18.55,-907.71,483.89,1.27,0.15,-2.89
302,778.68,782.38,759.61,768.95,772.40,-1.95,-907.71,481.45,0.40,-0.88,-2.24
333,778.54,782.45,759.58,769.01,772.39,-11.72,-895.51,492.19,0.28,1.76,-2.41
364,778.50,782.46,759.64,769.05,772.41,-13.67,-901.37,477.05,-0.37,1.37,-2.91
395,778.51,782.59,759.53,769.19,772.45,-13.18,-909.67,476.07,-1.66,1.62,0.01
426,778.55,782.50,759.66,769.22,772.48,-11.23,-900.88,485.84,1.50,0.73,-1.69
457,778.61,782.50,759.66,769.30,772.52,-6.35,-901.37,487.30,0.66,3.34,0.53
488,779.04,782.52,759.63,769.38,772.64,-5.37,-910.16,479.98,-0.80,1.07,-0.91
519,779.34,782.60,759.72,769.38,772.76,-25.88,-896.48,490.23,1.26,-0.47,0.67
550,779.28,782.58,759.67,769.48,772.75,-5.37,-903.81,486.33,-1.60,0.21,0.42
581,778.91,782.53,759.62,769.55,772.65,-14.16,-904.30,475.59,-0.63,0.98,1.11
612,778.58,782.42,759.71,769.61,772.58,-7.32,-903.81,480.96,-0.01,-2.02,0.50
643,778.31,782.37,759.76,769.69,772.53,-12.70,-895.02,484.86,0.46,0.56,1.28
674,778.10,782.37,759.69,769.71,772.47,-9.77,-892.58,480.47,-0.37,2.39,-0.56
705,778.01,782.31,759.78,769.65,772.44,-15.63,-896.48,482.91,0.21,1.56,-1.11
736,778.14,782.22,759.75,769.62,772.43,-20.02,-903.81,486.33,0.79,-0.87,-2.15
767,778.11,782.27,759.66,769.47,772.37,-11.72,-895.51,476.07,-2.98,0.60,1.08
797,777.95,782.14,759.69,769.41,772.30,-2.44,-893.07,487.79,-0.31,1.85,-0.47
828,777.93,782.06,759.71,769.35,772.26,-2.44,-898.44,499.02,0.05,0.58,0.79
859,778.06,782.04,759.66,769.17,772.23,-3.91,-904.30,486.82,-0.11,2.21,0.95
890,777.76,781.95,759.56,769.01,772.07,11.23,-868.16,449.22,-5.80,0.95,0.06
921,777.96,781.96,759.62,768.95,772.12,-39.06,-938.48,482.42,3.69,0.14,-2.21
952,778.54,781.96,759.47,768.64,772.15,-22.46,-902.34,479.98,-1.60,0.31,-2.85
983,777.83,781.83,759.51,768.49,771.92,-15.14,-886.72,481.45,-4.48,3.39,-0.37
1014,777.68,781.85,759.46,768.36,771.84,-16.11,-909.18,479.98,0.30,1.40,1.55
1045,777.59,781.76,759.33,768.12,771.70,-17.58,-896.00,485.84,-1.91,0.20,-1.69
1076,777.38,781.69,759.44,767.96,771.62,-6.84,-892.09,489.75,-2.98,0.50,-0.63
1107,777.29,781.81,759.33,767.81,771.56,-13.67,-911.62,479.98,-1.54,2.34,-0.44
1138,777.41,781.68,759.32,767.66,771.52,-6.84,-899.90,477.05,-2.27,0.37,1.09
1169,777.39,781.69,759.28,767.53,771.47,-15.63,-895.02,480.47,-1.52,0.26,-1.61
1200,777.46,781.66,759.18,767.35,771.42,-8.30,-900.88,476.56,0.44,0.03,-1.12
1231,777.36,781.62,759.27,767.42,771.42,-3.42,-891.11,494.63,-0.47,-1.02,-0.56
1262,777.35,781.63,759.23,767.44,771.41,-17.09,-901.86,476.56,-0.19,0.18,-0.75
