currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,0,0,0,0,0,-18.07,-899.41,494.14,-1.14,-1.52,-0.84
54,0,0,0,0,0,-20.02,-912.6,485.35,0.99,0.76,-1.48
84,0,0,0,0,0,-28.81,-896.97,488.28,0.11,0,0.94
115,0,0,0,0,0,-21.48,-899.9,480.47,-0.99,0.66,0.31
146,0,0,0,0,0,-11.72,-903.81,493.65,-0.34,1.39,-3.18
176,0,0,0,0,0,-22.95,-893.07,471.19,0.24,0.61,-0.36
207,0,0,0,0,0,-10.25,-901.37,488.77,-0.93,-0.01,0.24
240,0,0,0,0,0,-15.63,-900.39,491.7,0.29,-1.32,1.52
271,0,0,0,0,0,-18.55,-907.71,483.89,1.27,0.15,-2.89
302,0,0,0,0,0,-1.95,-907.71,481.45,0.4,-0.88,-2.24
333,0,0,0,0,0,-11.72,-895.51,492.19,0.28,1.76,-2.41
364,0,0,0,0,0,-13.67,-901.37,477.05,-0.37,1.37,-2.91
395,0,0,0,0,0,-13.18,-909.67,476.07,-1.66,1.62,0.01
426,0,0,0,0,0,-11.23,-900.88,485.84,1.5,0.73,-1.69
457,0,0,0,0,0,-6.35,-901.37,487.3,0.66,3.34,0.53
488,0,0,0,0,0,-5.37,-910.16,479.98,-0.8,1.07,-0.91
519,0,0,0,0,0,-25.88,-896.48,490.23,1.26,-0.47,0.67
550,0,0,0,0,0,-5.37,-903.81,486.33,-1.6,0.21,0.42
581,0,0,0,0,0,-14.16,-904.3,475.59,-0.63,0.98,1.11
612,0,0,0,0,0,-7.32,-903.81,480.96,-0.01,-2.02,0.5
643,0,0,0,0,0,-12.7,-895.02,484.86,0.46,0.56,1.28
674,0,0,0,0,0,-9.77,-892.58,480.47,-0.37,2.39,-0.56
705,0,0,0,0,0,-15.63,-896.48,482.91,0.21,1.56,-1.11
736,0,0,0,0,0,-20.02,-903.81,486.33,0.79,-0.87,-2.15
767,0,0,0,0,0,-11.72,-895.51,476.07,-2.98,0.6,1.08
797,0,0,0,0,0,-2.44,-893.07,487.79,-0.31,1.85,-0.47
828,0,0,0,0,0,-2.44,-898.44,499.02,0.05,0.58,0.79
859,0,0,0,0,0,-3.91,-904.3,486.82,-0.11,2.21,0.95
890,0,0,0,0,0,11.23,-868.16,449.22,-5.8,0.95,0.06
921,0,0,0,0,0,-39.06,-938.48,482.42,3.69,0.14,-2.21
952,0,0,0,0,0,-22.46,-902.34,479.98,-1.6,0.31,-2.85
983,0,0,0,0,0,-15.14,-886.72,481.45,-4.48,3.39,-0.37
1014,0,0,0,0,0,-16.11,-909.18,479.98,0.3,1.4,1.55
1045,0,0,0,0,0,-17.58,-896,485.84,-1.91,0.2,-1.69
1076,0,0,0,0,0,-6.84,-892.09,489.75,-2.98,0.5,-0.63
1107,0,0,0,0,0,-13.67,-911.62,479.98,-1.54,2.34,-0.44
1138,0,0,0,0,0,-6.84,-899.9,477.05,-2.27,0.37,1.09
1169,0,0,0,0,0,-15.63,-895.02,480.47,-1.52,0.26,-1.61
1200,0,0,0,0,0,-8.3,-900.88,476.56,0.44,0.03,-1.12
1231,0,0,0,0,0,-3.42,-891.11,494.63,-0.47,-1.02,-0.56
1262,0,0,0,0,0,-17.09,-901.86,476.56,-0.19,0.18,-0.75
1293,0,0,0,0,0,-11.23,-918.46,471.19,0.71,1.76,-2.5
1324,0,0,0,0,0,-18.55,-905.76,470.21,-0.69,0.33,-2.75
1355,0,0,0,0,0,-21.97,-898.44,468.75,-0.08,-0.69,0.08
1386,0,0,0,0,0,-18.07,-901.86,480.47,-0.51,2.37,-2.18
1417,0,0,0,0,0,-24.9,-900.39,480.96,-0.92,1.54,2.58
1447,0,0,0,0,0,-17.58,-899.9,479.49,0.46,0.95,-0.76
1477,0,0,0,0,0,-14.16,-909.67,474.61,0.79,0.44,-1.22
1508,0,0,0,0,0,-12.7,-897.46,490.23,2.79,0.12,-0.86
1538,0,0,0,0,0,-18.07,-893.07,478.03,1.34,-0.46,0.74
1569,0,0,0,0,0,-18.07,-899.9,478.52,0.08,0.43,-1.66
1599,0,0,0,0,0,-25.88,-887.7,499.02,1.48,-3.42,1.24
1630,0,0,0,0,0,-13.18,-914.55,485.35,-0.53,2.32,-2.83
1661,0,0,0,0,0,-20.51,-907.71,485.84,-0.02,3.06,-0.14
1691,0,0,0,0,0,-26.86,-897.95,492.68,-1.39,3.24,-3.24
1722,0,0,0,0,0,-6.84,-905.27,482.91,-2.33,1.9,-2.25
1753,0,0,0,0,0,-24.41,-911.13,479,-0.4,1.42,0.63
1783,0,0,0,0,0,-21.48,-905.76,476.56,-0.77,-0.22,-0.2
1814,0,0,0,0,0,-31.25,-894.04,492.19,0.66,-2.11,-0.5
1845,0,0,0,0,0,-22.46,-891.11,492.19,6.64,-5.2,-3.18
1876,0,0,0,0,0,-17.09,-910.64,470.7,-1.03,0.67,-0.92
1907,0,0,0,0,0,-8.79,-907.23,470.7,1.37,1.82,0.53
1938,0,0,0,0,0,-2.93,-899.9,492.19,1.15,-0.64,-0.78
1969,0,0,0,0,0,-19.04,-900.39,492.68,3.19,-0.39,-0.35
2000,0,0,0,0,0,-19.53,-891.6,474.61,0.18,-0.5,-2.37
2030,0,0,0,0,0,-8.79,-915.53,461.43,0.76,0.44,0.66
2061,0,0,0,0,0,-12.7,-888.67,483.89,0.2,-0.31,0.7
2092,0,0,0,0,0,-11.72,-897.46,488.77,-2.08,-0.9,2.05
2123,0,0,0,0,0,-9.28,-885.74,483.89,-0.08,1.56,-0.18
2154,0,0,0,0,0,-22.46,-894.53,499.02,0.74,-1.39,0.95
2185,0,0,0,0,0,-26.37,-911.62,472.17,1.43,-1.8,1
2216,0,0,0,0,0,-15.63,-904.3,489.26,2.44,-1.11,-0.59
2247,0,0,0,0,0,-13.18,-896.48,478.03,-0.12,-0.72,-2.44
2278,0,0,0,0,0,-31.25,-894.04,473.14,1.66,-1.79,-1.94
2309,0,0,0,0,0,-21,-890.62,485.35,-0.57,-0.5,-1.79
