currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
10497,774.49,782.15,760.11,769.97,771.68,-0.49,-885.25,499.02,-1.09,2.57,0.82,2100,0,3.50975,9.11748,-46.985,-1695.53,-1952.55,-685.316,-41.3968,36.0717,0,73
10528,774.62,782.04,760.07,769.84,771.64,-3.42,-894.53,498.54,0.69,1.11,-2.4,2107,0,11.9015,10.4757,-126.276,-3326.76,-5818.31,-1386.58,-46.0828,26.3426,0,73
10559,774.87,781.94,759.96,769.6,771.59,-17.09,-899.9,492.19,-2.69,1.02,1.64,2113,0,33.9125,12.3187,-216.537,-3637.46,-9742.68,-1787.02,-44.9574,16.8933,0,73
10590,775.14,781.9,759.87,769.3,771.55,-14.16,-895.51,505.86,-2.37,1.14,0.82,2119,0,53.4426,11.7458,-367.498,3617.66,-19345.9,-2032.88,-52.6359,-9.79863,0,73
10621,775.61,781.85,759.83,769.17,771.61,-26.37,-898.44,490.23,0.01,0.5,0.78,2125,0,64.7727,3.81835,-435.778,8735.4,-23431.3,-1223.6,-53.7688,-20.0455,0,73
10652,776.21,781.78,759.78,769.05,771.71,-24.9,-892.09,500.98,1.46,0.25,0.09,2131,0,75.9279,-0.266665,-420.82,7395.21,-20887.5,-132.077,-49.635,-17.5733,0,73
10683,776.66,781.82,759.73,768.95,771.79,-14.65,-891.6,502.44,-0.02,-0.34,2.82,2138,0,77.6168,-2.16373,-440.177,7139.25,-21506.1,-427.332,-48.8571,-16.2191,0,73
10714,777.06,781.73,759.77,768.88,771.86,-22.95,-895.51,498.05,1.21,0.72,-1.21,2144,0,74.1981,4.25208,-476.131,6817.91,-23807.8,-1956.33,-50.0025,-14.32,0,73
10745,777.23,781.76,759.76,768.95,771.93,-14.65,-884.77,493.16,0.98,1.02,0.01,2150,0,79.3726,10.7896,-509.565,6281.48,-25287.2,-2423.62,-49.6257,-12.3275,0,73
10776,777.43,781.82,759.76,769.05,772.01,-30.76,-889.65,497.56,0.92,-0.64,-0.62,2156,0,83.2128,11.9543,-533.134,6852.51,-26462.9,-2220.5,-49.6365,-12.8529,0,73
10807,777.69,781.89,759.7,769.11,772.1,-22.46,-901.86,508.3,0.05,-3.42,-1.16,2162,0,79.3648,8.30207,-541.029,7844.19,-27153.6,-2327.63,-50.1889,-14.4987,0,73
10838,777.74,781.75,759.71,769.12,772.08,-19.53,-905.76,500.98,0.81,1.08,-0.48,2169,0,74.8757,5.91168,-541.51,9631.52,-27679.7,-2532.06,-51.1158,-17.7866,0,73
10868,777.69,781.73,759.74,769.14,772.08,-16.6,-890.62,504.39,-2.75,0.89,-3.15,2175,0,73.409,6.40366,-531.18,10384,-27237.1,-2435.42,-51.2764,-19.5491,0,73
10898,777.44,781.71,759.77,769.2,772.03,-20.51,-893.55,492.19,0.11,-2.47,-1.63,2181,0,70.4574,5.35246,-517.136,10863.5,-26487.2,-2229.74,-51.2193,-21.0076,0,73
10929,777.42,781.7,759.76,769.18,772.02,-9.28,-896,497.56,0.34,1.05,0.08,2187,0,64.2264,3.36899,-500.389,11285.5,-25969.8,-2230.69,-51.8996,-22.5539,0,73
10959,777.46,781.78,759.74,769.21,772.05,-9.77,-903.32,491.21,0.89,-0.87,1.05,2193,0,59.3745,1.80738,-485.326,11513.5,-25480.4,-2543.52,-52.5017,-23.7235,0,73
10990,777.61,781.66,759.84,769.28,772.1,-21.97,-891.11,503.91,0.63,0.46,-1.24,2199,0,55.4224,1.52511,-467.443,11265.1,-24644.1,-2619.83,-52.7212,-24.0995,0,73
11021,777.65,781.8,759.81,769.41,772.17,-9.77,-888.67,510.25,0.56,-0.16,-2.01,2205,0,52.0796,1.63757,-447.45,11289,-23777,-2648.48,-53.1391,-25.2306,0,73
11051,777.63,781.8,759.78,769.43,772.16,-23.93,-888.18,498.05,-0.91,1.69,-0.25,2211,0,48.8048,-0.138988,-429.947,12260.3,-23284.1,-2665.74,-54.1557,-28.5168,0,73
11082,777.49,781.9,759.93,769.52,772.21,-21.48,-885.25,500.98,-1.76,4.52,0.62,2217,0,46.2803,0.0130814,-419.158,12948.9,-22971.7,-2611.28,-54.8046,-30.8927,0,73
11113,777.23,781.94,759.99,769.74,772.22,-13.67,-893.07,500,-1.68,1.31,-2.29,2224,0,43.9034,-0.212367,-402.961,12559.4,-22135,-2574.98,-54.9311,-31.1681,0,73
11144,776.94,782.01,760.05,769.99,772.25,-19.04,-894.04,493.65,1.8,2.05,-0.14,2230,0,42.7162,-1.33911,-395.279,12771.3,-21709.6,-2486.74,-54.9222,-32.3095,0,73
11174,776.7,782.14,760.22,770.32,772.34,-24.41,-895.51,485.84,-0.14,0.72,-2.63,2236,0,42.3635,-1.65737,-393.653,13330.6,-21768.9,-2462.07,-55.2997,-33.8638,0,73
11205,776.31,782.31,760.34,770.75,772.43,-22.46,-885.74,503.42,-0.15,-1.6,-1.95,2242,0,41.5141,-1.68934,-391.059,13431.2,-21715.4,-2402.63,-55.5299,-34.3458,0,73
11236,775.82,782.65,760.59,771.32,772.6,-20.02,-904.79,505.86,-0.27,0.44,-0.83,2248,0,40.652,-1.83648,-386.316,13386.9,-21467,-2348.24,-55.5685,-34.6527,0,73
11267,775.1,782.76,760.81,771.87,772.63,-13.67,-894.04,519.04,0.13,2.71,-5.21,2254,0,39.8454,-2.08411,-383.477,13444.2,-21329.7,-2481.54,-55.622,-35.0587,0,73
11298,774.42,782.78,760.98,772.13,772.58,-15.14,-898.93,502.93,-0.8,1.45,-3.83,2261,0,39.5759,-1.41516,-381.922,13612.6,-21347.4,-2429.61,-55.8948,-35.6423,0,73
11329,774.19,782.82,761.1,772.46,772.64,-12.21,-879.88,505.86,0.42,-2.19,-0.05,2267,0,39.3256,-1.29174,-380.045,13722.7,-21349.6,-2366.09,-56.1765,-36.1081,0,73
11360,774.3,782.86,761.18,772.47,772.7,-15.63,-900.39,514.65,1.72,-1.71,1.47,2273,0,39.1579,-1.07611,-379.123,14114.8,-21432.8,-2265.79,-56.5326,-37.23,0,73
11391,774.33,782.8,761.16,772.29,772.64,-17.58,-901.37,502.93,1.83,-3.18,1.57,2279,0,38.9832,-1.59893,-378.689,14541.3,-21507.7,-2311.92,-56.7951,-38.3991,0,73
11422,774.32,782.66,761.02,772.14,772.53,-23.44,-900.39,496.09,0.04,1.09,-0.6,2285,0,38.8588,-1.92295,-376.514,14770.8,-21517.5,-2127.1,-57.1494,-39.2305,0,73
11453,774.31,782.54,760.79,771.81,772.36,-7.32,-893.07,490.72,0.7,1.21,-0.38,2292,0,38.4224,-2.29489,-374.148,14955.4,-21442.9,-1996.22,-57.3114,-39.9718,0,73
11484,774.35,782.39,760.73,771.39,772.21,-14.16,-877.93,497.07,-1.37,-0.77,0.79,2298,0,38.2604,-2.95275,-372.147,15296.3,-21382.8,-2058.88,-57.4578,-41.1029,0,73
11515,774.53,782.24,760.54,771.01,772.08,-29.3,-902.83,488.77,0.54,1.79,0.58,2304,0,37.7004,-3.36031,-369.764,15586,-21332.8,-1977.74,-57.6929,-42.1513,0,73
11546,774.83,782.14,760.38,770.45,771.95,-21.97,-893.07,504.88,1.68,-0.85,0.76,2310,0,37.7195,-4.09114,-369.522,16251.6,-21500.3,-1849.08,-58.184,-43.9799,0,73
11577,775.34,782,760.33,769.91,771.9,-17.58,-886.72,510.74,-0.11,1.1,0.05,2316,0,38.021,-4.48564,-372.345,16882.5,-21768.2,-1829.21,-58.4624,-45.341,0,73
11608,775.82,781.77,760.13,769.39,771.78,-10.74,-887.21,496.09,1.1,1.21,0.18,2323,0,38.418,-4.70967,-374.429,17357.7,-21911.2,-1648.42,-58.519,-46.3578,0,73
11639,776.42,781.75,760.01,768.81,771.75,-15.14,-886.23,499.02,-1.02,1.21,1.27,2329,0,38.5936,-4.95037,-375.818,17571.8,-22083.2,-1536.66,-58.7603,-46.7561,0,73
11670,777.14,781.58,759.79,768.27,771.69,-21.48,-891.11,495.61,-1.66,-0.2,0.18,2335,0,38.5969,-5.11835,-377.664,17806.5,-22153.3,-1525.75,-58.6588,-47.149,0,73
11701,777.81,781.56,759.63,768.06,771.76,-23.44,-889.16,498.54,-0.51,0.98,-0.69,2341,0,39.4297,-5.19953,-380.459,17909.7,-22296.8,-1461.16,-58.6051,-47.0738,0,73
11732,777.98,781.32,759.59,767.78,771.67,-15.14,-886.23,493.16,-1.59,0.98,-0.87,2347,0,39.849,-5.57999,-383.556,18130.7,-22378.1,-1477.54,-58.3438,-47.27,0,73
11763,778.31,781.2,759.4,767.51,771.61,-3.42,-894.04,496.58,-1.47,1.76,0.87,2354,0,40.0735,-5.27387,-385.562,18074.8,-22532.2,-1425.51,-58.4398,-46.8792,0,73
11794,778.83,781.18,759.25,767.24,771.62,-10.74,-887.21,499.02,0.24,0.37,0.82,2360,0,40.6875,-5.17309,-384.432,17652.4,-22413.6,-1427.65,-58.3031,-45.9179,0,73
11826,779.36,781.1,759.21,766.98,771.66,-26.37,-900.88,503.42,1.47,1.26,-0.4,2366,0,40.0913,-4.95238,-381.451,17283.4,-22254.6,-1640.42,-58.3419,-45.3097,0,73
11857,779.77,780.98,759.09,766.72,771.64,-29.79,-884.28,503.42,-1.31,2.01,-1.12,2372,0,39.4573,-4.59727,-379.659,17160.5,-22215.3,-1641,-58.5139,-45.1997,0,73
11889,780.21,780.81,759,766.41,771.61,-20.51,-901.37,504.39,-0.4,1.27,-2.44,2379,0,39.6433,-4.66339,-381.592,17286.9,-22298.7,-1637.05,-58.4359,-45.302,0,73
11919,780.61,780.72,758.97,766.22,771.63,-17.58,-883.3,497.07,-1.31,-0.85,0,2385,0,40.2076,-5.25749,-384.05,17396.1,-22438.5,-1439.43,-58.426,-45.2964,0,73
11950,781.02,780.61,758.9,766,771.63,-14.65,-897.46,500,-0.73,-0.41,2.41,2391,0,40.0871,-5.60313,-386.427,17499.8,-22576.6,-1548.54,-58.424,-45.2862,0,73
11981,781.41,780.49,758.87,765.81,771.64,-18.55,-891.6,504.39,-2.47,2.81,0.73,2397,0,40.1085,-5.91569,-387.505,17476.6,-22567.1,-1493.46,-58.2368,-45.1003,0,73
12013,781.76,780.41,758.76,765.63,771.64,-26.37,-890.14,506.35,1.16,-1.14,1.53,2404,0,40.8082,-6.10475,-389.441,17105.6,-22587.2,-1505.94,-57.9991,-43.9237,0,73
12043,782.33,780.36,758.74,765.46,771.72,-31.25,-902.34,500,0.06,0.48,1.37,2410,0,41.6786,-5.40302,-390.771,16489.5,-22542.4,-1660.73,-57.6871,-42.1973,0,73
12074,782.84,780.27,758.7,765.34,771.79,-25.39,-891.11,495.61,0.18,-1.79,0.37,2416,0,41.7664,-5.21489,-393.38,15895.8,-22539.2,-1649.09,-57.2964,-40.4085,0,73
12105,783,780.18,758.69,765.34,771.8,-26.86,-896.97,487.3,-0.73,-1.44,-0.68,2422,0,43.1427,-4.35844,-398.598,15371.3,-22654.9,-1830.37,-56.8363,-38.5634,0,73
12136,783.13,780.22,758.66,765.12,771.78,-29.3,-897.95,500.49,-0.41,-0.34,1.08,2428,0,44.8194,-3.88527,-407.468,14757.6,-22823.2,-1806.32,-56.0125,-36.2183,0,73
12167,783.27,780.11,758.65,765.18,771.8,-30.27,-898.93,502.44,-0.37,1.27,0,2434,0,47.1574,-2.16494,-416.456,13756.2,-22990.4,-1953.61,-55.205,-33.0321,0,73
12198,783.55,780.04,758.65,765.15,771.85,-27.34,-895.02,503.91,-0.89,2.02,2.18,2441,0,48.8487,0.260987,-422.872,12306.7,-23011,-2052.74,-54.4161,-29.1028,0,73
12229,783.71,780.01,758.66,765.04,771.85,-24.41,-878.91,501.46,-0.18,0.12,-2.74,2447,0,49.5257,2.63169,-424.483,11396.2,-23043.4,-2158.22,-54.2859,-26.8475,0,73
12260,783.86,779.94,758.61,765.02,771.86,-24.41,-884.77,494.14,0.73,-0.04,-0.75,2453,0,49.3885,3.87334,-428.472,10979.7,-23199,-2202.9,-54.1435,-25.6253,0,73
12291,783.99,779.92,758.64,765.12,771.92,-34.18,-886.23,499.02,-2.15,-0.86,0.43,2459,0,50.3236,3.19139,-435.634,11327.1,-23587.5,-1968.95,-54.1453,-26.0015,0,73
12322,783.77,779.89,758.64,765.23,771.88,-24.41,-890.14,512.7,-0.94,-0.05,-0.46,2465,0,49.5788,2.57612,-432.775,11486.3,-23533.7,-1841.04,-54.3785,-26.5411,0,73
12353,783.71,779.94,758.71,765.31,771.92,-21.97,-898.44,488.28,0.61,-1.7,-1.67,2472,0,47.1412,2.60477,-423.652,11676.9,-23188.1,-1708.26,-54.7339,-27.5626,0,73
12384,783.55,779.95,758.72,765.42,771.91,-35.16,-886.23,493.16,0.18,-0.18,-1.89,2478,0,45.9626,3.35002,-413.334,11778.6,-22699.3,-1631.76,-54.9173,-28.4968,0,73
12415,783.49,779.94,758.79,765.5,771.93,-27.34,-897.46,484.37,-0.29,-0.31,-2.09,2484,0,45.0943,3.90434,-404.134,12039.9,-22289.3,-1657.73,-55.1535,-29.792,0,73
12445,783.2,780.02,758.8,765.65,771.92,-23.44,-896.97,496.09,0.19,0.76,-1.88,2490,0,43.5316,3.95451,-395.685,12407.2,-21999.2,-1764.94,-55.5978,-31.3566,0,73
12475,783.02,780.06,758.85,765.74,771.92,-21.48,-906.25,496.58,-0.26,1.47,-1.04,2496,0,42.123,3.08461,-388.538,13112.5,-21817.7,-1830.65,-56.1534,-33.7485,0,73
12506,783.11,780.11,758.93,765.86,772,-21,-892.58,494.14,0.83,-0.74,-2.41,2502,0,40.9686,1.8318,-381.485,14039.1,-21635.7,-1783.29,-56.7142,-36.8015,0,73
12536,782.97,780.09,758.98,765.82,771.97,-13.18,-892.09,499.02,1.52,-0.11,-1.96,2508,0,41.382,0.562326,-376.382,14897.4,-21560.5,-1714.69,-57.2836,-39.581,0,73
12567,782.7,780.12,759.01,765.9,771.93,-33.69,-892.58,506.84,0.45,-0.63,0.8,2514,0,41.2485,-0.642732,-372.511,15938.9,-21511,-1488.04,-57.7458,-42.788,0,73
12601,782.46,780.08,758.99,765.92,771.86,-18.07,-879.39,497.56,1.65,1.21,-0.21,2521,0,40.6969,-1.8048,-366.233,17107.8,-21440.3,-1466.36,-58.5429,-46.713,0,73
12632,782.91,780.17,758.99,765.98,772.01,-26.86,-895.02,511.23,1.24,-0.28,-0.33,2527,0,39.9326,-1.36776,-364.443,17828.4,-21533.1,-1587.66,-59.085,-48.9195,0,73
12663,783.59,780.11,758.99,765.64,772.08,-15.63,-888.18,500.49,1.15,-1.4,0.48,2534,0,38.719,-1.05613,-358.896,18004.1,-21301.2,-1566.75,-59.3521,-50.1655,0,73
12693,784.59,779.92,758.81,765.15,772.12,-19.53,-884.77,508.79,0.38,-2.9,3.93,2540,0,38.1535,-1.5991,-355.903,18516,-21252,-1660.18,-59.7128,-52.0255,0,73
12724,786.02,779.84,758.69,764.75,772.32,-41.02,-891.6,488.28,0.69,1.76,0.52,2546,0,38.0203,-1.45988,-355.888,19138.9,-21408.4,-1460.97,-60.155,-53.7779,0,73
12755,787.12,779.6,758.54,764.19,772.36,-14.16,-895.02,500,-3.16,-2.36,2.92,2552,0,37.923,-1.29485,-354.494,19558.1,-21487.7,-1580.73,-60.6152,-55.1721,0,73
12785,788.22,779.47,758.45,763.8,772.49,-22.95,-896,498.54,-1.79,1.25,3.12,2558,0,37.5341,-1.43392,-351.866,19869.5,-21502.9,-1668.13,-61.1111,-56.469,0,73
12816,789.83,779.14,758.29,763.52,772.69,-35.16,-889.16,497.07,-3.31,3.19,0.31,2564,0,36.9203,-1.00847,-349.022,20141.2,-21436.1,-1805.35,-61.4177,-57.7076,0,73
12847,790.65,779.04,758.2,763.52,772.85,-50.29,-917.48,464.84,-2.4,0.54,-1.41,2570,0,36.3427,-1.31269,-345.853,20546.5,-21428.9,-1694.41,-61.9595,-59.4082,0,73
