currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,796.32,765.38,756.04,761.42,769.79,-51.76,-940.43,407.71,0.32,-1.00,-1.25
71,796.70,765.35,756.11,761.41,769.89,-50.78,-939.94,398.93,0.14,1.43,1.59
102,797.07,765.34,756.15,761.51,770.02,-54.20,-940.43,402.34,-0.05,0.79,1.27
133,797.28,765.32,756.06,761.50,770.04,-59.08,-947.75,399.41,1.29,-2.08,-1.84
163,797.66,765.35,756.11,761.53,770.17,-61.52,-941.41,393.55,0.95,-1.40,0.17
194,798.08,765.41,756.10,761.59,770.30,-63.48,-937.01,399.41,1.83,0.69,1.47
225,798.39,765.38,756.09,761.50,770.34,-49.32,-930.66,404.30,1.29,0.13,-0.21
256,798.66,765.34,756.11,761.61,770.43,-52.25,-939.94,412.60,1.82,1.45,-1.24
286,798.85,765.42,756.17,761.61,770.51,-57.62,-928.22,411.13,-2.22,-0.40,-1.44
317,799.03,765.37,756.15,761.65,770.55,-52.73,-929.69,422.85,-0.27,-1.52,2.22
348,799.04,765.38,756.21,761.63,770.56,-43.46,-942.38,407.71,0.91,0.24,-1.55
379,799.09,765.38,756.15,761.74,770.59,-54.69,-942.87,412.11,0.45,2.06,-0.92
410,799.10,765.36,756.19,761.70,770.59,-54.20,-932.13,398.93,0.42,-1.42,0.50
441,799.19,765.38,756.21,761.66,770.61,-55.66,-938.96,403.32,-1.99,-1.85,0.63
472,799.21,765.41,756.10,761.64,770.59,-60.55,-940.92,412.60,-0.72,-0.90,-0.60
503,799.20,765.35,756.09,761.65,770.57,-51.76,-942.38,389.65,-1.70,2.66,0.51
534,799.12,765.35,756.06,761.53,770.51,-53.22,-933.59,396.48,-0.17,-0.26,-1.59
565,799.02,765.31,756.09,761.50,770.48,-52.25,-947.27,419.92,0.54,1.27,0.56
596,799.02,765.37,756.11,761.55,770.51,-53.22,-941.89,408.69,0.21,1.20,-0.95
627,799.04,765.35,756.08,761.47,770.48,-53.22,-951.17,396.97,-1.11,0.35,0.11
658,798.92,765.31,756.16,761.48,770.47,-51.27,-930.66,413.57,-1.03,0.31,2.40
689,798.88,765.38,756.11,761.54,770.48,-49.80,-937.99,402.34,0.08,-0.82,-0.75
720,799.04,765.44,756.14,761.65,770.57,-61.04,-929.69,411.62,-0.36,-1.01,-0.71
751,799.24,765.41,756.12,761.64,770.60,-53.71,-948.24,417.97,-2.38,0.31,-1.28
782,799.31,765.36,756.11,761.67,770.62,-70.31,-929.20,421.39,-1.31,0.69,-0.41
813,799.02,765.32,756.09,761.58,770.50,-39.55,-937.01,401.86,-1.79,-0.39,0.64
844,798.46,765.34,756.12,761.57,770.37,-48.34,-932.62,403.81,-0.16,-0.92,-0.06
874,797.83,765.45,756.14,761.92,770.34,-51.76,-939.45,405.27,-1.00,-1.34,-2.57
905,796.53,765.83,756.12,762.18,770.17,-56.15,-944.82,411.13,0.40,1.11,-3.18
936,795.17,766.20,756.18,762.41,769.99,-49.32,-930.18,401.37,-0.60,1.72,-3.21
967,794.27,766.30,756.20,762.53,769.83,-52.25,-932.13,398.93,-1.94,2.21,-2.50
998,794.00,766.45,756.29,762.52,769.82,-48.34,-933.11,403.32,-0.47,-0.33,-3.85
1029,793.96,766.54,756.29,762.52,769.83,-62.99,-935.06,401.86,-1.70,0.54,0.15
1060,793.98,766.55,756.28,762.58,769.84,-57.62,-926.27,405.27,0.27,1.73,-1.34
