currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
22,0,0,0,0,0,-51.76,-940.43,407.71,0.32,-1,-1.25
71,0,0,0,0,0,-50.78,-939.94,398.93,0.14,1.43,1.59
102,0,0,0,0,0,-54.2,-940.43,402.34,-0.05,0.79,1.27
133,0,0,0,0,0,-59.08,-947.75,399.41,1.29,-2.08,-1.84
163,0,0,0,0,0,-61.52,-941.41,393.55,0.95,-1.4,0.17
194,0,0,0,0,0,-63.48,-937.01,399.41,1.83,0.69,1.47
225,0,0,0,0,0,-49.32,-930.66,404.3,1.29,0.13,-0.21
256,0,0,0,0,0,-52.25,-939.94,412.6,1.82,1.45,-1.24
286,0,0,0,0,0,-57.62,-928.22,411.13,-2.22,-0.4,-1.44
317,0,0,0,0,0,-52.73,-929.69,422.85,-0.27,-1.52,2.22
348,0,0,0,0,0,-43.46,-942.38,407.71,0.91,0.24,-1.55
379,0,0,0,0,0,-54.69,-942.87,412.11,0.45,2.06,-0.92
410,0,0,0,0,0,-54.2,-932.13,398.93,0.42,-1.42,0.5
441,0,0,0,0,0,-55.66,-938.96,403.32,-1.99,-1.85,0.63
472,0,0,0,0,0,-60.55,-940.92,412.6,-0.72,-0.9,-0.6
503,0,0,0,0,0,-51.76,-942.38,389.65,-1.7,2.66,0.51
534,0,0,0,0,0,-53.22,-933.59,396.48,-0.17,-0.26,-1.59
565,0,0,0,0,0,-52.25,-947.27,419.92,0.54,1.27,0.56
596,0,0,0,0,0,-53.22,-941.89,408.69,0.21,1.2,-0.95
627,0,0,0,0,0,-53.22,-951.17,396.97,-1.11,0.35,0.11
658,0,0,0,0,0,-51.27,-930.66,413.57,-1.03,0.31,2.4
689,0,0,0,0,0,-49.8,-937.99,402.34,0.08,-0.82,-0.75
720,0,0,0,0,0,-61.04,-929.69,411.62,-0.36,-1.01,-0.71
751,0,0,0,0,0,-53.71,-948.24,417.97,-2.38,0.31,-1.28
782,0,0,0,0,0,-70.31,-929.2,421.39,-1.31,0.69,-0.41
813,0,0,0,0,0,-39.55,-937.01,401.86,-1.79,-0.39,0.64
844,0,0,0,0,0,-48.34,-932.62,403.81,-0.16,-0.92,-0.06
874,0,0,0,0,0,-51.76,-939.45,405.27,-1,-1.34,-2.57
905,0,0,0,0,0,-56.15,-944.82,411.13,0.4,1.11,-3.18
936,0,0,0,0,0,-49.32,-930.18,401.37,-0.6,1.72,-3.21
967,0,0,0,0,0,-52.25,-932.13,398.93,-1.94,2.21,-2.5
998,0,0,0,0,0,-48.34,-933.11,403.32,-0.47,-0.33,-3.85
1029,0,0,0,0,0,-62.99,-935.06,401.86,-1.7,0.54,0.15
1060,0,0,0,0,0,-57.62,-926.27,405.27,0.27,1.73,-1.34
1091,0,0,0,0,0,-56.64,-950.68,402.34,2.08,2.62,-1.34
1122,0,0,0,0,0,-52.25,-943.36,409.67,0.45,2.04,-1.23
1153,0,0,0,0,0,-43.46,-934.57,406.74,-1.06,-0.68,-2.46
1184,0,0,0,0,0,-48.34,-952.15,414.06,-1.74,2.46,-0.4
1215,0,0,0,0,0,-54.2,-930.18,402.83,-0.07,-0.49,2.03
1246,0,0,0,0,0,-58.59,-920.9,405.76,1,-0.48,-1.06
1277,0,0,0,0,0,-47.85,-938.48,411.62,-1.63,-0.15,-1.63
1308,0,0,0,0,0,-58.59,-930.18,399.9,-1.24,-1.78,0.66
1339,0,0,0,0,0,-61.52,-937.99,406.74,-1.85,1.08,-0.88
1370,0,0,0,0,0,-55.18,-929.69,406.74,0.53,-0.08,-1.76
1401,0,0,0,0,0,-59.57,-945.8,394.04,0.98,0.8,-1.67
1431,0,0,0,0,0,-44.43,-941.41,393.07,1.06,-1.71,-3.78
1461,0,0,0,0,0,-69.82,-937.99,412.6,-1.36,-0.05,-0.51
1492,0,0,0,0,0,-48.34,-929.2,406.25,-1.37,0.08,0.27
1522,0,0,0,0,0,-52.73,-936.04,408.2,0.48,-2.22,1.32
1553,0,0,0,0,0,-58.11,-935.55,402.83,0.94,0.6,-0.58
1583,0,0,0,0,0,-51.76,-953.61,411.13,-0.51,0.99,-2.09
1613,0,0,0,0,0,-49.32,-944.34,400.39,-0.07,1.63,-2.03
1644,0,0,0,0,0,-50.78,-926.76,402.34,-0.37,1.95,-2.75
1675,0,0,0,0,0,-48.34,-949.71,415.53,1.4,-0.41,-1.78
1706,0,0,0,0,0,-52.73,-935.06,402.83,0.79,2.3,-2.21
1736,0,0,0,0,0,-58.59,-938.96,413.09,1.02,-0.89,-0.79
1767,0,0,0,0,0,-46.88,-940.92,407.23,-0.4,-0.44,-0.73
1798,0,0,0,0,0,-53.22,-929.2,405.76,-2.79,2.26,0.46
1828,0,0,0,0,0,-46.39,-938.96,407.23,-1.93,-0.94,-2.69
1859,0,0,0,0,0,-58.11,-940.92,408.2,1.03,0.08,-1.45
1890,0,0,0,0,0,-61.04,-935.06,402.34,0.35,0.32,0.37
1921,0,0,0,0,0,-43.46,-946.29,408.2,1.46,1.56,-0.17
1952,0,0,0,0,0,-56.15,-938.48,411.13,-1.07,-1.34,-0.56
1983,0,0,0,0,0,-52.25,-929.69,400.39,-1.87,0.96,-0.7
2014,0,0,0,0,0,-47.85,-933.59,415.04,0.77,-1.38,-0.37
2045,0,0,0,0,0,-49.8,-933.11,402.83,-1.05,-0.24,-2.2
2076,0,0,0,0,0,-62.5,-945.31,411.13,-0.2,0.7,1.68
2107,0,0,0,0,0,-59.08,-947.27,415.04,0.74,-0.13,1.15
2138,0,0,0,0,0,-49.32,-931.64,411.13,-0.11,-0.19,0.4
2169,0,0,0,0,0,-58.11,-938.96,408.69,-0.5,0.17,0.68
2200,0,0,0,0,0,-67.38,-943.36,400.39,-0.76,1.09,-1.7
2230,0,0,0,0,0,-60.55,-930.66,420.41,-0.15,-0.78,-0.96
2261,0,0,0,0,0,-61.52,-932.13,414.06,-0.9,-1.06,-1.15
2292,0,0,0,0,0,-44.43,-931.15,398.44,-0.95,-1.62,-2.64
2323,0,0,0,0,0,-57.62,-940.92,406.25,-0.46,-0.55,1.21
2354,0,0,0,0,0,-51.27,-938.48,414.06,-1.07,-0.2,-0.78
2385,0,0,0,0,0,-45.41,-940.43,403.81,-1.18,-1.39,0.87
2416,0,0,0,0,0,-43.46,-928.22,422.36,1.18,-1.73,1.31
2447,0,0,0,0,0,-61.04,-940.92,414.06,-0.34,1.05,-2.25
2478,0,0,0,0,0,-44.92,-939.94,411.13,0.46,-0.81,-0.56
2509,0,0,0,0,0,-44.43,-942.38,396.48,-0.38,-2.45,-2.06
2540,0,0,0,0,0,-51.27,-931.15,408.2,-0.63,-1.18,-0.2
2571,0,0,0,0,0,-51.27,-937.01,414.55,-0.42,-1.15,1.33
2602,0,0,0,0,0,-54.69,-936.04,411.62,-0.84,2.68,-3.79
2633,0,0,0,0,0,-47.85,-940.92,406.74,-0.7,0.67,-0.39
2664,0,0,0,0,0,-51.76,-934.08,409.67,-1.18,1.39,0.62
2695,0,0,0,0,0,-59.08,-957.03,401.86,-0.09,0.41,-0.89
2726,0,0,0,0,0,-46.88,-941.41,399.41,-0.27,1.95,-1.72
2757,0,0,0,0,0,-50.78,-941.41,404.79,0.24,-0.56,-0.89
2788,0,0,0,0,0,-40.53,-934.57,416.99,-0.37,-0.89,-0.34
2819,0,0,0,0,0,-54.2,-934.57,405.27,-0.31,-1.92,-1.65
2849,0,0,0,0,0,-42.48,-941.41,411.62,3.52,0.99,1.18
2880,0,0,0,0,0,-52.73,-936.04,399.9,-3.15,-0.42,-1.76
2911,0,0,0,0,0,-38.57,-938.96,407.23,-1.13,-0.62,0.31
2942,0,0,0,0,0,-55.18,-947.27,411.62,0.08,-0.53,-1.85
2973,0,0,0,0,0,-42.97,-940.43,408.69,0.83,-0.8,-2.98
3004,0,0,0,0,0,-57.62,-937.5,408.2,-0.44,2.39,-0.51
3034,0,0,0,0,0,-39.06,-937.01,387.7,-0.93,-0.55,-2
3064,0,0,0,0,0,-59.08,-934.57,401.37,1.23,-0.48,-1.76
3095,0,0,0,0,0,-50.29,-945.8,403.32,-0.31,-0.76,0.95
3125,0,0,0,0,0,-59.57,-940.92,406.25,0.17,-1.77,-0.5
3156,0,0,0,0,0,-65.92,-933.59,410.16,-0.51,0.15,-1.96
3186,0,0,0,0,0,-55.66,-937.5,400.88,-1.54,0.84,-2.25
3217,0,0,0,0,0,-48.34,-938.48,413.57,-1.15,0.79,0.23
3248,0,0,0,0,0,-63.48,-947.75,411.13,-0.5,1.88,-0.92
3278,0,0,0,0,0,-47.85,-930.66,412.6,-0.28,0.12,0.82
3309,0,0,0,0,0,-47.36,-945.31,400.39,-1.59,-2.02,-1.53
3340,0,0,0,0,0,-54.69,-948.73,405.27,-1.07,1.72,-0.5
3370,0,0,0,0,0,-46.88,-925.78,418.46,-1.84,1.69,-0.89
3401,0,0,0,0,0,-42.97,-942.87,403.32,0.74,-0.52,0.85
3432,0,0,0,0,0,-50.78,-939.45,405.76,0.52,0.89,-1.15
