currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
14711,754.18,758.27,754.73,757.57,756.19,-215.82,-1025.88,333.01,0.34,-34.5,-54.49,2943,0,5.19443,-6.45187,-27.3241,3507.19,-6999.14,2351.19,-256.289,-128.393,0,70
14742,755.85,758.69,754.79,758.29,756.9,-35.64,-990.72,399.9,33.84,-35.31,-52.63,2949,0,4.58888,-8.33824,-39.2639,4662.49,-8587.69,2404.75,-218.769,-118.769,0,70
14773,758.3,759.12,754.98,758.66,757.76,109.86,-835.45,577.64,12.05,-6.95,-5.08,2956,0,3.95106,-9.70482,-51.2587,5343.89,-9834.87,2809.59,-191.922,-104.282,0,70
14804,761.97,759.41,755.08,759.25,758.93,-91.8,-945.8,397.46,18.98,-16.66,-5.27,2962,0,6.34752,-6.92379,-64.862,5218.11,-10957,2539.79,-168.935,-80.4628,0,70
14835,765.97,759.53,755.19,759.81,760.13,-111.33,-989.75,360.84,15.03,-3.83,-0.82,2968,0,10.5641,-0.225128,-85.8131,5438.89,-12976.9,2298.55,-151.218,-63.3728,0,70
14866,771.3,759.76,755.35,760.44,761.71,-88.38,-947.75,391.6,14.69,0.63,-2.57,2974,0,12.4756,-6.41309,-112.868,6875.78,-15741.9,3009.06,-139.483,-60.9304,0,70
14897,778.26,760.12,755.54,761.16,763.77,-95.7,-926.27,406.74,13.21,-2.66,-4.02,2980,0,15.3664,-5.10818,-137.01,7976.98,-18262.9,3154.52,-133.298,-58.2213,0,70
14928,786.78,760.68,755.83,762.2,766.37,-67.87,-951.17,415.04,15.78,-4.66,-5.67,2987,0,17.5623,-5.51959,-170.795,9809.92,-22138.4,3349.41,-129.624,-57.4368,0,70
14959,796.77,761.29,756.17,763.77,769.5,-59.57,-934.08,397.46,15.5,-1.47,-3.42,2993,0,20.3506,-5.77184,-207.104,11916.8,-26155.4,3546.85,-126.296,-57.5388,0,70
14990,808.3,762.08,756.62,765.88,773.22,-68.85,-944.82,396,17.48,-4.78,-3.28,2999,0,25.1476,-5.88081,-251.263,14343,-30891.8,4023.37,-122.949,-57.0847,0,70
15021,821.97,762.66,757.13,768.58,777.58,-86.91,-948.24,397.46,21.21,-2.72,-2.63,3005,0,33.4766,-5.58316,-308.355,17252.9,-36907.1,4601.54,-119.692,-55.9516,0,70
15052,837.93,763.23,757.66,771.12,782.48,-64.94,-903.81,479.49,18.82,-3.95,-3.08,3011,0,43.082,-3.53412,-377.744,20287.3,-44069.3,5083.18,-116.666,-53.7079,0,70
15083,852.05,763.69,758.05,772.8,786.65,-36.62,-919.92,455.08,2.79,-3.18,-2.78,3018,0,52.7195,-2.15183,-478.159,24744.1,-55092.2,5576.6,-115.218,-51.7498,0,70
15114,859.22,763.91,758.34,773.87,788.83,-61.04,-929.69,436.52,1.08,0.95,-2.05,3024,0,58.6725,-1.22765,-577.447,29695.8,-66396.6,5704.56,-114.984,-51.4259,0,70
15145,861.46,763.96,758.45,774.48,789.59,-62.01,-937.5,429.69,-3.44,1.53,-0.05,3030,0,69.1204,0.330563,-660.251,33941.6,-75484.9,6232.96,-114.328,-51.4069,0,70
15176,860.91,763.82,758.54,774.79,789.51,-62.01,-923.34,467.77,-2.63,0.89,-1.94,3036,0,75.4124,3.53806,-703.766,35510.4,-80149.3,6046.31,-113.886,-50.4579,0,70
15207,858.76,763.75,758.5,774.9,788.98,-51.76,-933.11,434.57,-3.53,0.29,-0.19,3042,0,74.1397,4.82401,-711.927,35206.2,-81265.5,5706.5,-114.149,-49.452,0,70
15238,856.81,763.71,758.55,775.06,788.53,-69.82,-916.02,435.55,0.57,2.18,-1.91,3049,0,67.4124,3.6992,-698.166,33836.6,-80058.6,5031.6,-114.67,-48.4649,0,70
15269,855.79,763.68,758.55,775.29,788.33,-57.62,-923.83,442.38,0.53,-0.34,-0.05,3055,0,62.5594,3.10782,-674.539,31905.6,-77536.9,4686.37,-114.948,-47.2996,0,70
15300,855.77,763.82,758.6,775.46,788.41,-65.92,-930.66,440.43,1.87,1.84,0.7,3061,0,55.3014,1.24179,-659.628,30545.9,-76122.3,4366.1,-115.402,-46.3076,0,70
15331,856.33,763.93,758.69,775.7,788.66,-74.22,-916.99,445.31,0.6,3.98,0.53,3067,0,51.8224,1.50809,-656.194,29831.9,-75674.1,4099.75,-115.323,-45.462,0,70
15362,856.37,764.02,758.79,775.94,788.78,-60.55,-928.71,442.38,-1.02,-0.53,-3.19,3073,0,48.6476,-0.0705888,-660.964,29995.9,-76255.6,4080.51,-115.37,-45.3821,0,70
15393,855.39,764.14,758.8,776.12,788.62,-55.66,-924.32,446.29,0.89,-0.06,1.52,3080,0,46.1768,-1.40482,-672.214,30530.7,-77604,3884,-115.445,-45.4182,0,70
