currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,785.60,771.74,753.98,760.19,767.88,-24.41,-883.30,520.51,-0.45,0.84,1.40
53,785.49,771.75,753.92,760.17,767.83,-41.50,-872.07,514.65,-0.40,-1.37,-1.24
84,785.63,771.78,753.97,760.18,767.89,-25.88,-888.67,501.95,-0.74,2.09,-3.52
115,785.60,771.81,753.86,760.18,767.86,-29.30,-879.88,495.61,-0.69,-0.08,-0.89
145,785.64,771.87,753.98,760.19,767.92,-31.25,-892.09,525.39,-0.85,1.05,-1.11
176,785.62,771.76,753.96,760.15,767.87,-21.48,-894.04,510.74,1.02,0.15,-1.12
207,785.59,771.75,753.94,760.18,767.87,-24.90,-882.32,519.53,-0.31,-0.21,1.76
238,785.58,771.77,753.90,760.23,767.87,-20.51,-877.93,505.37,-0.16,-0.03,-0.06
269,785.65,771.76,753.94,760.18,767.88,-27.83,-891.60,515.14,0.55,1.31,1.29
300,785.74,771.82,753.96,760.19,767.93,-27.83,-896.00,519.53,-1.89,0.69,0.31
331,785.70,771.82,753.92,760.23,767.92,-39.55,-883.30,525.88,0.99,1.76,-0.81
362,785.70,771.78,753.90,760.18,767.89,-28.32,-868.16,516.60,-0.45,0.66,-2.89
393,785.76,771.87,753.85,760.14,767.91,-20.51,-892.58,501.95,-0.24,-0.95,0.35
424,785.81,771.87,753.96,760.12,767.94,-27.34,-890.62,510.74,-1.21,-1.33,-0.66
455,785.89,771.86,753.92,760.15,767.96,-37.11,-882.32,509.77,-1.63,-0.01,-0.72
485,785.84,771.80,753.93,760.08,767.91,-33.69,-885.25,521.00,-0.60,0.91,-0.50
517,785.77,771.80,753.92,760.08,767.89,-22.95,-884.28,511.72,0.15,-0.06,0.30
548,785.67,771.80,753.96,760.12,767.89,-31.74,-881.35,507.32,0.66,2.52,0.37
579,785.67,771.81,753.95,760.10,767.88,-18.55,-888.67,507.32,0.00,-2.49,1.60
609,785.68,771.80,753.88,760.03,767.85,-30.27,-893.07,513.67,1.39,1.98,0.48
641,785.65,771.80,753.91,760.14,767.88,-26.86,-898.44,512.70,-2.68,0.02,0.25
672,785.48,771.83,753.92,760.05,767.82,-23.44,-894.04,508.30,-0.46,0.44,-1.57
702,785.52,771.76,753.97,760.01,767.81,-26.37,-883.79,514.16,-2.28,3.03,-2.68
733,785.46,771.77,753.92,760.07,767.81,-36.62,-897.46,506.84,-0.62,1.15,0.16
765,785.43,771.74,753.90,759.99,767.77,-26.37,-887.70,513.67,-0.52,-1.78,-2.15
795,785.52,771.79,753.87,760.03,767.80,-24.41,-894.53,511.23,0.72,0.86,-3.16
826,785.40,771.70,753.89,760.10,767.77,-33.20,-893.07,505.86,-0.21,-1.73,-1.08
857,785.40,771.73,753.87,760.07,767.77,-35.16,-885.74,507.32,-0.27,-1.48,-1.71
888,785.43,771.77,753.83,760.05,767.77,-24.90,-895.51,500.00,-1.62,0.12,-0.96
919,785.29,771.73,753.91,760.04,767.75,-15.14,-885.25,508.79,-1.75,1.10,0.01
950,785.31,771.71,753.89,759.97,767.72,-32.23,-873.54,516.60,-1.07,0.08,-0.81
981,785.38,771.70,753.86,759.93,767.72,-29.30,-887.70,503.42,-0.88,0.02,-0.73
1012,785.43,771.70,753.83,759.99,767.74,-28.32,-879.39,511.72,-1.38,3.92,-2.42
1043,785.48,771.73,753.87,759.91,767.75,-30.76,-896.97,504.39,-0.39,2.05,-1.96
1074,785.46,771.72,753.82,759.88,767.72,-23.44,-882.81,500.00,0.05,2.40,-2.05
1105,785.58,771.68,753.83,759.95,767.76,-25.88,-876.95,510.74,-0.88,-0.12,0.58
1136,785.53,771.70,753.93,759.94,767.77,-33.20,-888.67,521.48,-0.93,0.53,0.34
1167,785.54,771.76,753.88,759.81,767.75,-28.81,-893.07,512.70,0.66,1.66,0.79
1198,785.61,771.81,753.87,759.88,767.79,-33.69,-886.23,521.97,-0.54,-1.85,-0.64
1229,785.65,771.68,753.86,759.85,767.76,-31.74,-895.02,521.97,-0.92,-0.19,-1.25
1260,785.65,771.59,753.85,759.91,767.75,-27.34,-891.11,514.16,-0.32,0.11,2.00
1291,785.61,771.62,753.86,759.97,767.76,-23.44,-889.16,509.28,0.60,0.74,0.44
1322,785.63,771.67,753.84,759.93,767.77,-44.43,-895.02,511.72,-0.03,-1.66,-1.47
1353,785.61,771.70,753.86,759.94,767.78,-22.46,-906.25,500.00,1.35,-1.14,0.60
1384,785.54,771.69,753.88,759.97,767.77,-38.57,-895.02,506.35,-0.76,-1.23,-3.28
1415,785.58,771.64,753.92,759.98,767.78,-30.76,-894.04,518.07,0.05,1.76,-2.85
1445,785.66,771.70,753.91,759.98,767.81,-23.44,-888.18,524.90,-1.63,-0.56,0.07
1475,785.57,771.67,753.92,759.96,767.78,-28.81,-875.49,511.23,-0.40,-0.50,-1.86
1506,785.54,771.70,753.86,759.95,767.76,-43.95,-886.72,512.70,0.89,1.32,-2.24
1536,785.54,771.70,753.84,759.98,767.76,-21.48,-897.46,517.09,-2.05,0.47,0.00
1567,785.54,771.71,753.94,760.01,767.80,-25.39,-884.28,512.21,0.18,-1.07,-0.48
1597,785.58,771.75,753.97,760.05,767.84,-34.67,-890.14,503.42,-0.15,2.68,-1.84
1628,785.54,771.77,753.90,760.03,767.81,-23.44,-881.84,509.28,-0.76,1.95,2.18
1659,785.55,771.83,753.87,760.11,767.84,-25.39,-886.23,512.21,0.76,2.49,1.50
1690,785.49,771.80,753.87,760.02,767.79,-30.27,-883.30,507.81,-1.17,-0.60,-1.32
1721,785.56,771.83,753.88,760.08,767.84,-33.20,-888.67,517.09,0.97,2.13,-0.24
1751,785.59,771.85,753.93,760.10,767.87,-29.30,-887.21,504.88,0.21,0.50,0.78
1782,785.55,771.83,753.86,760.09,767.83,-28.81,-882.32,506.35,0.73,0.86,-2.05
1812,785.44,771.87,753.94,760.10,767.84,-13.67,-889.65,508.30,-0.85,-1.10,-0.89
1844,785.44,771.84,753.90,760.17,767.84,-25.39,-897.46,513.67,-1.17,0.96,-0.89
1875,785.36,771.91,753.83,760.10,767.80,-25.39,-889.65,505.86,1.15,0.54,-1.92
1905,785.33,771.91,753.91,760.11,767.81,-26.86,-893.55,516.60,-0.18,-1.02,-0.63
