currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
23,0,0,0,0,0,-24.41,-883.3,520.51,-0.45,0.84,1.4
53,0,0,0,0,0,-41.5,-872.07,514.65,-0.4,-1.37,-1.24
84,0,0,0,0,0,-25.88,-888.67,501.95,-0.74,2.09,-3.52
115,0,0,0,0,0,-29.3,-879.88,495.61,-0.69,-0.08,-0.89
145,0,0,0,0,0,-31.25,-892.09,525.39,-0.85,1.05,-1.11
176,0,0,0,0,0,-21.48,-894.04,510.74,1.02,0.15,-1.12
207,0,0,0,0,0,-24.9,-882.32,519.53,-0.31,-0.21,1.76
238,0,0,0,0,0,-20.51,-877.93,505.37,-0.16,-0.03,-0.06
269,0,0,0,0,0,-27.83,-891.6,515.14,0.55,1.31,1.29
300,0,0,0,0,0,-27.83,-896,519.53,-1.89,0.69,0.31
331,0,0,0,0,0,-39.55,-883.3,525.88,0.99,1.76,-0.81
362,0,0,0,0,0,-28.32,-868.16,516.6,-0.45,0.66,-2.89
393,0,0,0,0,0,-20.51,-892.58,501.95,-0.24,-0.95,0.35
424,0,0,0,0,0,-27.34,-890.62,510.74,-1.21,-1.33,-0.66
455,0,0,0,0,0,-37.11,-882.32,509.77,-1.63,-0.01,-0.72
485,0,0,0,0,0,-33.69,-885.25,521,-0.6,0.91,-0.5
517,0,0,0,0,0,-22.95,-884.28,511.72,0.15,-0.06,0.3
548,0,0,0,0,0,-31.74,-881.35,507.32,0.66,2.52,0.37
579,0,0,0,0,0,-18.55,-888.67,507.32,0,-2.49,1.6
609,0,0,0,0,0,-30.27,-893.07,513.67,1.39,1.98,0.48
641,0,0,0,0,0,-26.86,-898.44,512.7,-2.68,0.02,0.25
672,0,0,0,0,0,-23.44,-894.04,508.3,-0.46,0.44,-1.57
702,0,0,0,0,0,-26.37,-883.79,514.16,-2.28,3.03,-2.68
733,0,0,0,0,0,-36.62,-897.46,506.84,-0.62,1.15,0.16
765,0,0,0,0,0,-26.37,-887.7,513.67,-0.52,-1.78,-2.15
795,0,0,0,0,0,-24.41,-894.53,511.23,0.72,0.86,-3.16
826,0,0,0,0,0,-33.2,-893.07,505.86,-0.21,-1.73,-1.08
857,0,0,0,0,0,-35.16,-885.74,507.32,-0.27,-1.48,-1.71
888,0,0,0,0,0,-24.9,-895.51,500,-1.62,0.12,-0.96
919,0,0,0,0,0,-15.14,-885.25,508.79,-1.75,1.1,0.01
950,0,0,0,0,0,-32.23,-873.54,516.6,-1.07,0.08,-0.81
981,0,0,0,0,0,-29.3,-887.7,503.42,-0.88,0.02,-0.73
1012,0,0,0,0,0,-28.32,-879.39,511.72,-1.38,3.92,-2.42
1043,0,0,0,0,0,-30.76,-896.97,504.39,-0.39,2.05,-1.96
1074,0,0,0,0,0,-23.44,-882.81,500,0.05,2.4,-2.05
1105,0,0,0,0,0,-25.88,-876.95,510.74,-0.88,-0.12,0.58
1136,0,0,0,0,0,-33.2,-888.67,521.48,-0.93,0.53,0.34
1167,0,0,0,0,0,-28.81,-893.07,512.7,0.66,1.66,0.79
1198,0,0,0,0,0,-33.69,-886.23,521.97,-0.54,-1.85,-0.64
1229,0,0,0,0,0,-31.74,-895.02,521.97,-0.92,-0.19,-1.25
1260,0,0,0,0,0,-27.34,-891.11,514.16,-0.32,0.11,2
1291,0,0,0,0,0,-23.44,-889.16,509.28,0.6,0.74,0.44
1322,0,0,0,0,0,-44.43,-895.02,511.72,-0.03,-1.66,-1.47
1353,0,0,0,0,0,-22.46,-906.25,500,1.35,-1.14,0.6
1384,0,0,0,0,0,-38.57,-895.02,506.35,-0.76,-1.23,-3.28
1415,0,0,0,0,0,-30.76,-894.04,518.07,0.05,1.76,-2.85
1445,0,0,0,0,0,-23.44,-888.18,524.9,-1.63,-0.56,0.07
1475,0,0,0,0,0,-28.81,-875.49,511.23,-0.4,-0.5,-1.86
1506,0,0,0,0,0,-43.95,-886.72,512.7,0.89,1.32,-2.24
1536,0,0,0,0,0,-21.48,-897.46,517.09,-2.05,0.47,0
1567,0,0,0,0,0,-25.39,-884.28,512.21,0.18,-1.07,-0.48
