currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
18560,754.2,761.07,752.31,755.17,755.69,-56.15,-907.23,463.38,46.92,-10.59,-15.82,3713,0,7.5697,-1.81462,-33.455,3431.59,-2753.27,2262.06,-82.4039,-102.585,0,60
18590,758.68,761.97,752.41,755.6,757.16,59.57,-896.48,637.7,30.24,-9.45,-4.6,3719,0,10.2135,-2.72485,-60.9776,6288.58,-3359,2485.51,-55.0977,-103.117,0,60
18620,763.13,762.56,752.43,756,758.53,-77.64,-931.64,430.18,15.58,-3.51,-4.68,3725,0,15.895,-1.83521,-92.4015,9399.91,-3963.27,3239.72,-42.8956,-101.732,0,60
18651,768.29,763.07,752.54,756.4,760.07,-71.78,-903.81,483.89,12.98,-0.43,-1.82,3731,0,20.5147,1.17745,-122.24,12037.3,-4504.37,3531.56,-36.8494,-98.4714,0,60
18681,774.41,763.58,752.62,757.06,761.92,-62.5,-906.25,477.54,16.09,-2.6,-4.31,3737,0,25.8873,0.592352,-150.342,14753.7,-4929.56,3835.71,-32.7921,-98.1337,0,60
18712,780.74,763.96,752.77,757.67,763.78,-56.64,-886.23,515.14,15.19,-2.76,-2.54,3743,0,29.9873,0.634156,-181.01,17597.5,-5551.89,4388.97,-30.673,-97.2183,0,60
18743,786.14,764.48,752.88,758.47,765.49,-59.08,-877.93,511.23,10.64,-2.05,-0.44,3750,0,33.3119,0.147853,-220.877,21513.4,-6621.87,4852.14,-29.9791,-97.3995,0,60
18773,789.81,765.02,753.06,759.65,766.89,-50.78,-893.07,515.62,8.51,1.25,-3.1,3756,0,35.3044,-1.08365,-255.949,24814.3,-7454.44,4984.26,-29.1245,-96.9512,0,60
18804,793.04,765.46,753.21,760.8,768.13,-46.88,-869.14,529.3,8.98,-1.47,-3.34,3762,0,37.9773,-1.03449,-288.344,27474.4,-8179.27,5227.74,-28.3671,-95.2841,0,60
18835,796.75,765.95,753.32,762.27,769.57,-54.2,-859.37,524.9,8.64,-1.92,-1.65,3768,0,40.8195,-0.319784,-317.057,29412.1,-8806.24,5491.02,-27.7749,-92.7666,0,60
18865,800.22,766.6,753.42,763.55,770.95,-66.89,-879.88,530.76,10.24,-4,-5.69,3774,0,42.8476,0.831133,-346.225,31129.8,-9393.08,5394.58,-27.1298,-89.9122,0,60
18896,804.52,767.22,753.69,764.63,772.51,-45.9,-861.82,547.85,8.73,-2.77,0.14,3780,0,44.5764,-0.28335,-380.255,33397.5,-10207.1,5670.29,-26.8428,-87.8299,0,60
18926,809.62,767.93,753.77,765.49,774.2,-27.83,-860.35,544.43,7.25,-1.26,-2.15,3786,0,47.9376,2.43837,-416.075,35333.2,-10758.5,5947.69,-25.8575,-84.921,0,60
18957,815.31,768.5,753.8,766.13,775.93,-43.46,-874.51,540.53,6.13,0.34,-1.39,3792,0,51.4989,3.5791,-454.779,38033.4,-11497.8,6078.33,-25.2825,-83.631,0,60
18988,820.69,768.97,753.9,766.45,777.5,-42.97,-867.68,542.97,3.42,-2.25,-0.91,3799,0,58.3241,4.45891,-501.054,41912.4,-12324.6,6449.3,-24.5974,-83.6484,0,60
19019,825.2,769.21,753.95,766.4,778.69,-47.36,-880.37,537.6,1.56,-1.51,-2.58,3805,0,62.9309,4.62658,-538.583,45356.8,-12990.6,6897.84,-24.12,-84.2151,0,60
19050,827.07,769.43,753.82,766.02,779.08,-54.2,-882.81,536.13,-6.34,1.58,-0.31,3811,0,66.8218,4.34949,-571.819,48674.2,-13600.3,7339.08,-23.7845,-85.1215,0,60
19081,828.15,769.2,753.85,765.32,779.13,-37.11,-870.61,546.87,-4.93,1.5,1.94,3817,0,69.8975,4.18729,-593.423,51053.5,-13969.2,7655.96,-23.54,-86.0323,0,60
19112,830.03,769.1,753.7,764.25,779.27,-38.09,-877.44,531.25,-4.05,4.99,1.44,3823,0,68.9358,3.48754,-591.499,51493.5,-13933.1,7666.95,-23.5556,-87.056,0,60
19143,832.44,769.08,753.59,763.37,779.62,-55.66,-866.7,536.62,-5.05,-0.03,3.06,3830,0,65.5436,2.25691,-582.972,51775.6,-14036.4,7370.53,-24.0773,-88.8133,0,60
19174,835.01,768.86,753.58,762.95,780.1,-51.76,-881.35,549.8,-1.12,-0.74,1.05,3836,0,63.1954,-0.367936,-576.828,52964.8,-14063.3,7289.76,-24.3804,-91.8209,0,60
19205,836.08,768.64,753.52,763.12,780.34,-51.27,-875,539.06,3.3,-1.31,1.19,3842,0,61.7486,-3.0805,-571.17,54201.7,-14081.4,7207.16,-24.6536,-94.8959,0,60
19237,837.14,768.47,753.48,763.14,780.56,-46.39,-860.35,551.76,2.34,0.04,-1.12,3848,0,59.0479,-5.33062,-568.041,55476.2,-14327.4,7100.19,-25.2226,-97.6624,0,60
19268,837.73,768.43,753.54,763.08,780.69,-44.43,-867.19,550.78,1.63,4.74,-1.63,3855,0,54.2844,-4.30739,-566.18,55617.1,-14796.9,6990.73,-26.1346,-98.2323,0,60
19299,838.28,768.32,753.49,762.84,780.73,-40.04,-877.93,541.02,5.37,-0.47,-2.07,3861,0,51.445,-2.94407,-570.353,55954.8,-15277.3,6572.23,-26.7857,-98.1056,0,60
19330,838.66,768.24,753.54,762.65,780.77,-34.67,-894.53,543.95,5.89,-0.53,-2.07,3867,0,51.9569,-2.20025,-569.776,56001.8,-15399.1,6562.49,-27.0265,-98.2874,0,60
19361,838.27,768.03,753.55,762.18,780.51,-28.32,-862.79,549.8,2.31,0.29,-0.94,3873,0,54.394,-1.07662,-569.373,56124.3,-15398.7,6562.95,-27.0451,-98.5723,0,60
19392,836.25,767.51,753.46,761.34,779.64,-40.04,-860.84,557.62,-0.78,1.31,-0.92,3879,0,56.4827,0.165831,-564.586,55860.4,-15450,6628.55,-27.3653,-98.9405,0,60
19423,831.28,766.99,753.31,760.26,777.96,-44.92,-880.86,537.11,-6.92,3.01,-0.62,3886,0,55.342,0.302352,-547.586,54581.3,-15412.2,6525.31,-28.1458,-99.6764,0,60
19454,824.35,766.38,753.21,759.32,775.81,-46.39,-866.7,550.78,-8.75,1.58,1.25,3892,0,51.6561,-0.203506,-513.231,51638,-14845.1,6061.82,-28.9249,-100.614,0,60
19485,817.1,765.63,753.14,758.54,773.6,-51.76,-878.42,539.06,-10.16,2.86,-0.18,3898,0,45.8165,-0.531111,-455.533,46061.6,-13531.9,5371.41,-29.7059,-101.116,0,60
19516,811.72,765.12,753.01,757.85,771.93,-40.04,-872.07,525.88,-6.33,-0.27,-0.4,3904,0,38.6298,-0.864003,-390.766,39820.4,-12104.6,4615.68,-30.9772,-101.904,0,60
19547,807.42,764.78,752.9,757.34,770.61,-50.78,-884.77,523.44,-4.6,0.02,0.3,3910,0,31.3729,-2.6839,-335.018,34410.4,-10913.2,4008.8,-32.5765,-102.713,0,60
19578,803.36,764.36,752.8,757,769.38,-56.15,-876.46,528.32,-5.81,0.79,2.24,3917,0,25.6579,-5.59585,-292.584,30564.8,-9943.36,3498.56,-33.9847,-104.466,0,60
19609,800.28,764.12,752.78,756.86,768.51,-47.85,-867.19,523.93,-3.72,1.86,0.81,3923,0,21.6294,-7.12832,-264.058,27920.4,-9339.01,3273.74,-35.3673,-105.736,0,60
19640,798.44,764.02,752.77,756.6,767.96,-37.11,-881.84,522.46,-2.47,-0.6,1.81,3929,0,19.2727,-6.98755,-239.689,25674.9,-8879.94,3114.86,-37.0487,-107.118,0,60
19670,797.99,763.98,752.75,756.44,767.79,-45.9,-875,525.88,0.74,-0.46,0.21,3935,0,17.7484,-7.0431,-224.054,24148.2,-8493.55,2915.63,-37.909,-107.779,0,60
19702,797.91,763.94,752.72,756.38,767.74,-65.92,-886.72,527.34,-0.01,0.05,2.4,3941,0,16.9641,-7.1048,-214.5,23387.1,-8159.18,2810.09,-38.0379,-109.031,0,60
19732,797.81,764.01,752.62,756.45,767.72,-51.27,-884.77,524.41,-0.7,2.37,-1.5,3947,0,17.6683,-7.82596,-212.879,23523.9,-8059.29,2849.54,-37.8586,-110.504,0,60
19763,798.02,763.96,752.79,756.55,767.83,-56.64,-885.74,507.81,1.51,-1.86,0.21,3954,0,18.3976,-8.06674,-213.047,23726.9,-8109.74,2984.12,-38.0656,-111.369,0,60
19794,798.79,764.21,752.79,756.69,768.12,-51.76,-886.72,527.34,0.22,-0.21,-3.47,3960,0,19.4624,-7.55674,-215.111,23858.7,-8145.86,3015.72,-37.8679,-110.913,0,60
19825,799.55,764.14,752.79,756.88,768.34,-57.13,-881.35,530.27,2.38,-1.05,-1.03,3966,0,21.2557,-6.44626,-223.106,24186.8,-8319.68,3034.04,-37.2902,-108.41,0,60
19856,800.3,764.28,752.85,757.22,768.66,-62.99,-883.3,518.55,1.55,2.63,-2.81,3972,0,23.1808,-6.15756,-232.215,25073.2,-8385.04,3289.3,-36.1095,-107.975,0,60
19887,800.68,764.32,752.94,757.62,768.89,-68.85,-883.79,528.81,2.99,-1.52,-1.27,3978,0,24.8123,-5.47148,-240.572,25741.8,-8568.61,3524.04,-35.6179,-107.003,0,60
19918,801.19,764.47,752.95,758.14,769.19,-43.95,-888.18,524.9,1.27,-1.11,0.8,3985,0,27.9012,-5.57897,-251.434,26597,-8739.14,3699.63,-34.7571,-105.781,0,60
19949,801.41,764.62,753.01,758.7,769.44,-54.2,-878.42,548.34,3.79,-0.37,-2.69,3991,0,29.9101,-4.17172,-261.363,26855.1,-8939.24,3753.89,-34.2025,-102.75,0,60
19980,801.93,764.75,753.14,759,769.7,-40.53,-864.26,534.18,2.17,-2.24,-3.16,3997,0,31.193,-2.57252,-272.719,27248.6,-9175.86,3684.56,-33.646,-99.915,0,60
20011,802.14,764.9,753.21,759.27,769.88,-57.13,-875,531.25,0.05,-2.3,-2.79,4003,0,32.2062,-1.23263,-284.64,27613.7,-9451.9,3808.62,-33.2065,-97.0128,0,60
20042,802.12,765.08,753.12,759.69,770.01,-53.71,-890.62,522.46,-1.85,0.33,-1.16,4009,0,34.2535,-1.13419,-295.576,28205.9,-9630.54,3932.06,-32.5822,-95.4269,0,60
