currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,793.36,766.90,766.44,763.04,772.43,110.84,-855.96,551.27,2.01,3.32,-2.40,-89.44
59,792.54,766.93,766.55,763.21,772.31,99.12,-827.64,554.69,-1.96,2.81,-0.08,-86.57
93,791.67,766.92,766.64,763.37,772.15,109.86,-851.56,550.29,1.41,2.20,0.52,-83.79
127,791.00,766.98,766.73,763.37,772.02,103.52,-831.54,556.64,1.50,-0.28,-1.85,-79.72
161,790.27,767.00,766.75,763.44,771.86,98.63,-846.68,560.55,-0.81,1.23,0.89,-77.85
194,789.90,766.98,766.75,763.61,771.81,111.33,-844.73,551.76,-2.09,0.79,0.36,-79.00
228,789.58,766.92,766.82,763.63,771.74,114.26,-838.87,551.27,0.81,3.14,0.79,-76.01
263,789.29,767.00,766.85,763.74,771.72,113.28,-840.33,558.59,-0.06,1.82,-0.57,-76.43
297,789.24,767.07,766.85,763.83,771.75,109.37,-842.29,563.96,-0.15,0.02,-1.45,-78.21
331,789.38,767.13,766.95,763.86,771.83,112.30,-846.19,551.76,0.75,2.25,1.38,-77.13
365,789.73,767.20,766.87,763.91,771.93,99.61,-843.26,554.20,-0.45,0.77,1.24,-81.54
399,790.08,767.13,766.95,763.93,772.02,114.26,-839.36,567.87,-0.72,1.31,0.95,-80.54
434,790.44,767.18,766.96,764.04,772.15,113.28,-842.29,557.13,0.22,0.27,-1.50,-83.60
468,790.84,767.19,766.94,764.06,772.26,106.93,-837.40,558.11,-0.15,2.52,0.57,-85.72
502,791.25,767.21,766.98,764.11,772.39,123.54,-833.98,556.64,0.38,2.52,-0.23,-87.10
536,791.88,767.14,766.98,764.12,772.53,99.12,-845.21,571.29,0.83,-0.18,-0.66,-88.69
570,792.23,767.09,766.93,764.03,772.57,122.56,-840.33,554.69,0.41,1.74,-1.86,-89.68
604,792.49,767.18,766.90,764.02,772.65,116.70,-834.96,562.99,1.10,-0.15,-0.16,-91.60
639,792.72,767.20,766.95,763.95,772.70,117.19,-838.38,571.78,2.13,0.70,-1.69,-90.55
673,792.93,767.15,766.86,763.92,772.72,116.21,-838.87,549.32,-0.08,0.44,-1.66,-92.65
707,793.25,767.04,766.82,763.85,772.74,110.35,-829.10,560.55,0.50,3.60,-0.04,-92.62
741,793.54,767.00,766.77,763.72,772.76,114.75,-853.52,551.76,-0.60,1.93,0.03,-92.55
775,793.87,766.92,766.70,763.61,772.77,100.59,-844.73,559.57,-1.39,0.02,1.45,-93.38
810,794.51,766.73,766.59,763.46,772.82,103.52,-858.40,556.15,-0.03,0.68,1.50,-94.41
844,795.14,766.72,766.53,763.35,772.93,118.65,-841.80,567.38,0.14,0.64,0.62,-96.44
878,795.42,766.65,766.47,763.15,772.92,111.33,-858.89,557.62,-1.04,1.62,-1.25,-95.48
914,795.70,766.64,766.40,763.06,772.95,113.77,-843.75,563.96,-0.77,3.09,2.18,-96.77
948,795.85,766.64,766.38,763.01,772.97,104.00,-840.82,551.27,1.50,1.44,0.58,-96.90
