currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,797.45,773.35,757.89,769.92,774.65,-40.04,-900.88,494.63,-0.66,1.77,0.36,-469.76
60,797.71,773.35,757.86,769.86,774.70,-53.22,-895.02,486.82,-2.34,2.23,0.63,-470.52
93,797.66,773.34,757.82,769.77,774.65,-51.27,-892.58,495.61,0.39,-1.05,-0.17,-469.75
127,797.30,773.37,757.91,769.76,774.59,-51.76,-896.97,478.52,-1.03,-1.53,0.13,-466.28
161,797.04,773.38,757.85,769.57,774.46,-41.02,-897.46,504.39,-1.79,-0.94,-0.92,-464.19
195,796.77,773.44,757.82,769.62,774.41,-38.09,-887.70,499.02,0.95,-3.44,-2.02,-465.17
234,796.35,773.41,757.87,769.56,774.30,-40.53,-893.55,498.54,-0.94,-1.27,-2.27,-461.56
270,796.04,773.38,757.80,769.56,774.19,-41.99,-893.55,491.21,-1.00,0.42,2.77,-461.81
305,795.66,773.42,757.78,769.59,774.11,-52.25,-893.07,498.54,-0.99,1.41,-1.20,-461.82
340,795.39,773.48,757.90,769.69,774.12,-54.69,-889.16,481.45,-1.85,-0.93,-0.23,-459.86
375,795.29,773.47,757.83,769.72,774.08,-39.06,-896.48,490.23,0.87,0.15,-0.66,-461.76
410,795.27,773.46,757.82,769.83,774.10,-49.80,-895.02,497.07,-0.53,-0.52,0.39,-463.41
448,795.43,773.46,757.81,769.77,774.12,-48.83,-898.93,494.63,1.24,2.41,-0.51,-463.45
483,795.56,773.53,757.87,769.74,774.18,-40.04,-883.30,490.23,0.65,-1.44,1.65,-462.47
518,795.67,773.44,757.83,769.71,774.16,-58.59,-888.67,480.47,1.05,-1.18,1.21,-462.72
553,795.49,773.46,757.83,769.69,774.12,-47.85,-892.58,487.30,-0.22,0.11,-0.61,-461.92
588,795.10,773.57,757.78,769.70,774.04,-44.43,-898.93,496.09,-2.34,-2.38,0.16,-462.94
623,794.60,773.48,757.82,769.60,773.88,-46.88,-896.48,491.70,-2.92,-2.98,0.53,-457.82
661,794.14,773.50,757.83,769.68,773.79,-41.99,-891.11,490.23,-1.63,-3.61,-2.04,-457.28
696,793.68,773.59,757.81,769.78,773.72,-41.50,-902.83,488.28,-0.74,0.68,0.11,-458.36
731,792.95,773.60,757.89,769.85,773.57,-33.20,-883.30,484.37,-1.66,-3.41,0.39,-455.17
766,792.35,773.66,757.86,769.94,773.45,-38.09,-900.88,486.82,0.30,-0.72,-0.63,-455.64
801,792.24,773.66,757.92,770.05,773.47,-48.34,-895.51,485.84,0.79,-1.56,-1.47,-455.37
839,792.49,773.65,757.88,770.16,773.54,-47.85,-884.77,496.58,3.31,-2.72,0.09,-458.77
873,792.68,773.55,757.90,770.30,773.61,-39.55,-893.55,488.77,2.20,0.48,-1.21,-460.14
908,792.92,773.54,757.87,770.51,773.71,-43.95,-903.32,500.49,1.02,-0.93,0.23,-464.89
943,793.13,773.60,757.89,770.55,773.79,-41.02,-893.07,499.51,1.38,0.76,-1.34,-465.93
978,793.39,773.54,757.89,770.62,773.86,-50.78,-905.27,476.56,-0.57,-1.86,1.44,-467.43
1012,793.57,773.46,757.93,770.59,773.89,-41.99,-891.60,491.21,-0.59,0.23,-0.47,-465.86
1050,793.73,773.51,757.98,770.46,773.92,-46.39,-897.95,487.79,-2.51,1.56,-0.04,-463.88
1085,793.97,773.46,757.90,770.36,773.92,-54.20,-888.18,497.07,0.34,-1.87,-1.74,-464.73
1120,794.31,773.46,757.89,770.21,773.97,-42.48,-903.81,492.68,-2.53,2.12,1.28,-463.83
1154,794.84,773.35,757.83,769.99,774.01,-37.11,-903.81,483.40,-2.30,0.75,-0.70,-463.25
1189,795.59,773.37,757.80,769.75,774.13,-41.02,-886.23,489.75,-1.93,1.27,-0.90,-463.17
1224,796.33,773.45,757.81,769.62,774.31,-55.66,-894.04,489.75,-2.08,3.11,1.50,-464.12
1261,796.93,773.73,757.82,769.52,774.50,-38.57,-897.46,486.82,-0.85,1.34,-1.76,-466.71
1297,797.44,773.90,757.77,769.50,774.65,-37.11,-892.09,493.16,-0.50,2.55,-1.14,-470.82
1332,797.85,774.21,757.78,769.41,774.81,-35.64,-891.60,490.23,-0.98,2.15,-1.53,-472.95
1367,798.18,774.26,757.77,769.30,774.88,-35.64,-910.64,484.37,-0.14,0.94,-2.30,-473.21
1402,798.68,774.32,757.78,769.29,775.01,-39.06,-900.88,487.79,-0.61,1.79,0.22,-474.95
1437,798.96,774.36,757.80,769.30,775.10,-37.60,-897.46,483.40,1.21,1.46,0.31,-476.01
1475,799.18,774.15,757.88,769.15,775.09,-56.15,-900.88,477.54,-1.42,-0.80,0.59,-470.91
1510,799.47,774.07,757.88,769.02,775.11,-41.02,-898.93,484.37,1.12,0.53,-2.97,-469.33
1545,799.71,773.88,757.74,768.94,775.07,-45.90,-901.37,485.35,-0.38,-2.46,0.28,-470.76
1580,799.81,773.70,757.76,768.73,775.00,-48.34,-907.23,487.30,-0.21,1.63,-3.04,-466.26
1615,799.72,773.50,757.79,768.67,774.92,-45.90,-896.00,491.21,0.14,-1.96,1.10,-462.78
1650,799.69,773.43,757.77,768.56,774.86,-49.80,-909.18,486.82,3.10,-0.28,-0.44,-460.86
1688,799.53,773.33,757.75,768.62,774.81,-43.46,-889.16,482.91,3.52,-0.36,-0.43,-461.05
1723,799.28,773.30,757.72,768.63,774.73,-50.78,-889.65,498.54,2.49,-1.08,-1.27,-460.71
1758,799.13,773.23,757.69,768.40,774.61,-44.92,-901.86,485.84,-0.85,0.47,0.01,-457.13
1793,799.08,773.07,757.64,768.06,774.46,-49.80,-908.69,487.30,1.11,0.53,-0.40,-451.66
1827,799.18,772.85,757.62,767.78,774.36,-43.46,-902.83,489.75,-0.57,-2.27,-0.53,-446.61
1863,799.33,772.64,757.61,767.39,774.24,-52.73,-900.88,486.82,-0.97,1.74,-2.72,-439.96
1900,799.18,772.44,757.59,767.32,774.13,-46.88,-900.88,472.17,-3.08,-1.15,-2.27,-437.41
1935,798.78,772.45,757.52,767.27,774.01,-60.55,-892.58,480.47,-1.03,0.25,0.34,-437.03
1970,798.49,772.38,757.66,767.47,774.00,-48.83,-909.18,481.45,-1.71,0.53,-0.63,-435.02
2005,797.92,772.54,757.67,767.55,773.92,-41.50,-887.70,491.21,-0.76,-0.24,-0.82,-435.24
2039,797.47,772.65,757.72,767.77,773.90,-44.92,-899.90,484.86,-1.44,1.24,-0.82,-436.70
2074,797.00,772.76,757.76,767.88,773.85,-47.36,-901.37,490.23,-1.13,1.85,1.61,-436.60
2112,796.55,772.90,757.78,768.09,773.83,-45.41,-912.60,487.30,-1.18,-2.37,0.47,-438.64
2147,795.75,773.13,757.73,768.53,773.78,-49.32,-900.88,490.72,0.24,-0.96,-1.79,-445.54
2182,794.80,773.35,757.80,768.90,773.71,-47.36,-904.79,490.72,0.90,-0.65,-1.35,-447.67
2217,794.15,773.52,757.79,769.17,773.66,-37.11,-887.21,492.19,1.02,0.40,-1.23,-451.12
2252,793.81,773.64,757.87,769.47,773.70,-39.55,-887.21,481.45,0.07,1.34,-1.53,-453.29
2290,793.26,773.86,757.93,769.77,773.70,-50.78,-896.00,485.84,0.44,1.69,1.43,-456.09
2325,792.97,774.11,757.87,769.95,773.73,-38.09,-907.23,491.70,0.56,1.17,-0.87,-461.17
2359,792.77,774.49,757.92,770.12,773.83,-41.50,-907.23,490.23,1.66,1.56,0.04,-464.83
2394,792.96,774.69,757.96,770.41,774.00,-31.25,-896.00,492.19,-0.63,-1.56,-0.48,-470.21
2429,793.15,774.96,757.93,770.46,774.12,-48.34,-902.34,478.52,0.32,-1.38,1.84,-474.56
2464,793.77,775.18,757.96,770.55,774.37,-62.01,-889.65,487.79,-0.20,-0.25,-1.85,-479.18
2502,794.30,775.34,757.95,770.64,774.56,-42.97,-901.37,491.21,0.84,2.81,-0.06,-483.84
2536,794.61,775.45,757.97,770.68,774.68,-46.39,-899.41,490.72,-1.14,0.21,-0.49,-485.88
2571,794.75,775.43,758.01,770.55,774.68,-54.69,-902.83,491.21,0.05,1.51,-2.04,-483.31
2606,794.63,775.38,758.00,770.46,774.62,-46.39,-894.53,495.12,-1.66,0.29,-1.38,-481.41
2641,794.48,775.25,757.99,770.31,774.51,-49.80,-898.44,480.47,-1.37,1.35,-2.12,-477.98
2675,794.27,775.12,757.91,770.08,774.34,-41.50,-896.97,491.70,-0.11,1.39,0.86,-474.78
2713,794.07,774.92,757.82,769.74,774.14,-37.11,-889.65,482.42,-0.91,2.40,-0.08,-469.72
2748,793.90,774.71,757.85,769.34,773.95,-34.18,-906.74,492.19,-1.00,1.34,-1.15,-460.67
2782,793.95,774.44,757.84,768.88,773.77,-32.23,-885.74,492.19,-4.19,1.50,0.65,-452.31
2817,793.81,774.26,757.81,768.55,773.61,-39.06,-892.09,488.77,-2.70,2.24,0.44,-446.18
2852,794.02,773.91,757.70,768.20,773.46,-52.73,-894.53,484.37,-0.72,0.02,-1.40,-441.75
2886,794.07,773.71,757.75,767.93,773.37,-57.13,-899.41,470.21,-1.37,-0.18,0.90,-435.18
2924,794.45,773.49,757.69,767.69,773.33,-43.46,-917.48,460.94,-1.27,0.42,-0.53,-432.59
2958,794.84,773.20,757.63,767.37,773.26,-41.50,-894.04,486.33,-1.54,5.05,-0.76,-428.37
2993,795.11,773.04,757.62,767.07,773.21,-42.48,-901.86,485.84,-1.50,0.55,-1.15,-423.85
3028,795.59,772.74,757.55,766.68,773.14,-40.53,-895.51,468.26,-2.66,3.06,-0.66,-419.17
3063,796.07,772.49,757.52,766.40,773.12,-46.39,-905.27,466.80,-0.11,2.15,-0.93,-415.45
3098,796.58,772.20,757.47,766.11,773.09,-47.85,-896.97,473.63,-4.36,3.28,-0.11,-411.80
3136,797.01,771.88,757.52,765.86,773.07,-48.83,-899.90,462.89,-1.44,0.81,-0.05,-405.79
3171,797.39,771.67,757.45,765.69,773.05,-42.97,-896.48,471.68,0.44,0.95,1.39,-404.66
3206,797.69,771.54,757.47,765.61,773.08,-49.80,-902.34,479.00,1.42,0.26,-1.37,-403.06
3241,797.82,771.40,757.48,765.52,773.05,-42.48,-908.69,472.66,0.60,-0.79,-1.79,-400.72
3276,797.81,771.32,757.40,765.57,773.02,-55.66,-900.88,489.26,0.62,-0.56,1.41,-402.73
3311,797.78,771.27,757.39,765.63,773.02,-45.41,-901.37,481.93,1.19,-0.46,1.15,-403.26
3348,797.92,771.08,757.43,765.64,773.02,-52.25,-907.71,470.21,-1.92,0.40,-0.73,-401.52
3383,797.90,771.03,757.41,765.68,773.00,-48.83,-908.20,479.98,0.66,-1.09,-2.37,-402.03
3418,797.97,770.97,757.41,765.91,773.06,-48.34,-911.13,475.59,2.07,-2.22,-1.34,-405.20
3453,798.10,770.96,757.44,766.02,773.13,-46.39,-897.46,480.47,3.18,0.71,1.66,-406.40
3488,798.10,771.00,757.44,766.24,773.20,-40.04,-895.51,468.75,0.00,-3.52,1.44,-410.02
3526,798.18,771.21,757.49,766.61,773.37,-57.62,-904.30,479.49,2.94,-0.02,0.72,-416.31
3560,798.26,771.33,757.49,766.78,773.47,-45.90,-900.88,483.40,-0.35,-1.50,-1.04,-419.83
3595,798.48,771.47,757.49,766.92,773.59,-48.83,-905.76,480.96,-2.01,-0.03,-0.42,-423.89
3630,798.73,771.27,757.52,767.00,773.63,-55.66,-898.93,483.89,1.91,1.69,-1.41,-423.49
3665,799.12,771.26,757.51,767.20,773.77,-43.46,-905.76,481.45,0.37,1.16,-0.85,-428.10
3700,799.14,771.24,757.55,767.41,773.84,-44.92,-900.39,478.03,0.34,-1.27,-0.39,-429.88
3738,798.99,771.18,757.47,767.50,773.79,-41.50,-897.46,497.56,0.32,-1.62,-0.31,-432.24
3773,798.90,771.20,757.57,767.58,773.81,-51.27,-912.60,479.49,0.13,-1.28,0.81,-430.91
3808,798.54,771.32,757.58,767.90,773.83,-53.71,-894.04,489.26,-0.76,-2.02,-0.48,-434.86
3843,798.17,771.37,757.58,768.15,773.82,-48.34,-881.84,480.96,1.00,-0.76,-2.09,-437.68
3878,797.74,771.55,757.63,768.38,773.83,-49.80,-896.97,492.68,-0.90,1.06,0.10,-440.12
3913,796.91,771.79,757.68,768.74,773.78,-48.83,-910.64,481.93,0.28,-0.40,-0.98,-443.13
3950,796.06,771.99,757.69,768.99,773.68,-41.99,-899.90,487.79,1.08,1.44,-2.44,-445.25
3985,795.91,772.04,757.66,769.10,773.67,-48.83,-878.91,495.61,0.63,-1.15,-1.24,-447.49
4020,796.04,772.14,757.74,769.17,773.77,-52.25,-901.86,488.28,1.92,0.84,-3.86,-447.64
4055,795.95,772.17,757.65,769.19,773.74,-45.90,-906.74,496.58,-2.36,1.54,-1.54,-450.43
4090,795.81,772.35,757.63,769.28,773.77,-45.90,-891.11,489.26,0.18,0.95,-1.31,-452.97
4126,795.75,772.34,757.68,769.23,773.75,-44.43,-898.44,487.79,0.19,0.53,1.15,-450.73
4164,795.95,772.28,757.73,769.19,773.79,-39.55,-897.46,488.77,0.20,1.31,-0.75,-449.02
4198,795.87,772.35,757.71,769.19,773.78,-44.43,-904.30,500.98,0.51,0.72,-1.40,-449.69
4233,795.95,772.43,757.74,769.26,773.85,-42.97,-895.02,483.89,-0.64,-0.05,-1.06,-451.07
4268,795.94,772.42,757.67,769.27,773.83,-46.39,-896.97,511.23,-1.03,1.46,0.75,-452.81
4303,795.63,772.50,757.75,769.37,773.81,-53.71,-891.60,490.23,-0.74,1.46,-1.57,-451.88
4338,795.44,772.49,757.71,769.33,773.74,-38.57,-875.98,515.14,-2.54,0.92,0.53,-451.56
4376,795.60,772.49,757.79,769.35,773.81,-53.71,-895.02,495.12,-1.13,-1.19,-1.62,-450.56
4410,795.58,772.46,757.70,769.22,773.74,-34.67,-904.79,482.91,-3.31,2.66,-1.84,-450.50
4445,795.57,772.45,757.63,769.14,773.70,-34.18,-885.25,504.88,-1.38,3.25,0.55,-450.91
4480,795.53,772.48,757.62,769.13,773.69,-28.32,-894.04,494.63,-2.31,1.88,-2.04,-451.15
4515,795.40,772.56,757.66,769.16,773.69,-40.53,-878.91,490.23,0.71,-1.93,1.01,-450.86
4549,795.06,772.60,757.77,769.27,773.68,-56.15,-919.92,470.21,-1.21,-2.89,-1.26,-448.70
4587,794.76,772.70,757.75,769.45,773.66,-66.41,-911.62,495.61,-1.15,0.95,-1.21,-451.73
4622,794.56,772.81,757.68,769.60,773.66,-42.97,-900.39,500.98,1.03,0.47,-0.11,-455.88
4657,794.41,772.96,757.76,769.76,773.72,-50.29,-897.46,487.79,0.16,0.58,-3.98,-456.91
4692,794.21,773.00,757.75,769.73,773.67,-27.34,-900.88,483.40,-0.47,1.07,-1.17,-456.38
4727,793.98,773.01,757.76,769.89,773.66,-44.43,-888.18,487.79,0.53,-3.45,-0.77,-457.70
4762,793.72,773.06,757.76,769.92,773.61,-45.41,-889.65,487.30,-0.73,1.13,-0.42,-457.84
4800,793.70,773.10,757.72,769.98,773.62,-45.41,-896.00,491.70,0.46,-2.26,1.90,-459.94
4835,793.54,773.09,757.80,769.96,773.60,-52.25,-913.09,483.89,-1.30,1.18,-1.57,-456.89
4870,793.40,773.07,757.76,769.93,773.54,-46.88,-901.37,492.19,-3.56,1.27,0.14,-456.79
4905,793.39,773.07,757.73,769.98,773.54,-27.34,-887.21,505.86,-1.62,-0.02,1.12,-458.29
4940,793.39,773.05,757.79,769.91,773.53,-37.60,-897.95,490.72,-0.48,1.31,-0.11,-455.46
4978,793.42,773.12,757.78,769.91,773.56,-41.02,-894.04,481.93,-2.35,1.24,-1.44,-456.45
5013,793.48,773.13,757.79,769.95,773.59,-35.64,-897.95,492.68,-0.52,1.26,-1.49,-457.04
5048,793.44,773.23,757.79,770.04,773.62,-47.85,-886.72,484.37,-1.27,1.37,-1.31,-459.13
5084,793.20,773.29,757.83,770.09,773.60,-34.18,-898.44,495.12,-1.05,2.84,-1.26,-458.59
5119,793.05,773.30,757.79,770.11,773.56,-36.13,-895.02,480.47,-0.63,-0.73,1.79,-459.46
5154,793.01,773.33,757.83,770.25,773.61,-41.99,-907.23,486.33,-0.45,0.40,0.60,-460.51
5191,793.06,773.39,757.80,770.26,773.63,-38.09,-887.70,494.14,-0.86,2.85,-0.17,-462.08
5226,793.26,773.40,757.80,770.20,773.66,-34.67,-896.97,482.91,-0.18,-1.37,0.86,-462.11
5261,793.49,773.43,757.77,770.31,773.75,-49.32,-904.79,492.19,-0.13,0.15,-3.72,-465.34
5296,793.43,773.43,757.82,770.28,773.74,-49.80,-904.30,499.02,-0.85,1.87,-0.32,-463.49
5331,793.31,773.36,757.79,770.25,773.68,-69.34,-892.09,496.09,-1.52,0.31,-2.07,-462.84
5366,793.30,773.37,757.84,770.34,773.71,-46.39,-891.60,495.12,-1.56,-2.98,-2.48,-462.92
5404,793.27,773.24,757.85,770.28,773.66,-50.78,-905.27,489.26,-0.44,0.60,0.39,-460.63
5439,793.22,773.17,757.83,770.24,773.61,-43.95,-896.00,500.00,0.24,0.44,0.34,-459.90
5474,793.47,773.03,757.67,770.13,773.58,-39.55,-898.44,482.91,-0.37,-0.49,-2.30,-461.84
5509,793.72,773.01,757.75,770.07,773.64,-45.41,-893.55,495.61,1.11,-0.17,-0.81,-459.75
5544,793.87,773.03,757.78,769.99,773.67,-44.92,-894.53,495.61,0.21,0.85,-1.23,-458.59
5579,793.96,772.90,757.72,769.86,773.61,-47.85,-892.09,490.72,-0.33,2.30,-1.40,-457.33
5617,794.05,772.86,757.73,769.77,773.60,-42.48,-898.93,487.79,-1.36,1.29,0.79,-455.87
5652,794.02,772.87,757.76,769.78,773.61,-41.50,-917.48,484.37,-2.02,-0.33,-1.89,-455.02
5687,793.96,772.78,757.77,769.76,773.57,-31.74,-887.21,502.44,-0.24,-0.53,-2.67,-453.64
