currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
13840,754.75,760.86,756.39,758.96,757.74,468.75,-852.54,441.41,12.44,70.5,23.6,-98.82,2769,0,64,8.48431,0.307891,-113.659,14426,-12738.4,1687.7,-112.047,-126.952,0
13875,754.73,760.86,756.46,759.06,757.78,581.05,-816.41,242.68,23.24,30.02,-5.02,-98.52,2776,0,64,29.1931,17.9774,-216.752,23122.9,-22948.6,985.782,-105.887,-106.715,0
13910,757.52,761.32,756.36,758.66,758.46,653.81,-1207.03,-1126.95,129.06,-70.4,-150.09,-108.37,2783,0,64,38.8131,30.4533,-282.103,26572.5,-29325.8,163.424,-103.96,-94.2189,0
13945,763.33,762.86,756.27,758.5,760.24,93.26,-1205.57,120.61,175.05,-7.55,-103.56,-140.57,2790,0,64,43.0578,37.6435,-323.906,29028,-33827.8,-291.139,-104.437,-89.6202,0
13982,804.98,768.28,756.91,764.97,773.78,1128.42,-2000,762.21,239.82,-250.14,-120.63,-406.4,2797,0,64,43.78,38.5195,-375.798,33233.8,-39420,-688.774,-104.897,-88.4362,0
14017,839.83,772.24,757.44,768.65,784.54,-41.99,-766.11,772.46,39.53,-26.7,-2.66,-598.53,2804,0,64,47.8478,37.0126,-441.652,38840.6,-46294,-134.144,-104.821,-87.9448,0
14052,844.4,774.84,757.55,768.87,786.41,-0.98,-789.55,663.57,-14.64,7.21,-2.66,-635.52,2811,0,64,57.181,37.9559,-507.87,43348.3,-52621.5,165.139,-103.612,-85.3551,0
14087,848.97,776.07,757.69,769.68,788.1,-118.65,-931.64,468.26,-4.37,0.06,-0.81,-669.57,2818,0,64,63.6567,42.1978,-567.737,46030.9,-58330.7,-57.1667,-102.742,-81.0804,0
14121,854.89,777.02,757.73,770.98,790.16,-54.69,-852.05,491.7,3.28,9.34,-4.77,-715.78,2825,0,64,64.3188,46.9177,-617.835,45743.1,-63532.4,-1047.91,-102.831,-74.0402,0
14159,858.62,778.6,757.92,772.79,791.98,-71.29,-906.25,492.68,2.89,-1.98,-1.75,-763.11,2833,0,64,63.016,50.679,-657.688,43449,-68217.1,-2129.56,-103.722,-66.0641,0
14194,856.9,780.35,758.16,775.78,792.8,-43.46,-928.22,456.05,6.24,0.02,-1.8,-809.14,2840,0,64,62.395,49.5474,-665.455,40892.8,-69215.6,-2382.41,-104.013,-61.4506,0
14228,852.26,782.13,758.65,778.8,792.96,-37.6,-882.32,501.46,14.2,6.15,-5.37,-839.76,2847,0,64,59.7906,44.5245,-646.339,37289.6,-67404.2,-2237.81,-104.286,-57.6929,0
14263,844.03,784.35,759.16,782.29,792.46,-27.83,-898.93,492.68,8.67,5.56,-3.86,-868.06,2854,0,64,55.1723,40.3702,-623.674,33545.9,-65185.2,-2573.74,-104.518,-53.787,0
14298,831.95,787.07,759.86,786.53,791.35,-40.53,-917.48,466.8,6.17,4,-3.89,-893.29,2861,0,64,51.931,39.2102,-612.525,30300.4,-64081.9,-3349.16,-104.619,-49.468,0
14332,819.76,790.02,760.87,791.88,790.63,-45.9,-895.02,486.82,15.62,1.12,-8.1,-928.68,2867,0,64,50.2138,41.1897,-616.056,28063.8,-64379.1,-4330.27,-104.502,-45.5541,0
14370,808.52,792.95,762.2,798.16,790.46,-31.74,-881.84,501.95,14.31,-1.79,-3.61,-973.17,2875,0,64,49.579,44.1759,-624.51,25298.1,-65332.5,-5191.31,-104.614,-40.509,0
14405,799.24,795.41,763.51,803.6,790.44,-13.18,-868.65,518.55,9.58,1.39,-2.34,-1008.32,2882,0,64,48.8041,46.6852,-641.074,23968.4,-66987.5,-5935.26,-104.493,-37.3882,0
14440,791.69,797.01,764.69,807.9,790.32,-36.13,-888.67,521.97,7.67,0.45,-4.76,-1029.14,2889,0,64,48.54,47.5105,-657.578,23154.5,-68854.4,-6733.59,-104.709,-35.2119,0
14474,785.36,798.22,765.74,811.84,790.29,-33.69,-896,526.86,2.15,0.21,-7.93,-1049.02,2896,0,64,45.7881,45.2698,-651.423,21765.1,-68131.2,-7146.89,-104.588,-33.4114,0
