currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,770.64,764.49,762.33,760.61,764.52,97.17,-843.26,557.13,-1.20,0.73,1.79,-58.98
60,770.82,764.45,762.24,760.57,764.52,95.21,-836.43,550.78,0.13,0.84,0.29,-60.74
93,770.89,764.43,762.26,760.54,764.53,86.43,-854.49,547.85,-0.63,1.82,-0.34,-60.03
127,770.99,764.44,762.29,760.50,764.55,110.35,-852.54,548.83,1.43,0.44,-4.12,-58.85
161,770.96,764.43,762.25,760.49,764.53,87.40,-837.89,558.59,-1.18,2.34,-0.73,-59.94
195,771.08,764.39,762.18,760.38,764.51,91.31,-836.91,547.85,-1.10,1.54,-1.24,-59.92
229,771.10,764.39,762.21,760.34,764.51,87.40,-830.08,549.32,-1.46,2.91,1.27,-58.63
264,771.07,764.41,762.13,760.37,764.49,110.84,-842.29,559.08,1.81,2.27,-0.82,-61.20
298,771.11,764.40,762.19,760.34,764.51,103.03,-848.14,562.01,0.17,3.61,1.73,-59.34
332,770.97,764.30,762.18,760.27,764.43,88.87,-844.24,555.18,-0.07,2.57,-1.64,-57.29
366,771.00,764.38,762.18,760.32,764.47,87.40,-832.52,562.50,0.69,3.45,1.08,-58.66
401,770.92,764.31,762.18,760.34,764.44,93.26,-849.61,559.57,1.91,3.06,1.37,-58.10
435,770.97,764.29,762.20,760.28,764.43,83.50,-844.24,548.34,-0.69,2.15,0.08,-56.72
469,771.02,764.34,762.12,760.23,764.43,100.59,-857.42,549.80,-1.31,0.81,-0.63,-58.62
503,770.90,764.28,762.18,760.23,764.40,90.33,-853.03,556.15,1.90,-0.18,-0.93,-56.30
538,770.95,764.29,762.18,760.28,764.43,100.10,-846.68,556.15,1.15,1.19,-1.55,-57.19
572,771.12,764.27,762.09,760.23,764.43,90.82,-837.89,566.41,-0.54,2.03,-0.21,-59.15
606,771.06,764.24,762.13,760.14,764.39,103.52,-854.49,554.20,0.43,-0.34,0.86,-56.44
641,770.97,764.20,762.14,760.15,764.37,91.31,-841.31,554.69,-0.66,-1.08,-1.40,-55.66
675,770.84,764.26,762.06,760.16,764.33,93.75,-845.21,551.76,-2.27,1.89,2.34,-57.78
709,770.76,764.23,762.12,760.18,764.32,105.47,-844.73,553.22,-0.20,-0.02,-0.16,-56.09
743,770.69,764.23,762.06,760.11,764.27,98.14,-847.17,556.64,0.95,0.50,0.43,-56.44
778,770.75,764.27,762.02,760.21,764.31,101.07,-845.70,551.76,0.47,1.93,0.27,-59.20
812,770.58,764.29,762.11,760.15,764.28,99.61,-851.07,556.15,0.63,0.51,-0.71,-55.76
846,770.53,764.26,762.13,760.17,764.27,89.36,-846.68,554.69,-1.13,-0.82,0.85,-55.34
881,770.39,764.31,762.07,760.22,764.25,93.26,-842.77,546.39,0.31,0.34,-0.67,-57.26
917,770.44,764.28,762.13,760.20,764.26,103.52,-849.12,554.20,0.91,-0.31,-0.27,-55.43
951,770.38,764.23,762.19,760.25,764.26,101.56,-840.82,547.85,0.03,4.33,-1.19,-54.17
