currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
12450,774.53,767.68,758.35,756.59,764.29,67.38,-865.72,526.37,1.31,1.98,0.48,-137.77,2491,0,64,-0.744333,7.72976,-28.3653,-657.362,2835.11,1453.9,-407.975,24.362,0
12484,774.33,767.79,758.35,756.56,764.26,43.46,-867.68,526.86,-1.95,-0.65,-0.32,-137.49,2498,0,64,-5.35056,-14.8579,-89.1331,3001.56,9779.62,-780.658,-397.286,-33.7063,0
12519,774.2,767.79,758.39,756.65,764.26,64.45,-870.61,546.39,3.06,2.75,-0.85,-137.43,2505,0,64,-7.68317,1.13052,-157.628,3871.12,17850.7,1615.29,-393.757,-24.5426,0
12553,774,767.91,758.47,756.68,764.27,38.57,-862.79,536.13,0.91,-0.27,2.13,-136.27,2512,0,64,-12.8603,5.82067,-214.045,5299.3,24267.3,2132.07,-393.624,-24.7591,0
12587,773.7,767.88,758.49,756.67,764.19,51.76,-859.37,539.55,-0.97,2.07,0.31,-134.23,2518,0,64,-23.2065,4.96665,-247.242,6513.32,27393.1,1525.98,-396.205,-26.3428,0
12621,773.4,767.94,758.65,756.73,764.18,219.24,-1081.54,517.58,-23.08,-16.98,4.27,-130.76,2525,0,64,-34.6005,5.48751,-302.061,8393.88,33039.5,1188.85,-397.621,-27.7837,0
12656,773.38,768.04,758.59,756.82,764.21,-9.77,-761.23,518.07,11.5,4.1,0.37,-134.23,2532,0,64,-45.1953,4.27257,-409.644,12519.8,44911.3,866.377,-397.37,-30.5553,0
12690,773.4,768.06,758.53,756.78,764.19,120.61,-906.74,531.25,2.18,6.49,1.34,-135.29,2539,0,64,-54.0609,2.84395,-543.743,18169.8,60522.5,632.294,-395.696,-33.4119,0
12724,773.47,768.04,758.53,756.82,764.21,48.83,-844.24,529.79,-1.72,3.05,1.76,-135.92,2546,0,64,-62.0696,2.99705,-671.166,23256.8,75220.1,182.319,-394.925,-34.6499,0
12759,773.36,768.11,758.62,756.79,764.22,55.18,-849.12,520.02,2.54,0.97,-0.27,-133.39,2553,0,64,-67.366,2.82284,-716.843,25086,80115.9,-407.648,-395.238,-34.9952,0
12793,773.35,768.14,758.56,756.78,764.21,57.13,-879.88,530.76,-0.67,2.54,0.62,-135.11,2560,0,64,-66.4253,3.48107,-697.213,23290.7,77688.7,-659.93,-395.572,-33.4051,0
12827,773.36,768.09,758.63,756.82,764.23,37.6,-875,522.46,3.42,4.75,1.71,-133.5,2566,0,64,-60.8061,2.8163,-661.215,20817,73921.4,-675.337,-395.204,-31.4823,0
12861,773.26,768.11,758.61,756.87,764.21,38.09,-890.14,537.6,0.3,3.67,1.7,-134.7,2573,0,64,-54.764,3.9448,-628.693,17243.8,69978.6,-264.435,-395.692,-27.4273,0
12896,773.16,768.14,758.63,756.87,764.2,52.73,-879.39,533.2,0.98,0.21,-0.76,-134.1,2580,0,64,-50.0487,6.00931,-620.638,14449.5,69128.6,259.672,-395.617,-23.2818,0
12930,773.12,768.2,758.64,756.92,764.22,53.22,-884.28,522.95,-0.68,2.54,-0.4,-134.65,2587,0,64,-47.2187,6.67359,-633.222,12944.2,70703.6,670.603,-395.343,-20.442,0
12964,773.03,768.19,758.67,756.88,764.19,54.2,-867.68,534.18,1.17,1.86,1.25,-133,2594,0,64,-46.5974,2.66696,-638.648,12552,71458.6,367.299,-395.11,-19.6539,0
12998,772.99,768.26,758.67,756.86,764.2,63.48,-859.37,537.11,0.01,-0.23,0.74,-133.1,2601,0,64,-43.244,-0.798191,-596.961,10458.5,66655,387.622,-395.343,-17.5176,0
13031,772.99,768.21,758.73,756.93,764.21,58.11,-872.07,521,1.66,2.53,-2.58,-132.26,2607,0,64,-38.0386,-2.09145,-546.33,8083.09,60776.1,668.248,-395.756,-14.7929,0
13065,772.98,768.22,758.74,756.92,764.21,58.11,-873.05,527.83,1.73,2.56,0.1,-132.01,2614,0,64,-31.619,-0.475726,-492.502,5422.56,54674.5,1241.78,-395.986,-11.009,0
13099,772.82,768.2,758.74,756.89,764.16,55.66,-864.75,526.37,-0.44,-0.33,1.14,-130.69,2621,0,64,-27.8646,0.0712741,-460.473,3646.57,50935.9,1869.95,-396.383,-7.91847,0
13133,772.86,768.18,758.75,756.85,764.16,49.8,-857.42,531.74,0.25,2.08,1.31,-129.85,2628,0,64,-27.2777,-1.82355,-441.537,2973.56,48824.8,1806.82,-396.421,-6.73429,0
13166,772.9,768.22,758.71,756.86,764.17,64.45,-870.61,532.23,-1.24,2.7,-1.63,-131.52,2634,0,64,-26.3166,-3.60672,-431.366,2644.16,47650.6,1642.82,-396.535,-6.12979,0
13201,773.01,768.13,758.76,756.89,764.2,52.73,-861.82,534.18,1.04,2.4,0.73,-130.4,2641,0,64,-24.2986,-4.85433,-417.234,2135.12,46038.1,1876.24,-396.659,-5.1166,0
13235,773.06,768.11,758.64,756.88,764.17,69.82,-859.86,538.09,0.92,1.29,0.06,-133.16,2648,0,64,-22.2897,-4.04753,-389.671,679.301,42764.7,2230.09,-397.255,-1.74256,0
13268,773.06,768.06,758.67,756.84,764.16,55.18,-854.98,538.57,0.97,2.52,1.76,-131.56,2655,0,64,-21.1409,-1.52405,-356.036,-1119.96,38621.7,2612.73,-398.524,3.14768,0
13302,773.08,768.02,758.73,756.86,764.17,63.96,-865.72,546.39,0.31,0.58,1.59,-130.23,2661,0,64,-21.263,-1.18827,-328.655,-2184.61,35393.6,2744.46,-399.308,6.64802,0
