currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
11637,787.4,766.89,753.79,768.21,769.08,-50.29,-873.54,526.37,0.17,0.64,0.33,-460.18,2328,0,64,-0.708647,-14.85,-49.0837,5498.79,-5114.55,1403.07,-104.26,-112.072,0
11672,787.29,766.93,753.78,768.35,769.09,-41.02,-878.42,537.11,0.1,-1.35,-0.07,-462.62,2335,0,64,-5.82332,-1.07495,-98.3888,8356.97,-11133.9,245.453,-113.226,-85.0619,0
11707,787.08,766.99,753.84,768.47,769.09,-44.43,-870.12,524.41,1.16,-0.66,-0.88,-462.56,2342,0,64,8.96212,35.7998,-181.126,7263.36,-19269.7,-3911.47,-106.379,-40.0365,0
11742,786.86,766.95,753.84,768.41,769.01,-43.95,-884.28,537.6,0.41,2.3,-3.2,-460.61,2349,0,64,10.9284,45.3653,-257.202,7919.94,-28055.1,-5542.36,-109.078,-30.7931,0
11778,786.79,767.02,753.84,768.31,768.99,-36.62,-872.56,530.76,-0.99,1.48,-3.07,-459.4,2357,0,64,19.5254,40.5927,-256.825,4537.95,-27488.2,-4585.28,-107.031,-17.6711,0
11815,786.75,766.91,753.77,768.38,768.96,-35.64,-876.46,528.32,-0.5,1.31,-1.08,-461.15,2364,0,64,23.7752,44.6498,-281.783,959.972,-29938,-5338.57,-106.243,-3.41746,0
11850,786.76,766.97,753.81,768.49,769.01,-41.02,-876.95,532.71,1.34,-0.59,0.92,-462.23,2371,0,64,24.0803,55.8567,-349.356,-1543.95,-37337.7,-6967.9,-106.875,4.4187,0
11885,786.79,766.89,753.78,768.45,768.98,-35.64,-874.51,521.48,0.09,-0.66,-0.08,-461.99,2378,0,64,29.5424,68.4744,-451.132,-1444.97,-48152.1,-8416.22,-106.737,3.20699,0
11920,786.93,766.91,753.81,768.38,769.01,-45.41,-883.79,521,-1.93,-1.33,0.82,-460.69,2385,0,64,37.9628,77.3843,-552.951,-16.8391,-58593.5,-8967.72,-105.967,0.0329295,0
11955,786.77,766.81,753.83,768.51,768.98,-56.64,-871.09,522.95,-1.68,-2.98,0.24,-460.72,2392,0,64,46.9482,85.1716,-639.855,1218.54,-67007.4,-9230.98,-104.723,-1.90384,0
