currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,772.96,766.44,768.77,765.79,768.49,121.09,-833.98,556.64,0.53,3.22,-1.10,1.78
59,772.88,766.60,768.85,765.91,768.56,111.82,-841.31,557.62,0.00,2.61,-1.27,0.85
93,772.66,766.60,768.82,765.96,768.51,118.16,-840.33,554.69,0.36,1.22,1.47,0.13
127,772.57,766.58,768.84,765.90,768.47,122.07,-840.33,558.59,1.24,3.48,0.95,2.04
161,772.30,766.61,768.89,765.96,768.44,108.40,-854.00,559.08,-0.60,2.88,-0.94,3.15
195,772.30,766.65,768.88,765.93,768.44,116.21,-838.87,560.55,0.24,2.30,-0.67,2.80
228,772.32,766.64,768.87,765.92,768.44,112.30,-855.96,563.48,-0.21,-0.49,1.01,2.94
263,772.37,766.64,768.78,765.87,768.42,107.91,-850.10,568.36,-0.72,1.69,-0.85,1.34
297,772.51,766.61,768.81,765.84,768.44,116.21,-841.31,561.04,-0.53,3.27,1.05,2.07
331,772.80,766.55,768.74,765.68,768.44,113.28,-832.03,557.62,0.42,0.00,-1.20,2.37
365,772.89,766.59,768.69,765.58,768.44,110.35,-843.75,551.27,1.78,1.27,2.17,1.86
399,773.13,766.56,768.61,765.41,768.43,119.14,-843.75,563.96,0.56,0.39,1.05,1.60
434,773.51,766.59,768.51,765.28,768.47,112.30,-831.05,567.38,-0.73,2.56,2.01,-0.39
468,773.82,766.53,768.46,765.13,768.48,115.72,-855.96,547.36,0.11,0.87,-1.12,-0.09
502,774.08,766.47,768.38,764.98,768.48,108.40,-847.66,548.83,-0.54,-0.73,1.67,-0.20
536,774.45,766.45,768.39,764.79,768.52,112.79,-848.63,556.64,0.74,3.07,1.18,1.85
570,774.58,766.41,768.38,764.66,768.51,117.19,-845.21,554.20,1.05,1.10,-0.05,3.32
605,774.73,766.44,768.26,764.59,768.51,105.47,-839.36,551.27,-2.25,0.78,1.10,0.70
639,774.70,766.43,768.25,764.59,768.49,113.77,-851.07,558.11,0.66,3.08,-0.81,0.50
673,774.58,766.42,768.28,764.57,768.46,120.61,-837.89,565.43,2.37,1.04,1.00,2.03
707,774.28,766.43,768.31,764.75,768.44,128.42,-848.63,541.99,-0.48,1.98,1.31,1.14
741,773.99,766.54,768.35,764.83,768.43,117.19,-849.61,548.34,-0.68,0.76,-2.93,1.08
