currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,774.99,782.64,758.33,764.27,770.06,-32.71,-928.71,467.29,-1.60,1.34,0.07,-372.98
60,775.55,783.23,758.34,764.12,770.31,-23.93,-925.29,452.15,-5.37,-1.61,-1.47,-377.29
94,776.04,783.94,758.34,764.15,770.62,-30.76,-920.41,458.98,-5.56,-0.39,0.31,-385.14
128,776.17,784.57,758.22,763.96,770.73,-122.56,-922.36,470.70,-6.66,1.44,-3.18,-390.79
162,776.56,785.03,758.13,763.78,770.87,-36.13,-932.62,428.71,-8.49,1.83,-0.76,-395.14
196,776.79,785.38,758.11,763.62,770.98,-49.32,-926.76,437.01,-7.46,1.18,-2.19,-396.96
236,777.27,785.70,758.00,763.49,771.11,-22.95,-910.64,447.75,-5.45,2.53,-3.21,-401.97
270,777.67,785.81,757.91,763.32,771.18,-28.81,-937.01,436.04,-6.18,1.89,-2.16,-403.97
305,778.34,786.02,757.91,763.11,771.34,-15.14,-924.32,430.18,-6.38,-0.38,-0.30,-405.02
340,779.37,786.12,757.74,763.06,771.57,-1.46,-917.97,415.53,-5.19,0.77,-1.40,-412.81
375,780.65,786.29,757.72,762.77,771.86,-21.97,-912.60,422.36,-6.06,2.93,-2.01,-414.87
410,782.14,786.43,757.62,762.74,772.23,-23.93,-925.29,420.90,-3.86,1.29,-1.75,-423.17
448,783.78,786.48,757.44,762.58,772.57,-28.32,-949.71,417.97,-3.70,-0.31,-2.42,-431.13
483,785.13,786.42,757.36,762.57,772.87,-41.02,-941.89,418.95,-2.47,-1.76,0.58,-437.25
518,786.30,786.38,757.37,762.60,773.16,-25.39,-928.71,413.09,-0.92,1.53,0.05,-441.11
552,787.30,786.35,757.36,762.64,773.41,-19.04,-924.32,415.04,-1.00,2.87,-1.31,-445.11
587,788.05,786.40,757.32,762.64,773.60,-24.41,-921.39,423.34,-2.89,0.25,0.73,-449.25
625,788.70,786.40,757.33,762.64,773.77,-24.90,-944.82,408.69,-0.11,-1.22,-1.63,-451.21
660,789.29,786.61,757.40,762.77,774.02,-35.64,-930.66,431.15,-0.84,0.49,-1.56,-454.92
695,789.79,786.88,757.34,762.85,774.22,-17.09,-945.80,408.20,-0.98,-0.88,0.05,-461.48
730,789.96,787.17,757.37,763.03,774.38,-23.44,-937.99,407.23,-0.74,-0.38,-2.10,-466.19
766,789.71,787.42,757.46,763.12,774.43,-16.60,-930.66,424.80,0.31,0.02,-0.81,-466.60
801,789.44,787.75,757.45,763.26,774.48,-30.76,-931.15,411.13,-1.00,-1.21,-0.30,-470.74
838,789.25,787.82,757.40,763.34,774.45,-17.09,-943.85,422.36,-2.15,2.62,-0.98,-472.92
873,788.80,787.92,757.48,763.42,774.41,-34.18,-935.06,415.04,1.04,0.17,-3.21,-471.49
909,788.46,788.08,757.49,763.65,774.42,-22.95,-941.41,419.92,1.30,0.36,1.15,-474.60
944,788.03,788.21,757.56,763.82,774.40,-25.39,-931.15,416.99,-0.16,2.03,-1.37,-474.93
979,787.55,788.20,757.55,763.89,774.30,-18.55,-929.69,413.09,1.03,-0.82,0.73,-474.45
1015,787.46,788.23,757.55,763.98,774.30,-21.48,-940.92,414.06,1.49,0.48,-1.06,-475.87
1052,787.35,788.28,757.57,764.09,774.32,-29.79,-934.08,412.11,0.88,-0.02,-0.60,-476.84
1088,787.33,788.18,757.63,764.04,774.30,-22.46,-937.99,430.66,1.20,0.56,0.37,-473.68
1123,787.39,788.21,757.58,764.11,774.32,-14.16,-922.85,419.43,1.17,-1.11,-0.69,-476.56
1158,787.69,788.24,757.56,764.15,774.41,-20.02,-932.62,422.36,2.98,1.63,-1.89,-478.88
1193,788.25,788.11,757.61,764.21,774.54,-26.86,-932.62,417.48,2.92,-1.35,-0.15,-479.36
1228,788.74,788.10,757.58,764.11,774.63,-17.58,-937.99,419.43,1.66,-1.21,0.59,-480.29
1266,789.17,787.83,757.63,764.05,774.67,-23.44,-929.20,425.29,2.79,0.87,0.79,-477.42
1301,789.51,787.63,757.60,764.00,774.69,-25.39,-924.32,416.99,3.27,3.20,-1.47,-476.94
1336,789.86,787.43,757.61,764.01,774.73,-37.11,-933.11,416.99,3.64,2.09,-2.01,-476.38
1371,789.98,787.19,757.67,763.94,774.69,-24.90,-917.48,419.43,4.66,3.11,0.11,-472.40
1406,789.94,787.00,757.78,763.97,774.67,-17.09,-933.11,441.41,7.09,1.04,1.24,-468.54
1441,790.01,786.65,757.88,764.04,774.65,-26.37,-922.36,425.78,11.48,0.34,1.34,-464.64
1478,790.66,786.45,757.98,764.33,774.86,-18.07,-922.85,435.55,9.55,-2.28,1.60,-467.02
1514,791.12,786.40,757.98,764.55,775.01,-9.77,-925.29,449.71,6.02,-0.95,-0.53,-471.22
1548,790.98,786.31,758.01,764.67,774.99,-35.16,-914.55,449.71,3.06,-0.66,-0.01,-470.96
1583,790.67,786.39,758.02,764.82,774.98,-15.63,-909.18,448.24,0.72,-0.92,-1.53,-472.61
1619,790.67,786.57,758.13,764.97,775.09,-16.11,-918.95,451.66,-0.86,0.66,-2.67,-473.54
1654,790.61,786.63,758.17,765.08,775.12,-16.60,-926.76,450.68,-0.70,0.95,-1.13,-474.50
1691,790.37,786.71,758.15,765.18,775.10,-21.97,-902.83,453.12,0.59,-0.13,0.78,-476.41
1726,790.20,786.83,758.11,765.24,775.10,-24.90,-909.67,447.75,0.69,-1.92,-0.76,-478.47
1761,790.25,786.92,758.10,765.35,775.16,-26.86,-926.76,435.06,1.28,0.15,2.07,-481.29
1796,790.31,786.79,758.17,765.47,775.19,-25.88,-917.97,440.92,3.18,-4.97,-0.24,-480.52
1831,790.31,786.69,758.16,765.52,775.17,-21.48,-921.87,451.66,1.00,-1.85,1.48,-480.64
1866,790.44,786.46,758.16,765.58,775.16,-30.27,-929.20,448.73,1.15,-1.16,-0.65,-480.02
1904,790.30,786.28,758.16,765.75,775.12,-31.74,-926.76,454.59,1.87,0.44,-0.67,-480.69
1939,790.09,786.23,758.20,765.84,775.09,-21.48,-929.20,465.82,0.40,-0.96,0.08,-479.92
1974,789.92,786.16,758.26,765.86,775.05,-14.16,-914.55,465.33,-2.59,-0.87,0.31,-477.48
2009,789.66,786.09,758.19,765.93,774.97,-12.70,-919.43,443.85,0.88,0.01,-0.22,-478.97
2044,789.66,785.95,758.19,766.00,774.95,-20.51,-929.69,453.12,1.96,-2.04,0.93,-478.83
