currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,784.33,774.30,771.38,764.87,773.72,110.84,-933.59,366.70,2.11,0.66,0.60,-21.77
60,784.38,774.24,771.34,764.90,773.71,107.42,-927.25,378.91,0.19,1.09,-1.21,-22.81
94,784.47,774.14,771.37,764.86,773.71,127.44,-939.94,366.21,3.44,5.47,1.21,-20.99
127,784.71,774.16,771.37,764.79,773.76,107.42,-940.92,374.02,-1.33,1.25,-0.63,-21.19
161,784.92,774.04,771.35,764.80,773.78,120.12,-935.06,363.77,0.49,2.25,-0.60,-21.31
195,785.17,773.98,771.30,764.85,773.83,110.35,-941.41,372.56,-0.46,1.05,1.69,-23.62
229,785.38,773.92,771.26,764.76,773.83,107.91,-929.20,361.82,1.36,0.52,-0.95,-23.70
263,785.58,773.84,771.25,764.74,773.85,119.14,-937.99,352.05,-1.58,-1.88,0.76,-23.68
297,785.76,773.81,771.26,764.73,773.89,106.45,-940.92,372.07,1.37,0.75,-0.11,-23.62
331,785.85,773.76,771.22,764.71,773.88,111.82,-931.64,362.79,1.05,3.26,1.17,-24.22
365,785.95,773.75,771.23,764.74,773.92,104.00,-948.24,366.21,2.20,1.76,2.21,-24.76
402,785.98,773.64,771.21,764.79,773.91,115.72,-932.62,353.52,0.46,2.24,0.11,-25.40
436,786.28,773.65,771.26,764.76,773.99,115.72,-922.36,396.97,1.62,1.67,0.42,-24.57
470,786.46,773.59,771.27,764.78,774.02,121.09,-934.08,384.28,1.66,1.24,-0.11,-24.78
504,786.44,773.49,771.23,764.78,773.99,112.79,-957.03,365.72,-0.32,3.66,-1.05,-25.02
538,786.40,773.55,771.22,764.65,773.96,125.98,-929.69,382.32,-0.50,3.40,0.94,-23.65
572,786.39,773.37,771.26,764.75,773.94,105.96,-924.80,376.46,1.95,1.08,2.08,-22.61
607,786.46,773.34,771.22,764.73,773.94,117.19,-955.08,375.00,0.97,2.63,2.32,-23.27
641,786.49,773.28,771.27,764.81,773.96,121.58,-947.27,369.63,0.31,4.34,1.70,-22.95
675,786.48,773.28,771.22,764.71,773.92,111.33,-932.62,375.00,-0.01,0.95,-0.66,-22.69
709,786.36,773.18,771.05,764.68,773.82,102.54,-937.50,374.51,2.13,0.62,0.65,-25.25
743,786.19,773.14,771.14,764.73,773.80,110.84,-947.27,363.28,-0.35,2.73,-1.21,-22.82
777,786.16,773.03,771.13,764.64,773.74,113.28,-934.57,372.56,0.27,-0.85,-2.08,-20.64
813,786.13,773.08,771.13,764.60,773.73,118.65,-934.57,383.30,-1.21,2.54,1.27,-20.38
848,786.09,773.13,771.09,764.63,773.74,117.19,-930.66,400.88,2.70,-1.44,-2.51,-22.11
882,785.99,773.11,771.13,764.55,773.70,97.66,-958.01,368.16,-1.37,2.65,-0.56,-19.40
917,785.85,773.08,771.15,764.61,773.67,116.70,-942.87,384.28,-1.15,1.07,-1.24,-19.17
952,785.75,773.18,771.14,764.61,773.67,106.45,-930.18,380.37,1.79,4.25,1.76,-19.81
986,785.72,773.21,771.17,764.62,773.68,120.12,-954.10,369.63,-2.21,0.76,1.55,-19.54
1020,785.68,773.20,771.17,764.72,773.69,104.49,-919.43,391.60,0.05,2.26,-0.08,-20.64
1054,785.66,773.17,771.18,764.66,773.67,113.28,-934.08,376.95,0.40,1.58,0.72,-19.19
1088,785.61,773.12,771.18,764.69,773.65,129.39,-936.04,369.63,-0.28,1.09,1.04,-19.03
1122,785.66,773.16,771.11,764.71,773.66,113.28,-925.78,368.16,1.05,2.61,-1.89,-21.63
1156,785.67,773.22,771.20,764.66,773.69,132.81,-927.73,378.91,0.24,0.06,0.47,-19.26
1191,785.71,773.23,771.09,764.67,773.68,107.42,-943.85,378.91,2.37,4.20,-0.42,-22.17
1227,785.75,773.29,771.12,764.67,773.71,104.98,-940.43,365.72,0.13,1.71,-3.21,-22.21
1261,785.82,773.32,771.17,764.71,773.76,94.73,-917.97,373.05,1.81,3.05,0.95,-21.81
1295,785.77,773.28,771.16,764.72,773.73,117.19,-945.31,370.61,-0.60,2.20,-2.39,-21.69
1329,785.71,773.27,771.12,764.72,773.70,107.42,-939.45,376.46,0.44,1.30,-0.07,-22.55
1363,785.66,773.23,771.16,764.80,773.71,106.93,-936.52,367.19,-0.47,0.53,1.85,-22.09
1397,785.49,773.25,771.14,764.79,773.67,123.05,-943.36,374.02,1.27,0.60,-1.56,-22.28
1431,785.56,773.19,771.16,764.79,773.68,109.86,-941.89,371.09,0.15,-0.83,-1.50,-21.38
1465,785.59,773.15,771.17,764.81,773.68,113.77,-938.96,370.61,0.33,-1.41,0.87,-21.15
1499,785.64,773.18,771.15,764.83,773.70,108.40,-947.75,372.56,1.49,0.64,-0.80,-22.52
1532,785.71,773.21,771.23,764.75,773.73,116.70,-942.38,367.19,-0.21,-1.14,0.70,-19.81
1566,786.03,773.16,771.17,764.79,773.79,119.14,-945.31,376.95,1.60,0.57,0.78,-22.50
1599,785.97,773.17,771.15,764.80,773.77,111.82,-941.41,383.79,0.78,1.93,1.07,-23.03
1635,785.86,773.16,771.15,764.80,773.74,121.58,-940.92,366.70,-0.29,3.40,-0.45,-22.60
