currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
13121,770.22,771.93,758.8,764.49,766.36,-144.53,-916.02,616.21,2.73,-12.54,-5.69,-262.02,2625,0,82,4.79603,-12.8938,-81.2162,10923.3,-5838.73,1708.21,-70.9388,-133.377,0
13157,778.5,776.75,759.5,765.96,770.18,-46.88,-806.15,507.32,30.05,-2.11,-11.56,-333.49,2632,0,82,14.2417,11.01,-198.937,29147.8,-16042.4,1913.67,-80.6758,-146.584,0
13194,796.15,781.66,760.27,767.61,776.42,-48.34,-885.74,531.74,35.73,2.41,-5.95,-438.46,2640,0,82,25.4777,17.7777,-270.263,39227,-20998.3,3793.71,-77.704,-145.143,0
13230,813.06,785.37,760.59,767.72,781.69,-48.34,-846.68,502.44,0.01,-0.43,-4.3,-519.96,2647,0,82,57.8821,22.3783,-379.449,56612.3,-28563.3,8448.82,-75.27,-149.181,0
13267,822.91,786.44,760.47,766.79,784.15,-33.69,-854.98,543.95,-8.64,4.67,0.45,-551.51,2654,0,82,86.9491,23.5745,-526.211,81640.3,-40488.3,12752.4,-76.9443,-155.142,0
13303,834.48,786.3,760.31,765.89,786.74,-17.58,-844.73,513.18,-13.43,-1.6,-3.37,-581.01,2662,0,82,108.481,19.3561,-612.863,97816.7,-46630.8,16848.5,-76.0869,-159.605,0
13342,837.57,786.68,760.35,766.16,787.69,-26.86,-982.91,458.5,-9.24,1.36,-2.77,-597.57,2669,0,82,111.777,13.0773,-641.516,105727,-49458.7,17911.2,-77.0954,-164.804,0
13378,840.33,788.21,760.55,765.98,788.77,0,-851.07,462.89,-5.4,2.61,-3.22,-611.58,2677,0,82,98.5696,5.03534,-650.806,109932,-51435.8,16542.5,-79.0337,-168.918,0
13414,840.26,787.05,760.21,764.97,788.12,-70.31,-860.84,504.88,-15.93,1.29,-1.6,-595.77,2684,0,82,105.393,20.0361,-687.693,115458,-54309,15720.8,-78.9728,-167.892,0
13450,840.83,786.15,760.01,764.6,787.9,-42.97,-818.85,584.47,-0.93,-0.86,0.13,-589.9,2691,0,82,100.252,29.0656,-713.718,119306,-56595.9,13882.6,-79.2979,-167.162,0
13487,841.23,785.36,759.69,762.96,787.31,15.14,-857.91,596.68,-6.82,3.61,0.04,-568.86,2698,0,82,82.9249,15.9619,-655.759,111153,-52223.4,12538.9,-79.6378,-169.502,0
13523,835.84,784.14,759.39,762.89,785.56,-51.76,-1011.23,348.63,0.11,-0.88,-3.6,-546.85,2706,0,82,76.9977,37.1364,-663.664,112625,-54034.7,9517.16,-81.4179,-169.702,0
13561,837.08,783.52,759.14,762.25,785.5,-25.88,-916.02,510.74,4.89,-5.4,1.03,-543.04,2713,0,82,55.2826,21.7547,-565.295,97854.5,-46190,7781.67,-81.7117,-173.113,0
13597,830.05,780.28,758.75,761.55,782.66,-53.71,-866.21,466.8,-17.32,-4.7,7.73,-492.48,2720,0,82,49.9437,42.6743,-567.12,97657,-47239,4583.72,-83.2964,-172.198,0
13634,829.66,779.9,758.74,761.47,782.44,-25.39,-797.36,611.82,0.1,-3.44,-1.95,-487.25,2728,0,82,39.1001,45.1809,-527.861,92225.5,-45008.9,2862,-85.2674,-174.725,0
13670,829.77,778.5,758.66,761.4,782.08,-19.53,-918.95,539.55,7.95,-7.02,2.79,-477.2,2735,0,82,35.3617,39.7911,-475.479,84016.1,-40836,3043.07,-85.8836,-176.699,0
13706,825.69,776.55,758.59,761.2,780.51,-48.34,-882.32,489.75,-0.92,-7.64,5.73,-446.23,2742,0,82,43.7314,53.9534,-466.451,81637.2,-40120.6,3498.04,-86.0122,-175.018,0
13745,826.56,776.32,758.6,761.15,780.66,-28.32,-889.16,501.95,1.67,-2.78,-0.86,-446.45,2750,0,82,40.9876,58.2279,-435.089,76341.9,-38539,3474.23,-88.578,-175.464,0
13781,826.48,774.38,758.19,759.9,779.74,14.65,-863.77,565.92,-9.57,0.95,5.63,-422.54,2757,0,82,42.0105,65.3891,-422.843,74531.3,-37738,3690.16,-89.2477,-176.262,0
