currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,788.40,768.74,771.28,763.61,773.01,124.51,-923.34,396.97,2.34,2.95,0.05,24.77
59,788.74,768.73,771.20,763.66,773.09,111.33,-943.85,391.60,-0.43,3.49,1.20,21.08
93,789.11,768.66,771.12,763.63,773.13,107.42,-927.73,380.86,2.61,2.46,1.65,18.99
126,789.56,768.65,770.98,763.51,773.17,115.23,-941.41,413.09,1.69,1.60,0.85,15.63
160,789.85,768.67,770.86,763.45,773.21,120.61,-928.22,404.30,0.23,2.24,0.69,12.41
194,789.81,768.55,770.90,763.32,773.15,116.21,-926.76,384.77,0.05,0.09,1.22,16.40
228,789.84,768.58,770.87,763.30,773.15,118.65,-927.25,401.86,1.66,0.44,0.92,15.44
262,790.02,768.58,770.91,763.37,773.22,128.91,-929.69,390.62,-1.27,1.52,0.29,14.93
296,790.10,768.62,770.93,763.29,773.23,118.65,-937.99,397.46,-0.34,1.07,0.60,16.07
330,790.01,768.58,770.98,763.28,773.21,120.12,-940.43,385.74,-2.43,-2.46,0.86,18.06
364,789.80,768.64,771.03,763.38,773.21,126.46,-933.11,384.28,-3.49,-0.28,-0.63,17.99
400,789.71,768.57,771.06,763.33,773.17,115.23,-927.73,397.46,-0.57,2.40,0.25,20.63
434,789.73,768.66,771.06,763.43,773.22,122.56,-926.76,388.67,-1.07,2.30,0.56,18.31
468,789.73,768.64,771.01,763.44,773.21,120.61,-935.06,383.79,-0.13,2.71,0.14,16.92
503,789.81,768.66,771.03,763.34,773.21,129.88,-937.50,395.51,0.79,0.74,0.60,18.41
537,789.75,768.64,771.14,763.41,773.23,122.56,-924.32,384.77,1.89,1.98,-0.19,20.45
571,789.68,768.62,771.05,763.48,773.21,119.63,-929.20,397.95,-0.71,0.07,1.32,17.55
605,789.70,768.62,771.09,763.41,773.20,106.93,-932.62,410.64,0.30,0.74,-1.30,19.49
