currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
11251,789.41,769.25,756.2,759.58,768.61,122.07,-936.52,374.02,27.77,1.9,-20.16,-299.07,2251,0,82,28.4685,-14.7311,-162.116,37815.6,-29941.3,9512.16,-184.631,-233.118,0
11289,810.41,775.99,756.76,761.42,776.14,-49.32,-890.62,541.99,34.47,6.48,-4.48,-438.36,2259,0,82,14.8515,6.46057,-269.77,59843.7,-50501.2,2327.86,-187.271,-221.912,0
11325,823.11,781.08,757.1,762.17,780.87,-106.93,-918.95,632.81,2.18,9.11,-4.79,-525.2,2266,0,82,52.0884,15.6662,-393.595,84663,-70218.1,7752.95,-178.397,-215.091,0
11360,822.5,785.36,757.54,762.5,781.97,-60.55,-915.53,565.43,-23.37,6.63,-9.48,-551.5,2273,0,82,74.0741,13.7288,-569.95,122231,-100998,11774.7,-177.205,-214.456,0
11396,818.97,789.26,757.99,763.3,782.38,-63.96,-864.26,506.35,-15.5,9.19,-7.65,-571.16,2280,0,82,83.4323,9.80427,-638.262,135030,-111017,13152.9,-173.937,-211.558,0
11431,816,792.09,758.28,764.27,782.66,-116.21,-846.68,508.3,-11.56,1.94,-8.55,-590.7,2287,0,82,87.5262,8.62718,-619.606,128374,-104639,13101.7,-168.88,-207.185,0
11466,812.37,793.39,758.66,765.61,782.51,-42.97,-893.55,481.93,-7.66,-2.6,-4.23,-599.01,2294,0,82,87.5743,13.4344,-613.5,124294,-101314,11774,-165.142,-202.598,0
11504,812.31,794.86,759.18,767.05,783.35,-18.55,-920.9,502.44,2.36,-3.87,1.5,-618.79,2302,0,82,80.5691,16.2534,-596.512,117376,-96361.7,9706.32,-161.542,-196.77,0
11540,808.16,793.23,758.71,765.82,781.48,-14.65,-845.21,572.27,-22.05,-6.06,-2.16,-585.24,2309,0,82,75.1351,32.2671,-596.305,114625,-95559.8,6493.39,-160.253,-192.226,0
11575,806.67,792.24,758.53,765.65,780.77,-21.48,-882.81,493.65,-2.87,1.19,4.07,-574.02,2316,0,82,69.2342,44.2538,-627.035,119291,-100819,3900.37,-160.787,-190.245,0
11611,808.84,790.87,758.24,764.69,780.66,-27.34,-929.2,498.54,-15.15,-2.67,1.35,-563.46,2323,0,82,60.0436,32.1473,-527.31,100206,-83379,5355.73,-158.121,-190.032,0
11646,805.94,789.17,757.97,764.49,779.39,-49.8,-902.83,433.59,-17.37,-7.5,3.18,-543.89,2330,0,82,52.6545,46.5137,-552.883,106634,-89320.4,1770.95,-161.553,-192.868,0
11681,809.08,788.66,757.93,764.44,780.03,-68.85,-846.68,553.71,-9.97,-3.12,2.47,-550.63,2337,0,82,49.1604,44.0062,-524.746,102811,-85394.6,2032.34,-162.739,-195.931,0
11719,811.15,787.57,757.54,763.14,779.85,-4.39,-873.54,485.35,-13.27,-5.75,2.55,-539.7,2345,0,82,45.4613,52.5572,-499.81,98324.6,-81459.7,455.637,-162.98,-196.724,0
11755,812.03,786.41,757.17,762.18,779.45,-27.83,-926.76,467.29,-16.11,-3.48,5.66,-528.54,2352,0,82,45.4119,69.3619,-526.635,104450,-87009.6,-2077.52,-165.218,-198.335,0
11791,814.35,784.49,757,761.16,779.25,-56.64,-921.87,496.58,-15.44,0.92,4.81,-510.17,2359,0,82,47.1765,69.4807,-500.83,101388,-83021.2,-1233.37,-165.767,-202.44,0
11826,815.13,780.43,756.56,759.17,777.82,15.63,-986.33,449.71,-18.17,6.56,5.41,-461.86,2366,0,82,49.3062,80.4541,-488.74,100322,-81374.4,-2544.09,-166.499,-205.267,0
11862,818.29,778.11,756.4,758.55,777.84,-64.45,-871.09,438.96,-17.62,7.54,1.09,-449.18,2373,0,82,48.9533,86.1079,-475.658,99515.1,-80533,-3453.55,-169.311,-209.22,0
11899,818.79,775.97,756.31,757.98,777.26,-44.43,-983.4,389.65,-21.73,0.77,7.27,-427.54,2381,0,82,47.3255,84.7216,-452.436,97673.6,-79037.1,-4547.51,-174.692,-215.883,0
11935,817.96,772.45,756.11,757.57,776.02,-55.18,-917.48,443.36,-20.53,-2.7,9.5,-395.37,2388,0,82,47.6843,92.3455,-452.757,99031.8,-80244.4,-6025.38,-177.235,-218.732,0
11970,814.52,769.83,755.93,757.23,774.38,-49.8,-924.32,485.84,-15.79,-1.16,5.18,-361.91,2395,0,82,52.3301,85.4556,-414.033,91736.5,-73273.9,-3489.38,-176.977,-221.569,0
12006,804.07,767.08,755.79,757,770.98,-37.11,-916.02,397.46,-3.45,4,3.98,-304.21,2402,0,82,47.8939,77.6773,-372.901,84380.9,-67212,-2810.35,-180.241,-226.282,0
12041,792.59,765.14,755.77,756.84,767.59,-63.48,-915.04,410.64,-9.9,-14.98,5.29,-247.26,2409,0,82,39.3373,57.8144,-294.96,67222.2,-53014.2,-611.571,-179.727,-227.897,0
12077,782.78,764.46,755.75,756.65,764.91,-41.5,-933.59,413.57,-1.26,2.73,-9.14,-206,2416,0,82,33.9404,32.509,-208.73,48567.3,-37542.1,2922.37,-179.874,-232.707,0
12115,774.87,763.71,755.69,756.43,762.68,22.95,-929.2,458.98,-12.81,11.61,2.15,-171.05,2424,0,82,27.1103,20.6374,-140.979,32742.5,-24843.3,3911.9,-176.21,-232.251,0
12150,770.64,763.12,755.63,756.21,761.4,-109.86,-963.87,348.14,-16.27,18.39,16.06,-150.24,2431,0,82,20.1463,11.9531,-102.861,23337.7,-17380.9,3401.57,-168.968,-226.884,0
12185,768.44,762.66,755.65,756.17,760.73,-187.99,-949.22,336.43,-7.27,7.4,-6.36,-137.59,2438,0,82,13.3212,4.55519,-76.7405,17791.5,-13065.4,2812.24,-170.247,-231.835,0
12220,766.54,762.43,755.57,756.14,760.17,-41.5,-949.22,375.98,-8.7,-1.12,-6.75,-130.96,2445,0,82,8.0478,-3.27878,-67.6484,15650.6,-11401,2723.88,-168.534,-231.353,0
12255,764.89,762.05,755.56,756.06,759.64,-55.18,-948.73,392.09,-12.94,8.56,5.35,-121.35,2452,0,82,6.79985,-4.22705,-60.8482,14080.6,-10240.8,2483.97,-168.309,-231.409,0
12291,762.93,761.78,755.56,756,759.07,-93.75,-947.27,348.63,-10.95,3.82,4.02,-111.48,2459,0,82,5.06991,-2.03651,-53.0359,12058.3,-8754.6,1798.22,-165.072,-227.358,0
12329,760.67,761.51,755.5,755.94,758.41,-65.92,-970.21,372.56,-22.89,4.02,8.04,-102.15,2467,0,82,3.45035,-1.36709,-42.1759,9766.27,-7085.12,1360.57,-167.984,-231.55,0
12364,757.38,761.15,755.52,755.77,757.45,-25.88,-958.98,412.11,-39.08,10.79,22.27,-84.97,2474,0,82,2.04085,-0.340782,-35.7206,7997.92,-5740.64,800.813,-160.698,-223.892,0
12578,761.86,761.42,755.56,755.84,758.67,82.03,-894.53,683.59,-5.31,-0.98,-26.54,-102.63,2517,0,82,10.9961,-5.96403,-32.5611,7689.16,-4741.23,3591.56,-145.595,-236.12,0
12613,760.53,761.61,755.61,755.86,758.4,-6.35,-1087.89,218.26,-11.6,-10.61,-0.98,-98.53,2524,0,82,-8.07069,-1.21395,-68.7728,16081.8,-12777.8,-1785.8,-185.78,-233.812,0
12649,760.61,761.91,755.59,755.95,758.51,-80.08,-954.59,358.89,6.59,-5.75,-4.61,-103.11,2531,0,82,6.94106,-2.25952,-68.6117,15950.2,-11746.1,1748.82,-171.209,-232.483,0
12684,760.42,761.71,755.64,755.89,758.42,-85.94,-952.15,369.14,-11.15,6.02,-1.57,-98.72,2538,0,82,9.65182,-2.55083,-65.9476,14400.1,-10481,2432.13,-158.923,-218.356,0
12723,757.4,761.05,755.44,755.79,757.42,-95.21,-912.6,382.32,-55.27,10.58,0.2,-86.68,2546,0,82,7.20729,-0.769065,-68.5493,15171.2,-11313.7,1526.81,-165.049,-221.321,0
12758,754.98,760.38,755.46,755.59,756.6,-235.35,-834.47,654.79,-77.13,39.31,39.72,-69.52,2553,0,82,6.29762,-0.425691,-50.966,10985.1,-7958.2,1540.89,-156.074,-215.454,0
15025,755.56,760.46,755.37,755.7,756.77,-319.82,-903.32,294.43,15.82,-1.64,-11.48,-75.89,3006,0,82,-1.24674,-0.0733281,-21.0302,3559.27,-2340.72,-49.5809,-111.306,-169.253,0
15061,756.28,760.42,755.44,755.74,756.97,-305.18,-936.04,254.88,9.86,-3.47,-9.57,-76.9,3013,0,82,-1.01807,-0.249029,-22.7445,4104.66,-2748.46,-37.8491,-120.844,-180.464,0
15096,756.87,760.49,755.4,755.78,757.14,-289.55,-975.59,266.6,7.95,-3.82,-10.07,-81.04,3020,0,82,-0.435151,0.19118,-27.679,4991.1,-3327.68,89.3457,-120.235,-180.321,0
15132,757.11,760.57,755.42,755.76,757.22,-295.9,-925.29,298.34,5.87,-6.95,-6.05,-81.77,3027,0,82,0.393054,0.185448,-31.8447,5888.41,-3955.43,182.95,-124.261,-184.982,0
15168,757.4,760.57,755.35,755.88,757.3,-289.06,-920.41,291.02,4.27,-3.23,-8.15,-86.35,3035,0,82,-0.13374,-0.15685,-35.299,6333.42,-4360.92,83.754,-123.551,-179.435,0
15210,757.91,760.65,755.4,755.87,757.46,-272.95,-933.59,289.06,1.14,-0.85,-14.17,-87.37,3043,0,82,-0.34643,-0.614822,-36.7105,6760.88,-4595.83,28.6372,-125.212,-184.182,0
15246,758.45,760.83,755.41,755.84,757.63,-276.86,-938.48,278.32,2.47,0.18,-9.11,-89.93,3050,0,82,0.0318583,-0.728704,-40.3993,7268.99,-4997.96,107.13,-123.714,-179.928,0
15281,758.96,760.76,755.42,755.9,757.76,-301.27,-928.22,260.74,4.94,-5.82,-14.59,-91.67,3057,0,82,0.366764,-0.485358,-42.5328,7894.8,-5413.87,99.7144,-127.333,-185.703,0
