currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,778.83,769.98,773.27,764.94,771.76,115.23,-937.50,361.82,-0.31,0.88,-1.86,77.77
60,778.75,770.06,773.30,764.98,771.77,112.30,-950.68,351.07,0.93,0.36,0.31,77.52
93,778.56,770.09,773.30,764.98,771.73,127.44,-948.24,353.03,-0.94,-1.82,1.09,78.02
127,778.54,770.05,773.40,764.99,771.74,114.75,-944.34,355.47,-0.84,1.75,0.74,80.57
161,778.36,770.13,773.41,765.16,771.77,122.56,-951.17,360.35,0.54,0.53,1.45,78.41
195,778.25,770.17,773.46,765.16,771.76,112.79,-950.68,358.40,1.38,-0.14,-0.75,79.72
229,778.20,770.24,773.42,765.16,771.75,125.49,-937.99,366.21,0.28,0.45,-0.48,78.30
263,778.14,770.25,773.47,765.11,771.74,126.95,-948.73,362.30,-0.44,0.44,-1.42,80.37
297,778.12,770.27,773.43,765.20,771.75,124.02,-957.03,358.40,-0.13,1.10,0.70,77.92
331,777.99,770.33,773.54,765.25,771.78,116.70,-939.45,351.07,2.32,0.05,-0.89,79.91
365,778.06,770.40,773.55,765.27,771.82,114.75,-940.92,364.75,-0.11,3.71,1.69,79.12
399,777.94,770.33,773.57,765.32,771.79,115.72,-944.34,361.33,-0.60,1.65,-0.47,79.89
433,777.93,770.39,773.54,765.30,771.79,112.79,-947.27,365.23,-0.03,-1.84,1.47,79.08
467,777.95,770.42,773.56,765.28,771.80,117.19,-942.38,365.72,2.03,0.26,1.17,79.56
501,777.92,770.38,773.67,765.29,771.82,107.42,-945.80,357.91,-1.20,-0.72,-1.96,82.55
536,777.92,770.39,773.55,765.29,771.79,114.26,-931.15,356.93,0.41,1.39,1.56,79.58
570,777.92,770.28,773.62,765.26,771.77,99.61,-952.15,364.75,-1.00,2.43,-2.06,82.58
604,777.93,770.40,773.58,765.20,771.78,116.21,-945.80,364.75,0.43,0.28,2.70,81.42
638,777.95,770.39,773.57,765.21,771.78,110.35,-929.20,366.70,1.44,1.33,2.75,80.95
672,777.90,770.31,773.54,765.20,771.74,108.40,-942.87,354.98,-0.37,0.95,0.33,81.39
706,777.96,770.32,773.51,765.23,771.76,110.84,-948.73,363.77,0.06,0.58,-1.41,79.78
740,777.89,770.41,773.57,765.22,771.77,121.58,-937.99,358.89,0.66,4.05,1.91,80.89
774,777.90,770.40,773.61,765.26,771.79,112.79,-947.75,369.63,0.00,1.13,1.47,81.41
808,777.91,770.43,773.63,765.24,771.80,123.54,-938.48,348.63,1.56,3.11,2.69,81.90
