currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
13414,800.01,760.63,762.71,759.07,770.6,-69.34,-1505.86,486.82,50.98,33.55,108.61,-96.65,2684,0,82,-8.37158,8.72444,-30.5452,4956.88,1749.42,-1035.59,-440.662,-162.601,0
13448,804.72,761.57,764.4,759.08,772.44,-394.04,-1818.36,442.38,64.45,60.05,66.98,-78.4,2691,0,82,-16.1352,6.76808,-149.165,23641.4,11126.8,-1765.17,-423.421,-158.508,0
13482,808.63,762.73,768.52,759.76,774.91,124.02,-901.37,869.63,23.92,-10.18,14.17,-8.48,2697,0,82,-23.7897,28.254,-288.118,40925.3,22032.7,-1286.74,-421.531,-142.057,0
13516,816.32,764.12,771.82,760.64,778.22,183.59,-1020.02,400.88,-5.83,-16.4,9.02,23.26,2704,0,82,-28.8168,61.3955,-394.918,47385.7,29903.3,363.128,-422.28,-119.996,0
13550,822.02,765.37,774.17,761.4,780.74,151.37,-1010.25,365.23,-7.39,-5.2,7.63,41.01,2711,0,82,-47.1107,79.7633,-466.737,48602.9,33972.9,532.197,-425.211,-104.135,0
13584,824.59,765.94,775.48,762.04,782.01,162.6,-976.56,365.23,4.62,4.17,1.11,50.92,2718,0,82,-70.5868,88.7941,-575.863,56409.2,40263.2,-932.254,-428.081,-97.9572,0
13618,826.32,766.21,776.47,762.57,782.89,126.95,-929.69,413.09,0.44,1.53,-1.04,59.88,2725,0,82,-82.7896,86.9582,-658.461,62602.9,45084.4,-2723.09,-429.531,-95.0747,0
13652,827.39,766.6,777.41,762.95,783.59,126.95,-914.06,416.5,-0.8,-2.44,-0.95,70.79,2731,0,82,-77.6532,79.7931,-695.649,65569.2,47602.2,-3515.01,-429.572,-94.2563,0
13686,828.69,766.86,778.07,763.32,784.23,117.19,-935.06,333.98,0.95,-1.3,3.37,75.15,2738,0,82,-75.7536,75.7611,-730.461,67821.5,50457.3,-4250.49,-428.924,-92.8477,0
13721,829.3,767,778.12,763.52,784.49,139.65,-932.62,385.25,4.57,-0.08,1.61,70.22,2745,0,82,-76.8944,74.1208,-758.024,69121.4,52357.3,-4817.61,-428.929,-91.1864,0
13755,829.89,766.94,778.05,763.56,784.61,137.7,-936.52,389.16,4.81,0.77,1.28,66.22,2752,0,82,-79.2704,71.635,-780.115,70665.1,53877.1,-5368.69,-428.937,-90.5829,0
13789,830.07,766.98,778.28,763.76,784.77,143.07,-928.22,402.83,2.5,1.4,0.24,68.16,2759,0,82,-76.7571,67.5368,-786.796,71336.9,54664.4,-5126.72,-428.523,-90.6677,0
13823,830.07,766.93,778.43,763.81,784.81,126.46,-920.9,415.53,2.15,2.53,2.6,71.65,2766,0,82,-72.6042,64.8556,-792.72,72045.4,55821.4,-4705.76,-427.582,-90.8839,0
13857,830.29,766.76,778.51,763.73,784.82,118.65,-924.32,396.97,-0.93,-0.81,2.21,75.35,2772,0,82,-70.4309,62.1171,-797.223,72005.2,56571.9,-4485.22,-427.039,-90.32,0
13891,830.45,766.82,778.45,763.59,784.83,129.88,-918.46,412.6,-2.17,-1.02,3.11,74.96,2779,0,82,-67.2099,59.7307,-797.331,71780.3,56834.8,-4015.04,-426.719,-90.0257,0
13925,830.41,766.85,778.63,763.57,784.86,131.35,-921.39,406.74,-7.56,-2.19,1.51,79.62,2786,0,82,-65.8775,54.7029,-795.832,72182.7,56961.4,-3590.49,-426.425,-90.7009,0
13959,829.94,767.06,779.02,763.65,784.92,120.61,-940.92,391.11,-8.51,-1.17,0.72,88.28,2793,0,82,-65.4813,49.4757,-796.997,72602.9,57196.5,-3191.59,-426.235,-91.0956,0
13994,829.26,767.27,779.46,763.75,784.93,133.3,-939.94,381.84,-8.01,-4.63,4.87,98.27,2800,0,82,-68.6802,45.6885,-799.431,72675.6,57320.8,-2906.47,-426.298,-90.9092,0
14029,828.59,767.38,779.5,763.7,784.79,118.65,-932.13,375,-7.26,-3.37,3.09,101.4,2807,0,82,-70.0495,42.6573,-802.994,71807.1,57508.9,-2498.23,-426.382,-89.4242,0
14064,827.77,767.54,779.51,763.67,784.63,120.61,-938.48,375,-2.76,-2.18,2.4,103.6,2814,0,82,-70.8497,39.0826,-798.953,70969.1,57328.6,-1918.01,-426.245,-88.8276,0
14098,827.06,767.43,779.67,763.66,784.45,128.42,-949.71,363.28,-3.71,-1.05,3.11,110.98,2821,0,82,-71.1778,33.3026,-790.55,70123.1,56983.1,-1670.24,-425.92,-88.7017,0
14132,825.74,767.38,779.51,763.49,784.03,123.54,-934.08,390.14,-4.03,-0.54,-0.66,114.49,2827,0,82,-70.5557,27.9232,-785.295,69215,56781.3,-1457.96,-425.694,-88.1388,0
14166,822.99,767.17,779.41,763.4,783.24,126.46,-947.75,346.68,-0.51,-0.18,1.57,124.37,2834,0,82,-69.2694,23.8129,-775.184,68155.8,56438.6,-1146.23,-425.193,-87.9221,0
14200,816.77,766.94,779.13,763.34,781.55,142.58,-956.05,383.3,1.29,3.31,2.13,141.42,2841,0,82,-68.9473,16.0204,-762.077,67391.9,55820.6,-1210.65,-424.752,-88.4318,0
14234,807.97,766.47,778.9,763.11,779.11,119.63,-909.67,363.77,3.16,6.46,-1.45,173.28,2848,0,82,-67.5513,11.6362,-723.004,63393.6,53274.6,-1395.02,-424.315,-87.6806,0
14268,800.02,766.11,778.51,763.01,776.91,123.54,-929.2,384.28,3.05,4.58,4.23,195.2,2855,0,82,-59.6686,9.10012,-650.14,55128.2,48387.5,-1015.51,-423.574,-84.7935,0
14302,794.62,766.02,778.05,762.85,775.38,108.4,-926.76,391.6,-2.34,3.05,-0.21,205.16,2861,0,82,-51.0234,12.5727,-562.325,45079.6,41875.4,-30.5292,-423.532,-80.1648,0
14336,790.82,765.9,777.27,762.6,774.15,123.54,-948.24,359.37,-3.69,1.37,1.05,203.63,2868,0,82,-41.3533,15.8865,-471.63,35277.7,34929.2,1103.66,-423.94,-74.7986,0
14370,787.33,765.88,776.42,762.4,773,116.7,-927.73,381.35,0.59,2.6,-0.79,197.32,2875,0,82,-37.2255,14.3387,-408.312,28925.8,29909.8,1280.93,-424.748,-70.8421,0
14404,784.95,766.09,775.46,762.37,772.22,122.56,-929.69,374.51,-0.08,3.5,1.6,180.4,2882,0,82,-35.109,9.96579,-362.925,25062.3,26321.7,1147.84,-425.474,-69.056,0
14437,781.72,766.47,774.67,762.4,771.32,118.65,-946.78,375,0.64,1.15,1.28,168.23,2888,0,82,-32.6643,8.28812,-332.001,22372,23651.6,1193.9,-426.761,-67.385,0
14471,774.45,766.39,774.07,762.7,769.4,136.23,-941.89,355.47,-0.08,2.91,2.54,174.65,2895,0,82,-31.3339,6.01725,-306.94,20020.3,21413.7,1139.3,-428.235,-65.2252,0
14504,764.79,766.08,773.08,762.6,766.64,135.74,-1001.46,321.78,3.02,8.66,0.77,186.87,2902,0,82,-32.2035,4.14721,-291.913,17662.5,19848.5,1141.09,-430.006,-60.5048,0
14538,757.92,764.72,769.91,761.71,763.57,82.03,-935.06,381.84,26.65,14.53,-2.31,155.59,2909,0,82,-28.3982,5.86334,-249.329,12411.5,16311.4,1000.97,-432.579,-49.7703,0
14572,754.77,762.68,766.38,760.57,761.1,117.68,-993.16,350.59,19.79,11.76,4.45,111.63,2915,0,82,-21.7376,10.4251,-183.416,6121.45,11232.1,1258.2,-436.771,-33.3545,0
14606,753.58,761.4,763.67,759.79,759.61,8.3,-717.77,287.6,-10.48,-6.92,-3.29,69.93,2922,0,82,-9.86799,9.32351,-95.1357,1490.18,5399.99,1405.94,-441.243,-15.6396,0
14640,753.67,761.04,762.74,759.41,759.21,352.54,-1214.36,515.14,13.76,-46.03,-12.16,55.08,2929,0,82,-3.55572,7.95612,-38.1549,206.184,2070.46,1118.99,-443.757,-5.39126,0
14775,759.58,764.2,766.24,761.38,762.85,363.28,-1240.23,156.25,-42.81,-26.3,10.95,67.44,2956,0,82,4.45433,3.82118,-55.1041,2815.42,4602.92,1212.65,-414.482,-51.045,0
14809,759.68,765.01,768.03,762.04,763.69,143.55,-1097.17,255.37,-19.03,-15.4,4.32,95.58,2963,0,82,-9.99476,2.97925,-113.532,5139.16,8169.77,252.538,-426.025,-45.2557,0
14843,759.39,765.51,769.72,762.49,764.28,95.7,-940.43,401.37,-1.16,-0.59,4.05,128.14,2970,0,82,-21.1477,3.55421,-177.652,8001.17,12511.6,803.736,-427.571,-45.0419,0
14877,759.26,766.01,771.57,762.72,764.89,111.82,-921.87,387.21,-4.4,-0.27,5.92,167.27,2976,0,82,-18.9473,6.79155,-200.832,7506.03,14308.5,1990.17,-426.754,-37.3757,0
14913,760.41,766.7,773.79,763.03,765.98,124.51,-920.9,386.72,2.72,-0.73,5.02,208.54,2984,0,82,-19.8847,11.6097,-210.833,5902.46,14857.2,2653.37,-427.531,-27.9971,0
14947,766.48,768.34,776.63,763.61,768.77,110.84,-864.75,427.73,-4.77,-11.43,2.46,236.66,2990,0,82,-24.0968,14.5577,-222.77,5068.12,15285.2,3007.72,-429.386,-22.7509,0
14981,777.22,770.42,780.97,764.88,773.37,129.88,-999.51,319.34,-8.99,-11.77,2.37,272.46,2997,0,82,-28.2412,16.4959,-256.795,5611.5,17615.1,3249.21,-429.404,-21.8512,0
15015,787.39,771.8,783.9,766.07,777.29,106.45,-953.61,324.71,-7.94,-2.31,-0.98,281.97,3004,0,82,-45.6495,16.4335,-353.391,11066,24420.4,2978.71,-428.896,-31.3084,0
15050,791.37,772.73,785.66,767.46,779.31,114.26,-980.96,359.37,4.05,-0.48,3.75,284.41,3011,0,82,-75.769,14.7041,-526.4,22629.4,37084.1,1317.24,-427.552,-42.9831,0
15084,791.48,773.14,786.15,768.37,779.78,104.98,-946.78,378.91,5.9,3.01,-0.79,279.63,3018,0,82,-98.9712,13.5533,-689.369,34673.8,49528.2,-329.297,-426.155,-50.2971,0
15118,790.67,773.06,785.67,768.49,779.47,107.42,-942.87,356.45,0.54,1.07,-0.06,269.22,3025,0,82,-105.85,16.1953,-776.628,40095.2,56508.1,-583.495,-425.239,-51.6273,0
15152,790.52,772.79,784.67,768.43,779.1,125.49,-936.04,361.33,2.5,4.16,-0.04,247.7,3031,0,82,-103.973,17.8958,-779.076,39746.2,56753.1,-103.718,-425.153,-51.0172,0
15186,790.64,772.22,782.99,768.03,778.47,124.51,-942.38,398.93,-2.01,1.3,0.36,215.91,3038,0,82,-95.7249,15.8213,-740.086,37663.3,53814,337.304,-425.287,-50.8906,0
15220,789.94,771.41,780.91,767.16,777.36,123.05,-948.73,362.3,-1.44,1.22,0.7,185.92,3045,0,82,-87.7983,15.2792,-702.5,36363.4,51274.6,748.862,-425.011,-51.7628,0
15254,788.67,770.38,779.25,766.27,776.14,120.61,-932.62,369.14,2.85,1.58,-1.05,170.34,3052,0,82,-80.8101,8.12065,-662.146,36905.5,48944.9,932.171,-424.081,-55.7366,0
15288,786.79,769.42,777.54,765.37,774.78,122.07,-947.27,361.82,5.56,4.66,-3.75,155.19,3059,0,82,-72.2868,3.75453,-599.733,35473,44632.6,916.998,-423.579,-59.1483,0
15322,784.96,768.52,775.92,764.28,773.42,115.72,-919.43,372.07,-1.14,1.82,-0.52,144.27,3065,0,82,-63.0532,3.90504,-546.266,33374.8,40954,1113.21,-423.029,-61.097,0
15357,783.71,767.82,774.6,763.49,772.41,108.89,-939.45,367.19,-4.24,2.47,-0.53,132.75,3072,0,82,-51.9549,3.29988,-473.79,30131,35743,1265.39,-422.56,-63.597,0
15391,783.01,767.54,773.81,762.93,771.82,96.19,-938.96,375.49,-2.85,-0.85,-1.12,126.14,3079,0,82,-42.3769,1.3228,-407.595,26944.5,30747.2,1601.41,-422.564,-66.1075,0
15425,782.93,767.51,773.51,762.62,771.64,109.37,-941.89,362.79,-6.68,-1.3,1.85,123.72,3086,0,82,-36.7695,-1.47583,-360.6,24762.1,27241.7,1591.26,-422.455,-68.6693,0
15459,782.88,767.63,773.52,762.59,771.65,125,-948.73,364.26,-1.95,0.78,-0.15,123.46,3093,0,82,-34.6922,-3.09644,-340.609,23925,25641.2,1661.11,-422.72,-70.242,0
15493,782.11,767.69,773.6,762.7,771.52,126.46,-941.41,365.72,-1.52,-0.24,0.45,126.13,3100,0,82,-34.6176,-5.25961,-339.036,23923.7,25372.9,1898.5,-423.162,-70.5638,0
15527,780.53,767.72,773.86,762.78,771.22,111.33,-940.92,357.42,0.34,2.98,2.16,136.62,3106,0,82,-35.1994,-6.44123,-343.981,24129.9,25649,2004.92,-423.435,-70.1492,0
15561,778.81,767.84,774.01,762.85,770.88,118.16,-952.15,367.68,2.1,3.43,3.43,144.37,3113,0,82,-36.1496,-4.38308,-343.273,23164.1,25412.7,1849.24,-423.969,-67.4799,0
15595,777.56,768,774.3,763.02,770.72,123.05,-945.31,362.79,0.31,4.82,3.11,151.93,3120,0,82,-35.7896,-1.90175,-333.428,20982.2,24438.2,1904.3,-424.706,-62.9282,0
15629,777.25,768.1,774.38,763.08,770.7,114.26,-941.41,354.98,1.79,2.5,2.08,153.21,3127,0,82,-34.3154,2.20272,-321.224,18958.4,23413.4,2373.47,-425.112,-59.019,0
15664,777.56,768.2,774.5,763.19,770.86,112.3,-927.25,379.88,-1.64,-1.98,2.11,152.76,3134,0,82,-33.7286,4.68958,-315.526,17258.5,22723.8,2647,-425.981,-54.6975,0
15698,778.1,768.38,774.75,763.35,771.15,118.65,-920.9,367.68,0.83,0.47,1.63,153.49,3141,0,82,-34.0179,5.21443,-316.671,16900.5,22789,2790.22,-426.036,-53.3692,0
15732,778.26,768.58,774.77,763.44,771.26,125.49,-947.27,369.14,-1.21,-1.5,0.76,150.38,3147,0,82,-35.2883,5.09064,-326.657,17394.5,23430.6,2826.08,-426.272,-53.2499,0
15766,778.25,768.82,774.88,763.42,771.34,127.93,-943.85,375.49,-1.41,-1.76,0.19,151.6,3154,0,82,-37.5772,4.42281,-342.763,18447.6,24487.3,2586.95,-426.559,-53.8204,0
15800,778.05,769.07,775.02,763.55,771.42,119.14,-948.24,361.33,-0.44,-0.15,1.55,151.78,3161,0,82,-39.1439,3.21274,-351.631,19238.7,25027.4,2511.79,-426.825,-54.7127,0
15836,777.94,769.33,775.3,763.68,771.56,116.21,-940.92,365.23,-1.02,0.97,0.35,155.04,3168,0,82,-40.1736,2.26597,-354.115,19308.4,24952.2,2237.85,-427.536,-54.5258,0
15871,778.14,769.63,775.48,763.81,771.77,104,-933.59,362.79,1.21,0.18,-0.6,154.66,3175,0,82,-41.6264,2.09158,-359.014,19045,24946.6,2162.55,-428.513,-53.048,0
15905,777.91,769.87,775.87,763.92,771.89,117.19,-936.52,364.75,-0.87,2.83,2.92,161.56,3182,0,82,-42.4471,1.58278,-365.249,18553.4,25292.6,2248.44,-428.752,-50.7966,0
