currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
14226,789.47,762.3,759.07,759.11,767.49,12.21,-951.66,532.23,82.73,-32.03,-32.07,-165,2846,0,82,-7.9512,-1.29681,-61.747,7275.2,-3835.16,-536.745,-62.1167,-117.807,0
14263,798.05,764.45,759.5,760.56,770.64,-86.43,-811.52,621.09,26.01,-4.95,-10.5,-222.42,2854,0,82,15.4209,-0.210912,-194.237,21123.4,-8551.86,2118.02,-44.0269,-108.762,0
14299,800.24,767.5,760.02,762.43,772.55,-67.38,-838.87,559.08,9.74,6.01,-14.34,-269,2861,0,82,32.8766,-5.69423,-304.134,29552,-11896.8,4218.87,-39.1175,-97.1708,0
14336,802.55,771.45,760.73,764.56,774.82,-37.11,-885.74,480.96,6.1,4.44,-12,-322.16,2868,0,82,41.281,3.67566,-342.282,29988.1,-12198.5,4464.78,-35.6396,-87.6138,0
14372,805.3,773.84,761.37,766.29,776.7,-18.07,-868.65,547.85,1.49,5.2,-2.88,-360.17,2875,0,82,53.0106,7.51232,-392.191,30538.6,-12667.3,4617.86,-32.2997,-77.869,0
14408,807.2,774.77,761.52,767.23,777.68,-40.04,-864.75,546.87,-3.38,2.03,-0.07,-384.19,2883,0,82,63.4185,9.0421,-457.513,32123.5,-13864.5,4740.23,-30.304,-70.2142,0
14446,806.28,775.67,761.77,768.15,777.97,-24.41,-858.89,558.59,-4.44,1.11,-5.31,-395.64,2890,0,82,65.0102,4.43666,-497.732,33407.9,-14826.1,5022.22,-29.7873,-67.1203,0
14482,807.82,776.86,762.13,769.15,778.99,-27.34,-851.56,541.02,-5.71,1.24,-0.98,-416.41,2897,0,82,64.4458,-0.57107,-511.728,33640.1,-15039.4,5201.72,-29.3895,-65.7383,0
14518,816.05,778.95,762.67,770.39,782.01,-23.93,-884.77,515.14,2.21,-0.59,-1.8,-466.11,2905,0,82,66.4557,0.26309,-517.94,32258.1,-14484.7,5558.94,-27.9662,-62.2816,0
14555,826.91,780.76,763.12,772.02,785.7,-53.71,-886.72,527.83,1.02,2.52,0.11,-530.65,2912,0,82,81.3373,-3.13806,-581.987,36586.1,-15889.2,7096.33,-27.302,-62.8637,0
14591,831.42,782.04,763.6,773.6,787.66,-25.88,-870.61,549.8,1.82,-1.32,-1.51,-567.72,2919,0,82,98.756,-8.47462,-678.828,44203.7,-18674,8647.93,-27.509,-65.117,0
14629,829.8,782.75,764.01,774.63,787.8,-31.74,-893.55,535.64,1.06,0.27,-2.48,-572.96,2927,0,82,109.379,-10.6682,-769.663,50117.4,-21467.1,9850.97,-27.8914,-65.1162,0
14665,826.53,782.79,764.15,774.83,787.07,-26.37,-866.21,552.25,-0.57,-1.28,-2,-561.49,2934,0,82,110.481,-8.96267,-798.402,49846.8,-22366.3,9745.18,-28.0138,-62.4332,0
14701,823.79,782.49,764.21,775.12,786.41,-29.79,-875,558.59,0.85,0.98,-3.04,-552.3,2941,0,82,105.516,-4.6471,-788.196,46640.6,-22140.1,8862.34,-28.0896,-59.1738,0
14737,819.97,782.38,764.27,775.35,785.49,-39.55,-868.65,545.9,-0.03,-3.78,-0.53,-540.35,2948,0,82,99.8047,-4.20148,-762.493,43320.4,-21615.7,8219.56,-28.3487,-56.8141,0
