currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,780.05,771.03,775.96,768.60,773.91,131.35,-949.22,374.02,1.28,1.67,0.34,78.19
60,780.12,771.17,775.96,768.60,773.96,128.42,-952.64,369.63,0.09,1.75,1.05,76.79
94,780.14,771.06,775.98,768.57,773.94,128.42,-937.50,357.42,-1.76,4.16,1.69,78.62
127,780.11,771.04,776.00,768.54,773.92,129.39,-943.36,373.05,0.60,2.32,3.12,80.01
161,780.28,771.04,775.89,768.48,773.92,116.70,-938.96,362.79,1.50,-0.62,1.79,77.51
195,780.45,770.96,775.82,768.39,773.90,119.14,-950.68,373.05,1.18,-0.59,2.55,77.21
229,780.48,770.99,775.81,768.32,773.90,144.04,-930.18,364.75,-0.18,2.98,1.51,77.50
263,780.69,770.94,775.70,768.32,773.91,140.62,-952.15,374.02,0.90,1.27,-0.04,74.51
297,780.84,770.87,775.68,768.31,773.92,111.82,-948.24,370.12,0.66,3.95,2.64,74.23
331,781.19,770.79,775.61,768.07,773.92,109.37,-944.34,357.42,1.72,0.85,-1.77,75.46
365,781.63,770.70,775.40,767.95,773.92,126.95,-937.50,365.23,1.43,1.82,-1.37,71.20
401,782.14,770.58,775.22,767.81,773.94,131.35,-930.66,368.16,0.98,1.51,1.15,68.04
435,782.37,770.42,775.17,767.62,773.89,123.05,-939.45,365.72,-1.24,-0.34,0.60,69.97
470,782.69,770.38,774.97,767.56,773.90,142.58,-947.75,376.46,1.25,1.55,1.06,65.04
504,783.05,770.32,774.83,767.48,773.92,129.88,-956.05,360.84,0.88,1.69,1.80,62.12
538,783.30,770.22,774.78,767.33,773.91,128.42,-936.04,364.75,1.08,-0.64,2.02,62.89
572,783.44,770.25,774.65,767.27,773.90,112.79,-940.43,375.98,-1.15,1.45,-1.07,59.83
606,783.46,770.26,774.68,767.23,773.91,117.19,-932.62,364.75,1.85,3.63,-1.32,61.20
640,783.63,770.25,774.60,767.20,773.92,119.14,-939.45,363.28,-1.37,2.21,1.44,59.13
675,783.78,770.17,774.60,767.27,773.95,117.19,-944.34,364.26,0.38,0.41,-1.87,58.23
709,783.99,770.13,774.54,767.16,773.95,119.14,-938.96,365.23,-0.56,0.33,1.11,57.95
743,784.19,770.08,774.46,767.16,773.97,119.14,-940.92,364.75,-0.40,1.32,0.24,55.63
777,784.50,769.97,774.37,767.02,773.97,108.89,-940.43,373.54,1.75,2.64,-0.72,55.22
813,784.59,769.87,774.36,766.92,773.93,127.44,-943.85,360.84,-1.93,1.92,0.85,56.86
847,784.85,769.86,774.27,766.88,773.97,137.70,-934.57,361.33,-0.27,2.62,1.07,54.30
881,784.95,769.78,774.21,766.86,773.95,124.02,-937.99,375.49,0.24,-0.27,2.97,53.70
917,785.00,769.71,774.21,766.86,773.94,121.58,-945.31,378.91,1.20,0.30,-0.98,54.00
951,785.05,769.78,774.12,766.78,773.93,127.44,-934.57,377.44,-1.29,3.11,2.52,52.10
985,785.03,769.86,774.19,766.83,773.98,125.49,-940.43,359.86,1.31,2.05,2.56,52.50
1019,785.08,769.86,774.21,766.78,773.98,121.09,-943.36,369.63,-1.42,-0.57,-0.57,53.61
1053,785.02,769.96,774.16,766.76,773.98,115.23,-943.36,370.12,-2.50,0.37,-0.30,52.08
1087,784.91,769.96,774.22,766.81,773.97,117.19,-936.04,370.12,3.33,0.76,0.05,53.27
1121,784.72,769.97,774.20,766.91,773.95,121.58,-937.50,369.14,0.21,2.02,0.20,51.81
1156,784.49,770.00,774.33,766.93,773.94,119.63,-927.25,360.35,1.54,1.84,1.96,55.33
1190,784.30,770.01,774.34,766.96,773.90,129.88,-945.80,355.96,1.15,-0.66,1.54,55.66
1226,784.27,770.13,774.43,767.03,773.97,124.51,-949.22,353.03,0.44,2.91,-2.92,55.87
