currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
11290,799.33,768.21,759.34,761.64,772.13,59.08,-729.49,1066.89,-17.24,8.68,-21.51,-276.74,2259,0,82,-9.35385,-3.36666,-82.0414,6203.1,-6857.98,-4.78513,-83.591,-75.5595,0
11329,806.09,772.5,760.08,764.17,775.71,30.27,-931.15,621.58,2.05,5.04,-11.98,-353.25,2267,0,82,35.0238,-4.12623,-308.244,16621.9,-20194,1393.76,-65.5032,-53.9367,0
11365,810.09,776.96,760.95,766.95,778.74,9.77,-849.12,601.07,4.92,2.71,-7.92,-421.86,2274,0,82,51.6767,7.21143,-407.03,17849.5,-25671.5,1229.5,-63.0705,-43.8607,0
11401,814.87,780.09,761.57,768.69,781.31,-5.37,-851.56,550.29,2.6,3.98,-4.85,-473.78,2281,0,82,66.1092,8.82878,-480.775,17815.2,-29075.8,1252.41,-60.4787,-37.0589,0
11438,823.8,782.07,761.89,769.79,784.39,-44.43,-874.51,538.09,1.56,-1.15,-0.74,-528.37,2289,0,82,79.298,14.7904,-560.121,16210.5,-32804.9,788.899,-58.5679,-28.9429,0
11474,831.99,783.37,762.12,770.66,787.03,-33.2,-865.72,550.78,-1.62,2.41,0.42,-573.95,2296,0,82,89.675,10.8629,-639.762,18126.1,-36882.9,1372.33,-57.6511,-28.3323,0
11510,834.85,784.39,762.36,771.33,788.23,-41.02,-866.21,565.92,-3.5,-1.11,-2.89,-595.85,2303,0,82,95.9507,8.02451,-708.416,21073.1,-40665.6,2185.2,-57.4035,-29.7462,0
11549,834.98,785.25,762.55,772.25,788.76,-24.9,-876.46,530.76,-3.24,-1.72,-1.95,-612.08,2311,0,82,94.5911,3.27399,-750.713,22581.2,-42962.3,2732.97,-57.2288,-30.0798,0
11585,834.28,785.61,762.64,772.59,788.78,-26.37,-860.35,563.96,-2.44,0.33,-2.34,-615.21,2318,0,82,93.0047,4.81841,-759.614,21865.6,-43055,2565.52,-56.6801,-28.7852,0
11621,833.92,785.83,762.66,772.69,788.78,-33.2,-862.3,543.46,-4.58,2.27,-2.23,-616.76,2325,0,82,85.3261,7.07126,-762.42,20521.7,-43317.3,2117.92,-56.8156,-26.9166,0
11657,833.53,785.88,762.68,772.84,788.73,-32.23,-856.93,551.27,-9.14,0.46,0.66,-617.46,2332,0,82,79.3471,7.14275,-757.047,19877.5,-43104.1,2015.34,-56.9371,-26.2567,0
11694,831.87,785.81,762.7,772.89,788.32,-35.64,-874.02,537.11,-9.82,2.26,-0.62,-611.68,2340,0,82,74.0855,6.33376,-751.493,19662.5,-42772.8,1741.24,-56.9171,-26.1646,0
11730,830.13,785.71,762.77,772.97,787.9,-42.97,-868.16,547.36,-9.25,-2.15,1.16,-604.24,2347,0,82,69.2822,5.61565,-739.869,18842.8,-41898,1763.89,-56.629,-25.4676,0
11769,828.39,785.76,762.66,772.97,787.44,-35.64,-867.68,528.81,-12.63,0.4,-0.98,-601.42,2355,0,82,65.3102,3.74771,-716.134,17532.9,-40400.5,1853.31,-56.4148,-24.4827,0
