currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
14535,793.12,776.78,769.24,775.28,778.61,79.1,-820.8,611.33,1.79,3.15,5.69,-278.33,2908,0,64,11.2436,-13.6502,-76.7521,3673.32,10056.5,1325.07,-375.785,-47.8152,0
14569,787.39,778.1,770.34,776.6,778.11,77.64,-822.27,600.1,2.89,7.08,9.72,-261.47,2915,0,64,-13.6911,-10.5994,-201.074,13126.1,25479.1,-883.511,-380.299,-65.3278,0
14603,782.52,779.39,771.63,777.83,777.84,62.01,-806.64,605.96,2.47,4.85,6.5,-240.84,2922,0,64,-22.7718,-2.47781,-262.361,15937.6,33427.3,-451.471,-379.588,-60.7497,0
14637,780.03,780.44,772.76,778.95,778.05,74.71,-816.41,587.89,2.81,3.54,5.9,-229.11,2928,0,64,-29.7899,3.19353,-274.414,15770.1,34548.7,-141.725,-381.1,-57.4685,0
14670,779.27,780.89,773.68,779.86,778.43,71.29,-815.92,608.4,4.73,2.89,3.61,-220.4,2935,0,64,-29.2653,3.80011,-289.143,17270.9,36803.9,337.456,-379.715,-59.7301,0
14705,779.59,780.79,774.08,780.21,778.67,72.27,-811.52,607.91,3.61,-0.73,0.9,-216.05,2942,0,64,-30.4612,1.5197,-316.813,20217,40580.4,232.415,-378.909,-63.8117,0
14739,780.51,780.62,774.29,780.24,778.91,80.08,-793.46,613.28,-1.64,-0.08,2.73,-213.23,2949,0,64,-34.3421,-3.87636,-350.324,24103.6,45138,-1005.01,-378.153,-68.8018,0
14773,780.78,780.65,774.27,780.1,778.95,68.85,-801.76,608.4,-0.47,3.07,3.68,-212.8,2956,0,64,-40.6037,-5.94324,-387.347,27434.1,49978.4,-1697.02,-377.972,-70.8256,0
14807,780.67,780.7,774.38,780.29,779.01,77.64,-818.85,608.89,-0.88,-0.78,1.22,-212.88,2962,0,64,-44.6588,-0.935021,-412.957,28291.8,53022,-1126.78,-378.604,-68.5112,0
14841,780.48,780.63,774.4,780.34,778.96,73.73,-819.34,605.96,-1.55,0.74,1.92,-211.83,2969,0,64,-49.1775,3.68377,-438.842,28803.4,55860.1,-540.751,-379.71,-65.6357,0
14876,780.2,780.38,774.48,780.27,778.83,71.29,-804.69,604,-0.04,-0.11,0.68,-205.91,2976,0,64,-53.9469,3.98691,-464.284,30344.6,58725.1,-554.484,-380.515,-65.3575,0
14910,780.44,780.07,774.59,780.24,778.83,82.03,-816.41,608.4,2.35,-0.02,0.79,-201.02,2983,0,64,-60.6549,1.46762,-493.507,32395.6,61931.1,-1147.66,-381.508,-65.6436,0
14944,781.18,779.55,774.52,780.11,778.84,66.89,-819.82,620.12,0.13,-1.33,-1.31,-199.26,2990,0,64,-65.1494,-0.47353,-508.776,33695.2,63208.6,-1610.14,-382.764,-66.2279,0
14978,781.17,779.33,774.51,780.02,778.76,71.78,-809.08,600.59,1.11,1.5,-4.31,-196.37,2997,0,64,-65.091,-3.81763,-495.49,33365.2,61289.3,-2108.29,-383.306,-67.338,0
15012,779.94,779.45,774.95,780.6,778.74,83.98,-804.69,618.65,3.4,0.12,0.19,-190.51,3003,0,64,-60.0302,-6.27374,-452.929,30658,55707.9,-2242.89,-384.005,-67.6891,0
15047,777.84,779.75,775.64,781.47,778.68,71.78,-834.47,621.58,0.98,2.77,1.82,-181.43,3010,0,64,-51.3807,-10.4768,-368.525,25394.4,44687,-2916.63,-385.741,-68.9116,0
15081,774.83,780.1,776.61,782.4,778.49,82.03,-828.61,609.37,5.24,5.79,2.97,-163.39,3017,0,64,-37.639,-15.181,-243.92,17088,28913.8,-3282.57,-388.466,-70.0592,0
15115,772.01,780.52,777.57,783.6,778.42,58.59,-810.55,625.98,5.73,5.63,4.05,-150.86,3024,0,64,-19.8879,-12.5725,-112.141,7942.3,12901.4,-2285.94,-391.968,-70.8254,0
15253,762.91,783.24,780.37,787.29,778.45,70.31,-818.85,591.8,-3.34,5.27,5.88,-125.99,3052,0,64,3.82269,0.691822,-38.3686,3927.86,5689.53,569.758,-358.637,-102.31,0
