currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,790.49,769.29,767.96,769.56,774.33,123.05,-842.77,543.95,-1.36,0.46,-0.47,-157.15
59,790.24,769.29,767.96,769.56,774.26,98.63,-840.82,564.45,0.74,0.37,1.53,-156.22
93,789.88,769.21,767.97,769.57,774.16,114.26,-843.26,558.11,0.67,1.81,-1.94,-154.05
127,789.40,769.08,767.97,769.40,773.96,125.49,-845.21,545.41,-1.18,2.65,1.63,-148.80
161,788.90,769.07,767.96,769.35,773.82,117.19,-837.89,568.36,1.43,1.33,-0.54,-146.57
195,788.57,769.05,767.93,769.24,773.70,117.19,-851.07,553.71,0.86,0.56,-0.60,-144.33
229,788.14,769.00,767.98,769.24,773.59,110.35,-835.94,571.29,-1.00,0.05,1.05,-141.27
263,787.78,769.06,767.99,769.14,773.49,116.70,-848.14,566.41,-1.73,3.50,-0.93,-138.79
297,787.46,768.98,767.97,769.31,773.43,115.72,-842.29,558.11,0.98,1.79,1.71,-140.12
331,787.20,769.09,767.97,769.36,773.41,117.68,-846.68,562.99,0.77,0.12,-0.13,-140.76
365,787.04,769.04,768.08,769.39,773.39,115.72,-849.61,574.71,0.64,0.96,0.63,-137.53
402,787.07,769.08,768.09,769.43,773.42,124.51,-834.47,558.11,1.08,1.39,0.37,-138.57
436,787.28,769.10,768.09,769.45,773.48,107.91,-834.47,562.99,2.74,1.54,2.53,-139.58
470,787.23,769.08,768.12,769.49,773.48,119.63,-841.80,579.10,-1.37,0.44,-1.30,-138.97
504,787.19,769.06,768.15,769.50,773.47,127.44,-841.80,562.01,0.12,1.64,0.37,-138.13
539,787.18,769.15,768.07,769.40,773.45,122.56,-836.43,566.41,1.71,0.60,-0.37,-139.34
573,787.22,769.19,768.14,769.38,773.48,114.26,-862.30,574.22,0.07,-0.07,1.65,-137.63
607,787.20,769.15,768.07,769.30,773.43,116.21,-849.61,552.25,1.60,0.76,0.61,-138.05
641,786.96,769.14,768.12,769.33,773.39,113.77,-837.89,555.18,0.13,0.56,1.42,-136.19
675,786.76,769.15,768.08,769.33,773.33,112.79,-850.59,563.48,1.20,0.30,0.31,-136.64
709,786.22,769.03,768.09,769.21,773.14,115.72,-844.24,553.71,-1.21,0.11,-0.24,-131.68
744,785.76,769.01,768.07,769.15,773.00,107.42,-877.93,538.57,0.32,0.87,-0.11,-129.74
778,785.70,769.01,768.14,769.21,773.02,134.77,-823.73,563.96,1.32,2.39,0.14,-128.73
814,785.85,769.01,768.13,769.25,773.06,107.91,-855.47,539.06,1.45,2.55,1.47,-129.79
848,786.00,769.02,768.08,769.23,773.08,123.05,-847.66,545.90,0.08,1.37,2.93,-131.56
882,786.29,768.98,768.00,769.21,773.12,119.14,-843.26,547.85,-0.05,-0.17,1.15,-133.94
918,786.57,769.09,768.05,769.16,773.22,108.89,-833.98,558.59,0.73,0.51,-0.38,-133.95
952,786.97,768.95,768.02,769.11,773.26,111.33,-844.24,580.57,1.60,1.61,0.95,-134.09
986,787.43,768.96,768.08,769.05,773.38,123.05,-837.89,558.11,0.28,5.80,0.56,-133.47
1020,787.67,769.08,767.99,769.00,773.43,122.07,-859.37,537.60,-0.92,2.66,-0.26,-136.65
