currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
22,786.33,779.01,756.31,759.49,770.29,-49.32,-1015.14,138.67,12.43,-4.19,0.15,-362.69
55,786.82,779.40,756.34,759.60,770.54,-62.99,-1011.23,164.55,14.90,-0.92,-2.99,-368.50
88,787.31,780.06,756.26,759.64,770.82,-52.73,-1006.84,162.60,19.01,-3.40,-1.30,-377.90
120,787.82,780.79,756.34,759.71,771.16,-35.16,-989.75,185.55,19.81,-2.89,0.30,-384.70
153,788.18,781.47,756.33,759.91,771.47,-59.08,-1012.21,189.45,20.66,-2.79,-1.01,-394.41
185,788.40,782.20,756.42,760.05,771.77,-41.02,-993.16,211.91,22.83,-0.68,-3.16,-400.83
220,788.41,783.01,756.40,760.24,772.02,-36.62,-982.91,213.38,21.89,-5.47,-1.56,-410.80
253,788.34,783.85,756.50,760.48,772.29,-28.81,-957.52,266.11,19.89,-0.53,-2.26,-418.13
286,788.83,784.63,756.62,760.78,772.72,-29.30,-993.16,267.09,16.51,0.34,-1.54,-427.51
318,788.63,785.31,756.63,761.04,772.90,-31.25,-960.45,246.09,12.05,1.95,-1.19,-435.88
351,788.38,785.86,756.69,761.30,773.06,-19.53,-991.70,250.49,11.56,-2.59,1.31,-441.87
386,788.44,786.31,756.76,761.59,773.27,-31.74,-978.03,250.98,12.60,0.95,-1.48,-448.32
418,788.65,786.79,756.75,761.83,773.51,-21.00,-989.26,293.46,9.96,-1.56,0.89,-456.60
451,788.83,787.28,756.82,762.18,773.78,-40.53,-974.61,280.27,7.78,-4.02,-3.77,-464.54
483,788.98,787.85,756.88,762.33,774.01,-32.71,-987.79,271.48,4.45,-3.73,-1.01,-470.26
515,789.06,788.35,756.86,762.58,774.21,-40.04,-975.10,277.34,4.75,-0.69,-0.96,-478.63
548,789.02,788.67,756.99,762.81,774.37,-31.25,-987.30,282.71,5.27,0.36,-1.01,-481.24
583,789.12,788.84,757.03,762.96,774.49,-44.43,-986.33,282.23,5.45,2.18,-1.44,-484.27
615,789.29,788.87,757.06,763.14,774.59,-34.18,-979.49,291.99,8.46,-1.42,-0.46,-487.05
648,789.44,788.88,757.07,763.38,774.69,-25.88,-977.05,297.85,6.15,-2.64,-0.79,-490.79
680,789.46,788.83,757.18,763.46,774.73,-31.25,-972.17,288.57,6.76,-0.82,1.16,-488.93
713,789.43,788.86,757.17,763.65,774.78,-44.92,-962.40,297.85,5.82,-0.76,0.05,-492.10
745,789.29,788.88,757.28,763.76,774.80,-41.50,-969.24,304.20,3.31,-1.21,-1.61,-490.80
780,789.09,788.94,757.22,763.75,774.75,-41.99,-972.17,298.34,2.20,-1.57,2.17,-491.81
813,788.91,789.17,757.31,763.96,774.84,-48.83,-960.45,301.76,2.60,-2.56,-1.50,-493.93
845,788.85,789.35,757.27,764.04,774.88,-45.41,-972.17,315.43,-1.11,2.79,-0.42,-497.27
878,788.90,789.60,757.26,764.06,774.95,-33.69,-963.87,320.31,-0.61,-0.59,2.02,-500.09
910,789.00,789.98,757.32,764.19,775.12,-28.32,-965.82,311.52,-0.87,2.00,-2.07,-503.93
943,789.01,790.47,757.31,764.27,775.27,-26.37,-970.70,310.06,1.29,-0.15,-2.53,-509.27
