currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,784.47,769.67,753.85,770.36,769.59,-26.86,-879.88,530.76,-0.54,-1.00,-0.44,-502.62
60,784.39,769.61,753.90,770.43,769.58,-34.18,-866.21,521.00,-0.08,2.08,-1.29,-501.57
94,784.24,769.61,753.88,770.41,769.54,-37.60,-871.58,532.23,3.48,-3.04,-0.32,-501.37
127,784.09,769.59,753.93,770.44,769.51,-32.71,-875.98,516.11,-0.34,1.11,2.37,-499.84
161,783.94,769.65,753.90,770.53,769.51,-37.60,-866.21,526.86,-1.47,0.40,-1.33,-501.80
195,783.78,769.65,753.97,770.63,769.51,-30.27,-874.02,531.25,0.64,0.64,-1.65,-501.05
233,783.55,769.66,753.97,770.72,769.48,-34.18,-883.30,526.86,-0.18,-0.15,0.82,-501.66
268,783.46,769.69,753.98,770.65,769.45,-32.71,-863.28,532.23,-0.50,1.11,-2.31,-500.35
303,783.30,769.65,753.99,770.71,769.41,-40.04,-864.26,529.30,0.24,1.72,-1.76,-500.16
337,783.14,769.63,754.00,770.63,769.35,-36.62,-874.51,541.02,-0.08,-0.94,-0.27,-498.08
372,783.02,769.62,753.96,770.70,769.32,-36.62,-880.86,530.27,0.29,0.06,1.08,-499.57
407,783.01,769.60,753.97,770.70,769.32,-45.41,-866.70,531.25,0.34,1.25,-1.29,-498.93
444,782.83,769.58,753.99,770.69,769.27,-27.83,-878.91,529.30,-0.10,-0.67,0.07,-497.81
479,782.63,769.50,754.00,770.65,769.19,-41.02,-880.37,544.92,-0.15,0.18,-0.17,-495.47
514,782.49,769.59,753.99,770.65,769.18,-41.02,-870.12,532.71,-0.09,0.76,-1.53,-496.02
549,782.38,769.57,753.95,770.69,769.15,-36.13,-874.51,540.53,-0.34,0.96,0.30,-497.06
584,782.31,769.54,753.93,770.78,769.14,-37.60,-873.05,533.69,0.99,1.15,-0.97,-498.31
618,782.11,769.66,754.02,770.77,769.14,-37.11,-872.56,529.79,0.41,-0.58,-2.15,-496.34
656,782.01,769.60,753.99,770.82,769.10,-33.69,-864.75,531.25,-3.11,-1.50,-0.69,-496.81
691,781.89,769.62,753.92,770.80,769.06,-35.64,-871.58,543.46,-1.12,-0.53,-1.76,-498.26
725,781.78,769.64,754.00,770.78,769.05,-30.76,-873.05,529.30,0.53,2.43,-0.57,-495.61
761,781.69,769.58,753.96,770.79,769.01,-23.93,-874.02,537.60,0.30,-0.15,-1.21,-495.87
795,781.68,769.61,753.97,770.78,769.01,-41.99,-879.88,528.32,0.27,-2.04,1.40,-495.91
833,781.48,769.60,754.03,770.72,768.96,-34.18,-876.46,519.53,-1.76,-0.49,-1.18,-492.68
868,781.38,769.61,753.94,770.58,768.88,-28.32,-859.37,526.37,0.48,0.44,-0.76,-492.53
903,781.40,769.50,753.99,770.57,768.87,-43.46,-875.00,547.36,1.40,-0.93,-0.48,-490.23
938,781.58,769.58,753.96,770.52,768.91,-31.25,-877.44,539.06,-0.33,-0.05,-3.95,-491.64
973,781.70,769.57,753.98,770.56,768.95,-44.43,-872.07,528.81,-0.05,-1.22,0.57,-491.89
1008,781.83,769.60,753.93,770.46,768.96,-42.97,-874.02,538.57,0.07,-1.81,0.04,-492.42
1045,781.85,769.56,753.97,770.35,768.93,-38.57,-877.93,526.86,1.27,1.23,3.22,-489.64
1080,781.98,769.56,753.91,770.33,768.94,-28.81,-889.16,532.23,0.08,0.97,-1.21,-491.25
1115,782.12,769.57,753.99,770.22,768.98,-36.13,-870.61,525.39,-0.91,1.88,-0.40,-488.23
1150,782.28,769.58,753.96,770.22,769.01,-30.27,-878.91,540.04,0.69,-0.05,-2.11,-489.49
1185,782.42,769.59,753.95,770.13,769.02,-41.99,-876.46,538.57,0.32,-0.82,-3.40,-489.13
1220,782.60,769.63,753.99,770.11,769.08,-31.25,-875.49,528.81,-0.03,3.31,0.30,-488.66
1258,782.76,769.50,753.95,770.05,769.07,-27.83,-868.16,524.41,-1.59,-0.82,1.29,-488.26
1293,782.93,769.49,753.94,769.94,769.08,-40.04,-883.30,521.00,-0.64,1.75,-0.68,-487.55
1328,782.96,769.52,753.96,769.90,769.08,-34.18,-873.54,517.09,-0.71,-0.63,-1.00,-486.62
1363,783.18,769.59,753.93,769.81,769.13,-35.16,-868.16,528.81,-0.06,0.04,-0.58,-487.48
