currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
25,798.71,768.40,768.41,766.90,775.61,122.56,-827.15,558.59,-0.37,3.68,0.66,-127.67
59,798.76,768.41,768.44,766.83,775.61,111.82,-844.24,556.15,-0.82,2.56,0.12,-126.23
93,798.60,768.38,768.36,766.83,775.54,123.54,-840.82,562.50,1.67,0.85,2.73,-127.41
127,798.56,768.28,768.38,766.75,775.49,114.26,-833.98,557.62,-0.15,1.63,-1.21,-124.80
160,798.46,768.32,768.36,766.69,775.46,103.52,-830.57,571.78,-0.79,-1.02,4.27,-124.34
194,798.38,768.30,768.34,766.66,775.42,118.16,-845.21,559.08,-1.52,0.94,1.39,-123.89
228,798.20,768.22,768.36,766.57,775.34,99.12,-852.54,538.09,-1.77,1.86,-0.24,-120.82
262,798.10,768.23,768.33,766.57,775.31,114.26,-842.29,527.83,1.08,1.31,-0.33,-121.36
296,798.05,768.12,768.29,766.53,775.25,118.65,-862.30,554.20,1.09,1.31,0.24,-120.78
330,798.08,768.17,768.24,766.54,775.25,118.16,-825.68,562.99,1.76,3.72,2.73,-122.53
365,798.10,768.11,768.26,766.63,775.27,115.23,-860.84,549.32,1.74,2.25,0.10,-122.92
399,798.11,768.18,768.31,766.50,775.28,110.84,-840.82,552.73,1.63,0.60,0.53,-120.35
433,798.12,768.17,768.22,766.45,775.24,116.70,-829.10,575.20,2.15,-0.08,-0.16,-121.97
467,798.22,768.12,768.29,766.44,775.27,115.23,-851.07,560.55,-0.91,0.21,2.02,-119.90
501,798.30,768.22,768.32,766.46,775.33,118.65,-844.73,572.75,-1.50,-0.66,3.43,-120.72
535,798.38,768.20,768.25,766.49,775.33,118.16,-849.61,563.96,0.17,0.14,2.97,-122.91
569,798.45,768.18,768.12,766.50,775.31,113.77,-851.07,570.80,1.39,2.24,1.60,-126.27
603,798.59,768.24,768.25,766.48,775.39,121.09,-820.31,555.66,-1.10,2.44,1.02,-123.65
637,798.78,768.22,768.19,766.44,775.41,114.26,-840.33,560.55,1.47,3.17,-0.68,-125.21
672,798.80,768.20,768.30,766.45,775.44,106.93,-845.70,562.01,0.44,0.40,2.41,-122.56
706,798.93,768.26,768.31,766.42,775.48,113.77,-841.31,556.64,1.86,0.82,-1.65,-122.65
740,799.15,768.26,768.27,766.51,775.55,106.45,-834.96,566.41,-0.73,0.84,-0.04,-125.86
774,799.34,768.29,768.30,766.56,775.62,106.45,-844.73,564.94,0.46,0.85,0.50,-126.54
808,799.44,768.30,768.31,766.52,775.64,108.89,-832.52,560.06,2.07,-1.02,1.00,-126.16
842,799.58,768.23,768.23,766.56,775.65,96.19,-836.91,568.85,0.74,-0.42,0.02,-128.74
878,799.73,768.29,768.24,766.52,775.69,114.26,-827.64,565.92,0.70,-0.39,1.92,-129.00
912,799.84,768.18,768.25,766.55,775.71,105.96,-860.84,560.55,0.99,-0.20,0.40,-128.56
946,799.81,768.28,768.25,766.57,775.73,102.05,-825.68,558.59,-0.87,1.41,-1.39,-129.61
980,799.82,768.31,768.19,766.65,775.74,107.91,-846.19,564.45,-0.31,-0.69,0.29,-132.62
1014,799.90,768.29,768.26,766.69,775.78,114.75,-839.84,559.57,-1.96,1.17,0.18,-131.63
1049,799.75,768.27,768.36,766.71,775.77,118.16,-848.63,560.55,0.02,0.87,2.13,-128.52
1083,799.76,768.18,768.29,766.74,775.74,119.14,-842.77,566.89,3.18,0.76,0.92,-130.03
1117,799.75,768.28,768.35,766.69,775.77,102.05,-851.56,557.13,-0.40,2.93,-1.20,-128.68
1151,799.87,768.26,768.40,766.76,775.82,133.79,-846.19,564.94,-1.09,0.99,-0.34,-128.71
1185,800.04,768.26,768.35,766.80,775.86,111.33,-842.77,561.52,1.52,0.56,1.22,-130.97
1219,800.06,768.28,768.33,766.88,775.89,119.63,-836.91,556.64,-0.16,0.36,0.89,-133.21
1253,800.10,768.28,768.34,766.86,775.90,100.10,-847.17,564.45,0.65,1.42,0.15,-132.68
1288,800.26,768.31,768.47,766.83,775.97,102.05,-828.12,568.36,0.92,3.03,1.81,-129.82
1322,800.43,768.30,768.36,766.99,776.02,116.21,-847.17,562.99,0.91,1.40,0.72,-135.46
1356,800.52,768.39,768.36,766.93,776.05,111.82,-836.91,550.29,1.76,1.24,2.03,-135.49
1390,800.37,768.45,768.34,766.94,776.02,115.23,-851.07,584.96,-1.07,1.37,1.55,-136.03
1424,800.18,768.47,768.39,767.00,776.01,122.07,-840.33,552.25,1.61,1.47,1.43,-135.09
1457,800.10,768.52,768.43,766.91,775.99,119.63,-842.29,558.11,1.16,0.49,1.46,-133.13
1491,799.89,768.50,768.43,767.04,775.96,116.21,-837.40,569.82,-0.57,2.21,1.92,-133.90
1524,799.53,768.43,768.45,767.08,775.87,118.65,-830.08,562.99,0.50,0.44,0.27,-132.35
1558,799.04,768.47,768.41,767.09,775.75,109.37,-841.80,554.69,0.67,-0.31,1.48,-132.06
1592,798.52,768.51,768.49,767.09,775.65,92.29,-857.91,572.27,-0.45,0.61,-0.76,-128.66
1626,798.21,768.48,768.55,767.20,775.61,108.40,-840.82,561.04,0.97,1.15,1.78,-127.53
1660,797.81,768.52,768.63,767.24,775.55,121.58,-839.84,582.52,2.47,3.11,-0.45,-125.01
1694,797.56,768.52,768.54,767.39,775.50,102.54,-843.75,555.18,0.52,-1.17,-2.46,-128.66
1727,797.19,768.59,768.65,767.53,775.49,107.42,-845.70,566.41,0.38,0.96,-1.84,-127.20
1761,797.04,768.59,768.68,767.58,775.47,123.05,-842.77,566.41,0.05,-1.24,-2.44,-126.72
1797,796.80,768.57,768.72,767.67,775.44,124.02,-839.84,557.13,1.42,1.18,-1.07,-126.07
1830,796.59,768.50,768.71,767.80,775.40,108.40,-854.49,563.96,0.42,2.11,1.33,-126.85
1865,796.50,768.64,768.75,767.90,775.45,111.82,-822.75,559.57,0.29,1.03,0.12,-128.14
1899,796.44,768.65,768.80,768.01,775.47,98.14,-849.61,550.78,0.30,1.94,-2.17,-128.59
1933,796.39,768.74,768.86,768.15,775.53,107.91,-836.91,569.82,2.08,3.19,3.40,-129.62
1967,796.47,768.83,768.84,768.20,775.59,105.96,-844.24,571.78,0.32,1.31,0.97,-131.68
2001,796.58,768.86,768.94,768.20,775.65,105.47,-839.84,572.75,1.02,2.55,-2.15,-130.03
2035,796.66,768.94,768.98,768.33,775.73,100.59,-836.91,563.96,0.63,1.71,-0.32,-131.99
2069,796.63,768.96,769.02,768.39,775.75,98.63,-849.12,554.69,1.81,0.45,2.27,-131.72
2103,796.54,769.06,769.02,768.55,775.79,108.40,-836.91,567.87,1.81,3.25,1.53,-134.48
