currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,794.92,780.25,758.00,770.22,775.85,-49.32,-883.79,494.14,-1.07,0.16,-0.73,-517.89
60,794.85,780.19,757.94,770.02,775.75,-34.18,-896.00,473.63,0.65,0.69,-1.19,-515.81
94,794.92,780.04,758.00,769.86,775.70,-30.27,-896.00,473.63,-0.74,2.35,-1.33,-510.97
128,794.88,779.98,758.01,769.65,775.63,-30.76,-904.30,488.77,-1.48,0.27,-0.63,-506.86
162,794.97,779.90,757.92,769.48,775.57,-41.99,-895.51,488.28,-1.78,-0.27,-0.12,-506.37
196,795.13,779.67,757.91,769.23,775.48,-31.25,-889.16,483.89,-2.43,1.68,1.28,-501.75
236,795.08,779.50,757.85,768.99,775.35,-27.83,-905.76,484.86,-1.28,2.34,-0.62,-498.12
271,795.00,779.27,757.88,768.84,775.25,-41.02,-894.53,482.42,0.34,1.60,1.98,-492.97
306,794.99,779.06,757.82,768.54,775.10,-38.09,-896.97,477.54,-1.40,0.97,-2.93,-488.24
341,794.90,778.88,757.80,768.22,774.95,-43.95,-894.53,470.70,-1.72,2.84,-0.21,-482.40
376,794.70,778.38,757.76,767.95,774.70,-39.55,-895.51,473.14,-1.59,1.49,-2.08,-474.76
411,794.63,778.01,757.69,767.59,774.48,-36.62,-903.32,481.45,0.36,2.35,-1.41,-467.87
449,794.77,777.39,757.63,767.11,774.23,-32.23,-905.76,469.73,-2.47,0.45,-1.12,-457.91
484,795.09,776.70,757.59,766.59,773.99,-30.76,-900.39,470.21,-3.20,-0.66,-0.21,-446.84
519,795.21,776.04,757.58,766.16,773.75,-33.20,-900.88,471.19,-2.21,-0.07,2.06,-435.86
554,794.90,775.68,757.56,766.02,773.54,-46.88,-900.39,481.93,-1.60,0.79,-0.43,-430.23
589,794.55,775.19,757.45,765.64,773.21,-31.25,-897.95,476.56,-0.61,1.63,-0.66,-422.32
624,794.19,774.78,757.45,765.33,772.94,-53.22,-907.71,481.93,-3.26,0.25,-0.94,-413.30
662,793.68,774.40,757.46,764.97,772.63,-23.44,-896.48,467.29,-3.91,-0.51,-0.22,-402.98
697,793.20,774.05,757.36,764.84,772.36,-38.57,-907.71,472.17,-2.56,1.85,-1.40,-398.97
732,792.38,773.79,757.28,764.70,772.04,-49.80,-904.79,474.61,-1.18,2.61,2.42,-394.04
767,791.58,773.41,757.35,764.58,771.73,-47.85,-912.60,474.12,-2.78,1.68,-1.98,-384.81
802,790.53,773.16,757.30,764.34,771.33,-37.11,-904.30,479.00,-1.44,-0.75,-3.97,-376.80
840,789.04,772.72,757.26,764.16,770.80,-35.16,-912.11,472.17,-5.79,-4.28,0.67,-366.62
875,787.86,772.37,757.29,763.93,770.36,-34.67,-907.71,470.21,-3.63,0.45,1.53,-355.49
910,787.07,771.97,757.20,763.62,769.97,-51.27,-916.50,458.01,-4.47,0.63,-1.24,-347.26
945,786.31,771.53,757.08,763.31,769.56,-46.88,-928.22,475.10,-3.87,3.41,-2.47,-339.81
980,785.65,771.24,757.13,763.04,769.27,-41.50,-908.20,458.98,-4.87,4.63,-1.67,-329.87
1015,785.18,770.88,757.07,762.72,768.97,-50.29,-914.55,452.15,-4.94,-1.58,-1.38,-322.18
1053,784.89,770.51,757.06,762.52,768.74,-37.11,-919.92,446.78,-4.10,-2.46,1.98,-315.41
1089,784.53,770.15,757.04,762.23,768.49,-39.06,-908.20,466.31,-3.95,1.84,0.60,-307.59
1124,784.15,769.90,757.08,762.08,768.30,-41.50,-928.71,438.96,-3.53,0.11,0.01,-301.17
1159,783.75,769.72,756.96,761.99,768.11,-48.83,-912.60,449.71,-2.50,-1.88,-2.09,-299.96
1194,783.39,769.58,757.03,761.88,767.97,-55.18,-912.11,440.43,-3.66,2.64,0.82,-294.29
1229,782.94,769.35,756.92,761.86,767.77,-51.76,-910.64,430.66,-2.34,-0.34,-0.49,-293.22
1267,782.57,769.41,756.90,761.83,767.68,-48.83,-924.32,443.85,-1.36,-1.67,2.63,-292.54
