currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
12226,758.27,761.85,768.03,760.72,762.22,157.23,-1010.74,362.3,5.33,13.95,2.92,144.99,2446,0,82,-8.24464,1.45341,-46.3298,4325.74,-2798.64,-847.382,-558.397,-93.3264,0
12260,759.43,762.16,769.85,761.23,763.17,141.11,-874.02,393.55,11.46,2.95,0.17,176.45,2453,0,82,-0.824325,2.90274,-92.1419,9921.01,-4532.22,-215.904,-547.247,-107.659,0
12294,764.23,762.91,772.21,761.88,765.31,174.8,-921.87,375.49,11.79,-1.53,1.89,203.22,2460,0,82,6.10922,2.71419,-138.437,15309.6,-6221.76,455.04,-542.947,-110.585,0
12328,772.28,763.83,776.24,762.52,768.72,111.82,-971.68,324.22,11.21,-5.57,3.19,259.36,2467,0,82,10.6221,12.6309,-162.096,16691.8,-6691.06,-2.59184,-539.278,-102.972,0
12362,781.81,765.03,780.47,763.61,772.73,134.77,-907.23,390.62,11.89,-1.39,3.82,306.28,2473,0,82,9.87862,25.9936,-212.143,21667.2,-9081.07,-1216.78,-540.801,-102.121,0
12397,790.28,766.71,783.71,764.98,776.42,126.46,-942.87,395.51,5.01,-3.53,-0.02,324.39,2480,0,82,9.12748,35.8178,-314.76,33581.8,-14207.4,-1861.89,-543.134,-106.681,0
12431,797.14,768.18,786.61,766.54,779.62,129.39,-950.68,377.93,1.18,-3.63,2.03,338.23,2487,0,82,12.5234,45.0934,-447.615,49164.5,-20811.9,-2180.12,-544.494,-109.831,0
12465,803.08,769.44,788.42,767.65,782.15,125,-927.73,370.61,5.3,-1,0.81,336.33,2494,0,82,10.1357,52.4071,-583.951,64627.5,-27813,-3248.76,-545.628,-110.676,0
12499,805.2,770.89,790.03,768.69,783.7,142.09,-949.22,357.42,-1.75,-1.99,3.15,342.37,2501,0,82,3.04797,62.4838,-697.189,76567,-33827.5,-5426.02,-546.519,-109.822,0
12533,804.2,771.53,791.32,769.52,784.14,123.54,-952.64,346.19,1.61,-1.12,1.89,360.66,2508,0,82,-2.63556,66.0783,-794.239,87940.8,-39223.7,-6777.36,-547.385,-110.724,0
