currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,804.81,783.83,761.00,765.83,778.87,-37.60,-908.69,485.84,-1.69,-0.65,-1.63,-441.26
63,804.95,783.71,761.07,765.77,778.88,-34.67,-906.74,501.46,0.21,3.02,-0.71,-438.17
99,805.15,783.62,761.04,765.65,778.86,-28.32,-900.88,492.19,1.73,-0.79,-1.59,-437.19
134,805.31,783.57,760.92,765.61,778.85,-33.69,-890.62,492.68,-0.55,1.40,-2.36,-439.71
170,805.48,783.32,760.89,765.48,778.79,-23.93,-905.27,493.65,1.17,-1.50,0.39,-437.13
206,805.49,783.13,760.95,765.41,778.75,-25.39,-901.86,486.33,-0.73,0.53,0.21,-432.91
247,805.45,782.98,760.89,765.39,778.68,-29.79,-894.53,477.54,-1.29,0.95,1.71,-432.96
283,805.43,782.95,760.91,765.38,778.67,-23.44,-907.71,489.75,0.59,-1.22,-0.04,-431.92
319,805.41,782.86,760.88,765.35,778.62,-22.46,-891.11,479.00,-2.44,0.22,1.15,-431.35
355,805.42,782.70,760.89,765.36,778.59,-30.27,-899.90,491.21,-1.23,0.00,-0.91,-430.10
391,805.42,782.54,760.78,765.25,778.50,-38.09,-900.88,486.33,-0.15,1.52,-0.51,-429.87
427,805.65,782.38,760.79,765.16,778.50,-34.67,-913.57,479.00,1.60,0.75,-0.93,-427.72
466,805.77,782.21,760.74,765.11,778.46,-41.02,-892.58,502.93,-1.60,-0.18,-2.89,-427.36
502,805.94,782.13,760.82,765.15,778.51,-32.71,-886.72,486.82,-2.93,-0.28,-1.10,-425.89
538,805.94,782.10,760.79,765.11,778.48,-23.44,-885.74,488.77,-0.90,-0.82,-1.57,-425.95
574,805.86,782.04,760.78,765.19,778.47,-17.58,-898.44,479.98,-0.05,-0.16,-1.21,-426.66
611,805.76,782.22,760.87,765.33,778.55,-23.44,-889.65,484.86,-0.93,-1.56,-1.50,-427.35
649,805.50,782.40,760.81,765.41,778.53,-32.23,-902.34,494.14,1.01,0.09,-2.98,-430.68
685,805.44,782.48,760.86,765.47,778.56,-27.83,-897.46,500.49,-1.55,1.90,0.21,-430.68
721,805.38,782.57,760.91,765.44,778.58,-34.18,-900.39,469.73,-0.15,0.29,-0.89,-429.49
758,805.70,782.61,760.89,765.47,778.67,-36.62,-897.46,483.40,0.28,-0.66,1.19,-431.98
794,805.94,782.49,760.91,765.51,778.71,-18.55,-908.69,479.98,-0.45,0.53,-1.76,-431.95
830,805.93,782.65,760.94,765.73,778.81,-23.93,-886.23,489.26,1.18,2.44,-1.74,-435.45
869,805.40,782.78,760.99,765.83,778.75,-35.64,-910.16,472.17,-1.89,-1.02,1.61,-434.97
905,804.65,782.95,761.16,766.05,778.70,-33.69,-903.32,495.12,0.51,-1.07,-0.59,-433.03
941,804.30,783.06,761.09,766.12,778.64,-27.83,-891.60,484.37,-2.32,1.90,-0.82,-435.45
977,804.27,782.96,761.03,766.11,778.59,-19.04,-909.18,492.68,-0.66,-0.46,-2.77,-435.61
1013,804.64,782.93,761.12,766.02,778.68,-25.39,-892.58,487.79,0.14,1.03,-3.03,-433.24
1050,804.76,782.81,761.09,766.04,778.68,-32.23,-896.97,489.26,0.53,2.74,0.65,-433.87
1088,804.93,782.78,761.04,765.96,778.68,-29.79,-895.51,499.51,0.36,-2.92,-0.60,-433.95
1124,804.91,782.79,761.13,765.96,778.70,-40.04,-889.65,505.37,1.12,-0.04,-0.96,-431.84
1160,804.77,782.84,761.06,766.06,778.68,-29.30,-892.09,492.19,1.33,-0.02,1.39,-435.15
1196,804.39,782.90,761.18,766.20,778.67,-36.62,-895.51,488.28,-1.76,1.55,0.24,-433.36
1232,803.77,783.00,761.07,766.16,778.50,-17.58,-890.14,487.79,-0.79,3.51,-1.95,-434.12
1268,803.21,783.11,761.22,766.25,778.45,-26.37,-902.83,489.75,1.19,-0.10,-1.18,-430.62
1307,803.09,783.15,761.20,766.38,778.45,-21.48,-898.93,489.75,0.99,-1.57,-0.66,-433.05
1343,803.10,783.18,761.12,766.31,778.43,-22.95,-889.65,494.63,-0.66,2.13,-0.44,-434.37
1378,803.50,783.06,761.14,766.29,778.50,-27.34,-904.79,492.68,0.74,-1.49,1.69,-433.70
1414,803.88,782.92,761.10,766.12,778.51,-35.16,-898.44,494.63,1.22,-0.52,-4.44,-432.60
1450,804.42,782.73,761.03,765.94,778.53,-32.23,-896.00,495.61,0.47,-1.08,-0.69,-431.95
1486,804.91,782.54,761.09,765.89,778.61,-26.37,-886.72,496.09,1.60,2.04,-2.72,-429.83
1525,805.14,782.41,761.04,765.79,778.60,-11.72,-898.44,494.14,-0.56,1.00,-1.27,-429.34
1561,805.05,782.32,760.99,765.64,778.50,-26.37,-854.00,500.00,-4.05,1.49,-2.85,-427.27
1597,805.00,782.24,760.96,765.65,778.46,-41.02,-949.22,446.78,-2.82,1.47,-1.51,-427.36
1633,805.15,782.14,761.00,765.71,778.50,-24.41,-910.16,489.75,2.70,-0.92,0.21,-426.99
1669,805.47,782.22,761.02,765.76,778.62,-27.34,-906.74,493.65,0.19,-1.54,-0.64,-429.04
