currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
10460,753.26,761.7,766.75,760.2,760.47,236.82,-921.87,303.22,40.66,12.34,4.2,139.25,2093,0,82,-10.1488,-0.723652,-56.3145,7276.97,-6505.13,-1208.73,-614.624,-129.955,0
10494,753.51,762.22,768.74,760.65,761.28,142.58,-943.85,368.65,-4.67,-7.12,2,177.33,2100,0,82,0.602852,2.73556,-93.4685,11844.8,-9701.27,74.9651,-601.782,-126.708,0
10528,755.68,763.56,771.81,761.52,763.14,102.54,-917.97,377.44,2.67,-6.23,5.23,222.78,2107,0,82,8.4111,5.30984,-116.09,13463.6,-10768.1,913.727,-590.758,-115.986,0
10564,760.77,766,776.1,763.12,766.49,104.49,-925.29,335.94,10.21,-3.19,6.02,268.91,2114,0,82,8.19519,14.0482,-136.389,14455.2,-12411,-335.026,-589.009,-106.02,0
10598,766.48,768.05,779.83,765.12,769.87,115.23,-926.76,358.89,14.84,3.63,3.27,296.38,2121,0,82,8.51888,28.1921,-197.155,20366.4,-18063.6,-1882.02,-589.608,-103.299,0
10632,773,769.7,783.14,766.89,773.18,106.93,-919.43,380.37,20.58,6.87,1.41,317.2,2127,0,82,7.61341,39.0199,-289.315,31151.2,-27499.4,-3177.71,-593.04,-107.667,0
10667,780.97,771.19,785.75,768.5,776.6,132.32,-925.78,359.86,13.76,-0.34,-3.53,319.18,2134,0,82,5.17653,44.7309,-409.653,46870.7,-40596.8,-4477.73,-597.095,-114.403,0
10701,787.32,772.64,787.14,769.92,779.26,95.21,-902.34,413.57,12.95,1.82,0.74,299.44,2141,0,82,-0.226248,53.0154,-530.463,62789.5,-53747.3,-7133.76,-599.318,-118.365,0
10735,788.95,773.81,788.14,771.28,780.54,142.58,-952.64,389.16,7.44,2.14,0.9,289.49,2148,0,82,-9.64322,63.3864,-656.917,80822.3,-68447.2,-10942.9,-602.192,-123.029,0
10769,790.87,774.05,788.87,772.02,781.45,101.07,-922.36,407.23,5.29,-0.36,-2.15,288.33,2155,0,82,-18.7312,73.3858,-760.643,95772.5,-81185.4,-13870.5,-604.732,-125.909,0
10803,792.04,773.85,788.27,772.09,781.56,109.86,-900.39,410.16,7.28,0.03,0.19,270.01,2162,0,82,-21.5768,83.7276,-811.603,102012,-86572.8,-15775.9,-604.669,-125.693,0
10837,791.75,773.47,787.91,771.94,781.27,108.4,-914.06,396,1.44,1.31,-0.64,267.15,2168,0,82,-25.2425,89.467,-835.391,105321,-89219.9,-17266.4,-604.8,-126.074,0
10871,790.93,772.95,787.27,771.49,780.66,112.79,-932.13,383.3,1.24,-1.61,-1.87,264.87,2175,0,82,-31.9662,82.1738,-837.462,107908,-90427.8,-17705.5,-605.978,-128.851,0
10905,790.07,772.48,786.82,770.99,780.09,127.93,-919.43,396.97,-1.78,2.5,2.38,267.67,2182,0,82,-35.1277,80.4046,-804.229,103581,-86881.4,-18004.1,-606.031,-128.795,0
10940,790.05,772.03,786.14,770.36,779.64,127.44,-913.57,414.06,-3.53,-3.87,0.04,263.69,2189,0,82,-37.55,70.2647,-762.098,98786.7,-82253,-16860.5,-605.93,-129.625,0
10975,791.1,771.38,785.43,769.34,779.31,133.79,-945.8,372.07,1.71,-3.95,1.31,262.6,2196,0,82,-37.9752,65.2291,-722.105,93771.4,-77795.6,-15469,-605.735,-129.859,0
11010,793.12,771.18,785.22,768.65,779.54,118.16,-897.95,434.08,-2.67,-3.63,2.36,262.29,2203,0,82,-41.676,60.0296,-695.943,91530.9,-75348.3,-14069.8,-606.268,-131.521,0
11044,795.42,771.17,785.38,768.16,780.03,120.61,-942.38,384.77,-0.36,-5.95,4.35,265.64,2210,0,82,-41.6909,51.8598,-685.876,93093.9,-74936.5,-11370.7,-607.257,-135.73,0
11078,795.6,770.85,785.05,767.44,779.73,134.77,-899.41,406.25,0.34,-4.54,6.97,269.84,2217,0,82,-43.5934,50.9654,-705.771,97542,-77339.7,-9550.84,-607.582,-138.205,0
11111,793.71,770.71,784.83,766.63,778.97,123.54,-933.11,421.87,-0.44,-4.68,4.76,283.93,2223,0,82,-47.2776,51.951,-733.445,103222,-80873.4,-8422.68,-608.265,-140.735,0
11145,790.81,770.71,784.71,766.16,778.1,122.07,-951.17,371.58,-6.18,-0.44,6.5,297.79,2230,0,82,-47.147,49.8801,-703.037,100056,-77718.5,-6464.35,-608.547,-142.32,0
11178,786.25,770.5,783.84,765.3,776.47,152.34,-901.86,401.37,5.61,0.4,6.91,306.09,2237,0,82,-45.806,50.1697,-663.396,93702.7,-72620.6,-4797.42,-607.467,-141.246,0
11212,783.37,770.12,782.96,764.53,775.25,110.35,-951.17,365.72,0.6,-1.05,-0.21,308.37,2243,0,82,-45.1574,47.4746,-612.903,85499.5,-66409.7,-3598.67,-606.352,-139.499,0
