currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,807.29,776.99,758.00,761.74,776.01,-36.62,-901.37,481.45,0.61,1.10,-0.61,-409.48
62,807.48,776.93,758.02,761.71,776.04,-35.16,-908.20,483.40,-1.23,1.98,-1.10,-408.53
98,807.74,776.91,758.01,761.65,776.08,-30.27,-904.30,468.75,1.14,0.18,-1.21,-408.81
134,807.82,776.88,757.88,761.51,776.02,-22.46,-898.93,482.42,0.22,1.92,-1.02,-409.82
170,807.82,776.82,757.98,761.51,776.03,-45.90,-893.55,468.26,-2.70,-0.30,1.15,-406.95
206,807.64,776.76,757.94,761.49,775.96,-28.32,-897.46,477.05,-0.90,0.66,-1.45,-406.57
246,807.46,776.80,757.88,761.60,775.93,-37.60,-899.41,470.21,-0.90,0.60,-2.31,-409.40
281,807.14,777.03,758.05,761.81,776.01,-28.81,-897.95,484.37,0.86,-0.01,-1.92,-408.92
317,806.68,777.27,758.04,762.06,776.01,-32.71,-900.88,482.91,0.67,-0.19,0.54,-413.36
353,806.30,777.35,758.06,762.08,775.95,-30.76,-908.20,485.84,0.62,-2.12,-0.50,-412.41
389,805.81,777.50,758.16,762.18,775.91,-31.74,-905.76,478.03,0.39,-0.41,-0.78,-410.83
424,805.42,777.52,758.12,762.27,775.83,-33.69,-899.90,487.30,-0.13,-1.79,-3.11,-412.05
463,805.42,777.47,758.12,762.32,775.83,-32.71,-907.71,479.00,-0.25,0.07,-0.72,-412.51
498,805.40,777.45,758.19,762.25,775.82,-29.79,-918.46,479.98,0.31,0.26,-2.16,-409.32
534,805.50,777.49,758.12,762.28,775.85,-31.25,-907.71,478.52,-1.37,-0.08,-1.94,-412.17
569,805.52,777.52,758.09,762.27,775.85,-39.55,-909.67,490.23,0.07,3.31,2.22,-413.21
605,805.57,777.46,758.09,762.24,775.84,-34.18,-895.02,468.26,0.45,-0.27,-0.89,-412.53
641,805.71,777.37,758.06,762.21,775.84,-24.90,-895.02,484.37,-1.42,1.64,-2.85,-412.47
679,805.98,777.36,758.10,762.20,775.91,-26.86,-901.86,475.59,-1.05,1.44,-0.95,-412.09
715,806.19,777.35,758.21,762.16,775.98,-41.99,-901.86,488.77,0.63,0.71,-0.72,-409.41
750,806.27,777.24,758.06,762.16,775.93,-31.25,-886.72,487.30,-1.50,-0.59,1.51,-412.56
786,806.30,777.23,758.04,762.11,775.92,-22.46,-907.71,483.40,-1.63,1.41,1.68,-412.54
821,806.44,777.31,758.05,762.13,775.98,-34.67,-907.71,473.14,-1.37,2.28,-2.34,-413.65
859,806.55,777.19,758.06,762.08,775.97,-38.09,-902.83,476.07,-0.16,-0.85,-0.71,-411.94
895,806.69,777.14,758.04,762.12,776.00,-23.44,-905.76,469.24,-0.92,-0.05,0.57,-412.99
931,806.81,777.08,758.06,762.05,776.00,-41.50,-911.62,480.96,-0.13,-1.46,1.11,-411.65
967,806.85,777.08,758.04,761.97,775.99,-37.60,-896.00,486.33,0.13,1.75,-1.60,-411.14
1003,806.94,777.01,758.00,761.98,775.98,-29.79,-913.57,478.03,-1.23,0.18,-1.04,-412.01
1038,807.06,776.97,758.05,761.90,775.99,-31.74,-900.39,481.45,1.16,1.19,-2.34,-409.67
1077,807.26,776.94,758.08,761.86,776.04,-30.27,-896.48,484.37,0.73,-1.41,0.73,-408.61
1113,807.45,776.94,758.01,761.89,776.07,-33.69,-899.90,484.37,-0.91,0.98,-1.75,-411.62
1148,807.50,776.79,758.09,761.90,776.07,-42.48,-901.86,480.47,0.56,-0.78,-0.25,-408.76
1184,807.66,776.84,758.04,761.83,776.09,-27.83,-919.43,475.10,-1.62,2.24,-0.47,-409.79
1220,807.80,776.83,758.03,761.88,776.13,-37.60,-900.88,486.82,0.86,1.42,-1.46,-411.18
1256,807.97,776.86,758.00,761.82,776.16,-33.20,-908.69,470.21,1.90,0.64,-0.46,-412.10
1294,808.19,776.92,758.01,761.80,776.23,-31.25,-912.11,478.03,0.34,-0.48,-0.30,-412.48
1330,808.31,776.86,758.01,761.79,776.24,-33.69,-902.83,483.40,-0.34,0.44,-1.42,-412.44
1366,808.38,776.84,757.97,761.79,776.25,-37.11,-906.25,478.52,-1.06,0.30,-1.31,-413.51
1401,808.49,776.89,757.92,761.78,776.27,-40.04,-898.44,488.28,-0.88,2.31,0.56,-415.32
1437,808.78,776.93,758.14,761.82,776.42,-37.11,-897.46,484.37,-0.03,-1.05,0.02,-411.83
1473,808.84,776.83,758.08,761.85,776.40,-28.81,-899.90,484.37,0.62,3.60,0.33,-412.96
1511,808.84,776.91,757.97,761.79,776.38,-42.48,-899.41,475.10,-1.10,-1.82,-0.60,-415.58
1547,809.00,776.96,758.00,761.90,776.47,-34.18,-838.87,518.07,-3.69,1.83,-1.19,-417.45
1583,809.02,776.92,757.98,761.89,776.45,-63.96,-904.79,409.18,2.24,-4.63,-0.20,-417.66
1618,809.07,776.97,758.06,761.82,776.48,176.76,-874.02,370.61,-4.56,-1.61,-1.38,-415.10
1654,809.02,776.85,758.03,761.76,776.42,-32.71,-935.06,491.70,-0.32,0.95,0.90,-413.68
1690,809.04,776.96,758.00,761.86,776.47,-36.62,-899.41,471.19,-0.08,1.21,-1.36,-417.06
1728,808.94,776.90,758.06,761.88,776.44,-27.34,-894.04,477.05,0.02,-0.03,0.84,-414.92
1764,808.98,776.89,758.01,761.90,776.45,-38.09,-897.46,480.47,1.21,-0.22,-0.95,-416.45
1799,809.00,776.90,758.02,761.91,776.46,-35.64,-896.00,468.26,-0.72,0.88,-0.41,-416.60
1835,808.95,776.88,758.09,761.85,776.44,-32.71,-920.90,462.40,-0.26,0.80,-0.40,-413.58
1871,808.90,776.81,758.07,761.81,776.40,-59.08,-919.92,477.05,-3.68,0.20,-1.37,-412.81
1907,808.90,776.81,758.09,761.82,776.40,-29.79,-898.93,479.49,0.05,1.60,0.82,-412.37
1946,808.97,776.78,758.05,761.75,776.39,-33.69,-903.32,485.35,1.66,0.46,-0.48,-412.29
1982,809.01,776.75,758.04,761.81,776.40,-19.53,-909.18,414.06,-5.61,1.94,-0.29,-413.58
2017,808.99,776.67,758.02,761.84,776.38,-24.41,-901.37,469.73,-3.34,2.74,-2.06,-413.72
2053,808.90,776.74,757.98,761.78,776.35,-24.90,-914.06,479.49,3.71,-3.36,-0.21,-413.91
2089,808.85,776.76,758.00,761.78,776.35,-33.69,-921.39,454.10,0.03,0.65,1.08,-413.53
2125,808.91,776.72,757.97,761.82,776.35,-61.52,-941.41,447.75,1.29,2.30,0.08,-414.73
2163,809.09,776.68,757.99,761.70,776.37,-35.64,-896.00,469.73,-0.33,-3.75,-0.37,-412.63
2198,809.05,776.59,757.99,761.75,776.34,54.69,-863.28,657.71,14.48,-1.89,1.06,-412.67
2234,809.01,776.71,758.03,761.83,776.39,-84.96,-933.11,388.18,-1.34,2.21,-0.86,-413.64
2269,808.67,776.74,758.01,761.88,776.33,-35.16,-940.92,492.19,-1.12,-0.47,-2.00,-413.88
2305,808.96,776.67,758.01,761.72,776.34,-28.81,-890.14,481.93,-0.76,0.24,-0.92,-411.94
2343,809.06,776.66,758.02,761.78,776.38,-96.19,-924.32,460.94,-4.05,0.45,0.46,-412.93
2379,809.14,776.63,758.04,761.70,776.38,-41.50,-913.09,457.03,-0.84,0.75,-1.06,-411.28
2414,808.97,776.55,757.96,761.69,776.29,-48.83,-907.71,489.75,-0.47,-2.31,1.00,-411.88
2450,809.12,776.58,757.99,761.72,776.35,-44.43,-938.48,496.58,6.05,-2.05,-2.63,-412.44
2485,809.16,776.57,757.96,761.66,776.34,-29.30,-892.09,487.79,0.65,1.47,-2.20,-412.25
2520,809.18,776.60,758.03,761.64,776.36,-28.81,-895.51,477.05,-1.20,1.14,1.05,-410.47
2558,809.13,776.55,758.01,761.69,776.35,-26.37,-914.55,476.56,0.01,-0.58,-0.34,-411.15
2594,809.05,776.46,758.04,761.75,776.33,-35.64,-905.27,485.35,-0.14,-0.60,-0.23,-410.32
2630,809.07,776.54,757.91,761.68,776.30,-39.06,-916.99,472.17,-0.73,-0.15,0.85,-413.36
2666,809.11,776.52,757.92,761.62,776.29,-37.11,-904.30,464.36,-0.79,1.58,-0.47,-412.16
2701,809.14,776.49,757.96,761.62,776.31,-18.07,-905.27,475.10,0.31,-0.28,0.55,-410.96
2737,809.16,776.50,757.97,761.57,776.30,-40.04,-907.71,464.36,-0.21,-0.09,0.91,-410.18
2776,809.17,776.56,757.89,761.62,776.31,-41.50,-895.51,482.91,-0.47,0.02,-1.53,-413.36
2811,809.25,776.46,758.01,761.59,776.32,-28.81,-910.64,473.63,-0.08,-1.11,0.76,-409.49
2848,809.27,776.41,757.93,761.61,776.31,-29.79,-906.25,485.35,-0.11,-0.44,-1.76,-411.44
2883,809.33,776.45,757.97,761.64,776.35,-30.76,-905.76,480.47,-0.56,0.53,0.79,-411.30
2919,809.39,776.39,757.99,761.66,776.36,-43.95,-902.34,480.47,0.47,0.89,-1.26,-410.91
2955,809.40,776.34,757.96,761.64,776.34,-44.43,-901.37,483.89,-2.00,0.84,-0.24,-410.97
2993,809.41,776.44,757.92,761.69,776.36,-36.62,-920.90,485.35,-1.07,-0.31,0.55,-413.45
3029,809.32,776.42,757.91,761.69,776.34,-36.13,-895.51,478.52,0.20,0.34,-1.07,-413.21
3064,809.32,776.51,757.92,761.70,776.36,-34.67,-903.32,485.35,0.31,-0.31,-0.36,-413.97
3100,809.26,776.47,757.95,761.62,776.33,-33.69,-911.13,487.30,-1.65,0.31,-1.14,-411.48
3135,809.18,776.39,757.95,761.69,776.30,-36.13,-904.30,467.77,0.10,1.34,0.15,-411.60
3171,809.26,776.40,758.03,761.66,776.34,-19.04,-897.46,481.93,-1.20,-0.69,-1.93,-409.51
3209,809.31,776.42,758.01,761.65,776.35,-47.36,-902.34,472.66,1.14,0.78,-2.40,-410.15
3245,809.42,776.33,758.05,761.55,776.34,-33.20,-897.95,478.03,-0.47,-0.15,-0.60,-407.29
3281,809.31,776.32,757.94,761.53,776.28,-35.64,-893.55,479.00,0.77,-1.77,-2.02,-409.50
3316,809.27,776.34,758.03,761.55,776.30,-43.95,-908.20,470.70,-0.56,1.61,-1.13,-407.49
