currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
27,799.71,780.03,763.10,767.48,777.58,-26.86,-896.97,499.51,1.18,1.47,-1.20,-365.06
63,799.42,780.10,763.11,767.64,777.57,-41.99,-888.67,477.54,-0.69,-1.54,-1.33,-366.81
98,799.13,780.19,763.20,767.77,777.57,-30.27,-907.71,489.26,-0.98,0.69,-1.73,-366.33
134,798.87,780.25,763.22,767.78,777.53,-19.04,-887.21,480.47,0.27,1.02,-3.41,-365.51
171,798.69,780.36,763.19,767.84,777.52,-25.88,-882.32,494.63,-1.45,1.29,-2.27,-367.46
206,798.52,780.39,763.25,767.85,777.50,-33.69,-895.51,498.54,-0.59,1.15,-0.50,-365.74
247,798.37,780.43,763.23,767.94,777.49,-33.69,-893.55,482.91,-0.85,1.43,-0.97,-367.46
283,798.14,780.46,763.29,767.99,777.47,-28.32,-896.00,494.14,-1.31,-1.28,-0.53,-365.98
319,798.04,780.46,763.31,768.04,777.46,-26.86,-905.27,484.86,-1.02,2.28,0.78,-365.92
354,797.94,780.50,763.25,768.01,777.43,-25.88,-896.97,487.30,-1.35,-0.84,-0.76,-366.98
391,797.83,780.50,763.33,768.03,777.42,-26.86,-901.86,489.26,-0.68,-0.21,-2.52,-364.83
427,797.74,780.46,763.33,768.02,777.39,-28.32,-896.97,490.23,-0.79,-1.01,-0.97,-364.21
466,797.73,780.42,763.27,768.02,777.36,-12.70,-893.55,497.56,-0.73,-0.49,-1.61,-365.23
502,797.80,780.50,763.28,768.01,777.40,-36.13,-899.90,474.61,1.58,-0.96,0.19,-365.69
538,797.77,780.44,763.29,768.02,777.38,-21.00,-897.95,493.65,-0.96,2.23,0.76,-365.00
574,797.84,780.46,763.28,767.95,777.38,-24.90,-902.83,487.30,0.92,-0.34,-1.28,-364.59
610,797.97,780.41,763.27,767.92,777.39,-28.81,-898.93,491.70,0.05,-0.88,-0.85,-364.56
648,797.99,780.41,763.28,767.91,777.40,-22.46,-907.23,483.89,1.81,0.44,0.07,-364.10
685,797.97,780.43,763.37,767.95,777.43,-32.23,-904.79,493.16,-2.42,-1.44,-2.08,-362.77
721,797.99,780.40,763.32,767.96,777.42,-28.32,-898.44,489.75,0.32,3.72,-2.36,-363.85
757,798.06,780.34,763.33,767.99,777.43,-26.37,-903.81,491.70,-2.20,-0.55,-0.08,-363.94
794,797.95,780.38,763.34,767.95,777.41,-41.50,-897.46,484.37,-1.35,-0.22,-0.06,-362.85
830,797.99,780.36,763.29,767.94,777.40,-30.76,-901.86,482.42,0.55,-2.64,3.06,-363.88
869,798.08,780.32,763.29,767.95,777.41,-32.23,-895.02,496.09,-0.63,-0.71,2.24,-364.17
905,798.06,780.39,763.31,767.97,777.43,-28.81,-891.60,491.21,-0.37,-2.37,-0.92,-364.41
942,798.03,780.34,763.29,768.00,777.42,-27.83,-906.74,481.45,0.26,1.08,1.08,-364.74
978,797.92,780.36,763.26,768.03,777.39,-29.30,-902.83,483.40,-1.39,-1.69,-1.07,-365.99
1014,798.01,780.40,763.32,767.92,777.41,-36.13,-900.39,482.42,0.92,0.60,-1.50,-363.39
1051,798.03,780.42,763.26,767.88,777.40,-28.32,-903.32,489.75,-0.75,-2.11,-0.34,-364.43
1090,798.16,780.42,763.16,767.97,777.43,-35.64,-901.86,489.26,2.73,-4.15,-2.60,-368.61
1127,798.13,780.45,763.31,767.97,777.47,-23.44,-893.07,478.52,-0.25,2.39,1.60,-364.98
1163,798.07,780.47,763.27,768.01,777.45,-27.83,-900.39,477.54,0.11,-0.09,1.56,-366.64
1199,798.10,780.44,763.29,767.99,777.45,-28.32,-906.74,475.10,0.60,0.47,0.43,-365.91
1235,798.19,780.42,763.26,768.02,777.47,-22.95,-905.76,489.75,0.27,2.82,0.52,-367.01
1272,798.28,780.38,763.31,767.91,777.47,-18.07,-908.69,486.82,-1.11,-0.40,0.69,-364.40
1311,798.31,780.33,763.25,767.89,777.44,-28.32,-898.93,495.12,0.34,2.27,-3.64,-365.06
1347,798.34,780.30,763.15,767.84,777.40,-30.76,-898.44,493.65,0.67,-1.60,0.24,-366.70
1384,798.54,780.30,763.22,767.78,777.46,-35.64,-888.67,481.93,-0.13,-0.01,1.31,-364.81
1420,798.65,780.28,763.25,767.79,777.49,-21.00,-901.86,489.26,0.31,-1.95,-0.82,-364.32
1456,799.00,780.33,763.18,767.90,777.60,-26.37,-901.86,484.37,3.95,-0.80,-2.79,-369.45
1492,799.47,780.10,763.15,767.78,777.63,-24.41,-918.46,479.49,-2.06,1.66,-1.01,-368.07
1532,799.13,779.96,763.18,767.73,777.50,-37.60,-904.30,494.63,-3.15,-0.11,-1.27,-364.44
1568,799.24,779.95,763.15,767.69,777.51,-25.39,-896.97,485.35,-1.48,-0.33,-0.76,-364.94
1604,799.54,779.89,763.22,767.61,777.56,-25.88,-899.41,485.84,-1.35,-0.43,0.94,-362.26
1641,799.82,779.81,763.04,767.51,777.54,-30.76,-890.62,480.47,0.57,3.67,-0.18,-365.72
1677,800.08,779.77,763.07,767.45,777.59,-24.41,-896.00,492.68,0.22,1.61,0.68,-364.78
1713,800.29,779.72,762.96,767.36,777.58,-26.86,-913.57,481.45,0.05,1.04,1.11,-366.66
1752,800.41,779.62,762.98,767.34,777.59,-38.57,-898.44,485.84,-0.53,-0.79,-1.85,-365.18
1789,800.48,779.56,763.05,767.42,777.63,-22.46,-898.93,497.56,2.72,-0.67,0.11,-364.47
1825,800.64,779.54,762.98,767.37,777.63,-40.04,-905.27,487.30,0.34,-0.66,-2.99,-365.84
1861,800.82,779.44,762.94,767.31,777.63,-36.13,-893.55,489.75,1.12,-4.47,1.98,-365.78
1898,801.08,779.35,763.02,767.20,777.67,-12.70,-894.04,495.61,-0.87,0.34,-0.16,-362.41
1934,801.42,779.28,762.91,767.12,777.68,-32.71,-904.79,496.58,-1.39,2.51,-1.43,-364.57
1973,801.70,779.13,762.93,767.10,777.71,-25.88,-906.25,498.05,-0.77,1.18,-0.55,-363.59
2009,801.86,779.09,762.90,767.06,777.73,-34.18,-897.95,498.54,-1.54,-1.26,-1.92,-363.94
2046,802.04,778.93,762.86,766.98,777.70,-15.63,-893.55,488.77,0.58,2.21,-0.13,-363.01
2082,802.39,778.92,762.89,766.91,777.78,-26.37,-906.25,493.65,0.91,0.49,-1.57,-362.35
2119,802.72,778.77,762.75,766.89,777.78,-21.97,-908.69,471.68,-0.75,2.53,-3.02,-365.52
2158,802.88,778.69,762.87,766.75,777.80,-30.27,-912.11,486.82,0.08,2.31,-1.06,-360.33
2194,803.00,778.68,762.85,766.79,777.83,-14.65,-896.97,491.70,-2.18,2.37,-0.34,-361.83
2230,803.06,778.66,762.81,766.75,777.82,-34.67,-904.30,490.72,-0.95,0.32,-0.57,-362.11
2266,803.23,778.58,762.80,766.71,777.83,-13.18,-894.53,521.97,-0.08,-0.24,-3.20,-361.84
2302,803.37,778.52,762.77,766.60,777.81,-35.64,-872.07,511.23,0.63,-0.76,-0.84,-360.86
2338,803.33,778.31,762.73,766.61,777.74,-44.92,-906.74,488.77,-0.42,2.13,0.43,-360.24
2377,803.12,778.26,762.66,766.52,777.64,-36.62,-886.23,483.89,-2.35,-0.53,1.98,-359.41
2413,803.15,778.26,762.73,766.54,777.67,-35.64,-898.93,493.65,0.22,-0.92,1.07,-358.09
2450,803.06,778.22,762.75,766.52,777.64,-33.69,-905.76,484.86,-0.34,-1.18,-0.01,-356.96
2486,802.99,778.14,762.68,766.48,777.57,-15.14,-900.39,488.28,-0.42,-1.70,2.20,-357.13
2522,803.00,778.13,762.80,766.43,777.59,-31.74,-893.07,482.42,0.61,1.53,1.40,-353.16
2559,802.96,778.15,762.67,766.43,777.55,-52.25,-907.23,510.74,-1.50,2.54,-1.39,-356.44
2598,803.07,778.05,762.62,766.43,777.54,-29.79,-904.30,496.09,-1.95,2.53,-0.05,-357.51
2634,803.30,778.12,762.67,766.44,777.63,-17.58,-896.97,485.35,-1.35,-1.34,-1.05,-357.63
2670,803.57,778.03,762.69,766.41,777.68,-31.74,-887.21,493.16,-2.06,2.18,0.15,-356.80
2736,803.85,778.07,762.58,766.29,777.70,-21.97,-889.16,485.84,-4.02,-3.26,-1.91,-359.13
2772,804.03,778.02,762.59,766.29,777.73,-39.55,-926.27,484.86,-1.95,2.46,-1.18,-359.13
2809,804.18,778.07,762.60,766.25,777.78,-18.07,-881.84,484.86,-0.45,0.77,-2.53,-359.09
2847,804.38,777.99,762.64,766.26,777.82,-18.07,-904.79,469.24,-7.18,-2.36,0.18,-358.42
2883,804.42,777.95,762.58,766.34,777.82,-37.60,-904.30,486.82,-0.29,-1.36,1.18,-360.78
2919,804.48,777.96,762.51,766.40,777.83,-36.62,-900.88,486.82,1.92,1.73,-0.82,-363.81
2955,804.69,777.90,762.56,766.33,777.87,-38.09,-904.30,479.49,-0.12,1.98,-1.85,-361.58
2991,804.77,777.97,762.61,766.34,777.92,-27.34,-896.97,492.68,0.95,1.95,0.45,-361.63
3027,804.77,778.01,762.63,766.35,777.94,-28.81,-901.37,499.02,-0.03,-3.08,-0.86,-361.41
3066,804.68,778.08,762.60,766.40,777.94,-38.57,-901.86,497.56,-0.47,2.14,-1.56,-363.03
3102,804.64,778.12,762.70,766.41,777.97,-0.98,-871.09,497.07,0.16,-4.34,-1.85,-361.15
3138,804.68,778.04,762.66,766.47,777.96,-31.25,-882.32,539.55,3.02,-2.19,0.92,-362.24
3174,804.76,778.13,762.63,766.47,778.00,-27.83,-887.70,486.33,-1.11,2.95,-1.98,-364.13
3210,804.72,778.12,762.61,766.50,777.99,-62.99,-1011.23,422.36,-4.52,-1.91,-0.94,-364.73
3246,804.61,778.18,762.67,766.64,778.03,-30.27,-855.96,518.07,0.67,1.18,-2.18,-365.60
3284,804.42,778.20,762.64,766.64,777.98,-51.76,-943.36,431.15,-0.59,1.76,-1.64,-365.73
3320,804.30,778.28,762.62,766.64,777.96,-26.37,-887.70,481.45,3.57,-2.79,-1.72,-366.44
3356,804.28,778.12,762.68,766.61,777.92,-10.25,-921.87,472.17,0.58,-1.46,-2.91,-363.16
3393,804.09,778.22,762.66,766.64,777.90,-35.16,-884.77,490.72,-2.25,-0.12,-1.65,-364.35
3429,803.88,778.36,762.76,766.70,777.92,-18.55,-891.60,494.14,-0.44,-0.05,-2.15,-363.17
3472,803.72,778.26,762.68,766.64,777.83,-51.76,-895.51,487.79,-4.96,1.41,2.64,-362.97
3508,803.82,778.22,762.73,766.69,777.86,-14.65,-893.07,480.96,2.53,0.09,-1.69,-362.32
3544,803.72,778.37,762.68,766.75,777.88,-36.13,-886.23,487.30,-1.61,-0.97,-0.17,-365.50
3580,803.59,778.31,762.70,766.76,777.84,-27.83,-903.32,486.33,0.74,1.20,-0.20,-364.06
3616,803.50,778.31,762.83,766.85,777.87,-35.16,-897.46,497.07,2.34,-2.18,0.73,-361.87
3652,803.48,778.42,762.78,766.83,777.88,-28.81,-916.99,487.30,-1.15,2.93,-0.23,-363.51
3692,803.43,778.36,762.78,766.87,777.86,-25.88,-906.25,497.56,-0.08,-0.63,0.27,-363.62
3728,803.36,778.41,762.84,766.83,777.86,-22.46,-877.93,495.12,0.84,0.14,-2.31,-361.55
3764,803.15,778.39,762.82,766.94,777.82,-10.74,-897.95,511.23,1.74,-0.12,-1.79,-363.08
3800,803.06,778.52,762.72,767.00,777.82,-21.00,-898.93,480.47,-0.02,1.52,-2.28,-367.12
3836,802.88,778.47,762.86,766.96,777.79,-25.39,-888.67,488.28,-0.17,0.56,1.55,-361.76
3871,802.88,778.49,762.86,766.97,777.80,-35.64,-893.07,492.68,-1.60,1.16,-0.79,-362.23
3910,802.76,778.52,762.91,767.05,777.81,-22.46,-894.53,491.21,-2.72,0.43,-0.89,-361.93
3946,802.41,778.55,762.86,767.12,777.73,-15.14,-881.84,487.79,-1.46,-1.66,-0.11,-363.17
3982,802.33,778.56,762.97,767.23,777.77,-29.30,-898.93,482.91,1.44,-1.17,0.69,-362.00
4017,802.18,778.70,762.87,767.28,777.76,-32.71,-889.65,497.07,-1.74,-0.76,-1.03,-365.79
4053,802.03,778.78,762.90,767.35,777.77,-22.95,-899.90,508.30,-1.12,-0.11,-1.43,-366.08
4089,802.27,778.71,762.97,767.47,777.85,-37.60,-875.98,495.61,3.08,-0.74,-1.24,-366.64
4127,802.49,778.75,762.95,767.50,777.92,-90.33,-979.00,492.19,-4.37,-0.98,-1.35,-368.46
4163,802.70,778.74,762.92,767.52,777.97,-33.69,-885.25,500.49,0.22,1.55,-0.13,-370.14
4199,802.89,778.67,762.92,767.56,778.01,-39.06,-907.23,480.47,-2.60,-0.03,-0.46,-370.86
4235,802.83,778.66,762.97,767.62,778.02,-30.27,-899.90,485.35,-0.66,-2.50,-2.46,-370.28
4271,802.42,778.75,762.95,767.84,777.99,-35.64,-891.11,500.98,1.27,0.95,-1.81,-373.33
4308,801.59,778.89,763.17,768.24,777.97,-74.22,-721.19,603.03,3.97,-12.67,0.03,-371.91
4346,800.14,779.33,763.25,768.65,777.84,-76.66,-925.78,574.22,-0.75,2.89,-0.66,-374.48
4382,799.21,779.66,763.40,769.03,777.83,-17.58,-871.09,464.84,-0.96,0.56,0.89,-375.95
4419,798.41,779.92,763.50,769.27,777.77,-20.02,-930.66,609.86,-11.20,-0.34,-1.78,-376.29
4455,797.78,780.03,763.44,769.43,777.67,-66.41,-916.02,486.82,-8.66,2.76,-0.82,-378.84
4491,797.24,780.08,763.52,769.56,777.60,-18.07,-886.23,493.65,-0.43,2.28,1.50,-377.23
4527,797.10,780.20,763.51,769.63,777.61,-25.88,-893.55,479.98,-1.53,1.96,-0.15,-379.01
4565,796.75,780.21,763.52,769.65,777.53,-31.74,-911.13,513.67,-1.66,1.09,1.77,-378.02
4602,796.87,780.18,763.65,769.65,777.59,-39.06,-906.25,494.63,-2.21,0.38,-0.53,-375.00
4638,796.87,780.21,763.58,769.73,777.60,-69.82,-952.64,462.89,4.26,-2.52,-1.00,-378.16
4674,796.57,780.36,763.64,769.71,777.57,-39.55,-887.21,500.00,-0.68,0.62,1.28,-376.52
4710,796.14,780.41,763.57,769.88,777.50,-22.95,-897.46,499.02,0.10,2.30,-1.80,-379.78
