currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
10432,805.71,768.15,791.25,767.99,783.28,130.86,-931.64,412.11,1.31,3.31,-1.08,403.23,2087,0,82,-7.49199,-12.021,-41.8727,4309.55,1.30872,-794.674,-497.957,-102.917,0
10466,804.73,767.83,790.75,767.77,782.77,128.42,-921.87,414.06,1.26,1.32,2.72,400.05,2094,0,82,-6.29865,-7.65819,-56.2025,5334.89,41.1554,-866.144,-497.264,-94.9239,0
10500,804.66,767.51,790.03,767.31,782.38,113.77,-927.25,407.71,-0.93,0.05,0.59,391.67,2101,0,82,8.03835,-9.52262,-94.5002,8502.74,2325.9,3.9072,-473.403,-89.9956,0
10534,804.62,767.31,789.73,766.93,782.15,124.02,-906.25,398.93,-5.82,0.84,1.65,391.54,2108,0,82,3.71854,12.8874,-158.344,8314.96,4934.89,690.087,-466.879,-52.6464,0
10570,806.03,767.29,789.62,766.75,782.42,123.05,-921.39,413.57,-3.54,-3.79,2.18,386.81,2115,0,82,7.06697,18.5152,-233.574,7934.38,8798.05,389.561,-460.337,-33.9928,0
10604,807.83,767.36,789.47,766.44,782.77,135.25,-914.55,414.06,-6.93,-3.11,0.27,380.81,2122,0,82,3.74233,35.5558,-286.248,4755.85,11627.9,316.569,-457.38,-16.6215,0
10638,809.69,767.3,789.36,766.09,783.11,122.56,-915.53,390.62,-5.46,-5.77,1.92,377.36,2129,0,82,3.16917,48.0796,-343.043,2101.74,14608.2,324.371,-455.416,-6.13107,0
10673,811.32,767.39,789.35,765.84,783.48,124.51,-930.18,391.6,-7.06,-4.71,1.92,374.45,2136,0,82,-0.202934,58.7595,-422.648,1369.2,18270.6,128.355,-454.772,-3.23859,0
10707,812.07,767.48,789.29,765.55,783.6,118.16,-926.27,385.25,-4.43,-1.6,5.09,373.98,2142,0,82,-2.78111,64.425,-495.591,2240.1,21531.6,-42.843,-454.554,-4.5188,0
10741,811.68,767.35,788.99,765.24,783.32,108.89,-927.25,373.54,-8.52,-4.47,5.27,373.35,2149,0,82,-6.35571,70.4374,-595.228,5844.42,25762.1,-519.968,-454.72,-9.81527,0
10775,810.91,767.26,788.57,764.82,782.89,125,-940.43,369.14,-7.06,-0.31,2.04,372.42,2156,0,82,-9.26177,78.5949,-715.21,9668.2,30666.6,-783.121,-455.122,-13.5168,0
10809,809.1,767.02,787.99,764.47,782.15,111.82,-948.73,375.98,-5.22,2.95,0.02,371.31,2163,0,82,-16.3476,87.1697,-806.915,12482.2,34259.4,-607.214,-455.543,-15.4683,0
10843,804.47,766.5,787.31,764.03,780.58,131.84,-938.96,349.12,-1.1,2.35,2.89,380.91,2170,0,82,-21.201,87.3403,-858.103,14552.6,36368.2,-698.087,-455.618,-16.959,0
10878,793.98,765.67,786.06,763.44,777.28,144.04,-966.31,346.19,-2.74,5.79,2.77,401.12,2177,0,82,-20.8023,86.6485,-847.782,12532.1,36573.8,-746.301,-454.859,-14.7821,0
10912,782.7,764.94,784.4,762.85,773.72,139.16,-955.57,384.77,5.05,9.69,3.26,413,2183,0,82,-20.8251,78.6798,-818.811,11844.8,35801.2,-794.078,-454.277,-14.4659,0
10946,773.17,764.33,782.14,762.3,770.48,121.09,-941.41,387.7,0.95,6.79,-0.97,402.48,2190,0,82,-21.6362,68.5601,-778.158,11655.7,34173.3,-750.457,-454.084,-14.9787,0
10982,765.33,763.99,780.11,761.99,767.85,169.43,-1045.9,373.54,-0.52,12.04,2.18,385.85,2197,0,82,-22.4582,56.3486,-757.918,13235.2,33351.5,-399.292,-453.996,-17.4627,0
11016,759.83,763.72,779.46,762.13,766.28,132.81,-1093.75,278.81,53.55,14.47,31.78,388.7,2204,0,82,-25.3946,50.2501,-746.49,13595.9,32892.7,254.37,-453.937,-18.2131,0
11050,755.56,763.44,778.69,762.32,765,-274.41,-684.57,163.09,80.56,23.92,34.11,383.67,2211,0,82,-27.6263,46.5908,-757.886,15291.1,33292.6,1083.96,-454.072,-20.1758,0
11084,753.58,763.14,777.05,762.06,763.96,106.45,-1347.17,317.38,-50.32,-160.24,31.56,355.87,2218,0,82,-34.5126,42.0807,-779.45,17626.8,33925.2,1832.6,-454.475,-22.6143,0
11119,752.81,762.67,774.44,761.77,762.92,93.26,-1266.6,301.76,-12.28,-120.12,46.46,301.4,2225,0,82,-41.7971,39.1319,-797.061,19550.2,34332.2,2471.02,-454.926,-24.5277,0
11153,752.55,762.3,771.68,761.35,761.97,78.12,-1081.54,310.06,-11.28,-137.72,46.56,242.78,2232,0,82,-49.5758,36.5354,-813.223,21167.5,34697.6,3112.47,-455.333,-26.0291,0
11186,752.64,762.04,769.36,761.05,761.27,137.7,-923.83,334.47,2.2,-141.97,44.52,191.32,2238,0,82,-54.3254,34.3908,-812.195,21911.4,34614.7,3548.14,-455.381,-26.978,0
11220,752.97,762.09,768.17,761.06,761.07,297.36,-733.4,518.55,50.15,-84.17,47.24,159.74,2245,0,82,-60.0868,28.1306,-792.439,22160.2,33865.7,3778.84,-455.264,-27.9646,0
11254,753.38,762.19,767.68,761.09,761.08,423.34,-695.8,734.37,29.12,-47.72,28.96,145.03,2252,0,82,-64.2567,22.3083,-764.879,22073.8,32888.2,4006.88,-455.002,-28.8592,0
11288,753.39,762.28,767.95,761.22,761.21,36.62,-538.57,498.54,12.37,14.91,-6.79,148.97,2259,0,82,-68.5228,15.9477,-723.022,21083.1,31159.5,3858.2,-454.904,-29.1596,0
11322,753.63,762.79,768.4,761.31,761.53,142.58,-897.46,463.87,-61.64,-21.4,-21.35,154.15,2265,0,82,-66.5425,11.1974,-660.119,19159.3,29260.8,3801.31,-453.671,-29.0236,0
11357,754.91,763.7,769.55,761.62,762.44,254.88,-1416.02,528.81,-58.08,-15.83,1.92,166.37,2272,0,82,-52.199,2.21318,-513.946,13136.6,23693.5,3740.27,-451.897,-25.5537,0
11391,756.35,764.15,771.05,762.04,763.4,111.33,-975.59,350.1,31.98,4.35,1.76,189.12,2279,0,82,-30.9816,-4.21185,-364.83,6856.9,17755.8,4106.22,-449.33,-18.7853,0
11425,757.35,764.74,772.4,762.88,764.34,134.77,-910.16,398.44,4.59,-2.01,1.04,202.14,2286,0,82,-17.7587,-8.29475,-246.764,2386.67,12537.9,3877.75,-447.189,-9.65588,0
11459,757.01,765.18,773.07,763.48,764.69,125,-958.5,359.86,-11.48,-3.27,0.26,207.76,2293,0,82,-11.2203,-5.54917,-168.657,-1106.13,8695.4,3562.09,-446.443,6.57905,0
