currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
27,773.80,781.51,763.77,771.17,772.56,-62.99,-886.72,521.48,2.14,1.18,0.82,-325.65
63,774.36,781.29,763.70,770.88,772.56,-17.09,-890.14,524.41,-0.87,1.32,0.71,-323.46
99,774.87,781.22,763.66,770.73,772.62,-29.79,-872.07,521.97,2.11,0.35,-0.50,-323.35
135,775.59,781.11,763.60,770.66,772.74,-31.74,-882.81,497.56,-1.24,1.25,0.67,-325.34
170,776.23,781.04,763.53,770.48,772.82,-30.76,-873.54,507.81,1.27,2.68,1.13,-326.28
206,776.61,780.90,763.43,770.36,772.83,-33.69,-903.32,516.60,-1.87,0.58,-1.22,-327.00
247,776.88,780.80,763.42,770.33,772.86,-27.34,-888.67,514.65,-0.92,2.12,-2.46,-327.05
283,776.99,780.85,763.52,770.21,772.89,-19.53,-881.35,520.02,0.66,-0.86,-0.21,-323.59
319,777.14,780.63,763.46,770.21,772.86,-27.83,-885.74,515.62,1.79,1.38,-1.74,-323.79
356,777.35,780.61,763.45,770.21,772.91,-22.46,-887.70,521.97,0.37,2.27,0.38,-324.59
392,777.37,780.68,763.40,770.14,772.90,-24.41,-882.81,494.63,-0.92,-1.60,-0.08,-325.36
428,777.46,780.55,763.41,770.05,772.87,-32.71,-872.56,513.67,-0.75,-2.31,1.25,-322.98
467,777.93,780.46,763.24,769.95,772.90,-28.32,-881.35,525.39,-0.41,-0.70,-1.35,-326.71
503,778.27,780.27,763.28,769.88,772.93,-32.23,-877.93,522.46,-0.25,-2.42,-0.15,-324.35
540,778.69,780.25,763.31,769.72,772.99,-42.48,-879.88,529.30,0.01,0.66,0.35,-322.73
577,779.02,780.17,763.22,769.67,773.02,-25.88,-876.95,525.39,-0.38,-0.53,-2.40,-324.72
613,779.31,780.06,763.14,769.54,773.02,-23.44,-871.09,525.39,-0.50,1.55,1.56,-324.75
649,779.62,779.97,763.14,769.39,773.03,-27.34,-885.74,522.46,0.49,0.49,0.10,-323.12
688,780.01,779.88,763.08,769.26,773.06,-29.79,-881.35,521.97,0.12,0.92,1.42,-323.06
724,780.29,779.89,763.09,769.37,773.16,-41.02,-885.25,514.16,-0.56,0.37,2.51,-325.56
760,780.65,779.81,763.08,769.17,773.18,-34.67,-880.86,522.95,-1.97,0.92,-0.45,-323.41
797,781.06,779.64,763.11,769.17,773.24,-20.02,-884.77,521.00,0.68,1.50,-1.61,-322.72
833,781.27,779.51,763.01,768.99,773.20,-35.16,-872.07,515.62,-3.32,2.69,0.76,-322.35
869,781.45,779.47,762.92,768.86,773.18,-32.23,-872.56,524.41,0.26,0.64,-1.80,-322.97
908,781.71,779.52,762.90,768.96,773.27,-29.79,-876.46,512.70,1.21,0.66,-0.13,-326.19
944,781.76,779.48,762.94,768.90,773.27,-25.39,-885.74,512.21,-3.21,1.37,0.11,-324.08
980,781.81,779.21,762.93,768.85,773.20,-20.51,-883.79,519.04,-0.31,-1.46,-0.61,-321.46
1016,781.83,779.28,762.88,768.87,773.22,-31.74,-888.67,514.16,-0.20,-1.42,-2.57,-323.94
1052,781.95,779.09,762.88,768.85,773.19,-31.25,-882.32,518.07,1.20,1.05,-0.34,-322.38
1091,781.99,779.01,762.84,768.71,773.14,-23.44,-882.32,516.11,0.78,-1.05,-0.30,-320.78
1127,782.07,779.04,762.86,768.68,773.16,-31.25,-890.14,527.83,-0.38,-1.59,-2.07,-320.57
1163,782.28,778.97,762.85,768.70,773.20,-29.79,-872.07,521.48,-1.76,1.18,-1.64,-321.06
1199,782.35,778.95,762.86,768.63,773.20,-16.11,-866.21,507.32,0.37,1.06,-0.66,-319.85
1236,782.40,778.69,762.75,768.56,773.10,-14.16,-891.11,528.81,2.37,0.98,0.17,-319.87
1272,782.50,778.69,762.83,768.58,773.15,-33.20,-882.81,507.81,0.28,-0.84,1.24,-318.41
1311,782.69,778.64,762.74,768.58,773.16,-13.67,-875.00,521.48,-0.15,-2.34,-1.11,-320.97
1347,782.91,778.54,762.75,768.73,773.23,-30.76,-887.21,515.62,-1.22,3.24,1.26,-322.65
1384,782.94,778.39,762.77,768.62,773.18,-16.60,-893.55,511.23,0.14,1.82,-1.39,-319.45
1420,782.73,778.32,762.72,768.57,773.08,-21.00,-874.02,520.51,-0.27,2.69,0.01,-318.71
1456,782.54,778.23,762.79,768.69,773.06,-43.95,-884.77,508.30,-1.51,-1.32,2.61,-317.38
1493,782.39,778.27,762.87,768.77,773.08,-24.90,-891.60,518.07,0.96,0.95,-0.73,-316.33
1532,781.97,778.27,762.87,768.97,773.02,-30.27,-875.00,528.32,-1.22,-0.15,-3.08,-317.88
1568,781.74,778.48,762.90,769.17,773.07,-24.41,-887.21,522.46,0.61,-0.15,-1.28,-321.04
1605,781.57,778.62,762.91,769.30,773.10,-23.93,-887.70,514.16,-0.76,0.98,0.31,-323.19
1641,781.03,778.78,763.04,769.44,773.07,-30.27,-878.42,520.02,0.01,1.30,2.42,-321.42
1677,780.66,778.98,763.10,769.62,773.09,-48.34,-884.77,519.04,-1.85,0.15,-1.32,-322.99
1714,780.28,779.08,763.12,769.77,773.06,-30.27,-849.61,572.27,0.18,-2.29,0.15,-324.09
2008,780.68,779.95,763.56,771.42,773.90,-35.16,-881.84,525.88,2.09,-1.05,0.43,-345.76
2267,778.37,782.11,764.43,773.97,774.72,-19.53,-866.70,520.02,-1.44,-0.39,0.94,-371.15
2539,776.26,782.89,765.04,775.75,774.98,104.00,-866.21,503.91,1.21,-2.21,1.81,-381.04
2811,775.80,782.86,765.10,775.82,774.90,-21.00,-881.84,529.30,-1.53,1.72,-3.31,-378.93
3073,775.34,782.31,765.04,775.41,774.52,-21.00,-879.39,517.58,1.04,1.82,-0.35,-368.19
3342,776.06,781.29,764.51,774.08,773.99,-32.71,-885.25,531.25,1.59,-1.82,-0.45,-356.07
3597,776.23,781.36,764.62,774.07,774.07,-16.11,-869.63,524.41,-1.02,0.75,0.16,-354.46
3633,776.29,781.37,764.60,774.22,774.12,-29.30,-874.02,531.74,-1.36,2.89,-0.34,-357.44
3670,776.21,781.46,764.63,774.35,774.16,-21.48,-879.88,534.18,-0.43,-0.29,-0.25,-359.09
3706,776.32,781.50,764.68,774.49,774.25,-27.34,-875.49,519.53,-1.89,1.98,-2.24,-360.71
3742,776.40,781.47,764.67,774.46,774.25,-18.55,-873.54,513.67,-1.66,-0.53,-0.79,-360.36
