currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Weight,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
13002,749.64,795.2,782.28,773.25,775.09,51.27,-876.95,496.58,-8.08,6.08,11.58,77.86,2601,0,70,-1.19402,6.00457,-27.1555,-1317.49,1010.67,545.669,-469.762,48.5124,0
13036,747.26,797.66,785.42,774.55,776.22,72.27,-911.13,509.28,6.03,10.31,16.78,125.32,2608,0,70,-7.4178,1.35116,-90.6539,-263.668,3210.85,1647.4,-471.572,2.88783,0
13069,746.89,795.88,788.2,774.56,776.38,187.01,-975.1,673.83,-33.35,-4.78,27.54,209.88,2615,0,70,-43.1554,14.9723,-254.342,4972.47,8486.75,757.813,-473.716,-19.3677,0
13103,746.61,785.7,789.26,772.63,773.55,193.36,-1365.23,799.32,-97.28,80.4,93.69,347.46,2622,0,70,-58.2242,9.9061,-388.276,14063,14543.2,-1250.6,-469.543,-36.2166,0
13137,746.44,772.86,788.94,769.32,769.39,20.02,-944.82,553.22,-109.09,49.47,119.34,491.86,2628,0,70,-71.7562,6.27332,-438.604,18297.2,16062.4,-2199.28,-470.377,-41.715,0
13171,746.3,764.22,787.31,764.97,765.7,-60.06,-1408.2,431.15,-89.45,46.26,170.79,584.91,2635,0,70,-87.1917,4.49394,-505.662,22814.4,18140.5,-3359,-471.125,-45.1174,0
13205,746.14,760.06,783.1,761.99,762.82,-150.88,-1423.34,364.75,-28.7,46.36,188.07,557.71,2642,0,70,-93.5284,3.94889,-568.295,26160.8,20564.7,-4060.58,-470.814,-46.0333,0
13239,746.06,758.15,774.47,759.39,759.52,-34.67,-1893.07,391.6,-1.18,16.95,186.53,396.71,2649,0,70,-98.8663,1.20882,-629.397,29532.2,23092.4,-4822.51,-470.311,-46.9214,0
13274,745.9,757.29,762.8,757.34,755.83,-194.34,-1262.7,164.06,73.09,28.76,163.79,143.57,2656,0,70,-98.4167,-0.39061,-656.394,30733,24175.6,-5051.18,-470.169,-46.8211,0
13309,746.03,756.65,757.5,756.43,754.15,646.48,-467.77,-232.42,103.29,23.4,122.77,29.61,2663,0,70,-97.9277,-1.27791,-663.614,30386.9,24295.3,-4961.29,-470.39,-45.7899,0
13343,745.92,756.43,757.24,756.3,753.97,747.07,-543.95,52.25,55.07,-86.42,-65.74,27.15,2670,0,70,-95.2833,-1.10439,-664.919,29313.2,24264.4,-4537.24,-470.508,-44.0854,0
