currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,750.24,756.14,755.20,755.80,754.35,102.54,-932.13,429.69,-1.44,2.76,-0.26,-28.84
60,750.27,756.05,755.27,755.87,754.37,114.26,-907.71,421.39,-0.38,1.63,-0.23,-27.39
93,750.22,756.00,755.25,755.83,754.32,101.56,-924.32,420.41,1.09,-1.73,2.68,-26.73
127,750.17,756.08,755.32,755.82,754.35,117.68,-916.02,418.95,1.50,0.22,2.07,-25.37
161,750.28,756.06,755.28,755.82,754.36,116.21,-920.41,419.43,-0.73,2.38,0.54,-26.51
195,750.28,756.11,755.23,755.83,754.36,103.52,-924.80,421.87,1.60,3.29,0.76,-28.24
228,750.32,756.08,755.25,755.84,754.37,109.37,-901.37,409.67,1.26,0.34,-0.53,-27.89
263,750.20,756.13,755.25,755.85,754.36,109.37,-927.73,419.43,-1.34,2.40,-0.54,-27.98
297,750.27,756.05,755.26,755.85,754.36,101.07,-915.53,413.09,0.21,3.61,0.83,-27.31
331,750.27,756.09,755.26,755.88,754.38,106.45,-913.09,412.60,0.98,0.63,-0.57,-28.16
365,750.24,756.04,755.30,755.89,754.37,104.49,-913.57,429.69,0.21,-0.74,2.18,-26.77
399,750.22,756.12,755.31,755.90,754.39,94.73,-916.02,422.36,0.23,2.26,0.95,-27.12
433,750.25,756.09,755.29,755.87,754.37,110.84,-914.06,429.20,0.51,0.39,0.42,-27.25
467,750.25,755.99,755.24,755.92,754.35,108.89,-918.46,411.62,-0.51,0.95,-1.65,-28.20
501,750.36,756.11,755.27,755.90,754.41,113.77,-934.08,418.46,2.21,1.58,0.80,-28.52
535,750.29,756.04,755.26,755.91,754.37,105.96,-927.73,418.46,0.18,1.49,1.31,-28.18
570,750.27,756.11,755.21,755.92,754.38,107.42,-923.83,409.67,1.93,0.93,4.26,-30.18
604,750.28,756.10,755.25,755.89,754.38,111.33,-920.41,415.04,-1.01,1.21,-1.16,-28.58
638,750.25,756.11,755.22,755.81,754.35,112.79,-910.64,408.69,0.77,3.02,-1.04,-28.23
672,750.31,756.06,755.30,755.83,754.37,103.52,-912.60,425.29,2.28,-1.35,0.15,-26.30
706,750.31,756.06,755.26,755.80,754.36,102.05,-921.39,409.18,0.60,0.59,1.60,-26.98
740,750.25,756.05,755.28,755.86,754.36,104.00,-914.55,427.73,0.60,2.19,-0.21,-26.82
774,750.31,756.07,755.28,755.86,754.38,113.77,-922.85,408.69,-1.25,1.73,1.22,-27.36
808,750.31,756.06,755.26,755.91,754.38,113.77,-930.66,412.11,-1.89,0.22,0.75,-28.59
843,750.27,756.07,755.26,755.87,754.37,105.47,-913.57,416.50,0.11,1.53,0.57,-27.92
877,750.32,756.10,755.27,755.85,754.39,111.33,-916.02,434.08,2.47,-0.35,0.18,-27.67
912,750.32,756.09,755.24,755.81,754.37,106.93,-920.90,418.95,-0.48,-0.63,-1.24,-27.88
947,750.34,756.15,755.24,755.85,754.40,100.59,-915.53,407.71,-1.95,-0.34,0.32,-28.74
