currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
28,769.05,766.39,759.17,758.75,763.34,70.80,-852.54,569.34,1.65,3.50,2.37,-120.07
64,769.00,766.38,759.10,758.76,763.31,77.64,-837.89,563.48,1.31,2.29,0.44,-121.59
100,769.00,766.39,759.10,758.74,763.31,72.27,-844.73,552.73,0.41,-1.85,1.34,-121.51
136,769.01,766.32,759.11,758.78,763.31,83.50,-840.82,555.18,-2.08,1.98,0.05,-121.27
173,769.01,766.30,759.09,758.74,763.29,71.78,-841.31,561.52,2.09,0.59,-0.85,-120.98
209,768.92,766.16,759.17,758.80,763.27,83.01,-843.75,572.75,-0.69,4.10,0.62,-118.62
250,768.92,766.23,759.09,758.73,763.24,76.66,-840.82,562.50,0.48,2.58,3.26,-119.95
287,768.79,766.22,759.13,758.73,763.22,79.10,-844.73,550.78,1.30,1.08,-1.14,-118.58
324,768.77,766.27,759.16,758.75,763.24,90.82,-855.96,545.90,1.53,1.24,-0.13,-118.26
361,768.58,766.32,759.15,758.71,763.19,59.08,-843.26,551.76,2.10,2.24,-0.18,-117.72
398,768.49,766.40,759.11,758.86,763.21,72.27,-826.17,562.01,1.49,0.41,0.55,-121.33
435,768.43,766.45,759.14,758.84,763.21,82.03,-854.49,559.08,0.41,4.35,0.34,-120.43
475,768.41,766.37,759.17,758.88,763.21,75.68,-839.84,561.52,-0.57,2.04,-0.54,-119.63
512,768.27,766.50,759.11,758.91,763.20,84.96,-842.77,564.45,1.98,2.27,3.22,-122.25
549,768.28,766.45,759.21,758.93,763.22,90.82,-838.38,562.01,-1.47,2.76,-0.49,-119.59
587,768.35,766.51,759.18,759.02,763.27,82.03,-843.75,568.36,-1.94,3.15,1.46,-122.38
624,768.34,766.51,759.21,758.87,763.23,78.61,-842.77,564.94,0.12,1.45,-0.35,-119.39
661,768.44,766.46,759.12,758.94,763.24,81.05,-843.26,553.71,1.75,2.01,1.35,-122.50
701,768.28,766.41,759.17,758.89,763.19,80.57,-836.43,563.96,0.30,-0.62,-0.71,-119.61
739,768.40,766.43,759.19,758.93,763.24,78.61,-853.03,561.04,-0.86,1.10,1.75,-120.28
776,768.49,766.44,759.17,758.88,763.24,77.64,-847.17,562.01,1.01,-0.08,-0.93,-120.22
813,768.62,766.36,759.23,758.89,763.28,76.66,-848.63,553.71,-0.15,2.87,-1.26,-118.98
850,768.63,766.40,759.16,758.84,763.26,76.17,-837.89,557.13,0.90,0.11,-0.69,-120.24
888,768.75,766.39,759.09,758.81,763.26,84.47,-844.73,562.99,0.98,1.37,-1.61,-121.86
927,768.73,766.35,759.14,758.81,763.25,85.45,-840.33,560.06,0.21,1.24,3.70,-120.29
965,768.68,766.40,759.14,758.81,763.26,66.41,-854.98,554.69,-0.01,2.89,1.93,-120.57
1002,768.75,766.34,759.12,758.87,763.27,71.78,-840.33,553.71,0.64,0.28,3.16,-121.57
1039,768.71,766.34,759.17,758.91,763.28,76.66,-846.19,562.01,1.53,0.47,0.00,-120.75
1077,768.66,766.40,759.15,758.89,763.27,84.47,-862.30,560.06,-0.41,1.07,1.50,-121.43
1114,768.63,766.46,759.22,758.90,763.30,77.64,-841.80,562.99,0.76,0.47,-0.25,-120.17
1154,768.64,766.44,759.16,758.92,763.29,72.75,-851.56,552.73,0.27,-0.76,-1.18,-121.68
1192,768.60,766.54,759.18,758.92,763.31,72.75,-843.26,572.27,0.83,0.82,2.18,-121.86
1229,768.60,766.45,759.13,758.91,763.27,73.24,-824.22,569.82,1.72,1.66,0.75,-122.45
1266,768.54,766.52,759.21,758.98,763.31,64.94,-840.82,566.41,-0.03,0.01,2.58,-121.72
1304,768.59,766.48,759.17,758.98,763.30,77.64,-857.91,564.94,-0.59,3.52,-1.18,-122.39
1341,768.54,766.54,759.12,759.03,763.31,68.85,-843.26,558.59,3.17,2.43,0.51,-124.72
1381,768.61,766.49,759.14,758.97,763.30,72.75,-845.70,570.80,0.67,1.46,0.88,-123.35
1418,768.62,766.55,759.15,758.89,763.30,56.15,-849.12,556.64,0.06,2.50,-0.34,-122.40
1456,768.64,766.55,759.18,758.93,763.33,77.15,-847.66,571.29,0.99,-0.60,1.75,-122.16
1493,768.62,766.53,759.10,758.91,763.29,68.36,-854.00,557.13,-0.40,0.34,1.82,-123.78
1530,768.62,766.47,759.18,758.92,763.30,56.64,-844.73,529.30,1.64,1.63,-3.31,-121.52
1567,768.63,766.49,759.16,758.90,763.29,72.75,-829.59,563.96,0.76,2.16,-1.92,-121.95
1607,768.66,766.51,759.15,758.89,763.30,83.50,-865.23,562.50,-1.08,3.64,0.41,-122.16
1645,768.69,766.47,759.13,758.95,763.31,73.24,-852.05,556.15,3.24,2.77,2.13,-123.31
1682,768.69,766.49,759.19,758.87,763.31,65.43,-839.84,556.64,-2.31,0.14,1.89,-120.87
1719,768.77,766.42,759.16,758.82,763.29,77.15,-855.96,552.73,-1.68,0.05,0.85,-120.53
1757,768.80,766.44,759.16,758.83,763.31,80.08,-850.10,560.55,1.11,1.68,0.40,-121.07
1794,768.80,766.49,759.13,758.86,763.32,80.08,-841.31,558.11,0.56,1.98,-0.56,-122.61
1834,768.76,766.47,759.20,758.88,763.33,77.64,-851.07,554.20,-0.11,0.40,0.20,-120.93
1872,768.77,766.44,759.18,758.97,763.34,80.08,-847.17,556.15,0.17,3.30,-1.50,-122.55
1909,768.82,766.44,759.16,758.98,763.35,78.61,-843.26,566.89,-0.21,1.44,0.40,-123.33
1946,768.71,766.47,759.20,758.95,763.33,70.80,-847.66,558.59,-0.22,2.40,1.43,-121.85
1983,768.71,766.50,759.19,758.95,763.34,73.73,-844.73,562.50,-0.33,1.47,0.74,-122.24
2020,768.74,766.41,759.20,759.00,763.34,62.50,-839.84,561.04,1.41,2.88,1.20,-122.14
2060,768.65,766.50,759.21,758.97,763.33,86.43,-856.45,553.71,1.84,0.93,0.63,-121.79
2098,768.62,766.48,759.22,758.98,763.32,71.78,-840.82,562.99,0.74,3.18,0.66,-121.40
2135,768.59,766.50,759.16,759.01,763.31,77.64,-847.66,551.76,-2.37,1.60,-1.42,-123.28
2172,768.54,766.60,759.18,758.96,763.32,71.29,-844.24,562.01,-0.79,2.24,1.67,-122.79
2209,768.59,766.55,759.14,758.96,763.31,77.64,-846.19,557.62,0.89,2.06,-0.18,-123.77
2247,768.49,766.54,759.20,758.98,763.30,65.92,-855.47,562.99,-0.20,2.98,0.05,-121.94
2287,768.42,766.57,759.28,758.97,763.31,90.82,-851.56,565.92,0.27,2.33,2.76,-119.81
2324,768.41,766.51,759.17,758.93,763.26,72.27,-834.47,546.87,1.36,0.92,1.24,-121.51
2361,768.42,766.52,759.24,759.01,763.30,74.22,-844.24,562.50,-0.11,0.55,-0.88,-121.02
2399,768.43,766.47,759.27,758.96,763.28,81.54,-847.66,561.04,0.01,2.04,2.16,-119.04
