currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF
26,749.72,756.12,755.31,756.44,754.40,107.91,-938.96,380.86,2.33,2.64,-0.60,-33.44
59,749.74,756.21,755.41,756.45,754.45,105.47,-931.64,372.56,-1.27,1.93,3.65,-31.86
93,749.72,756.07,755.38,756.46,754.41,112.30,-930.18,382.81,-0.29,1.85,-0.42,-31.66
127,749.70,756.08,755.38,756.51,754.42,109.37,-932.62,388.67,-0.33,0.40,-0.63,-32.52
161,749.66,756.16,755.47,756.50,754.45,101.56,-938.48,380.86,-2.30,3.69,0.57,-30.44
195,749.79,756.11,755.30,756.49,754.42,113.28,-942.87,380.86,-0.60,1.53,0.79,-34.52
228,749.69,756.17,755.38,756.46,754.42,108.89,-921.39,380.37,0.45,1.60,-0.09,-32.14
262,749.72,756.09,755.46,756.44,754.43,111.33,-942.38,381.35,0.29,1.03,0.00,-29.30
297,749.65,756.12,755.39,756.51,754.42,116.21,-937.99,380.37,2.01,-0.89,-0.01,-32.20
331,749.69,756.10,755.37,756.51,754.42,121.09,-926.76,371.09,-0.03,0.28,-0.24,-32.86
365,749.67,756.05,755.36,756.46,754.39,109.37,-936.52,388.67,-0.50,1.60,0.66,-31.79
399,749.70,756.06,755.36,756.44,754.39,115.72,-919.43,388.67,1.10,0.05,-2.17,-31.69
433,749.67,756.09,755.34,756.46,754.39,105.47,-928.22,372.56,1.22,2.16,1.19,-32.47
467,749.70,756.18,755.25,756.51,754.41,121.09,-943.85,379.88,-1.44,1.74,0.10,-36.54
501,749.70,756.14,755.32,756.48,754.41,124.51,-945.31,385.74,-0.08,1.24,0.15,-33.88
535,749.63,756.14,755.36,756.46,754.40,114.26,-936.04,382.81,0.53,1.60,1.20,-32.43
570,749.64,756.16,755.34,756.46,754.40,97.66,-944.82,378.42,-0.63,1.21,0.99,-33.19
604,749.69,756.17,755.36,756.45,754.42,132.81,-934.57,379.88,-0.45,2.42,2.23,-32.87
638,749.59,756.12,755.31,756.43,754.36,109.37,-934.57,376.46,-1.80,0.90,0.50,-32.95
672,749.70,756.21,755.32,756.44,754.42,117.68,-939.45,375.98,-1.05,2.75,2.63,-33.88
706,749.66,756.25,755.41,756.48,754.45,136.23,-932.13,385.25,-0.01,3.76,1.94,-32.27
740,749.65,756.19,755.37,756.50,754.43,117.19,-920.90,383.79,0.85,0.18,2.14,-33.01
774,749.59,756.21,755.39,756.53,754.43,116.21,-948.73,383.79,1.18,2.62,-2.21,-33.06
808,749.67,756.23,755.31,756.50,754.43,130.86,-936.04,384.28,-0.54,0.47,2.83,-34.99
842,749.66,756.25,755.39,756.43,754.43,117.68,-949.71,375.49,-0.50,1.34,-0.29,-32.17
877,749.67,756.21,755.35,756.41,754.41,114.26,-929.20,378.42,-0.17,1.93,0.09,-32.60
912,749.67,756.21,755.29,756.46,754.40,105.47,-932.13,374.51,1.37,0.97,0.27,-34.82
946,749.69,756.25,755.40,756.48,754.46,122.07,-934.08,371.09,-0.71,1.56,0.75,-32.71
981,749.69,756.26,755.29,756.54,754.45,110.84,-928.71,380.37,-0.11,2.27,-0.37,-36.64
1015,749.67,756.24,755.35,756.45,754.43,117.19,-940.43,382.32,0.10,1.76,0.99,-33.51
1049,749.68,756.23,755.31,756.46,754.42,109.37,-945.80,371.58,-0.79,0.36,0.71,-34.54
1083,749.67,756.24,755.37,756.48,754.44,110.84,-948.24,369.63,-1.45,2.77,0.66,-33.28
1117,749.63,756.21,755.35,756.47,754.42,121.09,-936.04,385.74,0.15,-1.46,1.69,-33.28
1151,749.66,756.26,755.31,756.52,754.44,115.23,-931.15,382.32,1.37,1.44,-0.43,-35.57
1185,749.68,756.21,755.36,756.53,754.45,114.26,-939.94,375.98,-0.75,0.68,-0.37,-34.13
1219,749.56,756.18,755.37,756.51,754.40,111.33,-938.96,386.23,2.31,1.37,2.05,-33.06
1253,749.63,756.22,755.37,756.46,754.42,103.52,-936.52,385.74,-0.18,1.24,-0.92,-32.85
1288,749.57,756.22,755.34,756.46,754.40,123.54,-932.62,381.84,0.20,0.37,0.14,-33.30
1322,749.60,756.28,755.44,756.50,754.46,116.70,-936.04,388.67,1.92,1.45,1.32,-31.95
1356,749.61,756.23,755.37,756.44,754.41,107.91,-954.10,396.48,-0.02,1.95,0.21,-32.43
1390,749.56,756.19,755.39,756.48,754.40,102.54,-937.50,392.09,-0.31,2.48,1.78,-32.09
1424,749.57,756.18,755.32,756.50,754.39,108.40,-930.18,381.35,-1.24,0.92,-0.47,-34.23
1458,749.56,756.20,755.33,756.55,754.41,105.96,-936.52,375.98,0.23,2.01,-0.53,-34.76
1491,749.60,756.17,755.33,756.53,754.41,122.07,-938.48,391.11,0.42,0.86,0.84,-34.11
1525,749.58,756.16,755.37,756.41,754.38,110.84,-937.01,377.44,-1.40,0.07,0.09,-31.22
1558,749.59,756.14,755.33,756.49,754.39,105.96,-937.99,381.35,1.70,0.92,0.32,-33.40
1592,749.68,756.24,755.33,756.44,754.42,110.35,-940.43,382.32,0.35,4.98,-1.23,-33.81
1625,749.67,756.12,755.39,756.49,754.42,122.07,-941.89,386.72,1.73,3.81,-1.05,-32.05
1660,749.69,756.18,755.32,756.46,754.41,125.49,-938.48,389.16,-0.88,0.22,0.01,-33.78
1694,749.70,756.17,755.34,756.51,754.43,109.37,-943.85,374.02,-1.78,2.37,-1.58,-34.03
1728,749.67,756.24,755.42,756.52,754.46,110.84,-944.82,376.46,-1.22,0.60,1.81,-32.63
1761,749.65,756.21,755.35,756.43,754.41,115.72,-947.27,377.93,0.15,1.24,0.99,-32.71
1795,749.68,756.17,755.32,756.47,754.41,116.21,-944.34,377.44,0.35,0.89,1.25,-33.83
1829,749.64,756.22,755.35,756.44,754.41,113.77,-934.57,387.21,-1.36,1.90,-0.90,-33.05
1864,749.70,756.22,755.30,756.52,754.43,121.09,-925.78,377.93,0.84,-0.31,-1.15,-35.54
1898,749.62,756.25,755.37,756.47,754.43,112.30,-927.73,375.98,-0.08,2.40,-0.28,-33.24
1932,749.59,756.13,755.32,756.40,754.36,118.16,-933.59,384.77,-1.43,-0.55,-1.50,-32.25
1967,749.63,756.12,755.36,756.40,754.38,106.45,-932.13,374.51,-0.81,0.93,-0.84,-31.33
2001,749.58,756.15,755.32,756.51,754.39,114.75,-935.06,377.44,0.76,2.10,2.95,-33.91
